gene_symbol,sex,nAcc_Female_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
A1BG,female,-,0.6444891603181916,0.6777554198409041,0.3222445801590958,-1,0.6444891603181916
A1CF,female,-,0.9292178446030769,0.5353910776984616,0.46460892230153844,-1,0.9292178446030769
A2M,female,-,0.08334668886085217,0.958326655569574,0.041673344430426085,-1,0.08334668886085217
A2ML1,female,-,0.49788623370426666,0.7510568831478667,0.24894311685213333,-1,0.49788623370426666
A2MP1,female,-,0.5450586886475224,0.7274706556762388,0.2725293443237612,-1,0.5450586886475224
A3GALT2,female,-,0.1891646240464805,0.9054176879767597,0.09458231202324024,-1,0.1891646240464805
A4GALT,female,+,0.6095119594324896,0.3047559797162448,0.6952440202837552,1,0.6095119594324896
A4GNT,female,-,0.3154575517814391,0.8422712241092805,0.15772877589071954,-1,0.3154575517814391
AAAS,female,-,0.2096055760924194,0.8951972119537903,0.1048027880462097,-1,0.2096055760924194
AACS,female,-,0.8402830827776882,0.5798584586111559,0.4201415413888441,-1,0.8402830827776882
AACSP1,female,-,0.8100290019472269,0.5949854990263865,0.40501450097361347,-1,0.8100290019472269
AADAC,female,-,0.156215636684144,0.921892181657928,0.078107818342072,-1,0.156215636684144
AADACL2,female,-,0.35428947681750617,0.8228552615912469,0.17714473840875308,-1,0.35428947681750617
AADACL3,female,+,0.75217207620694,0.37608603810347,0.6239139618965299,1,0.75217207620694
AADACL4,female,+,0.4178803738622758,0.2089401869311379,0.7910598130688621,1,0.4178803738622758
AADACP1,female,-,0.4444615122400485,0.7777692438799757,0.22223075612002424,-1,0.4444615122400485
AADAT,female,-,0.1744066325521629,0.9127966837239185,0.08720331627608145,-1,0.1744066325521629
AAED1,female,-,0.6599143572782964,0.6700428213608518,0.3299571786391482,-1,0.6599143572782964
AAGAB,female,+,0.4680996917555875,0.23404984587779376,0.7659501541222062,1,0.4680996917555875
AAK1,female,-,0.8913447277880504,0.5543276361059748,0.4456723638940252,-1,0.8913447277880504
AAMDC,female,-,0.46886208605315516,0.7655689569734224,0.23443104302657758,-1,0.46886208605315516
AAMP,female,+,0.8206793781018925,0.41033968905094625,0.5896603109490537,1,0.8206793781018925
AANAT,female,-,0.8013247403172469,0.5993376298413766,0.40066237015862344,-1,0.8013247403172469
AAR2,female,+,0.9016221991549723,0.45081109957748616,0.5491889004225139,1,0.9016221991549723
AARD,female,-,0.5642102593704439,0.717894870314778,0.28210512968522194,-1,0.5642102593704439
AARS,female,+,0.7449832080718397,0.37249160403591985,0.6275083959640801,1,0.7449832080718397
AARS2,female,-,0.9143319499729203,0.5428340250135398,0.45716597498646017,-1,0.9143319499729203
AARSD1,female,+,0.6927918278896488,0.3463959139448244,0.6536040860551756,1,0.6927918278896488
AARSP1,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
AASDH,female,-,0.8788569504750273,0.5605715247624863,0.43942847523751366,-1,0.8788569504750273
AASDHPPT,female,+,0.44823742965186975,0.22411871482593487,0.7758812851740651,1,0.44823742965186975
AASS,female,-,0.8255124262477733,0.5872437868761133,0.41275621312388666,-1,0.8255124262477733
AATF,female,+,0.7607395560007633,0.38036977800038163,0.6196302219996184,1,0.7607395560007633
AATK,female,-,0.31878284264883405,0.840608578675583,0.15939142132441703,-1,0.31878284264883405
AATK-AS1,female,+,0.7614941994410294,0.3807470997205147,0.6192529002794853,1,0.7614941994410294
AB019438.66,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
AB019441.29,female,-,0.27855116593061563,0.8607244170346922,0.13927558296530781,-1,0.27855116593061563
ABAT,female,+,0.17815548335616888,0.08907774167808444,0.9109222583219155,1,0.17815548335616888
ABBA01000934.1,female,+,0.975506105233307,0.4877530526166535,0.5122469473833464,1,0.975506105233307
ABC12-47043100G14.2,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
ABC12-47964100C23.1,female,+,0.4619764918347109,0.23098824591735545,0.7690117540826445,1,0.4619764918347109
ABC13-47488600E17.1,female,-,0.19144712632738442,0.9042764368363078,0.09572356316369221,-1,0.19144712632738442
ABC13-47656900H15.1,female,-,0.044791028428775775,0.9776044857856121,0.022395514214387888,-1,0.044791028428775775
ABC13-48559800H2.1,female,+,0.1113491891270621,0.05567459456353105,0.9443254054364689,1,0.1113491891270621
ABC13-48559800H2.2,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
ABC14-864958H18.2,female,-,0.04972555923640912,0.9751372203817955,0.02486277961820456,-1,0.04972555923640912
ABC7-42391500H16.4,female,-,0.06691642460145841,0.9665417876992708,0.033458212300729206,-1,0.06691642460145841
ABC7-42404400C24.1,female,+,0.010774509699719576,0.005387254849859788,0.9946127451501402,1,0.010774509699719576
ABC7-42418200C9.1,female,-,0.9235694080216659,0.5382152959891671,0.46178470401083294,-1,0.9235694080216659
ABC7-481722F1.1,female,-,0.7282343208665663,0.6358828395667169,0.3641171604332831,-1,0.7282343208665663
ABC8-43014700C16.1,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
ABC9-43961700F1.1,female,-,0.6640006305902642,0.6679996847048679,0.3320003152951321,-1,0.6640006305902642
ABCA1,female,-,0.3954461623741842,0.802276918812908,0.1977230811870921,-1,0.3954461623741842
ABCA10,female,-,0.7182885168614693,0.6408557415692653,0.35914425843073466,-1,0.7182885168614693
ABCA11P,female,+,0.48368306472072564,0.24184153236036282,0.7581584676396371,1,0.48368306472072564
ABCA12,female,-,0.9710016844984724,0.5144991577507638,0.4855008422492362,-1,0.9710016844984724
ABCA13,female,-,0.6875901898180714,0.6562049050909643,0.3437950949090357,-1,0.6875901898180714
ABCA17P,female,-,0.39034085588311285,0.8048295720584435,0.19517042794155642,-1,0.39034085588311285
ABCA2,female,-,0.4177401917055915,0.7911299041472042,0.20887009585279576,-1,0.4177401917055915
ABCA3,female,+,0.31691676526270646,0.15845838263135323,0.8415416173686467,1,0.31691676526270646
ABCA4,female,-,0.09095638831126898,0.9545218058443655,0.04547819415563449,-1,0.09095638831126898
ABCA5,female,+,0.9238113273286883,0.46190566366434416,0.5380943363356558,1,0.9238113273286883
ABCA6,female,-,0.5335972650208094,0.7332013674895953,0.2667986325104047,-1,0.5335972650208094
ABCA7,female,-,0.6246651710588174,0.6876674144705913,0.3123325855294087,-1,0.6246651710588174
ABCA8,female,-,0.022594955489537907,0.988702522255231,0.011297477744768953,-1,0.022594955489537907
ABCA9,female,-,0.7176533420145651,0.6411733289927175,0.35882667100728255,-1,0.7176533420145651
ABCB1,female,-,0.06884694484785535,0.9655765275760723,0.034423472423927674,-1,0.06884694484785535
ABCB10,female,-,0.6669972713063665,0.6665013643468167,0.3334986356531833,-1,0.6669972713063665
ABCB10P1,female,+,0.8024610537630025,0.40123052688150124,0.5987694731184987,1,0.8024610537630025
ABCB10P3,female,+,0.1054790607370634,0.0527395303685317,0.9472604696314684,1,0.1054790607370634
ABCB10P4,female,-,0.3706923658592977,0.8146538170703511,0.18534618292964886,-1,0.3706923658592977
ABCB11,female,-,0.7307715820234391,0.6346142089882805,0.36538579101171953,-1,0.7307715820234391
ABCB4,female,-,0.6768002936848418,0.6615998531575791,0.3384001468424209,-1,0.6768002936848418
ABCB5,female,-,0.595067974141906,0.702466012929047,0.297533987070953,-1,0.595067974141906
ABCB6,female,+,0.815411589482145,0.4077057947410725,0.5922942052589275,1,0.815411589482145
ABCB7,female,+,0.5475228267748974,0.2737614133874487,0.7262385866125514,1,0.5475228267748974
ABCB8,female,-,0.5207815978911365,0.7396092010544317,0.26039079894556827,-1,0.5207815978911365
ABCB9,female,-,0.9125782036346054,0.5437108981826972,0.4562891018173027,-1,0.9125782036346054
ABCC1,female,+,0.5081465634658033,0.25407328173290167,0.7459267182670983,1,0.5081465634658033
ABCC10,female,-,0.5316137214507712,0.7341931392746144,0.2658068607253856,-1,0.5316137214507712
ABCC11,female,+,0.5070418267129939,0.25352091335649696,0.746479086643503,1,0.5070418267129939
ABCC12,female,-,0.26042011139052484,0.86978994430473755,0.13021005569526242,-1,0.26042011139052484
ABCC13,female,+,0.9651439051603992,0.4825719525801996,0.5174280474198004,1,0.9651439051603992
ABCC2,female,-,0.2139744199428923,0.8930127900285538,0.10698720997144615,-1,0.2139744199428923
ABCC3,female,-,0.9316758461688373,0.5341620769155814,0.4658379230844186,-1,0.9316758461688373
ABCC4,female,+,0.3533415525123334,0.1766707762561667,0.8233292237438333,1,0.3533415525123334
ABCC5,female,+,0.34158246249691243,0.17079123124845622,0.8292087687515438,1,0.34158246249691243
ABCC6,female,-,0.4965383467593637,0.7517308266203182,0.24826917337968185,-1,0.4965383467593637
ABCC6P1,female,+,0.6413284719402679,0.32066423597013394,0.6793357640298661,1,0.6413284719402679
ABCC6P2,female,+,0.9215908638536421,0.46079543192682104,0.539204568073179,1,0.9215908638536421
ABCC8,female,-,0.680273255676631,0.6598633721616844,0.3401366278383155,-1,0.680273255676631
ABCC9,female,+,0.7550187540686761,0.37750937703433807,0.6224906229656619,1,0.7550187540686761
ABCD1,female,-,0.5612512857051031,0.7193743571474485,0.28062564285255154,-1,0.5612512857051031
ABCD1P2,female,-,0.6056799218024074,0.6971600390987963,0.3028399609012037,-1,0.6056799218024074
ABCD1P3,female,-,0.47476789343478853,0.7626160532826057,0.23738394671739427,-1,0.47476789343478853
ABCD1P4,female,-,0.3835781839947944,0.8082109080026028,0.1917890919973972,-1,0.3835781839947944
ABCD1P5,female,-,0.8856398219473018,0.5571800890263491,0.4428199109736509,-1,0.8856398219473018
ABCD2,female,-,0.33103173125525925,0.8344841343723703,0.16551586562762963,-1,0.33103173125525925
ABCD3,female,+,0.6375492589532703,0.31877462947663515,0.6812253705233648,1,0.6375492589532703
ABCD4,female,-,0.46593444097707104,0.7670327795114644,0.23296722048853552,-1,0.46593444097707104
ABCE1,female,+,0.43607070272798015,0.21803535136399008,0.7819646486360099,1,0.43607070272798015
ABCF1,female,-,0.7940168202756939,0.6029915898621531,0.39700841013784693,-1,0.7940168202756939
ABCF2,female,+,0.4931793698392267,0.24658968491961336,0.7534103150803866,1,0.4931793698392267
ABCF2P1,female,+,0.22399732854161641,0.11199866427080821,0.8880013357291918,1,0.22399732854161641
ABCF2P2,female,-,0.3891432086591975,0.8054283956704013,0.19457160432959875,-1,0.3891432086591975
ABCF3,female,+,0.9421018642407459,0.47105093212037297,0.528949067879627,1,0.9421018642407459
ABCG1,female,-,0.4140355434915555,0.7929822282542223,0.20701777174577776,-1,0.4140355434915555
ABCG2,female,-,0.2152429125214852,0.8923785437392574,0.1076214562607426,-1,0.2152429125214852
ABCG4,female,+,0.04121962732774935,0.020609813663874675,0.9793901863361254,1,0.04121962732774935
ABCG5,female,-,0.9189094045270417,0.5405452977364791,0.45945470226352086,-1,0.9189094045270417
ABCG8,female,+,0.47468883708056353,0.23734441854028177,0.7626555814597182,1,0.47468883708056353
ABHD1,female,-,0.1701141145574793,0.9149429427212604,0.08505705727873965,-1,0.1701141145574793
ABHD10,female,+,0.29390202689485645,0.14695101344742822,0.8530489865525718,1,0.29390202689485645
ABHD11,female,-,0.7547169721187619,0.6226415139406191,0.37735848605938094,-1,0.7547169721187619
ABHD12,female,+,0.25450173835464424,0.12725086917732212,0.8727491308226779,1,0.25450173835464424
ABHD12B,female,-,0.17877917766852786,0.910610411165736,0.08938958883426393,-1,0.17877917766852786
ABHD13,female,+,0.2717865071960816,0.1358932535980408,0.8641067464019592,1,0.2717865071960816
ABHD14A,female,-,0.8065292009711185,0.5967353995144408,0.40326460048555923,-1,0.8065292009711185
ABHD14A-ACY1,female,-,0.35076382440613624,0.8246180877969319,0.17538191220306812,-1,0.35076382440613624
ABHD14B,female,+,0.9482024554364985,0.47410122771824925,0.5258987722817507,1,0.9482024554364985
ABHD15,female,-,0.4098613509288914,0.7950693245355542,0.2049306754644457,-1,0.4098613509288914
ABHD16A,female,+,0.4597733503219651,0.22988667516098255,0.7701133248390175,1,0.4597733503219651
ABHD16B,female,+,0.1999556086414856,0.0999778043207428,0.9000221956792572,1,0.1999556086414856
ABHD17A,female,+,0.70224553346758,0.35112276673379,0.64887723326621,1,0.70224553346758
ABHD17AP1,female,-,0.0027938139529074387,0.9986030930235462,0.0013969069764537194,-1,0.0027938139529074387
ABHD17AP3,female,-,0.21420820321209036,0.8928958983939549,0.10710410160604518,-1,0.21420820321209036
ABHD17AP4,female,-,0.008020798196364455,0.9959896009018178,0.0040103990981822275,-1,0.008020798196364455
ABHD17AP5,female,-,0.02885540471271825,0.9855722976436408,0.014427702356359125,-1,0.02885540471271825
ABHD17AP6,female,-,0.7351562575944093,0.6324218712027954,0.36757812879720464,-1,0.7351562575944093
ABHD17AP7,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
ABHD17AP8,female,+,0.09905930582263714,0.04952965291131857,0.9504703470886815,1,0.09905930582263714
ABHD17AP9,female,-,0.952958102787185,0.5235209486064075,0.4764790513935925,-1,0.952958102787185
ABHD17B,female,-,0.5477488174269265,0.7261255912865368,0.27387440871346325,-1,0.5477488174269265
ABHD17C,female,+,0.2950378035561622,0.1475189017780811,0.8524810982219189,1,0.2950378035561622
ABHD18,female,-,0.8566729930280091,0.5716635034859954,0.42833649651400457,-1,0.8566729930280091
ABHD2,female,+,0.48789094836204083,0.24394547418102042,0.7560545258189796,1,0.48789094836204083
ABHD3,female,-,0.03481320411079842,0.9825933979446008,0.01740660205539921,-1,0.03481320411079842
ABHD4,female,+,0.32485568531170744,0.16242784265585372,0.8375721573441463,1,0.32485568531170744
ABHD5,female,+,0.7798777053591021,0.38993885267955103,0.6100611473204489,1,0.7798777053591021
ABHD6,female,-,0.19099453491806517,0.9045027325409674,0.09549726745903259,-1,0.19099453491806517
ABHD8,female,+,0.5922544486070118,0.2961272243035059,0.7038727756964941,1,0.5922544486070118
ABI1,female,-,0.9345231183250011,0.5327384408374994,0.46726155916250056,-1,0.9345231183250011
ABI2,female,+,0.6197527761040662,0.3098763880520331,0.6901236119479669,1,0.6197527761040662
ABI3,female,+,0.29692124112388235,0.14846062056194118,0.8515393794380588,1,0.29692124112388235
ABI3BP,female,+,0.34740017714116256,0.17370008857058128,0.8262999114294187,1,0.34740017714116256
ABL1,female,-,0.7282278202421,0.63588608987895,0.36411391012105,-1,0.7282278202421
ABL2,female,+,0.5849388194384434,0.2924694097192217,0.7075305902807782,1,0.5849388194384434
ABLIM1,female,+,0.6660328193366554,0.3330164096683277,0.6669835903316723,1,0.6660328193366554
ABLIM2,female,+,0.540951556104422,0.270475778052211,0.729524221947789,1,0.540951556104422
ABLIM3,female,+,0.3844122524657096,0.1922061262328548,0.8077938737671452,1,0.3844122524657096
ABO,female,-,0.2516914931887059,0.874154253405647,0.12584574659435294,-1,0.2516914931887059
ABR,female,+,0.3927805870488549,0.19639029352442744,0.8036097064755725,1,0.3927805870488549
ABRA,female,+,0.8398298969754028,0.4199149484877014,0.5800850515122986,1,0.8398298969754028
ABRACL,female,+,0.7159035938891618,0.3579517969445809,0.6420482030554191,1,0.7159035938891618
ABT1,female,+,0.5168652644872425,0.25843263224362123,0.7415673677563788,1,0.5168652644872425
ABT1P1,female,-,0.2459545594853697,0.8770227202573151,0.12297727974268485,-1,0.2459545594853697
ABTB1,female,-,0.7801636540151211,0.6099181729924394,0.39008182700756056,-1,0.7801636540151211
ABTB2,female,-,0.3637913955651875,0.8181043022174063,0.18189569778259376,-1,0.3637913955651875
AC000041.10,female,+,0.25810828573783456,0.12905414286891728,0.8709458571310827,1,0.25810828573783456
AC000041.8,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
AC000077.2,female,+,0.8532305221004323,0.42661526105021613,0.5733847389497839,1,0.8532305221004323
AC000078.5,female,+,0.17813037226089865,0.08906518613044932,0.9109348138695507,1,0.17813037226089865
AC000081.2,female,-,0.3552614646151907,0.8223692676924046,0.17763073230759535,-1,0.3552614646151907
AC000089.3,female,+,0.3850245273638704,0.1925122636819352,0.8074877363180648,1,0.3850245273638704
AC000095.12,female,-,0.0893288399885368,0.9553355800057316,0.0446644199942684,-1,0.0893288399885368
AC000095.9,female,-,0.4614655340534989,0.7692672329732506,0.23073276702674944,-1,0.4614655340534989
AC000111.4,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
AC000111.5,female,+,0.4096156593374264,0.2048078296687132,0.7951921703312868,1,0.4096156593374264
AC000362.1,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
AC000367.1,female,-,0.3595912408977876,0.8202043795511063,0.1797956204488938,-1,0.3595912408977876
AC000374.1,female,+,0.4632320198079113,0.23161600990395564,0.7683839900960443,1,0.4632320198079113
AC002056.3,female,+,0.4732940016301176,0.2366470008150588,0.7633529991849413,1,0.4732940016301176
AC002069.5,female,+,0.9103790055882328,0.4551895027941164,0.5448104972058836,1,0.9103790055882328
AC002069.6,female,-,0.2222420991977229,0.8888789504011386,0.11112104959886145,-1,0.2222420991977229
AC002075.3,female,-,0.6645868008488771,0.6677065995755614,0.33229340042443856,-1,0.6645868008488771
AC002075.4,female,-,0.8785503139202052,0.5607248430398974,0.4392751569601026,-1,0.8785503139202052
AC002127.2,female,+,0.4917215767469777,0.24586078837348885,0.7541392116265111,1,0.4917215767469777
AC002310.10,female,+,0.4888604814298855,0.24443024071494274,0.7555697592850572,1,0.4888604814298855
AC002310.11,female,+,0.061810872330696556,0.030905436165348278,0.9690945638346516,1,0.061810872330696556
AC002310.13,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
AC002310.17,female,-,0.6215964115714245,0.6892017942142877,0.31079820578571227,-1,0.6215964115714245
AC002314.4,female,+,0.4917215767469777,0.24586078837348885,0.7541392116265111,1,0.4917215767469777
AC002366.3,female,-,0.4042334981601513,0.7978832509199243,0.20211674908007565,-1,0.4042334981601513
AC002398.9,female,+,0.47006027051787946,0.23503013525893973,0.7649698647410603,1,0.47006027051787946
AC002400.1,female,-,0.6119646078635608,0.6940176960682196,0.3059823039317804,-1,0.6119646078635608
AC002429.4,female,-,0.8971648131556852,0.5514175934221575,0.4485824065778426,-1,0.8971648131556852
AC002429.5,female,-,0.06732426439356058,0.9663378678032197,0.03366213219678029,-1,0.06732426439356058
AC002486.2,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
AC002486.3,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
AC002519.6,female,-,0.7690338484566989,0.6154830757716505,0.38451692422834943,-1,0.7690338484566989
AC002523.1,female,-,0.8782751690135608,0.5608624154932196,0.4391375845067804,-1,0.8782751690135608
AC002542.2,female,+,0.3383212818604476,0.1691606409302238,0.8308393590697762,1,0.3383212818604476
AC002543.2,female,-,0.6375164056474454,0.6812417971762773,0.3187582028237227,-1,0.6375164056474454
AC002553.4,female,-,0.1640061091849331,0.9179969454075335,0.08200305459246655,-1,0.1640061091849331
AC002984.2,female,+,0.8761336814714811,0.43806684073574054,0.5619331592642595,1,0.8761336814714811
AC002985.3,female,-,0.11250820692170262,0.9437458965391488,0.05625410346085131,-1,0.11250820692170262
AC003002.4,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
AC003002.6,female,+,0.6002315997502794,0.3001157998751397,0.6998842001248603,1,0.6002315997502794
AC003005.4,female,+,0.5414871238809496,0.2707435619404748,0.7292564380595252,1,0.5414871238809496
AC003006.7,female,-,0.31276906173333113,0.8436154691333344,0.15638453086666557,-1,0.31276906173333113
AC003045.1,female,-,0.7121355731836991,0.6439322134081504,0.35606778659184957,-1,0.7121355731836991
AC003080.4,female,+,0.8091188534925601,0.40455942674628004,0.59544057325372,1,0.8091188534925601
AC003682.17,female,+,0.1974859437107916,0.0987429718553958,0.9012570281446042,1,0.1974859437107916
AC003958.1,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
AC003958.6,female,-,0.8714799449850896,0.5642600275074552,0.4357399724925448,-1,0.8714799449850896
AC003973.1,female,+,0.11502550765464312,0.05751275382732156,0.9424872461726784,1,0.11502550765464312
AC003989.3,female,-,0.6162200447865831,0.6918899776067085,0.30811002239329155,-1,0.6162200447865831
AC003989.4,female,-,0.29061365780033754,0.8546931710998312,0.14530682890016877,-1,0.29061365780033754
AC004004.2,female,+,0.6628719887836224,0.3314359943918112,0.6685640056081887,1,0.6628719887836224
AC004006.2,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
AC004019.10,female,-,0.6715958259611794,0.6642020870194103,0.3357979129805897,-1,0.6715958259611794
AC004022.7,female,+,0.3202413377422095,0.16012066887110474,0.8398793311288952,1,0.3202413377422095
AC004022.8,female,-,0.03935014534761153,0.9803249273261943,0.019675072673805766,-1,0.03935014534761153
AC004057.1,female,-,0.0649154502776931,0.9675422748611535,0.03245772513884655,-1,0.0649154502776931
AC004062.2,female,+,0.30514456836962606,0.15257228418481303,0.8474277158151869,1,0.30514456836962606
AC004066.2,female,-,0.2511100882218192,0.8744449558890904,0.1255550441109096,-1,0.2511100882218192
AC004069.1,female,+,0.36911247821045534,0.18455623910522767,0.8154437608947723,1,0.36911247821045534
AC004074.4,female,-,0.7282343208665663,0.6358828395667169,0.3641171604332831,-1,0.7282343208665663
AC004076.7,female,-,0.22927451906262578,0.8853627404686871,0.11463725953131289,-1,0.22927451906262578
AC004076.9,female,-,0.9236196525796685,0.5381901737101658,0.46180982628983425,-1,0.9236196525796685
AC004129.7,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
AC004129.9,female,-,0.7410620308296987,0.6294689845851507,0.37053101541484934,-1,0.7410620308296987
AC004158.1,female,-,0.6766632677012612,0.6616683661493694,0.3383316338506306,-1,0.6766632677012612
AC004159.1,female,+,0.6993445806178644,0.3496722903089322,0.6503277096910678,1,0.6993445806178644
AC004231.7,female,-,0.7282343208665663,0.6358828395667169,0.3641171604332831,-1,0.7282343208665663
AC004381.6,female,+,0.2991810278218391,0.14959051391091954,0.8504094860890805,1,0.2991810278218391
AC004381.8,female,+,0.024398212206661666,0.012199106103330833,0.9878008938966691,1,0.024398212206661666
AC004383.3,female,-,0.4397975322488812,0.7801012338755594,0.2198987661244406,-1,0.4397975322488812
AC004386.3,female,+,0.3202413377422095,0.16012066887110474,0.8398793311288952,1,0.3202413377422095
AC004386.4,female,-,0.20326387306394064,0.8983680634680297,0.10163193653197032,-1,0.20326387306394064
AC004453.8,female,-,0.5191081840827623,0.7404459079586189,0.25955409204138113,-1,0.5191081840827623
AC004461.4,female,-,0.3545230289675797,0.8227384855162101,0.17726151448378985,-1,0.3545230289675797
AC004556.1,female,+,2.3740078223383757e-4,1.1870039111691878e-4,0.9998812996088831,1,2.3740078223383757e-4
AC004692.5,female,-,0.6338752635903722,0.6830623682048139,0.3169376317951861,-1,0.6338752635903722
AC004754.3,female,+,0.11283619631073437,0.056418098155367184,0.9435819018446328,1,0.11283619631073437
AC004813.1,female,-,0.42693496988866214,0.7865325150556689,0.21346748494433107,-1,0.42693496988866214
AC004824.1,female,-,0.5307506507742183,0.7346246746128908,0.2653753253871092,-1,0.5307506507742183
AC004824.2,female,-,0.5307506507742183,0.7346246746128908,0.2653753253871092,-1,0.5307506507742183
AC004837.3,female,+,0.5400636459305328,0.2700318229652664,0.7299681770347336,1,0.5400636459305328
AC004840.8,female,+,0.4013971483592849,0.20069857417964246,0.7993014258203576,1,0.4013971483592849
AC004854.5,female,-,0.0501412121712263,0.9749293939143868,0.02507060608561315,-1,0.0501412121712263
AC004866.1,female,+,0.3202413377422095,0.16012066887110474,0.8398793311288952,1,0.3202413377422095
AC004866.3,female,+,0.23377825874478494,0.11688912937239247,0.8831108706276075,1,0.23377825874478494
AC004870.5,female,+,0.23150575804117124,0.11575287902058562,0.8842471209794144,1,0.23150575804117124
AC004893.10,female,-,0.14262805478415533,0.9286859726079224,0.07131402739207766,-1,0.14262805478415533
AC004899.3,female,-,0.20098861943376564,0.8995056902831171,0.10049430971688282,-1,0.20098861943376564
AC004911.2,female,+,0.8686385194897533,0.4343192597448767,0.5656807402551234,1,0.8686385194897533
AC004920.2,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
AC004938.5,female,-,0.29951211028580205,0.850243944857099,0.14975605514290102,-1,0.29951211028580205
AC004941.5,female,-,0.1876735763539959,0.9061632118230021,0.09383678817699795,-1,0.1876735763539959
AC004945.1,female,+,0.11276272100332264,0.05638136050166132,0.9436186394983387,1,0.11276272100332264
AC004951.5,female,-,0.29123849982909744,0.8543807500854512,0.14561924991454872,-1,0.29123849982909744
AC004953.1,female,-,0.9193033746919279,0.540348312654036,0.45965168734596396,-1,0.9193033746919279
AC004967.7,female,-,0.9281283655582286,0.5359358172208857,0.4640641827791143,-1,0.9281283655582286
AC004980.10,female,+,0.7770057664445436,0.3885028832222718,0.6114971167777282,1,0.7770057664445436
AC004980.7,female,-,0.21951172215839324,0.8902441389208035,0.10975586107919662,-1,0.21951172215839324
AC004980.8,female,+,0.7459371479718662,0.3729685739859331,0.6270314260140669,1,0.7459371479718662
AC004980.9,female,+,0.4918793919756981,0.24593969598784904,0.754060304012151,1,0.4918793919756981
AC004985.12,female,-,0.5994946201562679,0.7002526899218661,0.29974731007813393,-1,0.5994946201562679
AC004987.10,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
AC004987.9,female,-,0.0273122858817691,0.9863438570591154,0.01365614294088455,-1,0.0273122858817691
AC005008.3,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
AC005014.5,female,+,0.9873989916873285,0.49369949584366424,0.5063005041563358,1,0.9873989916873285
AC005017.2,female,-,0.6227802476097171,0.6886098761951415,0.31139012380485853,-1,0.6227802476097171
AC005019.2,female,-,0.9607467496763538,0.5196266251618231,0.4803733748381769,-1,0.9607467496763538
AC005033.6,female,-,0.9997669321734146,0.5001165339132927,0.4998834660867073,-1,0.9997669321734146
AC005034.2,female,-,0.7746888653970222,0.6126555673014888,0.3873444326985111,-1,0.7746888653970222
AC005040.3,female,+,0.3865864694375351,0.19329323471876755,0.8067067652812324,1,0.3865864694375351
AC005041.11,female,-,0.25412511565739593,0.8729374421713021,0.12706255782869796,-1,0.25412511565739593
AC005042.1,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
AC005042.2,female,+,0.5931849410864157,0.29659247054320786,0.7034075294567921,1,0.5931849410864157
AC005042.3,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
AC005077.14,female,+,0.04069746348783597,0.020348731743917985,0.979651268256082,1,0.04069746348783597
AC005077.5,female,-,0.2854225219071433,0.8572887390464283,0.14271126095357164,-1,0.2854225219071433
AC005077.7,female,+,0.39250042895773635,0.19625021447886817,0.8037497855211319,1,0.39250042895773635
AC005077.8,female,+,0.753544916171562,0.376772458085781,0.623227541914219,1,0.753544916171562
AC005086.1,female,+,0.62408688565047,0.312043442825235,0.687956557174765,1,0.62408688565047
AC005086.2,female,-,0.37619433919710327,0.8119028304014484,0.18809716959855163,-1,0.37619433919710327
AC005086.3,female,+,0.6984481578553916,0.3492240789276958,0.6507759210723042,1,0.6984481578553916
AC005094.2,female,+,0.0808955839635468,0.0404477919817734,0.9595522080182266,1,0.0808955839635468
AC005102.1,female,+,0.612853475117515,0.3064267375587575,0.6935732624412425,1,0.612853475117515
AC005105.2,female,-,0.4101684810926188,0.7949157594536906,0.2050842405463094,-1,0.4101684810926188
AC005154.7,female,-,0.2753213974160278,0.8623393012919861,0.1376606987080139,-1,0.2753213974160278
