gene_symbol,sex,nAcc_Female_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
GLYATL1,female,-,0.7943404334798225,0.6028297832600887,0.39717021673991126,-1,0.7943404334798225
GLYATL1P1,female,-,0.6070338071063058,0.6964830964468471,0.3035169035531529,-1,0.6070338071063058
GLYATL1P2,female,-,0.42273250777717336,0.7886337461114133,0.21136625388858668,-1,0.42273250777717336
GLYATL1P3,female,-,0.41092959929420314,0.7945352003528985,0.20546479964710157,-1,0.41092959929420314
GLYATL1P4,female,+,0.05637043334655871,0.028185216673279355,0.9718147833267207,1,0.05637043334655871
GLYATL2,female,-,0.6826709316166963,0.6586645341916518,0.34133546580834817,-1,0.6826709316166963
GLYATL3,female,+,0.6138279681147912,0.3069139840573956,0.6930860159426044,1,0.6138279681147912
GLYCAM1,female,+,0.9308754216655322,0.4654377108327661,0.5345622891672339,1,0.9308754216655322
GLYCTK,female,-,0.45729537441156193,0.771352312794219,0.22864768720578096,-1,0.45729537441156193
GLYR1,female,+,0.40916802740857416,0.20458401370428708,0.7954159862957129,1,0.40916802740857416
GM2A,female,+,0.5366800411692849,0.26834002058464246,0.7316599794153575,1,0.5366800411692849
GM2AP1,female,-,0.38289056827022366,0.8085547158648881,0.19144528413511183,-1,0.38289056827022366
GM2AP2,female,+,0.6882040914974727,0.3441020457487364,0.6558979542512636,1,0.6882040914974727
GMCL1,female,+,0.9398814979912051,0.46994074899560256,0.5300592510043974,1,0.9398814979912051
GMCL1P1,female,+,0.8644553403102607,0.43222767015513036,0.5677723298448696,1,0.8644553403102607
GMCL1P2,female,+,0.11953935648089281,0.059769678240446406,0.9402303217595536,1,0.11953935648089281
GMDS,female,+,0.4776804641872511,0.23884023209362554,0.7611597679063744,1,0.4776804641872511
GMEB1,female,+,0.905029917533101,0.4525149587665505,0.5474850412334495,1,0.905029917533101
GMEB2,female,+,0.17254720240393423,0.08627360120196712,0.9137263987980329,1,0.17254720240393423
GMFB,female,+,0.6270011509325962,0.3135005754662981,0.6864994245337019,1,0.6270011509325962
GMFBP1,female,-,0.9607467496763538,0.5196266251618231,0.4803733748381769,-1,0.9607467496763538
GMFG,female,-,0.4599503904513925,0.7700248047743037,0.22997519522569626,-1,0.4599503904513925
GMIP,female,+,0.346346505420158,0.173173252710079,0.826826747289921,1,0.346346505420158
GML,female,+,0.12198691012457746,0.06099345506228873,0.9390065449377113,1,0.12198691012457746
GMNC,female,+,0.4801957861164141,0.24009789305820706,0.7599021069417929,1,0.4801957861164141
GMNN,female,-,0.5632605716714569,0.7183697141642715,0.28163028583572847,-1,0.5632605716714569
GMPPA,female,-,0.6064852457512844,0.6967573771243578,0.3032426228756422,-1,0.6064852457512844
GMPPB,female,-,0.372036968976969,0.8139815155115155,0.1860184844884845,-1,0.372036968976969
GMPR,female,+,0.23204547050860055,0.11602273525430028,0.8839772647456997,1,0.23204547050860055
GMPR2,female,+,0.6927506789626814,0.3463753394813407,0.6536246605186593,1,0.6927506789626814
GMPS,female,+,0.40102450511282356,0.20051225255641178,0.7994877474435882,1,0.40102450511282356
