gene_symbol,t,P.Value,target_region
PERM1,-1.469368298166384,0.14853873143678112,AnCg
PERM1,-1.434533773775749,0.15881409227405233,nAcc
PERM1,-0.48336094749634945,0.6311873610748913,DLPFC
HES4,-0.7425258439665291,0.46154349532944616,AnCg
HES4,-0.25056719704358554,0.8032913384735787,DLPFC
HES4,0.2422861994161861,0.809735965451315,nAcc
ISG15,-1.2267280126942357,0.22631628485386981,DLPFC
ISG15,0.6808437496061756,0.49970169161653,nAcc
ISG15,0.4450034516303822,0.6584040867149528,AnCg
AGRN,-1.8548656266003785,0.07018622051581647,DLPFC
AGRN,-1.1042268956437462,0.2752369441863602,AnCg
AGRN,-0.783573075623354,0.4376810756253494,nAcc
RNF223,1.516666438210493,0.13683166008497596,nAcc
RNF223,-0.7508421616177151,0.4566632554742319,DLPFC
RNF223,-0.47389564049840166,0.6378157631173083,AnCg
C1orf159,0.4841997126126329,0.6307559831694258,nAcc
C1orf159,-0.4487862873539246,0.6557435233232387,DLPFC
C1orf159,-0.28292698179203873,0.778502006230724,AnCg
TTLL10,-1.5104917301659362,0.13775672525562183,AnCg
TTLL10,-1.1956770653977913,0.23809674363134098,DLPFC
TTLL10,1.008229195975587,0.31910982337255334,nAcc
TNFRSF18,-2.2226533028394133,0.03131689112642813,DLPFC
TNFRSF18,-1.2396338047795912,0.2213973382777631,AnCg
TNFRSF18,-0.15372343387268286,0.8785630212726248,nAcc
TNFRSF4,1.236066314993368,0.2227080905545045,AnCg
TNFRSF4,-0.6133051772643858,0.5427678444713819,DLPFC
TNFRSF4,-0.1953300089907437,0.8460751813695825,nAcc
SDF4,0.31141672518356306,0.7570222301978383,nAcc
SDF4,-0.1529603763894436,0.8791145927107769,DLPFC
SDF4,-0.042535731832176564,0.9662557092147153,AnCg
B3GALT6,-0.8405949457287639,0.40502735146130964,DLPFC
B3GALT6,-0.28877597819932443,0.7741713454888183,nAcc
B3GALT6,-0.1516737516051912,0.8801074535559923,AnCg
FAM132A,1.1070324434055447,0.2745712281084848,nAcc
FAM132A,0.3314249095150146,0.7418648974758953,DLPFC
FAM132A,0.2844030266955159,0.7773778088484378,AnCg
UBE2J2,0.19044535866005263,0.8497980773592148,AnCg
UBE2J2,0.05352930184738469,0.9575636346673769,nAcc
UBE2J2,0.03591699449439812,0.9715076891079937,DLPFC
SCNN1D,-1.1404610250709066,0.2601387626419629,DLPFC
SCNN1D,-0.730612574010544,0.46872050711585744,AnCg
SCNN1D,0.3941938906951924,0.695429523237268,nAcc
ACAP3,-0.6552163383379386,0.5156701949021084,DLPFC
ACAP3,-0.37968416044467335,0.7059270206099996,AnCg
ACAP3,-0.04481591974523314,0.9644661396297276,nAcc
PUSL1,-1.3711753243156037,0.17713219324777496,DLPFC
PUSL1,0.40994348065967895,0.6839280157145967,nAcc
PUSL1,-0.361832482168201,0.7191339367644111,AnCg
CPSF3L,-0.9810334418699125,0.33183088693375407,DLPFC
CPSF3L,0.263176071655663,0.793699882042918,nAcc
CPSF3L,-0.19399742526956285,0.8470319857384335,AnCg
CPTP,-1.234022739438775,0.22361213760357074,DLPFC
CPTP,1.1717483962136137,0.2473309052840057,AnCg
CPTP,0.9213991316918009,0.3620972515196108,nAcc
TAS1R3,0.6652468446661912,0.5092941924198422,DLPFC
TAS1R3,0.3824097377147113,0.7039185065731902,AnCg
TAS1R3,-0.08581697289750796,0.9320191414270974,nAcc
DVL1,-0.4464318295129773,0.6574302239672937,DLPFC
DVL1,0.17083018042217182,0.8651764727531879,nAcc
DVL1,-0.03318939137473493,0.9736671409194391,AnCg
MXRA8,-1.1903909042186334,0.2401460803783118,DLPFC
MXRA8,-1.077255062280124,0.2869829438590263,AnCg
MXRA8,0.3018119694178249,0.7642827399048968,nAcc
AURKAIP1,0.8436431899993795,0.403641546784107,nAcc
AURKAIP1,-0.6476195679882393,0.5205275168074057,DLPFC
AURKAIP1,-0.017523460875729927,0.986094796184275,AnCg
CCNL2,0.38726790731678484,0.7003867906992008,DLPFC
CCNL2,0.319165505882047,0.7511808182514371,nAcc
CCNL2,-0.2901723947479863,0.7729883334001459,AnCg
MRPL20,1.3690251499015833,0.17825852201744444,nAcc
MRPL20,0.22292111056392502,0.82458374456707,AnCg
MRPL20,-0.008930351323304537,0.9929142508242843,DLPFC
ANKRD65,-1.2770021463603316,0.20816343888848576,DLPFC
ANKRD65,0.27426533389218316,0.7851085380763458,AnCg
ANKRD65,-0.14389395624006102,0.886271453111408,nAcc
TMEM88B,-1.6969929535940524,0.09645475445239426,AnCg
TMEM88B,-1.3480858945929475,0.18439007752116163,DLPFC
TMEM88B,-0.20985231415529745,0.8347961747098485,nAcc
VWA1,-1.1059911366234867,0.27448061098633497,AnCg
VWA1,-0.9288355647271908,0.3579390374118958,DLPFC
VWA1,-0.05638778929835634,0.9552999101325514,nAcc
ATAD3C,1.0399886307819337,0.30428688207851734,nAcc
ATAD3C,-0.6567467708269067,0.5146945974344548,DLPFC
ATAD3C,-0.36212364640486294,0.7189178198935915,AnCg
ATAD3B,1.6987829221850725,0.096746849553643,nAcc
ATAD3B,0.4632360808602091,0.6454318751645336,DLPFC
ATAD3B,0.06372657953738081,0.94946403716483,AnCg
ATAD3A,0.9574578311728356,0.3433410477472083,AnCg
ATAD3A,-0.5379475725254411,0.5932688316357251,DLPFC
ATAD3A,0.5224594224204346,0.6040917168067765,nAcc
TMEM240,-1.0139755610710712,0.3160252763383429,DLPFC
TMEM240,0.8635329030776999,0.3923244435266341,AnCg
TMEM240,0.35475690006087135,0.7245444129193415,nAcc
SSU72,1.4831508802730737,0.1448532567474707,AnCg
SSU72,0.6794289568857991,0.5005883895297616,nAcc
SSU72,-0.30450754352575005,0.762147612440091,DLPFC
CDK11A,-1.3840533365945549,0.17318080054369067,DLPFC
CDK11A,0.9990996576530232,0.32345998235051965,nAcc
CDK11A,-0.5688210864214581,0.5722441942997546,AnCg
SLC35E2,-1.8817747310228383,0.06620211833253352,AnCg
SLC35E2,-0.8670313672924561,0.39053302301951553,DLPFC
SLC35E2,-0.430800602807888,0.6688131582591027,nAcc
NADK,0.46087276045008246,0.6470613195339839,AnCg
NADK,-0.1893967230430208,0.8506929362066079,nAcc
NADK,-0.09569858497115069,0.9241856422737418,DLPFC
GNB1,-0.5576151239274524,0.5800631341335636,nAcc
GNB1,0.554475477635051,0.5819391921259758,AnCg
GNB1,0.26060366872539426,0.7955891827085344,DLPFC
CALML6,-0.7832636957733076,0.4375827408430377,DLPFC
CALML6,0.65665275695566,0.5149811990204358,nAcc
CALML6,0.2671163227534068,0.7905734254720364,AnCg
TMEM52,1.0066290803978597,0.31986938663272635,nAcc
TMEM52,0.8315083300745467,0.4099817671206911,AnCg
TMEM52,0.49171107193431884,0.6253179957019888,DLPFC
CFAP74,-1.5416872255275942,0.13016582023310835,DLPFC
CFAP74,-0.5111176903048633,0.611713020214969,AnCg
CFAP74,0.33161848128766297,0.7418241576452673,nAcc
PRKCZ,-0.9546117776108691,0.3448834416857599,DLPFC
PRKCZ,0.42749829793815686,0.6710108633941502,AnCg
PRKCZ,0.06787220664401632,0.9462090010428791,nAcc
FAAP20,1.02937004022505,0.30918927267902263,nAcc
FAAP20,-0.4807870551082168,0.6330014515765887,DLPFC
FAAP20,-0.39812433475718156,0.6923801706170457,AnCg
SKI,-0.8813224839833794,0.38283497919358345,DLPFC
SKI,-0.7427423810243811,0.46176607516550483,nAcc
SKI,-0.43297765058368787,0.6670542583652355,AnCg
MORN1,-1.2923834768589229,0.2028334777636634,DLPFC
MORN1,-0.20280665702405973,0.8401804625168693,AnCg
MORN1,0.04989769585351816,0.9604401246642744,nAcc
RER1,0.13522464439543228,0.8930241999288933,AnCg
RER1,-0.01031572338983776,0.9918150704474838,DLPFC
RER1,0.008932843369807,0.9929149536577793,nAcc
PEX10,-0.9571896984435657,0.343595211547815,DLPFC
PEX10,0.5486364519256909,0.5859078821202264,AnCg
PEX10,0.1945066220855652,0.8467156832156342,nAcc
PLCH2,-0.9243987417970893,0.3601022978959193,AnCg
PLCH2,-0.7326406311022625,0.46758370574459773,DLPFC
PLCH2,-0.4968728443361202,0.6218660288619975,nAcc
PANK4,-1.047661929430502,0.3007777254013311,nAcc
PANK4,0.8762423697340394,0.3854508370776457,AnCg
PANK4,-0.07896515621225605,0.9374110800552291,DLPFC
HES5,-1.2044552762293157,0.23514783684679827,nAcc
HES5,-0.7133876690967151,0.47920938366781574,AnCg
HES5,-0.28402819185174333,0.7776939694955116,DLPFC
TNFRSF14,1.5288385301381902,0.13379113535341616,nAcc
TNFRSF14,0.5955066843584591,0.5544232698213839,AnCg
TNFRSF14,-0.5774022334325468,0.5665508508273016,DLPFC
FAM213B,-1.1508798526125148,0.2558714515714662,DLPFC
FAM213B,0.5585104121668303,0.5792043148506266,AnCg
FAM213B,-0.27280496759018374,0.7863381272747734,nAcc
MMEL1,1.664756935675886,0.1033945987213304,nAcc
