gene_symbol,AnCg.F_nAcc.F_DLPFC.F_AnCg.M_nAcc.M_DLPFC.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
AATF,+++++-,0.16765108776201204,0.2869326685246107,0.458554803621851,1,0.5738653370492214,0.25028519279032624,0.2451377402612217,0.4902754805224434
AATK,----+-,0.18632325887100679,0.9621397687318546,0.12500453719340787,-1,0.25000907438681574,0.09792961843381053,0.10728952772073921,0.19585923686762105
ABAT,++++-+,0.3045262221592112,0.8163901505590994,0.33219969156133183,-1,0.6643993831226637,0.29122226658301487,0.2855920602327173,0.5711841204654347
ABCA1,--+--+,0.12098252550574326,0.9368107621432976,0.09297083942057836,-1,0.18594167884115673,0.07106598984771574,0.08139402235911476,0.14213197969543148
ABCA10,+---+-,0.48299611504863926,0.5877146778958339,0.5991829209744878,1,1.1754293557916677,0.4961784166096281,0.47864027833228767,0.9572805566645753
ABCA12,+-----,0.5048027849583705,0.8837822086554472,0.32609737048646376,-1,0.6521947409729275,0.2851194889636685,0.2793178188455396,0.5586356376910792
ABCA13,+---++,0.44485801421010884,0.6091914836825952,0.559078940476033,-1,1.118157880952066,0.4825757143671933,0.4664613278576318,0.9329226557152636
ABCA3,++++--,0.48501468295218686,0.5785335950444351,0.6129459208519596,1,1.1570671900888703,0.49304129591603923,0.47533223065077285,0.9506644613015457
ABCA4,--+-+-,0.2226151381106105,0.9245227171164174,0.19364965050759636,-1,0.3872993010151927,0.15964181828551874,0.16290212183436004,0.3192836365710375
ABCA5,-++--+,0.05815550285191646,0.8963366522364564,0.06967403687457172,-1,0.13934807374914343,0.05150288028289511,0.06405430070727812,0.10300576056579022
ABCA6,----++,0.196978464759128,0.4481721545228717,0.3479988098986845,-1,0.695997619797369,0.3069640107226373,0.2997946611909651,0.5995893223819302
ABCA7,+---+-,0.36388739155750827,0.5277653728494665,0.515902356459613,-1,1.031804712919226,0.4558831916956596,0.4402235911476158,0.8804471822952316
ABCA8,--+---,0.00687217695594378,0.999513558812753,0.0011700788850873608,-1,0.0023401577701747216,0.001425882621342611,0.0011978097193702942,0.0023956194387405884
ABCA9,----++,0.2516442288109495,0.4251552207545603,0.6286761552587822,1,0.8503104415091206,0.38153091489847135,0.3685621399646381,0.7371242799292762
ABCB1,---+++,0.6083737391707383,0.5800803483900849,0.6470718492987307,1,1.1601606967801699,0.49361168149669177,0.4760166543090173,0.9520333086180346
ABCB10,+-+--+,0.09378659510900247,0.9336291473094173,0.08576812231497125,-1,0.1715362446299425,0.06433582387497862,0.07557608943645905,0.12867164774995724
ABCB11,+----+,0.5129122433632788,0.6044731603709477,0.559968406738778,-1,1.119936813477556,0.48320310272058403,0.4672598676705453,0.9345197353410906
ABCB4,--++++,0.242494754186878,0.2919314128947373,0.8033983805953621,1,0.5838628257894746,0.2550764316678074,0.2489591056864199,0.4979182113728398
ABCB5,+---++,0.18657343149890665,0.1932133394255349,0.7935910521110786,1,0.3864266788510698,0.15908053844398815,0.16272172474761878,0.3181610768879763
ABCB6,++++--,0.30475973076171897,0.4587873558099324,0.647086819597817,1,0.9175747116198648,0.41027834816335845,0.3953687332458792,0.7907374664917584
ABCB8,+-----,0.23521395782736906,0.9521258056526314,0.11988914176383324,-1,0.23977828352766647,0.09330975874066047,0.1025553274013233,0.18661951748132094
ABCB9,---++-,0.1218001023342144,0.6950108119339988,0.2678426521573164,-1,0.5356853043146328,0.2297952432555752,0.22781200091261694,0.4556240018252339
ABCC1,++++--,0.4326379257130817,0.8705328165644872,0.3033554705506453,-1,0.6067109411012906,0.2658415559231164,0.25924024640657084,0.5184804928131417
ABCC10,+---+-,0.1870024075548234,0.5659444516708612,0.3228123625857918,-1,0.6456247251715836,0.2824388296355444,0.27612365959388546,0.5522473191877709
ABCC11,++++-+,0.31472284192709205,0.265434356881375,0.8938006810992367,1,0.53086871376275,0.22684234542550763,0.22580277191581588,0.45160554383163176
ABCC12,+--+--,0.08131043160539536,0.7383678957628963,0.18469472632421233,-1,0.36938945264842465,0.15085838133804824,0.15582934063426876,0.3017167626760965
ABCC2,---+++,0.5626341779158557,0.3875186833067379,0.8524238845169239,1,0.7750373666134758,0.3455966233173625,0.33553869845434325,0.6710773969086865
ABCC3,----+-,0.04264363935377843,0.21717972690705886,0.2313469046964711,1,0.4343594538141177,0.18081222906684918,0.1822277990075857,0.36162445813369837
ABCC4,+++-++,0.2885573255132647,0.5023054164291478,0.5016955941709028,-1,1.0033911883418056,0.4454457309074317,0.4302988820442619,0.8605977640885238
ABCC5,++++-+,0.1913632092001266,0.2956853574512485,0.4723430199277115,1,0.591370714902497,0.2586698608259183,0.25209604745337366,0.5041920949067473
ABCC6,+--+++,0.018842152127391373,0.0013708957674998612,0.9975201470501712,1,0.0027417915349997224,0.0015970796258270592,0.0013688473164889066,0.002737694632977813
ABCC8,+-++++,0.12639704509973443,0.04457054638492495,0.97912147187849,1,0.0891410927698499,0.03331051791010723,0.042377231506302404,0.06662103582021446
ABCC9,+++-++,0.07453234105765433,0.09543532323706777,0.8944637195735983,1,0.19087064647413554,0.07340862422997947,0.08378486283009183,0.14681724845995894
ABCD2,--++-+,0.06361636281904708,0.77470287385211,0.15064202559415865,-1,0.3012840511883173,0.1193178577539497,0.12885010266940453,0.2386357155078994
ABCD3,-+++-+,0.1250305197280086,0.8274840943994144,0.1822225892158663,-1,0.3644451784317326,0.1487480750584612,0.15406114533424595,0.2974961501169224
ABCD4,----+-,0.3332531476924503,0.36137102262164195,0.7389403584861558,1,0.7227420452432839,0.32021446497832534,0.31266754120800777,0.6253350824160155
ABCE1,-+++--,0.051778721436626755,0.7280116391058484,0.1394239018027851,-1,0.2788478036055702,0.11064849141618661,0.11881131644992014,0.22129698283237323
ABCF1,+--+++,0.4829725532921658,0.3908793337577079,0.8283383919984111,1,0.7817586675154158,0.34833447410449464,0.338675640221297,0.677351280442594
ABCF2,++++--,0.057262611752451044,0.16124193079343735,0.6593131620298471,1,0.3224838615868747,0.12924937257586128,0.13631437860035361,0.25849874515172255
ABCF3,++-+--,0.372861616751071,0.8049983512455298,0.3075462322344509,-1,0.6150924644689018,0.26909256829977757,0.2629477526808122,0.5258955053616244
ABCG1,--+---,0.07988315880567909,0.9883561664031104,0.023380673959373932,-1,0.046761347918747864,0.017966121028916898,0.023613963039014373,0.035932242057833796
ABCG2,---+++,0.2687863371152453,0.9428565579176937,0.15957673610917292,-1,0.31915347221834584,0.12747390634802944,0.1349532283823865,0.2549478126960589
ABCG4,++++--,0.09595965572145257,0.21496159588921507,0.6209750720772731,1,0.42992319177843014,0.17847364818617387,0.18006045742314492,0.35694729637234773
ABCG5,--++--,0.330694039322902,0.5596900586839588,0.46660899853701726,-1,0.9332179970740345,0.417213255004848,0.4026922199406799,0.8053844398813598
ABCG8,++++--,0.2295950453517649,0.3947236329797757,0.5845055678568487,1,0.7894472659595514,0.3524412502851928,0.3425540409513489,0.6851080819026978
ABHD1,+---++,0.2858412633688095,0.6224218090555663,0.4410652366479784,-1,0.8821304732959568,0.39496948611190325,0.3813027606662104,0.7626055213324208
ABHD10,++++--,0.5043332706997685,0.4371180920112576,0.6775180772269853,1,0.8742361840225152,0.3906570841889117,0.3780300005703531,0.7560600011407062
ABHD11,+--++-,0.22966873436879384,0.3835641018535213,0.4741460582453923,1,0.7671282037070426,0.3413187314624686,0.3324587919922432,0.6649175839844864
ABHD12,++-++-,0.3558603473523042,0.43813415436941566,0.6575745268746469,1,0.8762683087388313,0.3919689710244125,0.3786573889237438,0.7573147778474876
ABHD12B,+--++-,0.2730295123909227,0.38227322494068866,0.6896415243409644,1,0.7645464498813773,0.33966461327857633,0.331146979980608,0.662293959961216
ABHD13,++++-+,0.14902832462288382,0.15555810447548477,0.46707326179860925,1,0.31111620895096953,0.1241159023499886,0.13260708378486283,0.2482318046999772
ABHD14A,+--++-,0.020371247051791674,0.03462815990925452,0.9455840276497502,1,0.06925631981850904,0.0257243896874287,0.03422118291222267,0.0514487793748574
ABHD14B,++-+++,0.08542292301485771,0.057806495612525315,0.9627867653825674,1,0.11561299122505063,0.04295003422313484,0.055267210403239606,0.08590006844626968
ABHD15,--+++-,0.35327854921601576,0.9278894147646464,0.22432941522666505,-1,0.4486588304533301,0.18787429418810245,0.18879762719598447,0.3757485883762049
ABHD16A,++-+--,0.3768332846194803,0.5557513852503395,0.5477350918443534,-1,1.0954701836887069,0.4763588661381395,0.459958932238193,0.919917864476386
ABHD16B,-+--+-,0.6685913896714769,0.7748349455693575,0.4967238245982357,-1,0.9934476491964714,0.4414532595676724,0.42630618297969425,0.8526123659593885
ABHD17A,-+-++-,0.5866871091134191,0.6178323196630048,0.5950856489303223,-1,1.1901712978606447,0.49837449381166943,0.48146246862879305,0.9629249372575861
ABHD17B,--+---,0.2563992448102395,0.8411190731852932,0.17770582085878853,-1,0.35541164171757705,0.1439000741458963,0.15012548482774354,0.2878001482917926
