gene_symbol,sex,nAcc_Male_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
MSH3,male,+,0.48730467398139765,0.24365233699069883,0.7563476630093011,1,0.48730467398139765
MSH4,male,+,0.8009161928551773,0.4004580964275887,0.5995419035724113,1,0.8009161928551773
MSH5,male,+,0.26392059391527295,0.13196029695763647,0.8680397030423636,1,0.26392059391527295
MSH5-SAPCD1,male,-,0.8112122468873095,0.5943938765563452,0.40560612344365476,-1,0.8112122468873095
MSH6,male,-,0.6249668575078026,0.6875165712460987,0.3124834287539013,-1,0.6249668575078026
MSI1,male,+,0.8965467422887726,0.4482733711443863,0.5517266288556137,1,0.8965467422887726
MSI2,male,-,0.7055580634860698,0.6472209682569652,0.3527790317430349,-1,0.7055580634860698
MSL1,male,-,0.5392285988094564,0.7303857005952719,0.2696142994047282,-1,0.5392285988094564
MSL2,male,-,0.06105734891630996,0.969471325541845,0.03052867445815498,-1,0.06105734891630996
MSL3,male,-,0.4132308068227931,0.7933845965886035,0.20661540341139656,-1,0.4132308068227931
MSL3P1,male,-,0.4489298441728764,0.7755350779135618,0.2244649220864382,-1,0.4489298441728764
MSLN,male,+,0.5627999476583365,0.28139997382916826,0.7186000261708317,1,0.5627999476583365
MSLNL,male,+,0.7453583441341183,0.37267917206705914,0.6273208279329409,1,0.7453583441341183
MSMB,male,-,0.9925305863193832,0.5037347068403084,0.4962652931596916,-1,0.9925305863193832
MSMO1,male,-,0.5043999241934853,0.7478000379032573,0.25219996209674267,-1,0.5043999241934853
MSMP,male,-,0.8107172427396603,0.5946413786301699,0.40535862136983014,-1,0.8107172427396603
MSN,male,-,0.9007062161074595,0.5496468919462703,0.45035310805372974,-1,0.9007062161074595
MSNP1,male,+,0.11570390271091512,0.05785195135545756,0.9421480486445424,1,0.11570390271091512
MSR1,male,+,0.31749749886721473,0.15874874943360737,0.8412512505663926,1,0.31749749886721473
MSRA,male,+,0.3033563098442835,0.15167815492214176,0.8483218450778582,1,0.3033563098442835
MSRB1,male,+,0.24549757656959573,0.12274878828479786,0.8772512117152022,1,0.24549757656959573
MSRB1P1,male,-,0.8921248216321491,0.5539375891839254,0.44606241081607456,-1,0.8921248216321491
MSRB2,male,+,0.13378663780777364,0.06689331890388682,0.9331066810961132,1,0.13378663780777364
MSRB3,male,+,0.42595753880404674,0.21297876940202337,0.7870212305979767,1,0.42595753880404674
MSS51,male,-,0.6125467563825082,0.6937266218087459,0.3062733781912541,-1,0.6125467563825082
MST1,male,+,0.5894420980654254,0.2947210490327127,0.7052789509672873,1,0.5894420980654254
MST1L,male,-,0.9786076543599103,0.5106961728200449,0.48930382717995513,-1,0.9786076543599103
MST1P2,male,+,0.6476515780123202,0.3238257890061601,0.6761742109938399,1,0.6476515780123202
MST1R,male,-,0.9410646384012376,0.5294676807993812,0.4705323192006188,-1,0.9410646384012376
MSTN,male,+,0.5250089766852979,0.26250448834264895,0.737495511657351,1,0.5250089766852979
MSTO1,male,-,0.682526678806214,0.658736660596893,0.341263339403107,-1,0.682526678806214
MSTO2P,male,-,0.2264983313311673,0.8867508343344164,0.11324916566558366,-1,0.2264983313311673
MSX1,male,+,0.22861378220497527,0.11430689110248764,0.8856931088975123,1,0.22861378220497527
MSX2,male,-,0.4697488522248314,0.7651255738875843,0.2348744261124157,-1,0.4697488522248314
MSX2P1,male,-,0.6033043756242791,0.6983478121878605,0.30165218781213954,-1,0.6033043756242791
MT-ATP6,male,+,0.1409030838985458,0.0704515419492729,0.9295484580507272,1,0.1409030838985458
MT-ATP8,male,+,0.14083992937317436,0.07041996468658718,0.9295800353134128,1,0.14083992937317436
MT-CO1,male,-,0.8933522128851339,0.55332389355743306,0.44667610644256694,-1,0.8933522128851339
MT-CO2,male,+,0.011557620667447185,0.005778810333723593,0.9942211896662765,1,0.011557620667447185
MT-CO3,male,+,0.19435792455713063,0.09717896227856532,0.9028210377214347,1,0.19435792455713063
MT-CYB,male,+,0.15543620440058017,0.07771810220029009,0.9222818977997099,1,0.15543620440058017
MT-ND1,male,+,0.2642087095946341,0.13210435479731705,0.8678956452026829,1,0.2642087095946341
MT-ND2,male,+,0.07245138958213064,0.03622569479106532,0.9637743052089347,1,0.07245138958213064
MT-ND3,male,+,0.015870094422053727,0.007935047211026863,0.9920649527889731,1,0.015870094422053727
MT-ND4,male,+,0.46268545329577104,0.23134272664788552,0.7686572733521144,1,0.46268545329577104
MT-ND4L,male,+,0.47891052879999174,0.23945526439999587,0.7605447356000041,1,0.47891052879999174
MT-ND5,male,+,0.48581099739868683,0.24290549869934341,0.7570945013006566,1,0.48581099739868683
MT-ND6,male,+,0.554917567881917,0.2774587839409585,0.7225412160590414,1,0.554917567881917
MT1A,male,+,0.585994024536883,0.2929970122684415,0.7070029877315585,1,0.585994024536883
MT1B,male,-,0.4580730271925677,0.7709634864037161,0.22903651359628385,-1,0.4580730271925677
MT1CP,male,-,0.9693938440423868,0.5153030779788066,0.4846969220211934,-1,0.9693938440423868
MT1DP,male,+,0.19422675983155002,0.09711337991577501,0.9028866200842249,1,0.19422675983155002
MT1E,male,+,0.08996505782066774,0.04498252891033387,0.9550174710896661,1,0.08996505782066774
MT1F,male,+,0.09074478359796948,0.04537239179898474,0.9546276082010153,1,0.09074478359796948
MT1G,male,+,0.16257681047946143,0.08128840523973072,0.9187115947602693,1,0.16257681047946143
MT1H,male,+,0.07386992020077196,0.03693496010038598,0.963065039899614,1,0.07386992020077196
MT1HL1,male,-,0.6057965054158436,0.6971017472920782,0.3028982527079218,-1,0.6057965054158436
MT1JP,male,+,0.9184562765612807,0.45922813828064035,0.5407718617193596,1,0.9184562765612807
MT1L,male,-,0.6851179576975749,0.6574410211512125,0.34255897884878744,-1,0.6851179576975749
MT1M,male,+,0.3040349285570793,0.15201746427853965,0.8479825357214603,1,0.3040349285570793
MT1P1,male,+,0.4034413136487003,0.20172065682435014,0.7982793431756499,1,0.4034413136487003
MT1P3,male,+,0.53668812263686,0.26834406131843,0.73165593868157,1,0.53668812263686
MT1X,male,+,0.15091506192303275,0.07545753096151638,0.9245424690384837,1,0.15091506192303275
MT1XP1,male,+,0.38702510821097724,0.19351255410548862,0.8064874458945114,1,0.38702510821097724
MT2A,male,+,0.2071126232479636,0.1035563116239818,0.8964436883760182,1,0.2071126232479636
MT2P1,male,-,0.5442163868801695,0.7278918065599153,0.27210819344008474,-1,0.5442163868801695
MT3,male,+,0.02570937090032942,0.01285468545016471,0.9871453145498352,1,0.02570937090032942
MT4,male,-,0.49024312851457874,0.7548784357427106,0.24512156425728937,-1,0.49024312851457874
MTA1,male,+,0.8879863463496661,0.44399317317483306,0.556006826825167,1,0.8879863463496661
MTA2,male,-,0.26234491683615796,0.868827541581921,0.13117245841807898,-1,0.26234491683615796
MTA3,male,-,0.5188151260721081,0.7405924369639459,0.25940756303605406,-1,0.5188151260721081
MTAP,male,-,0.7525162720739144,0.6237418639630428,0.3762581360369572,-1,0.7525162720739144
MTAPP1,male,+,0.7233487100535794,0.3616743550267897,0.6383256449732103,1,0.7233487100535794
MTAPP2,male,-,0.2690799860254729,0.8654600069872636,0.13453999301273645,-1,0.2690799860254729
MTATP6P1,male,+,0.24181917103457248,0.12090958551728624,0.8790904144827137,1,0.24181917103457248
MTATP6P11,male,-,0.196768494003978,0.901615752998011,0.098384247001989,-1,0.196768494003978
MTATP6P13,male,+,0.7318589961650336,0.3659294980825168,0.6340705019174833,1,0.7318589961650336
MTATP6P14,male,-,0.8265036437411659,0.586748178129417,0.41325182187058296,-1,0.8265036437411659
MTATP6P15,male,+,0.6298531060629182,0.3149265530314591,0.6850734469685409,1,0.6298531060629182
MTATP6P16,male,-,3.9632838160164914e-4,0.9998018358091992,1.9816419080082457e-4,-1,3.9632838160164914e-4
MTATP6P17,male,+,0.7635919272297941,0.38179596361489704,0.6182040363851029,1,0.7635919272297941
MTATP6P18,male,+,0.0764366225965427,0.03821831129827135,0.9617816887017286,1,0.0764366225965427
MTATP6P19,male,+,0.5785435208048186,0.2892717604024093,0.7107282395975907,1,0.5785435208048186
MTATP6P2,male,-,0.8253468299849733,0.5873265850075133,0.41267341499248666,-1,0.8253468299849733
MTATP6P20,male,-,0.8644888854265218,0.5677555572867391,0.4322444427132609,-1,0.8644888854265218
MTATP6P21,male,+,0.2825377496209562,0.1412688748104781,0.8587311251895219,1,0.2825377496209562
MTATP6P22,male,+,0.9093714636843877,0.45468573184219385,0.5453142681578061,1,0.9093714636843877
MTATP6P23,male,-,0.43107726556152337,0.7844613672192383,0.21553863278076169,-1,0.43107726556152337
MTATP6P24,male,-,0.360707159816118,0.819646420091941,0.180353579908059,-1,0.360707159816118
MTATP6P25,male,-,0.7803580267680927,0.6098209866159536,0.39017901338404637,-1,0.7803580267680927
MTATP6P26,male,+,0.5739054186998988,0.2869527093499494,0.7130472906500507,1,0.5739054186998988
MTATP6P27,male,-,0.945191907838143,0.5274040460809285,0.4725959539190715,-1,0.945191907838143
MTATP6P29,male,-,0.40733320022656794,0.796333399886716,0.20366660011328397,-1,0.40733320022656794
MTATP6P3,male,+,0.5681352863566256,0.2840676431783128,0.7159323568216872,1,0.5681352863566256
MTATP6P30,male,-,0.3625066282896928,0.8187466858551535,0.1812533141448464,-1,0.3625066282896928
MTATP6P31,male,+,0.397286099730234,0.198643049865117,0.801356950134883,1,0.397286099730234
MTATP6P4,male,+,0.4702502030532415,0.23512510152662075,0.7648748984733793,1,0.4702502030532415
MTATP6P7,male,+,0.07148836859180756,0.03574418429590378,0.9642558157040962,1,0.07148836859180756
MTATP6P9,male,-,0.9576924793232799,0.52115376033836,0.47884623966163997,-1,0.9576924793232799
MTATP8P1,male,+,0.33187467357230516,0.16593733678615258,0.8340626632138475,1,0.33187467357230516
