gene_symbol,t,P.Value,target_region
PERM1,-2.25425885213406,0.030223756841731265,AnCg
PERM1,-1.9752968097362766,0.056392936003358894,nAcc
PERM1,-0.5492855644094743,0.5862152559869722,DLPFC
HES4,1.111538813114663,0.2741304058999955,nAcc
HES4,-0.5064385726830273,0.6155701834988078,AnCg
HES4,-0.1616438076373525,0.8724940024874285,DLPFC
ISG15,2.1046985927495823,0.042780505228368945,nAcc
ISG15,0.9166699103400259,0.36528507726755777,AnCg
ISG15,-0.7659811522423721,0.4487021853502997,DLPFC
AGRN,-1.1373080213742797,0.26295472706147854,DLPFC
AGRN,-0.6255996417232302,0.5354389758670073,AnCg
AGRN,0.4548127509469417,0.6521330623212032,nAcc
RNF223,1.6570305732585129,0.10670876202780903,nAcc
RNF223,-0.9892054170371355,0.3290234851612309,AnCg
RNF223,-0.7759035112868651,0.4428951902745891,DLPFC
C1orf159,1.3205442190960182,0.19546877620930955,nAcc
C1orf159,-0.3898169551162723,0.6989784502412766,DLPFC
C1orf159,-0.3051837969043138,0.7619459600139386,AnCg
TTLL10,-1.8892089149202418,0.06676441641307622,AnCg
TTLL10,0.8783584211820856,0.38591092694188867,nAcc
TTLL10,-0.8542431205315668,0.39864322039308664,DLPFC
TNFRSF18,-1.8249232153703703,0.07635508463911822,DLPFC
TNFRSF18,-1.1517770838234385,0.25684187295823374,AnCg
TNFRSF18,-0.11938093163447865,0.9056757653531319,nAcc
TNFRSF4,0.9710867227348118,0.33784587410886124,AnCg
TNFRSF4,-0.5430033831784413,0.5904881382839271,DLPFC
TNFRSF4,0.3044797534889661,0.7626172496088401,nAcc
SDF4,0.7572297670420185,0.45412523871703525,nAcc
SDF4,-0.131054631240994,0.8964648428005331,DLPFC
SDF4,-0.002111965567718806,0.9983263058017513,AnCg
B3GALT6,-0.7335668881159584,0.46798350554929136,DLPFC
B3GALT6,0.6040817545294729,0.549796777632231,nAcc
B3GALT6,0.284535021357643,0.777595705967322,AnCg
FAM132A,1.1353361542961142,0.2641702071974687,nAcc
FAM132A,-0.3050883578723973,0.7620180664824332,AnCg
FAM132A,-0.0431570263796943,0.9658158632384912,DLPFC
UBE2J2,0.6787112716870654,0.5019121489185332,nAcc
UBE2J2,-0.3718384476424678,0.7122021875531487,DLPFC
UBE2J2,-0.027720157245549396,0.9780351535799627,AnCg
SCNN1D,-0.8717821114275865,0.38898047084906306,AnCg
SCNN1D,0.7373434970160099,0.46596888246489676,nAcc
SCNN1D,-0.7107224914630663,0.4818550851487362,DLPFC
ACAP3,0.4614266635453838,0.6474293808732667,nAcc
ACAP3,-0.2559499757781601,0.7994150251747049,AnCg
ACAP3,-0.22186381310700562,0.8256790245173219,DLPFC
PUSL1,1.2314733810185545,0.22659106766803905,nAcc
PUSL1,-1.0047992412073112,0.3217282520194147,DLPFC
PUSL1,0.33670161263906795,0.7382547917198419,AnCg
CPSF3L,-0.9359996659957674,0.3555365874690273,DLPFC
CPSF3L,0.4547199984074105,0.6521991295352161,nAcc
CPSF3L,-0.2489370829464231,0.8047938061144627,AnCg
CPTP,1.4500133724010582,0.15621228343215013,nAcc
CPTP,-1.352469961291742,0.184695552302475,DLPFC
CPTP,1.0039584907694117,0.3219557111193896,AnCg
TAS1R3,0.37959297357401683,0.7064871414643298,DLPFC
TAS1R3,0.34685059371548355,0.7308399937318162,nAcc
TAS1R3,0.06452898772743473,0.9488983446155586,AnCg
DVL1,0.6978152767727095,0.4900349790917419,nAcc
DVL1,0.21619540501809606,0.8300295788601006,AnCg
DVL1,-0.14344220912503358,0.8867442706279091,DLPFC
MXRA8,1.0938166970529783,0.2817200346556022,nAcc
MXRA8,-0.7875953287700377,0.43611042425604996,DLPFC
MXRA8,-0.7865680007567147,0.4365717536226985,AnCg
AURKAIP1,1.6547496466520137,0.1071737002824693,nAcc
AURKAIP1,-0.8068253173592327,0.4250880593755596,DLPFC
AURKAIP1,0.22525382778528832,0.8230282392823477,AnCg
CCNL2,1.11556537007989,0.272426530183716,nAcc
CCNL2,0.48212175134668755,0.6326502378819439,DLPFC
CCNL2,-0.42099118805663865,0.6762105391445421,AnCg
MRPL20,2.209467525025261,0.03397494536624483,nAcc
MRPL20,-0.3560473856536629,0.723892040590826,DLPFC
MRPL20,0.24642607854050266,0.8067220642637475,AnCg
ANKRD65,-1.2351709511149884,0.2248014371821698,DLPFC
ANKRD65,0.6951334401431005,0.4916927244751269,nAcc
ANKRD65,0.41607985894530997,0.679768564870412,AnCg
TMEM88B,-1.2425247027929311,0.2221099687955563,DLPFC
TMEM88B,1.1699545103320879,0.25015059483476093,nAcc
TMEM88B,-1.140698294052544,0.26136603847723994,AnCg
VWA1,-1.457123052456802,0.15378726749325972,DLPFC
VWA1,-0.9842974308635605,0.3313978034033661,AnCg
VWA1,0.8655141968212524,0.3928194235043898,nAcc
ATAD3C,1.4761879067440973,0.14909046517200944,nAcc
ATAD3C,-0.9244513239851594,0.36127481184885046,AnCg
ATAD3C,-0.8354069246956608,0.40902234337476007,DLPFC
ATAD3B,1.8976756180769976,0.06625182573510838,nAcc
ATAD3B,-0.4718038414278019,0.6398528063052477,AnCg
ATAD3B,0.31299777306312976,0.7560961866883235,DLPFC
ATAD3A,0.7818744048140377,0.43929102947753185,AnCg
ATAD3A,0.7303968778555509,0.47014795118159036,nAcc
ATAD3A,-0.576276302171854,0.568029386733422,DLPFC
TMEM240,1.1432184599877555,0.26033188840444155,AnCg
TMEM240,1.0186758071039292,0.3155469443472899,nAcc
TMEM240,-0.9425649319279521,0.35221285980590644,DLPFC
