gene_symbol,AnCg_DLPFC_Male_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
SYT10,-+,0.6386211587634536,0.520335936439371,0.6053539131570514,1,1.040671872878742
SYT11,++,0.28036048660998714,0.15438526783935066,0.9262376130450283,1,0.30877053567870133
SYT12,+-,0.16646408445175587,0.554824051598278,0.2376007843963856,-1,0.4752015687927712
SYT13,++,0.39500259168609164,0.3061359615403189,0.799405087861856,1,0.6122719230806378
SYT14,++,0.17928532037430692,0.14965608379959117,0.8864318222622585,1,0.29931216759918233
SYT16,++,0.11133130094045614,0.040530309494641016,0.9845940147269362,1,0.08106061898928203
SYT17,++,0.4071481454309136,0.2129731115642655,0.8977522762978714,1,0.425946223128531
SYT2,+-,0.25862454964021514,0.34249598297516465,0.45534536201438325,1,0.6849919659503293
SYT3,+-,0.07760216446451837,0.10298558720430717,0.7974885916641341,1,0.20597117440861434
SYT4,++,0.4154361844350184,0.28156906761481765,0.838026690434132,1,0.5631381352296353
SYT5,+-,0.483114388510374,0.48813612818844215,0.5125387198710124,1,0.9762722563768843
SYT6,++,0.5598354141913834,0.28300598971761154,0.8556290255152315,1,0.5660119794352231
SYT7,+-,0.41802052277785695,0.37487074371820206,0.7025340108028734,1,0.7497414874364041
SYT8,-+,0.2136760249153987,0.2460358205094064,0.7061809292895932,1,0.4920716410188128
SYT9,--,0.3686465477135321,0.922021652732638,0.1735474300393828,-1,0.3470948600787656
SYTL1,--,0.5687914354482334,0.7456548653971348,0.4037429614012646,-1,0.8074859228025292
SYTL2,-+,0.19617227040653748,0.20852975568442186,0.780035694638731,1,0.4170595113688437
SYTL3,+-,0.48416065627213245,0.5908609686836587,0.45965873963235643,-1,0.9193174792647129
SYVN1,+-,0.7091859103644168,0.6139698446379681,0.5380773587418389,-1,1.0761547174836779
SZRD1,--,0.2707387302833011,0.828594303157431,0.23162366390429498,-1,0.46324732780858996
SZT2,--,0.1610352601830773,0.864722128442696,0.15014433474866382,-1,0.30028866949732763
T,-+,0.8024522536108245,0.5842251039921119,0.5819358059997206,-1,1.1638716119994412
TAAR1,++,0.09243507822406377,0.09861312399647694,0.8721723621236266,1,0.19722624799295388
TAAR2,++,0.6986599466661548,0.42061226315978806,0.7522991028317736,1,0.8412245263195761
TAAR5,--,0.4344408053040093,0.8880337757555439,0.22939623778842277,-1,0.45879247557684555
TAAR6,+-,0.19571654757843535,0.34573886531484627,0.29765742421326,-1,0.59531484842652
TAAR8,++,0.20691757559064802,0.09026589551764529,0.9630162882754476,1,0.18053179103529057
TAAR9,+-,0.19501810561991836,0.25452777446839275,0.6105616593871863,1,0.5090555489367855
TAB1,+-,0.3687631857481508,0.7583695710820666,0.32083143243542817,-1,0.6416628648708563
TAB2,++,0.8015873249405634,0.47836161298471164,0.7057070537943069,1,0.9567232259694233
TAC1,+-,0.9142094806596991,0.5678581892765188,0.623341197146791,1,1.1357163785530375
TAC3,++,0.259090864324755,0.22121817580009828,0.8361450136064961,1,0.44243635160019656
TAC4,--,0.5687583664439462,0.7332043955735048,0.41368040734645684,-1,0.8273608146929137
TACC1,++,0.48522365771159026,0.33746921436297816,0.7974010804083083,1,0.6749384287259563
TACC2,+-,0.3849452530199856,0.3800736115531304,0.6524843524272941,1,0.7601472231062608
TACC3,++,0.41147950436108793,0.24894134270636384,0.8692675759894666,1,0.4978826854127277
TACO1,+-,0.10342004638908413,0.15839421499393783,0.6274755305178177,1,0.31678842998787565
TACR1,++,0.33491109884920844,0.1541321519466036,0.9325075057377223,1,0.3082643038932072
TACR2,-+,0.8303217390445367,0.6022287303503208,0.5750011155955975,-1,1.150002231191195
TACR3,--,0.3424524794141788,0.7953735811913043,0.28653741772304403,-1,0.5730748354460881
TACSTD2,++,0.17944685104992086,0.15143855760885602,0.8834747383705732,1,0.30287711521771205
TADA1,++,0.5318837583602692,0.3713389411724629,0.7727312636582682,1,0.7426778823449258
TADA2A,+-,0.48551797971116106,0.3930801008011425,0.7226606000742714,1,0.786160201602285
TADA2B,++,0.16906272876180725,0.1511808709857425,0.8728277878666536,1,0.302361741971485
TADA3,+-,0.2668485100175464,0.2779552172253398,0.7252247003728421,1,0.5559104344506796
TAF10,+-,0.3390093200977109,0.7209683367079955,0.3241907959929418,-1,0.6483815919858836
TAF11,--,0.7507826238030662,0.7293633306388914,0.44973013563248304,-1,0.8994602712649661
TAF12,--,0.8178109922352823,0.6713053918489649,0.5145824810513154,-1,1.0291649621026309
TAF13,+-,0.4216040517671661,0.4037002317834207,0.6450522732264087,1,0.8074004635668414
TAF15,+-,0.02466988905519628,0.6156737085882902,0.05156959574930276,-1,0.10313919149860552
TAF1A,--,0.4563042653189725,0.7728659404361783,0.34802742728825364,-1,0.6960548545765073
TAF1B,++,0.4713407166405892,0.3686274847383007,0.7515067897705381,1,0.7372549694766014
