gene_symbol,Updated_Gene_Names,Ramaker.Gene,Labonte.Gene,Ding.Gene,Match Across Studies?
DLST,DLST,DLST,DLST,NA,FALSE
NRG1,NRG1,NRG1,NRG1,NRG1,TRUE
SGCZ,SGCZ,SGCZ,SGCZ,unused,FALSE
RAB27B,RAB27B,RAB27B,RAB27B,unused,FALSE
IGSF6,IGSF6,IGSF6,IGSF6,unused,FALSE
GPC6,GPC6,GPC6,GPC6,GPC6,TRUE
PAX6,PAX6,PAX6,PAX6,PAX6,TRUE
SGIP1,SGIP1,SGIP1,SGIP1,SGIP1,TRUE
KDM3A,KDM3A,KDM3A,KDM3A,NA,FALSE
C16orf45,C16orf45,C16orf45,C16orf45,C16orf45,FALSE
DCDC5,DCDC1,DCDC1,DCDC1,unused,FALSE
ESR2,ESR2,ESR2,ESR2,unused,FALSE
LRP1B,LRP1B,LRP1B,LRP1B,LRP1B,TRUE
EMILIN3,EMILIN3,EMILIN3,EMILIN3,EMILIN3,TRUE
TRMT61A,TRMT61A,TRMT61A,TRMT61A,NA,FALSE
XRCC3,XRCC3,XRCC3,XRCC3,unused,FALSE
SOX5,SOX5,SOX5,SOX5,unused,FALSE
CNTNAP5,CNTNAP5,CNTNAP5,CNTNAP5,unused,FALSE
SEMA6D,SEMA6D,SEMA6D,SEMA6D,SEMA6D,TRUE
ZFHX4,ZFHX4,ZFHX4,ZFHX4,ZFHX4,TRUE
LST1,LST1,LST1,LST1,LST1,TRUE
PRSS16,PRSS16,PRSS16,UNUSED,unused,FALSE
RFWD2,COP1,RFWD2,COP1,RFWD2,TRUE
DCDC1,DCDC1,DCDC1,DCDC1,unused,FALSE
ZDHHC21,ZDHHC21,ZDHHC21,ZDHHC21,ZDHHC21,TRUE
TTC12,TTC12,TTC12,TTC12,unused,FALSE
SDK1,SDK1,SDK1,SDK1,unused,FALSE
APOPT1,APOPT1,APOPT1,APOPT1,NA,FALSE
VRK2,VRK2,VRK2,VRK2,VRK2,TRUE
CABP1,CABP1,CABP1,CABP1,CABP1,TRUE
ZKSCAN3,ZKSCAN3,ZKSCAN3,ZKSCAN3,unused,FALSE
SAMD5,SAMD5,SAMD5,SAMD5,SAMD5,TRUE
ADCK3,COQ8A,ADCK3,COQ8A,CABC1,FALSE
DENND1B,DENND1B,DENND1B,DENND1B,DENND1B,TRUE
TAOK3,TAOK3,TAOK3,TAOK3,TAOK3,TRUE
HS6ST3,HS6ST3,HS6ST3,HS6ST3,HS6ST3,TRUE
MYRF,MYRF,MYRF,MYRF,C11orf9,FALSE
RTN1,RTN1,RTN1,RTN1,RTN1,TRUE
PSORS1C1,PSORS1C1,PSORS1C1,UNUSED,unused,FALSE
CKB,CKB,CKB,CKB,CKB,TRUE
SF3B1,SF3B1,SF3B1,SF3B1,SF3B1,TRUE
FADS2,FADS2,FADS2,FADS2,FADS2,TRUE
GTF2IRD1,GTF2IRD1,GTF2IRD1,GTF2IRD1,GTF2IRD1,TRUE
NRD1,NRDC,NRDC,NRDC,NRD1,FALSE
ZC3H7B,ZC3H7B,ZC3H7B,ZC3H7B,ZC3H7B,TRUE
AREL1,AREL1,AREL1,AREL1,KIAA0317,FALSE
RANGAP1,RANGAP1,RANGAP1,RANGAP1,RANGAP1,TRUE
ZNF184,ZNF184,ZNF184,ZNF184,ZNF184,TRUE
ZDHHC5,ZDHHC5,ZDHHC5,ZDHHC5,ZDHHC5,TRUE
HIST1H2BF,HIST1H2BF,HIST1H2BF,HIST1H2BF,unused,FALSE
FAM120A,FAM120A,FAM120A,FAM120A,FAM120A,TRUE
KIF15,KIF15,KIF15,KIF15,unused,FALSE
NKAPL,NKAPL,NKAPL,NKAPL,unused,FALSE
FCF1,FCF1,FCF1,FCF1,unused,FALSE
SORBS3,SORBS3,SORBS3,SORBS3,SORBS3,TRUE
PCDHA2,PCDHA2,PCDHA2,PCDHA2,unused,FALSE
PCDHA1,PCDHA1,PCDHA1,PCDHA1,NA,FALSE
SCYL1,SCYL1,SCYL1,SCYL1,SCYL1,TRUE
MR1,MR1,MR1,MR1,MR1,TRUE
BTN3A3,BTN3A3,BTN3A3,BTN3A3,BTN3A3,TRUE
TCTEX1D1,TCTEX1D1,TCTEX1D1,TCTEX1D1,unused,FALSE
CELF2,CELF2,CELF2,CELF2,CUGBP2,FALSE
CTNND1,CTNND1,CTNND1,CTNND1,CTNND1,TRUE
HSPA1A,HSPA1A,HSPA1A,HSPA1A,HSPA1A,TRUE
ASCC3,ASCC3,ASCC3,ASCC3,ASCC3,TRUE
ELAVL2,ELAVL2,ELAVL2,ELAVL2,ELAVL2,TRUE
RPS6KL1,RPS6KL1,RPS6KL1,RPS6KL1,RPS6KL1,TRUE
PCDHA3,PCDHA3,PCDHA3,PCDHA3,unused,FALSE
TRMT10C,TRMT10C,TRMT10C,TRMT10C,RG9MTD1,FALSE
ABT1,ABT1,ABT1,ABT1,ABT1,TRUE
SCAI,SCAI,SCAI,SCAI,NA,FALSE
FADS1,FADS1,FADS1,FADS1,FADS1,TRUE
CTTNBP2,CTTNBP2,CTTNBP2,CTTNBP2,CTTNBP2,TRUE
KMT2A,KMT2A,KMT2A,KMT2A,MLL,FALSE
BEND4,BEND4,BEND4,BEND4,NA,FALSE
ESRRG,ESRRG,ESRRG,ESRRG,ESRRG,TRUE
BAZ2B,BAZ2B,BAZ2B,BAZ2B,BAZ2B,TRUE
GPC5,GPC5,GPC5,GPC5,GPC5,TRUE
IQCJ-SCHIP1,IQCJ-SCHIP1,IQCJ-SCHIP1,IQCJ-SCHIP1,NA,FALSE
TCAIM,TCAIM,TCAIM,TCAIM,C3orf23,FALSE
TMX2,TMX2,TMX2,TMX2,NA,FALSE
MED19,MED19,MED19,MED19,MED19,TRUE
ZNF638,ZNF638,ZNF638,ZNF638,NA,FALSE
CDH22,CDH22,CDH22,CDH22,CDH22,TRUE
GRIK5,GRIK5,GRIK5,GRIK5,GRIK5,TRUE
HARS,HARS,HARS,HARS,HARS,TRUE
EP300,EP300,EP300,EP300,EP300,TRUE
HLA-DQB1,HLA-DQB1,HLA-DQB1,HLA-DQB1,NA,FALSE
PCNP,PCNP,PCNP,PCNP,PCNP,TRUE
ZHX3,ZHX3,ZHX3,ZHX3,ZHX3,TRUE
BCHE,BCHE,BCHE,BCHE,BCHE,TRUE
CRB1,CRB1,CRB1,CRB1,CRB1,TRUE
MICB,MICB,MICB,MICB,unused,FALSE
SLC30A9,SLC30A9,SLC30A9,SLC30A9,SLC30A9,TRUE
MARK3,MARK3,MARK3,MARK3,MARK3,TRUE
FHIT,FHIT,FHIT,FHIT,FHIT,TRUE
MARCH10,MARCH10,MARCH10,MARCH10,NA,FALSE
CDK14,CDK14,CDK14,CDK14,PFTK1,FALSE
PLCG1,PLCG1,PLCG1,PLCG1,PLCG1,TRUE
AP3B1,AP3B1,AP3B1,AP3B1,AP3B1,TRUE
POGZ,POGZ,POGZ,POGZ,POGZ,TRUE
TRAF3,TRAF3,TRAF3,TRAF3,TRAF3,TRUE
CSMD1,CSMD1,CSMD1,CSMD1,CSMD1,TRUE
TMEM67,TMEM67,TMEM67,TMEM67,unused,FALSE
PCDHA4,PCDHA4,PCDHA4,PCDHA4,NA,FALSE
TOPAZ1,TOPAZ1,TOPAZ1,TOPAZ1,NA,FALSE
PMFBP1,PMFBP1,PMFBP1,PMFBP1,unused,FALSE
CNTN5,CNTN5,CNTN5,CNTN5,unused,FALSE
INPP4B,INPP4B,INPP4B,INPP4B,INPP4B,TRUE
ZNF322,ZNF322,ZNF322,ZNF322,ZNF322A,FALSE
ASIC2,ASIC2,ASIC2,ASIC2,unused,FALSE
PLA2R1,PLA2R1,PLA2R1,PLA2R1,unused,FALSE
CHMP3,CHMP3,CHMP3,CHMP3,VPS24,FALSE
SOX6,SOX6,SOX6,SOX6,unused,FALSE
PCDHA5,PCDHA5,PCDHA5,PCDHA5,unused,FALSE
FANCL,FANCL,FANCL,FANCL,FANCL,TRUE
ZNF35,ZNF35,ZNF35,ZNF35,ZNF35,TRUE
TMEM42,TMEM42,TMEM42,TMEM42,NA,FALSE
KIAA1143,KIAA1143,KIAA1143,KIAA1143,KIAA1143,TRUE
C11orf31,SELENOH,C11orf31,SELENOH,C11orf31,FALSE
ACVR1B,ACVR1B,ACVR1B,ACVR1B,ACVR1B,TRUE
ZNF501,ZNF501,ZNF501,ZNF501,unused,FALSE
RFTN2,RFTN2,RFTN2,RFTN2,RFTN2,TRUE
TMEM258,TMEM258,TMEM258,TMEM258,C11orf10,FALSE
TAL1,TAL1,TAL1,TAL1,unused,FALSE
NICN1,NICN1,NICN1,NICN1,NICN1,TRUE
HLA-DQA1,HLA-DQA1,HLA-DQA1,HLA-DQA1,NA,FALSE
MOB4,MOB4,MOB4,MOB4,NA,FALSE
CCDC36,CCDC36,CCDC36,CCDC36,unused,FALSE
PCDHA6,PCDHA6,PCDHA6,PCDHA6,unused,FALSE
STK19,STK19,STK19,STK19,STK19,TRUE
RHOA,RHOA,RHOA,RHOA,RHOA,TRUE
MAP9,MAP9,MAP9,MAP9,MAP9,TRUE
FNIP2,FNIP2,FNIP2,FNIP2,NA,FALSE
RBMS3,RBMS3,RBMS3,RBMS3,unused,FALSE
PLCL1,PLCL1,PLCL1,PLCL1,PLCL1,TRUE
LTBP3,LTBP3,LTBP3,LTBP3,LTBP3,TRUE
SPRY2,SPRY2,SPRY2,SPRY2,SPRY2,TRUE
HTT,HTT,HTT,HTT,NA,FALSE
UBE2M,UBE2M,UBE2M,UBE2M,UBE2M,TRUE
BAG5,BAG5,BAG5,BAG5,BAG5,TRUE
CDH9,CDH9,CDH9,CDH9,CDH9,TRUE
LPIN3,LPIN3,LPIN3,LPIN3,unused,FALSE
EPHB2,EPHB2,EPHB2,EPHB2,EPHB2,TRUE
HMGN4,HMGN4,HMGN4,HMGN4,HMGN4,TRUE
PPP6C,PPP6C,PPP6C,PPP6C,PPP6C,TRUE
NOX4,NOX4,NOX4,NOX4,unused,FALSE
PRR16,PRR16,PRR16,PRR16,unused,FALSE
EXT1,EXT1,EXT1,EXT1,EXT1,TRUE
MGAT4C,MGAT4C,MGAT4C,MGAT4C,MGAT4C,TRUE
EYS,EYS,EYS,EYS,NA,FALSE
STAU1,STAU1,STAU1,STAU1,STAU1,TRUE
HARS2,HARS2,HARS2,HARS2,HARS2,TRUE
BAD,BAD,BAD,BAD,BAD,TRUE
ETFDH,ETFDH,ETFDH,ETFDH,ETFDH,TRUE
FH,FH,FH,FH,FH,TRUE
ANKS1B,ANKS1B,ANKS1B,ANKS1B,ANKS1B,TRUE
ITPR3,ITPR3,ITPR3,ITPR3,unused,FALSE
RABEPK,RABEPK,RABEPK,RABEPK,RABEPK,TRUE
RHOBTB1,RHOBTB1,RHOBTB1,RHOBTB1,RHOBTB1,TRUE
BSN,BSN,BSN,BSN,BSN,TRUE
RAB3B,RAB3B,RAB3B,RAB3B,RAB3B,TRUE
ZNF536,ZNF536,ZNF536,ZNF536,ZNF536,TRUE
TOP1,TOP1,TOP1,TOP1,TOP1,TRUE
CAMKK2,CAMKK2,CAMKK2,CAMKK2,CAMKK2,TRUE
MANEA,MANEA,MANEA,MANEA,MANEA,TRUE
ARHGEF25,ARHGEF25,ARHGEF25,ARHGEF25,NA,FALSE
VPS41,VPS41,VPS41,VPS41,VPS41,TRUE
ATP1A3,ATP1A3,ATP1A3,ATP1A3,ATP1A3,TRUE
ASXL3,ASXL3,ASXL3,ASXL3,ASXL3,TRUE
ANKHD1,ANKHD1,ANKHD1,ANKHD1,unused,FALSE
PCDHA7,PCDHA7,PCDHA7,PCDHA7,NA,FALSE
PTPRS,PTPRS,PTPRS,PTPRS,PTPRS,TRUE
CCS,CCS,CCS,CCS,CCS,TRUE
PHF2,PHF2,PHF2,PHF2,PHF2,TRUE
IK,IK,IK,IK,IK,TRUE
KYNU,KYNU,KYNU,KYNU,unused,FALSE
PPID,PPID,PPID,PPID,PPID,TRUE
FAM120AOS,FAM120AOS,FAM120AOS,FAM120AOS,NA,FALSE
ZMAT2,ZMAT2,ZMAT2,ZMAT2,ZMAT2,TRUE
SERPING1,SERPING1,SERPING1,SERPING1,SERPING1,TRUE
USP3,USP3,USP3,USP3,USP3,TRUE
CACNA2D1,CACNA2D1,CACNA2D1,CACNA2D1,CACNA2D1,TRUE
ANKHD1-EIF4EBP3,ANKHD1-EIF4EBP3,ANKHD1-EIF4EBP3,ANKHD1-EIF4EBP3,NA,FALSE
GINM1,GINM1,GINM1,GINM1,C6orf72,FALSE
C1QTNF7,C1QTNF7,C1QTNF7,C1QTNF7,unused,FALSE
MIER1,MIER1,MIER1,MIER1,unused,FALSE
SLC4A9,SLC4A9,SLC4A9,SLC4A9,unused,FALSE
PSEN2,PSEN2,PSEN2,PSEN2,PSEN2,TRUE
