gene_symbol,female_Nac_female_Subic_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
CFAP74,+-+-,0.05416475,0.8379345667481927,0.12112082092425064,-1,0.24224164184850128,0.11637367426994043,0.12444605884489647,0.23274734853988086
PRKCZ,---+,0.224615421,0.9089193304893181,0.13288990580408042,-1,0.26577981160816083,0.1314107220688653,0.1391209589538685,0.2628214441377306
FAAP20,+--+,0.301481114,0.5436892929510453,0.5569337905776334,1,1.0873785859020906,0.4520886305848166,0.48503559494406506,0.9041772611696332
SKI,---+,0.060729876,0.8838745961680766,0.15738745534057913,-1,0.31477491068115826,0.15596396919947697,0.16512895023610608,0.31192793839895394
MORN1,--+-,0.110533058,0.8693805166260132,0.11348452345977052,-1,0.22696904691954103,0.10874618625599303,0.1165274246276789,0.21749237251198605
RER1,--+-,0.24958232,0.561081150985209,0.5657304696223407,1,1.122162301970418,0.4592807845986197,0.4933168676449223,0.9185615691972394
PEX10,-+++,0.158381338,0.9127073532239431,0.21120644497109367,-1,0.42241288994218734,0.20913845706813888,0.22426443879404287,0.41827691413627777
PLCH2,--+-,0.432893436,0.8740615508499134,0.37257658716256964,-1,0.7451531743251393,0.3507918058985907,0.3751543770432256,0.7015836117971814
PANK4,+-++,0.250397846,0.8829166760835739,0.25531806995465145,-1,0.5106361399093029,0.24756646810983582,0.2651652742462768,0.49513293621967164
HES5,---+,0.196428233,0.5234682768236695,0.5431505892670672,1,1.046936553647339,0.44315292408281876,0.4751561818974284,0.8863058481656375
TNFRSF14,+-+-,0.022145886,0.04455540535487151,0.6617946679567626,1,0.08911081070974303,0.03588812204867417,0.04271393287810548,0.07177624409734834
PRXL2B,---+,0.388925382,0.8167780016887815,0.46971633666346946,-1,0.9394326733269389,0.4155891326456487,0.444823828550672,0.8311782652912973
TTC34,+-++,0.233007873,0.8140062170082134,0.33462509085679976,-1,0.6692501817135995,0.3183204997820718,0.33977479113694153,0.6366409995641436
PRDM16,--++,0.416113934,0.9490992555431573,0.2388834834330768,-1,0.4777669668661536,0.2329652767688508,0.24969124591354885,0.4659305535377016
ARHGEF16,++++,0.06795607,0.2598125896993808,0.6659415337082597,1,0.5196251793987616,0.2517253904831093,0.2710300740955979,0.5034507809662186
MEGF6,+-++,0.528827932,0.7762638804053139,0.5440728614993166,-1,1.088145722998633,0.4522010751125963,0.4852887758808572,0.9044021502251925
TPRG1L,---+,0.025742489,0.9430863898082386,0.024741159493325973,-1,0.049482318986651945,0.01932296963533343,0.023174718488921178,0.03864593927066686
WRAP73,--++,0.370686194,0.9316484937740986,0.2733131144072795,-1,0.546626228814559,0.2639110852825803,0.28390846349436977,0.5278221705651606
LRRC47,-+-+,0.128086172,0.7571721214556548,0.3375156707368393,-1,0.6750313414736786,0.320572424814761,0.34224482382855065,0.641144849629522
