gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_female_Nac_female_Subic_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
CDKL4,+++--+++++++,0.035627389,0.021898906356393664,0.9985084530071193,1,0.04379781271278733
ZNF37BP,----++-----+,0.06318924,0.9787423918506999,0.02192873296240294,-1,0.04385746592480588
NAT14,++--+-++++++,0.007890448,0.021944541322388007,0.9203169761336243,1,0.04388908264477601
ELMOD3,+++-+++---++,0.041432577,0.021947929319746887,0.9696836041022986,1,0.04389585863949377
MVD,+-+-+-++++-+,0.026765506,0.02195264343826454,0.9933880562893634,1,0.04390528687652908
CARMIL1,++---------+,0.028405367,0.9920518345852523,0.021953524182949866,-1,0.04390704836589973
HMGB2,++++++++++++,0.053230052,0.021971146658900702,0.9997679043671506,1,0.043942293317801404
ATP5MC2,+-++++++++--,0.087099502,0.02198626544000882,0.9039755998286537,1,0.04397253088001764
RP11-1020A11.2,+-++++-+--++,0.049518582,0.021990523698417985,0.7949386465948398,1,0.04398104739683597
NTAN1P2,+++-+++--+++,0.008334996,0.022002012471128186,0.9635008923003178,1,0.04400402494225637
LMAN1,++++++------,0.002579308,0.02202005256506867,0.2712653053225641,1,0.04404010513013734
RGL3,+++++-++++++,0.093237706,0.022047421326623802,0.9996461292648607,1,0.044094842653247604
INKA1,+-++-+-+++++,0.016283433,0.022054626605178228,0.9708151359138182,1,0.044109253210356456
NUCB1,+-+++-++++++,0.005415065,0.022057082398949147,0.9104185040345368,1,0.04411416479789829
RIMS4,------+++++-,0.003040247,0.022057623701929922,0.07089476437358366,1,0.044115247403859845
TUBA8,-+--+++-++++,0.076142201,0.022060094464071627,0.9506432636111787,1,0.044120188928143254
SLC6A12,+-+-+-++++++,0.10158635,0.022060822261741123,0.9722955463089741,1,0.044121644523482245
CCNT2-AS1,-+----++++-+,0.012082677,0.022063565338110266,0.18345067687417602,1,0.04412713067622053
THAP10,-+++-+++++-+,0.035735693,0.022068383483184354,0.9829812980369428,1,0.04413676696636871
NOL4L,----+---++++,0.011144502,0.843044402708053,0.02208645557294782,-1,0.04417291114589564
INSYN1,+-----++++++,8.37758e-4,0.022098549167463385,0.8887835774035595,1,0.04419709833492677
TMEM203,++++-+-++--+,0.009718688,0.022099855017002616,0.5360350754362897,1,0.04419971003400523
SNAP29,+-++-+------,0.010499519,0.8912948982760979,0.022101355552578365,-1,0.04420271110515673
FOXJ2,----+------+,0.039605025,0.9901473164768556,0.022101859938219143,-1,0.044203719876438285
CCDC88B,+-+-+-++++++,0.057751769,0.022102037179440984,0.9897285062933983,1,0.04420407435888197
FGL1,+++--+++++-+,0.008663744,0.022126876012567593,0.9563926261219188,1,0.044253752025135186
RP11-498C9.15,------++++++,0.011872799,0.3322719882865048,0.022137578519776095,-1,0.04427515703955219
