gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
FAM229B,++++---+,0.012525532,0.031940785764394894,0.792058072171471,1,0.06388157152878979
MGLL,-----+++,0.017153355,0.3113699738335275,0.03194435619189547,-1,0.06388871238379094
RPS4XP6,-+---+++,0.008133842,0.031969533463929424,0.7882445094670346,1,0.06393906692785885
AF131216.5,++++++++,0.019267289,0.03197973032548257,0.9879289716007587,1,0.06395946065096514
U2SURP,++--+---,0.002657777,0.7489808817519925,0.03200802575822595,-1,0.0640160515164519
PPT1,++++-+++,0.045857892,0.03201179725595046,0.9871755288571477,1,0.06402359451190091
SETDB2,+++-++++,0.052113094,0.03202159849612581,0.9964362846370993,1,0.06404319699225162
LINC00621,-++-++-+,0.01626553,0.03203161593495853,0.9602557264221432,1,0.06406323186991705
SMPD3,----+--+,0.062192642,0.9741936025598842,0.03203770628745164,-1,0.06407541257490328
ADAMTS5,----++--,0.044673991,0.8613062860984502,0.03204093465379509,-1,0.06408186930759018
CALM1P1,+-++--++,0.005211195,0.032043036259938776,0.9577943513027388,1,0.06408607251987755
LINC01278,-----+-+,0.065784327,0.9817561542043857,0.032066575088807496,-1,0.06413315017761499
BICRA,----++++,0.002176981,0.5225285946520163,0.032083960646769674,-1,0.06416792129353935
HLA-DOA,+++++-++,0.004711976,0.03209656581425645,0.9289013745687591,1,0.0641931316285129
AMER2,++++----,0.031716927,0.7659308541120695,0.0321124915959402,-1,0.0642249831918804
RN7SKP151,--------,0.010508991,0.9943777779647371,0.03212463734812046,-1,0.06424927469624092
TRIM14,----+--+,0.07745468,0.9923491044092301,0.03212622215614149,-1,0.06425244431228298
EHF,-+++----,0.011007386,0.5802178778605266,0.03215254438346855,-1,0.0643050887669371
ZNF738,++++++-+,0.079943444,0.032160967557682524,0.9899973088270516,1,0.06432193511536505
RP11-571I18.4,++-+++--,0.017798662,0.700825229690252,0.03216928421881619,-1,0.06433856843763237
EEF1D,+-+-++++,0.025678212,0.03218236279663869,0.9827482617782429,1,0.06436472559327738
CTD-2651B20.3,--------,0.161535993,0.9988963410398999,0.032222310396879256,-1,0.06444462079375851
RP11-491F9.1,+-------,0.016235897,0.9706153628739654,0.032230944960427936,-1,0.06446188992085587
RP11-416A14.1,---++---,0.005184745,0.9660966180300087,0.03226126122370606,-1,0.06452252244741212
SEC22B,++-+-+++,0.031702626,0.032263309664500854,0.9917147269853358,1,0.06452661932900171
LGI4,+--+++++,0.039980059,0.03229624919984078,0.9053843426207263,1,0.06459249839968156
RP11-54D18.2,+++++-++,0.065203941,0.03229988764229181,0.9974569825891808,1,0.06459977528458362
MTERF1,++++----,0.008013459,0.09708326277557373,0.03232794569987802,-1,0.06465589139975604
CCDC74A,+++++++-,0.049940631,0.03233408459279433,0.9867541619422956,1,0.06466816918558865
PRSS12,----+-+-,0.038721667,0.38540126326198454,0.03237074497026691,-1,0.06474148994053382
NEBL-AS1,--+-++-+,0.003205962,0.032378951544216265,0.4410650014371567,1,0.06475790308843253
ECHDC3,+++-+-++,0.023930178,0.03241206118253556,0.8596786977017461,1,0.06482412236507112
CDK16,----++++,0.014870649,0.03241584756791982,0.23574784722723555,1,0.06483169513583964
YWHAQ,-+++-+++,0.096446003,0.032425113762581746,0.9878121358298431,1,0.06485022752516349
MT-TT,+++-++++,0.110833571,0.03242771658402119,0.994631951186399,1,0.06485543316804238
LINC00672,--+-++++,0.008129167,0.03243331813091027,0.8722479155090823,1,0.06486663626182054
GATA2,+++-++++,0.091931476,0.0324364728036287,0.9964333315725267,1,0.0648729456072574
SPRY4-AS1,----+-+-,0.08159318,0.9546448424602221,0.03244086353614349,-1,0.06488172707228698
ALOX15,-+--++++,0.001904878,0.032462350628433174,0.8558911838732252,1,0.06492470125686635
AC127904.2,+-+-+---,0.017898199,0.9784474654651913,0.03247202870431949,-1,0.06494405740863898
MIR4712,+++++---,0.006675736,0.032477276618799705,0.7107448305322366,1,0.06495455323759941
RP11-87E22.2,+++++-+-,0.033109573,0.03250152360966655,0.7288583906545512,1,0.0650030472193331
PHYHIP,---+++++,0.018934652,0.03250363885522691,0.8712169805403784,1,0.06500727771045382
RPL7P14,-------+,0.03499597,0.9907576704838206,0.03250573031167248,-1,0.06501146062334497
RP11-305O4.3,+-+-----,0.011752212,0.8122518198681404,0.032507171425057636,-1,0.06501434285011527
ZNF619,++++++-+,0.079954883,0.0325114769217338,0.9972840004855656,1,0.0650229538434676
ATG4A,+++-----,0.003199096,0.16895369770442126,0.03253482710725638,-1,0.06506965421451276
EIF3E,++++++++,0.041190262,0.0325366510800445,0.997797485925881,1,0.065073302160089
NAV1,----+---,0.076674548,0.9951867548879654,0.032552820969148355,-1,0.06510564193829671
AC099850.1,-+-+-++-,0.01191068,0.03255640146413335,0.45167122793399705,1,0.0651128029282667
WDR63,++++-+--,0.02517534,0.032575360978554686,0.839258157861718,1,0.06515072195710937
YDJC,-+-+++++,0.032728614,0.03257604989089754,0.9412105421385955,1,0.06515209978179508
SNRK-AS1,----++--,0.022118015,0.9595909479454839,0.03258647952605514,-1,0.06517295905211028
ALOX5AP,++++++++,0.023356406,0.03260694880478763,0.9972485356678477,1,0.06521389760957526
AC010884.1,+-++++++,0.08368857,0.03261089541431495,0.9972431030514272,1,0.0652217908286299
MSANTD3,------+-,0.026779358,0.9735132033393155,0.03261214112473658,-1,0.06522428224947316
EEFSEC,+-++++++,0.007236155,0.032671444370348704,0.9766106810915276,1,0.06534288874069741
BRPF1,----++++,0.004310777,0.263478252224441,0.03267503851641376,-1,0.06535007703282752
COLCA1,--+-----,0.131604479,0.9939726193161926,0.032687486138023684,-1,0.06537497227604737
TLR7,++++++++,0.023137659,0.03272682411043315,0.9971660032229595,1,0.0654536482208663
OGT,-+--+---,0.006972698,0.949238679941412,0.03276306052477105,-1,0.0655261210495421
RP11-461A8.4,-+---+--,0.058423617,0.9689040721181615,0.032786162376187894,-1,0.06557232475237579
RP11-553L6.5,++++----,0.014316963,0.9228686336291178,0.03278932265602109,-1,0.06557864531204217
CTD-2031P19.5,++-+-+-+,0.011144852,0.032807994922062864,0.7280439407045456,1,0.06561598984412573
DISC1-IT1,--+-+-+-,2.54529e-4,0.5935396635080978,0.03280844268342351,-1,0.06561688536684702
RP11-168K9.2,+---+++-,0.007304558,0.03281453791827684,0.4526777832334572,1,0.06562907583655368
MIR3648-2,----++++,0.004161383,0.032826520546624126,0.5162333194118652,1,0.06565304109324825
TOB1-AS1,+-+++-++,0.028772457,0.032839927914916064,0.9872829386533762,1,0.06567985582983213
COL28A1,----+---,0.036528763,0.995707359587628,0.03285621327641081,-1,0.06571242655282163
FADD,+++++-++,0.082224238,0.03285900174978367,0.9948549579106714,1,0.06571800349956734
PSMG3,-+++++++,0.003036302,0.03286452215815866,0.9683177189381681,1,0.06572904431631732
MSI1,----+-++,0.005846887,0.5879780328396585,0.03287491249685656,-1,0.06574982499371312
RHBDD3,+++-++++,0.123551414,0.032910011136379265,0.9929245071632017,1,0.06582002227275853
RHEB,+++++++-,0.070039513,0.032926473431686275,0.9885370780802665,1,0.06585294686337255
PAF1,+-++++++,0.046950399,0.032931582499720995,0.9515414229566179,1,0.06586316499944199
MED18,+++--+++,0.097370006,0.03293640104210608,0.9843005410938943,1,0.06587280208421216
GLIS1,----+-++,9.1427e-4,0.032976229485909406,0.27887647639260765,1,0.06595245897181881
CARD9,+-++++++,0.12910576000000001,0.0330077295754191,0.997535211330898,1,0.0660154591508382
MAP3K5,+++-++--,0.027742099,0.03301908782112337,0.8943271711399808,1,0.06603817564224675
PTAR1,++++----,0.018579488,0.895775076452106,0.0330252337995837,-1,0.0660504675991674
CYBC1,+++-++++,0.058288996,0.03304226357623017,0.9919132233373463,1,0.06608452715246034
PLXDC1,----++++,0.019776935,0.6886827179793117,0.03305172818872029,-1,0.06610345637744058
GIMAP2,-+++++++,0.021072569,0.03305216787361162,0.9838064225960144,1,0.06610433574722324
PAMR1,--+-----,0.020169648,0.9716659218024245,0.033056905476978815,-1,0.06611381095395763
PAAF1,+++-++++,0.02587986,0.03306041857581628,0.8317537590691526,1,0.06612083715163256
RP11-484D2.2,+-++++++,0.050017319,0.033061862766240215,0.9945505689819726,1,0.06612372553248043
SULT1A2,-++-++++,0.05545047,0.033065176004168584,0.9725003056135195,1,0.06613035200833717
SNORD3A,------+-,0.025382926,0.9675570142494028,0.033073322937828144,-1,0.06614664587565629
KCNH3,----++++,0.004883709,0.033075796269487895,0.4666989026540859,1,0.06615159253897579
GK5,+-+-+---,0.02192553,0.8850767908122213,0.03309539067454947,-1,0.06619078134909893
LYSMD2,++-+-+++,0.01478967,0.033110184435953684,0.9736520367963003,1,0.06622036887190737
EVI2A,++++---+,0.024591724,0.03311522844178249,0.5731094894419628,1,0.06623045688356498
PRKG2,++--+++-,0.007762338,0.033118911245615314,0.9036580260004291,1,0.06623782249123063
