gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_female_Nac_female_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
P3H1,----+-,0.022386452,0.9811094366736538,0.03840444596690179,-1,0.07680889193380358
IGIP,++++-+,0.030841969,0.038429025061003194,0.971204438474519,1,0.07685805012200639
CTB-167B5.1,++++-+,0.182220009,0.038443558035935695,0.9915133769623368,1,0.07688711607187139
B3GNT10,++++++,0.112148945,0.03847672502053644,0.992924554811857,1,0.07695345004107287
SLC13A5,+-----,0.079465513,0.988698728917702,0.03849410149375144,-1,0.07698820298750288
CYBA,++++++,0.131812006,0.03850413102855997,0.9974455429954443,1,0.07700826205711994
RP4-760C5.3,+-+++-,0.07491974,0.03852075766269265,0.857307661672599,1,0.0770415153253853
RP11-667M19.9,+---+-,0.041625179,0.9541970993583134,0.038525032640043005,-1,0.07705006528008601
FYB1,++++++,0.081280118,0.03854148875102515,0.9911052811468366,1,0.0770829775020503
NECAP1,++++-+,0.011676662,0.03856009612942059,0.39715822518115507,1,0.07712019225884117
TACC1,++-++-,0.011758716,0.03856145255282944,0.8495370335122525,1,0.07712290510565888
ITGA1,+++++-,0.03424076,0.038563327795085825,0.8443661705001256,1,0.07712665559017165
PIP4K2B,------,0.047238705,0.991755558299123,0.03857673611329625,-1,0.0771534722265925
CATSPERB,-+----,0.035168454,0.9645641817896191,0.03857834972683105,-1,0.0771566994536621
DALRD3,+++--+,0.031647216,0.03858298199605702,0.9320523821555816,1,0.07716596399211403
NAA30,++++-+,0.00982814,0.038595323879484375,0.8604887229292527,1,0.07719064775896875
CPNE3,++++++,0.157441814,0.03859782911756704,0.9954556066553595,1,0.07719565823513408
TG,----++,0.02390665,0.7704834583670915,0.03860389956825939,-1,0.07720779913651878
SLC5A4,------,0.0407988,0.9882098872665879,0.038635866400237764,-1,0.07727173280047553
IL1RAPL1,+++++-,0.048893294,0.038640466092209266,0.986729682074706,1,0.07728093218441853
SSPO,----+-,0.03087841,0.9807760766950367,0.03865155668507581,-1,0.07730311337015162
PCED1A,+++-+-,0.016577262,0.038664478442673754,0.83120589998067,1,0.07732895688534751
MTCO3P12,+-----,0.039037368,0.9733095445445853,0.03866492431779143,-1,0.07732984863558286
FOXN2,++++++,0.131040677,0.038671837713747666,0.9967434601688976,1,0.07734367542749533
UQCRC1,-+++-+,0.040785862,0.038676798869531404,0.9024013508371167,1,0.07735359773906281
GPC1,+-----,0.056598264,0.9897304562338087,0.038686057423161994,-1,0.07737211484632399
INHBA-AS1,++++-+,0.092522869,0.038690569680578074,0.8402835616501286,1,0.07738113936115615
SNX22,++++++,0.103734301,0.0387086928715681,0.9936136303176224,1,0.0774173857431362
CTD-2541M15.3,-+++++,0.05560289,0.038711271901816724,0.9626588453900174,1,0.07742254380363345
LINC01341,------,0.04742351,0.9938588690046485,0.03872764717932649,-1,0.07745529435865298
KIF13B,++++++,0.062352246,0.03874574040143585,0.9966027803433761,1,0.0774914808028717
HIBADH,+++--+,0.021187292,0.03876379671646642,0.7764130228184193,1,0.07752759343293283
ZNF598,+-----,0.014899146,0.9472481653106783,0.03877807666878841,-1,0.07755615333757682
RP11-707P17.1,+-++++,0.0088445,0.03878331275901796,0.9668716378554558,1,0.07756662551803592
SH2B1,------,0.02750609,0.9779649998147595,0.03878455128152402,-1,0.07756910256304804
STX18-IT1,+---++,0.006832843,0.8644159123538482,0.03879793388754405,-1,0.0775958677750881
ATL3,+++++-,0.108085637,0.038809055206857665,0.9916563435994766,1,0.07761811041371533
FBRS,----+-,0.059726353,0.7182953376222521,0.03882171290088149,-1,0.07764342580176298
SAYSD1,+++--+,0.03729965,0.03883987184362655,0.7966625930538632,1,0.0776797436872531
UFM1,++++-+,0.077585343,0.03888706300520971,0.9895548343693965,1,0.07777412601041941
CTC1,+---+-,0.085960551,0.9432358358305419,0.03889216889866488,-1,0.07778433779732977
CEP78,+++-++,0.146757019,0.038926901931757324,0.9788095926644336,1,0.07785380386351465
SORCS1,--+---,0.135979013,0.9947330983647314,0.038949433247503926,-1,0.07789886649500785
SCN3A,+-----,0.018504877,0.9521671882466648,0.03896142646727005,-1,0.0779228529345401
RP11-271K11.5,+++-++,0.071454978,0.038961521818610644,0.968154296736232,1,0.07792304363722129
TMEM240,-+----,0.045279066,0.9292662499074777,0.03896760571738687,-1,0.07793521143477374
PES1,+-++-+,0.006894898,0.038982121392054724,0.4936228914166186,1,0.07796424278410945
MTDHP1,++--++,0.016478746,0.03899686757957882,0.75813450603054,1,0.07799373515915764
SCRIB,--+-+-,0.035727006,0.93796532830613355,0.03900483957682253,-1,0.07800967915364505
ALAS1,-+++-+,0.002269006,0.039017172530953964,0.8455870892907542,1,0.07803434506190793
NSF,++++-+,0.082100155,0.03904665155398543,0.8112755286736505,1,0.07809330310797086
SMUG1,++++++,0.130809773,0.03904801588093991,0.9929857536276857,1,0.07809603176187982
ACTA2-AS1,------,0.140193588,0.996683967891234,0.03906809074988928,-1,0.07813618149977856
FZD7,----++,0.024848293,0.8944721706079438,0.03908493317860171,-1,0.07816986635720342
CDC42EP3,---+--,0.029626498,0.9440463400634098,0.039093834651724585,-1,0.07818766930344917
ATF3,------,0.121702533,0.9957600755461029,0.03912986436143393,-1,0.07825972872286786
AF131216.6,+---++,0.002235495,0.039189366010263356,0.7745148320520097,1,0.07837873202052671
CLOCK,------,0.173258927,0.9971966256680613,0.03921006103826609,-1,0.07842012207653218
SNCB,------,0.156559288,0.9963428016295398,0.03923548098599242,-1,0.07847096197198485
PTCH2,------,0.057568302,0.9949343345594733,0.03925868024758535,-1,0.0785173604951707
HEATR4,-+----,0.123530831,0.9923301475330093,0.03927755572007235,-1,0.0785551114401447
MRPL57,+++--+,0.070640527,0.039283573404741486,0.911661392035306,1,0.07856714680948297
CLIP1,------,0.086172884,0.9960875088670406,0.039284286583266256,-1,0.07856857316653251
RP11-318A15.2,+-++-+,0.013428332,0.039292483238698495,0.7845442085077972,1,0.07858496647739699
CNBP,++++-+,0.054398618,0.039297913943988,0.9508915593907,1,0.078595827887976
LINC01376,++--++,0.040655752,0.03930429225800873,0.8572916360714928,1,0.07860858451601746
HIRA,-+----,0.010717736,0.9757742468759156,0.03933366401416476,-1,0.07866732802832951
RP11-439L18.2,------,0.062725765,0.9913809383233145,0.03933615759942828,-1,0.07867231519885656
CDK10,------,0.075341472,0.9973655396806841,0.03934808979026975,-1,0.0786961795805395
RAB11A,++++-+,0.06869617,0.03935584922845467,0.9030462146199912,1,0.07871169845690934
ARID3B,+---+-,0.003726557,0.5927346392849551,0.03936637808098213,-1,0.07873275616196426
GS1-358P8.4,-+++++,0.084490391,0.03937778715039334,0.9892741869755829,1,0.07875557430078668
LMBR1,-+-+-+,0.011019891,0.03937801074847399,0.8829046551370258,1,0.07875602149694798
AC084809.3,-+----,0.020631411,0.6460818986346111,0.03938652024877778,-1,0.07877304049755555
ULK1,----+-,0.056263506,0.9903419558297588,0.03939737847758611,-1,0.07879475695517223
ACTG1P20,------,0.101314764,0.9973245243244091,0.039406371378780204,-1,0.07881274275756041
RBM14,+---+-,0.024588411,0.9235403398753422,0.03942012836569871,-1,0.07884025673139743
PTK7,------,0.047833702,0.9956659425542749,0.039443137011829686,-1,0.07888627402365937
MATN1-AS1,++++++,0.097837629,0.039455495990963235,0.9966846738136574,1,0.07891099198192647
RAB3D,-----+,0.124658162,0.9935287252331105,0.0394693969690435,-1,0.078938793938087
LGI3,-++++-,0.051039023,0.039533701063359794,0.9210305361757475,1,0.07906740212671959
HTATIP2,++++++,0.150998846,0.039538422397744535,0.9974669795505421,1,0.07907684479548907
IFT140,--+---,0.026794106,0.984606015318644,0.039539528572369,-1,0.079079057144738
RP11-482M8.1,-+----,0.058392731,0.9846302069893297,0.03954225717365413,-1,0.07908451434730826
LINC02427,++++++,0.103706313,0.039547160993480254,0.9955347478616243,1,0.07909432198696051
PPP4R2,+++++-,0.035163904,0.039549476411604695,0.9754118276068126,1,0.07909895282320939
CRB1,+++-++,0.142528436,0.03957413491969891,0.9944052697167102,1,0.07914826983939782
PPP2R2C,----+-,0.094826448,0.993667239968708,0.03959407861837189,-1,0.07918815723674379
PPP2R3A,++++++,0.086941531,0.03960510146464866,0.9973273214771204,1,0.07921020292929731
TOMM20,++++-+,0.077468053,0.03962488872297646,0.9342619372235973,1,0.07924977744595292
FAM58A,++++-+,0.058632414,0.03965012967341079,0.9777957400145982,1,0.07930025934682158
HSPE1P3,----++,0.015606597,0.796149729147996,0.039665854581214424,-1,0.07933170916242885
RBM10,--+-+-,0.067823317,0.9261101457209716,0.039674427573037976,-1,0.07934885514607595
VGLL3,--+-++,0.018372984,0.7606950678819151,0.039696533050477975,-1,0.07939306610095595
EHHADH,++++-+,0.076877497,0.03970115121985805,0.974302981743845,1,0.0794023024397161
SNU13,++++-+,0.050862637,0.03970256121799395,0.7332294072039449,1,0.0794051224359879
RIC8A,------,0.104023565,0.9967202051861082,0.039740584177184825,-1,0.07948116835436965
USF1,++++-+,0.032878606,0.039741118935439156,0.8779728151735416,1,0.07948223787087831
NF2,------,0.083053542,0.994458534239751,0.03975504529249581,-1,0.07951009058499162
CCDC107,-++---,0.008396482,0.03976375932640237,0.7627084415996781,1,0.07952751865280475
RP11-483I13.5,-+++++,0.110263065,0.0397774824114535,0.9942698322857688,1,0.079554964822907
GATB,++-+++,0.082071074,0.03977963707557757,0.9866485406512455,1,0.07955927415115514
RP11-354E23.5,--+-++,0.010532654,0.2641948662616862,0.03983482557026105,-1,0.0796696511405221
C19orf48,++++++,0.089044655,0.03984633431658607,0.9972647614316739,1,0.07969266863317213
RANBP10,----+-,0.022759862,0.9638931498253206,0.039877896055463255,-1,0.07975579211092651
TMUB1,--+---,0.044119556,0.9521622325628815,0.039883499127275644,-1,0.07976699825455129
SUPT7L,+++-++,0.10641907,0.03988691593664705,0.9902824712062566,1,0.0797738318732941
PSEN1,++++++,0.182038676,0.03991330614484683,0.9984207310981426,1,0.07982661228969366
MRPS7,++++-+,0.092627077,0.039918276790104575,0.9878737641540133,1,0.07983655358020915
DENR,+--+-+,0.023833911,0.039924392899393805,0.920578326892198,1,0.07984878579878761
AGPAT1,---+--,0.088009647,0.9792033154140221,0.03993253476049327,-1,0.07986506952098654
PIANP,------,0.103687645,0.9965781201725865,0.0399426398683623,-1,0.0798852797367246
RP11-401P9.4,----+-,0.038592471,0.9098490063277198,0.03994303509297704,-1,0.07988607018595408
SYNC,++++-+,0.08371026,0.03997655118639739,0.9788949680716929,1,0.07995310237279478
PDE2A,------,0.13540971,0.995887673278582,0.03998205512561969,-1,0.07996411025123938
C5orf47,++-+++,0.108986316,0.040009237871119464,0.9864683124806705,1,0.08001847574223893
MICA,+++-++,0.093789696,0.04002375251819083,0.9861377679671773,1,0.08004750503638167
EBPL,-+---+,0.039079375,0.9634601320150106,0.04002505229046241,-1,0.08005010458092482
PRRT2,----+-,0.051394791,0.9865384360371221,0.04003668162789857,-1,0.08007336325579714
ARMH1,+++-++,0.046659625,0.04003918765831343,0.9695359280260158,1,0.08007837531662686
BRF2,++++-+,0.087991702,0.040041778666050534,0.942822651974377,1,0.08008355733210107
ZNF621,+++-++,0.057141101,0.04004470283701779,0.977711749980029,1,0.08008940567403558
AC008277.1,++--++,0.004688383,0.040063151234204876,0.7768133965168798,1,0.08012630246840975
RP13-487P22.1,+-----,0.026788563,0.96929967100369,0.040095518818927534,-1,0.08019103763785507
PPP1R11,------,0.065284877,0.9913253063957036,0.04009604144291525,-1,0.0801920828858305
TMEM81,++++-+,0.077099589,0.04011420762307627,0.9816035079095685,1,0.08022841524615254
FOXRED1,--+---,0.020677135,0.9367650579313009,0.04015257317071299,-1,0.08030514634142598
C19orf47,+---+-,0.026973196,0.8504202544627691,0.04016511922432873,-1,0.08033023844865746
CTC-308K20.1,+-----,0.151789408,0.9912863205105791,0.04016569701718265,-1,0.0803313940343653
COX7A2,++++-+,0.065710227,0.040176207441547956,0.9111652390869459,1,0.08035241488309591
TMEM8B,------,0.067949952,0.9882291373664686,0.04017661352028856,-1,0.08035322704057712
