gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_female_Nac_female_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
RP11-677M14.7,++++++,3.33182e-4,7.355001134354969e-13,0.9999999999993462,1,1.4710002268709937e-12
DUSP5,------,2.21995e-4,0.9999999999647893,1.1938916912867125e-12,-1,2.387783382573425e-12
NPAS4,------,2.11793e-4,0.999999999979924,3.029676534098652e-11,-1,6.059353068197304e-11
RP11-667K14.3,------,2.20278e-4,0.99999999999994,3.2254334002262183e-11,-1,6.450866800452437e-11
NEDD9,------,1.23189e-4,0.9999999767850083,4.942118173326212e-11,-1,9.884236346652424e-11
TMEM161B-AS1,++++++,6.41068e-4,8.681432227617106e-11,0.9999999978085349,1,1.7362864455234212e-10
ETV3,------,1.62732e-4,0.9999999999950855,2.0310770250453997e-10,-1,4.0621540500907993e-10
NR4A1,------,7.75511e-5,0.9999999957224751,2.126219588473835e-10,-1,4.25243917694767e-10
ARC,------,7.60893e-4,0.9999999984185914,3.8956493094187074e-10,-1,7.791298618837415e-10
GBP3,++++++,0.002975392,6.503644398697638e-10,0.9999999999996564,1,1.3007288797395275e-9
LINC00471,++++++,3.19741e-4,7.894857694694323e-10,0.999999997361961,1,1.5789715389388646e-9
HCG22,------,0.001276075,0.9999995067405878,1.7547949003277668e-9,-1,3.5095898006555336e-9
TCFL5,++++++,0.003414279,1.8592961561340726e-9,0.999999999998064,1,3.718592312268145e-9
CCN1,----+-,9.6745e-4,0.9995024944647998,2.005497895176913e-9,-1,4.010995790353826e-9
RP11-298D21.1,++++++,2.84568e-4,2.1079067812996725e-9,0.9999999850450797,1,4.215813562599345e-9
EGR2,------,0.001319323,0.9999997416937816,2.2741497970614438e-9,-1,4.5482995941228875e-9
KCTD21-AS1,++++++,6.52656e-4,2.3279093920697606e-9,0.9999999998433056,1,4.655818784139521e-9
LINC00473,------,9.24745e-4,0.9999996198733656,3.134163631118148e-9,-1,6.268327262236296e-9
ZNF331,------,0.001591073,0.9999999999883562,3.2604940661725e-9,-1,6.520988132345e-9
EGR1,----+-,0.001833689,0.9998989784784651,6.079915209665399e-9,-1,1.2159830419330797e-8
ASB4,++++++,0.001065553,8.173644214386065e-9,0.9999995238074261,1,1.634728842877213e-8
RP4-564F22.5,++++++,0.002343153,9.2677287715506e-9,0.9999999995772305,1,1.85354575431012e-8
RP4-630C24.3,++++++,0.002103501,1.1038494983299323e-8,0.9999999999755922,1,2.2076989966598645e-8
NR4A3,------,0.001118376,0.9999999529453265,1.3343852744206853e-8,-1,2.6687705488413705e-8
AC012370.2,----+-,0.001005752,0.9775832090496567,1.3860996079274988e-8,-1,2.7721992158549975e-8
SPRED2,------,0.002121304,0.9999978693639162,1.7342673282736097e-8,-1,3.4685346565472195e-8
SIK1,------,0.001941142,0.9999995550255308,1.833475875707084e-8,-1,3.666951751414168e-8
SMG1P5,------,0.001556786,0.9999999999643848,2.239210973338079e-8,-1,4.478421946676158e-8
SDIM1,------,0.001109434,0.9999993740187907,2.6876592351903225e-8,-1,5.375318470380645e-8
XPOT,++++++,3.48571e-4,2.7430529440632284e-8,0.999999994914063,1,5.486105888126457e-8
EGR4,------,0.002035188,0.9999999070313574,2.8412109215370404e-8,-1,5.682421843074081e-8
TRIB1,------,0.001304623,0.9999993951201078,3.305780008507073e-8,-1,6.611560017014146e-8
RP11-726G1.1,------,0.005159632,0.9999999997927592,3.630133037242993e-8,-1,7.260266074485987e-8
XRRA1,------,0.005265531,0.9999999999364617,3.767975328853843e-8,-1,7.535950657707687e-8
HLA-A,++++++,0.00774014,4.286039683380734e-8,0.99999999992343,1,8.572079366761467e-8
CITED2,------,0.004709407,0.9999999998712324,5.603257245528889e-8,-1,1.1206514491057778e-7
PCCB,++++++,5.58917e-4,6.228459157526997e-8,0.9999999957442787,1,1.2456918315053995e-7
GABPB1-AS1,++++++,0.001669497,6.295107297962264e-8,0.9999999891575039,1,1.2590214595924529e-7
CCDC18-AS1,++++++,0.002335536,6.33053661762553e-8,0.9999864907246778,1,1.266107323525106e-7
STAT6,------,4.06613e-5,0.999981998400248,6.348282475902244e-8,-1,1.2696564951804487e-7
SPTY2D1,------,0.002723638,0.9999999938266384,7.279478437559606e-8,-1,1.455895687511921e-7
RGS2,------,0.005417929,0.9999999990972304,7.421713559644371e-8,-1,1.4843427119288742e-7
TET3,------,0.001737538,0.9999998791683995,8.58805064258084e-8,-1,1.717610128516168e-7
PRPSAP2,++++++,2.27577e-4,1.317390706309759e-7,0.9999818532239496,1,2.634781412619518e-7
DNAJB5,------,4.07769e-4,0.9999963662752465,1.3841863171241768e-7,-1,2.7683726342483536e-7
LINC02268,++++++,0.004579694,1.6185983463954013e-7,0.9999999995141193,1,3.2371966927908026e-7
BHLHE41,++++++,0.005542234,1.6234283617877348e-7,0.9999999997061333,1,3.2468567235754695e-7
RP11-667K14.4,------,0.00110034,0.9999988576843601,1.7974919346191588e-7,-1,3.5949838692383176e-7
CHURC1,++++++,0.004305976,1.8065555209977399e-7,0.9999999994177919,1,3.6131110419954797e-7
ZBTB21,------,0.004106003,0.9999999920423042,1.9647968219222376e-7,-1,3.929593643844475e-7
NPIPB13,------,1.36492e-4,0.9999925805600085,1.9874259619507578e-7,-1,3.9748519239015155e-7
HK2,++++++,0.001113167,2.0851774699602463e-7,0.9999999844071028,1,4.1703549399204927e-7
GRASP,------,0.00157049,0.9999985416200099,2.27637511839719e-7,-1,4.55275023679438e-7
MTCO1P12,++++++,0.002870475,2.3377747093267388e-7,0.9999996185665714,1,4.6755494186534776e-7
AC016747.3,++++++,0.005676415,2.3852108986456126e-7,0.9999999969931541,1,4.770421797291225e-7
RP11-597D13.8,++++++,3.32513e-4,3.007245643319209e-7,0.9999540018045676,1,6.014491286638418e-7
SPRY2,------,0.00653533,0.9999999550806229,3.1874502389334947e-7,-1,6.374900477866989e-7
RP11-354P17.15,++++++,8.55922e-4,3.2527750705953437e-7,0.9999994505368555,1,6.505550141190687e-7
LYPLAL1,++++++,8.96139e-4,3.300130694801297e-7,0.9999990325233583,1,6.600261389602594e-7
RAI2,------,0.001165,0.9999997835015559,3.368151302973955e-7,-1,6.73630260594791e-7
NFIL3,------,0.004388214,0.9999999974466949,3.6836012743788907e-7,-1,7.367202548757781e-7
HLA-DRB5,++++++,0.001867568,3.7892939602791397e-7,0.9999999768186217,1,7.578587920558279e-7
CCDC28A,++++-+,2.76058e-4,3.9217835194973115e-7,0.9897019890740314,1,7.843567038994623e-7
PHLDB2,----+-,0.001950897,0.9996146947596163,4.2333058877817545e-7,-1,8.466611775563509e-7
INHBA,------,1.88165e-4,0.9999826000232257,4.2374192302149536e-7,-1,8.474838460429907e-7
R3HDM2,----+-,2.67589e-4,0.9982233422200666,4.376142796489542e-7,-1,8.752285592979084e-7
RP11-82L18.2,----+-,6.06573e-4,0.9997156590378589,4.427803878226378e-7,-1,8.855607756452756e-7
NBPF2P,++++++,8.59296e-5,4.703760435665605e-7,0.9999992597527059,1,9.40752087133121e-7
GPR3,------,0.001015085,0.9999980649304242,5.444249066983195e-7,-1,1.088849813396639e-6
SLC2A3,------,0.00435446,0.9999949801731556,5.497072992213022e-7,-1,1.0994145984426044e-6
AC002480.3,++++++,0.001300163,5.565933114136825e-7,0.9999900581436763,1,1.113186622827365e-6
NOL6,------,4.95106e-4,0.9999998195826997,5.572961760045556e-7,-1,1.1145923520091112e-6
JUNB,------,0.001521794,0.9999863626751726,5.670844720023993e-7,-1,1.1341689440047985e-6
LINC00909,++++++,4.98452e-4,5.76017473076408e-7,0.9999995007031878,1,1.152034946152816e-6
RBBP9,++++++,2.26421e-4,5.959215364122581e-7,0.9999835465364442,1,1.1918430728245162e-6
SCUBE1,------,3.81305e-4,0.9991220329369455,6.564755584537534e-7,-1,1.3129511169075067e-6
AMACR,++++++,0.003676632,6.71970185244357e-7,0.9999994454036775,1,1.343940370488714e-6
PTGS2,------,2.67881e-4,0.9999999095347682,6.737968328949882e-7,-1,1.3475936657899764e-6
TCEANC,++++++,9.60066e-4,7.277474519067689e-7,0.9999994892869728,1,1.4554949038135378e-6
CPSF1P1,------,0.010215886,0.9999999987907441,7.748474430657128e-7,-1,1.5496948861314257e-6
CAPN3,++++++,0.012722892,8.049416101901291e-7,0.999999998115305,1,1.6098832203802582e-6
RP11-118B22.4,++++++,2.00048e-4,8.45912371033964e-7,0.999997257979452,1,1.691824742067928e-6
DUSP6,------,0.00841003,0.9999999986306882,8.625987167101454e-7,-1,1.7251974334202909e-6
RP1-90J20.12,------,0.00463839,0.9999999954079878,8.706259097525592e-7,-1,1.7412518195051183e-6
SMN2,------,0.011814753,0.9999999966146519,8.967762333565304e-7,-1,1.7935524667130607e-6
GCDH,------,1.25616e-4,0.9999872362675479,9.234930177272702e-7,-1,1.8469860354545404e-6
FOSB,------,0.001839652,0.9999988829115495,9.881293448577586e-7,-1,1.976258689715517e-6
IP6K3,++++++,0.005503084,1.0219958734345074e-6,0.9999991315464799,1,2.043991746869015e-6
LMO2,++++++,0.001281322,1.0264222406461657e-6,0.9999957133394037,1,2.0528444812923314e-6
RP11-153M7.3,++++++,4.68644e-4,1.0544870115620462e-6,0.999999837353329,1,2.1089740231240924e-6
HCG4,++++++,0.00252949,1.333641564112295e-6,0.9999999375349066,1,2.66728312822459e-6
KLF4,------,2.45318e-4,0.9999952002043029,1.3493785184838527e-6,-1,2.6987570369677054e-6
C8orf33,++++++,4.21041e-4,1.3720986952241982e-6,0.99996147410674,1,2.7441973904483964e-06
HSD11B1,++++++,0.003603646,1.3904812297561877e-6,0.9999997856376261,1,2.7809624595123753e-6
SORBS2,----+-,0.001787139,0.9990892783100693,1.458847831476384e-6,-1,2.917695662952768e-6
RP11-71N10.1,++++++,0.002785498,1.4637080233260675e-6,0.9999988555905018,1,2.927416046652135e-6
MIR4712,++++++,1.26071e-4,1.4805335399652676e-6,0.9999518132347117,1,2.961067079930535e-6
PLA2G12A,++++++,0.003857064,1.5692396072493046e-6,0.9999999348942106,1,3.138479214498609e-6
ARPP21,------,0.001519169,0.9999871033855454,1.5755325357986885e-6,-1,3.151065071597377e-6
FMNL1,------,0.001258154,0.9999787972428043,1.587305026701093e-6,-1,3.174610053402186e-6
LINC01909,++++++,2.37637e-4,1.6083600202368219e-6,0.9999744482623916,1,3.2167200404736438e-6
VPS37B,------,0.002284135,0.9999548871284969,1.6211710445913167e-6,-1,3.2423420891826334e-6
SLC5A4-AS1,------,0.006953483,0.9999999881061049,1.772934875431867e-6,-1,3.545869750863734e-6
EGR3,------,0.006875591,0.9999994532342795,1.8515393481189717e-6,-1,3.7030786962379434e-6
PDE4C,------,0.00293972,0.9999999701762189,1.855878605829459e-6,-1,3.711757211658918e-6
PLPP2,++++++,0.005977219,1.9244571248039993e-6,0.9999999842309981,1,3.848914249607999e-6
MID1IP1,++++++,0.003027449,1.9328577804127984e-6,0.9999988324254442,1,3.865715560825597e-6
KIF21B,------,0.007252197,0.9999999308661086,2.0956078485415886e-6,-1,4.191215697083177e-6
CNDP1,++++++,0.008086068,2.127861629357045e-6,0.9999983407333642,1,4.25572325871409e-6
MANEA,++++++,7.71466e-4,2.1534080139415603e-6,0.9999454509169916,1,4.306816027883121e-6
PRDM1,------,0.005110793,0.9999998551429193,2.184666719446558e-6,-1,4.369333438893116e-6
ZNF30,++++++,0.00207997,2.2107658248637934e-6,0.9997876329315546,1,4.421531649727587e-6
AC092168.2,----+-,0.001067823,0.9993870081618484,2.475997110406077e-6,-1,4.951994220812154e-6
ECT2,++++++,1.74409e-4,2.5711661188383472e-6,0.9999975052839389,1,5.1423322376766944e-6
KLF2,------,0.001068659,0.9999998859091286,2.5935788947242266e-6,-1,5.187157789448453e-6
FIG4,++++++,3.96231e-4,3.059265255940997e-6,0.9999920340071043,1,6.118530511881994e-6
APOBEC3G,++++++,0.005256815,3.1991923351268297e-6,0.999999972930214,1,6.398384670253659e-6
AC005789.11,------,0.010013097,0.999999921852285,3.3800829768613988e-06,-1,6.7601659537227975e-6
GALK2,++++++,0.007327929,3.5249017159395987e-6,0.9999998791705965,1,7.0498034318791974e-06
STK40,------,0.00848893,0.9999998876596933,3.5361770575147735e-6,-1,7.072354115029547e-6
MIDN,----+-,0.007308294,0.9992934756646246,3.5534720736671763e-6,-1,7.1069441473343525e-6
PCYOX1,++++-+,3.21724e-4,3.882206624041654e-6,0.9973818524170862,1,7.764413248083308e-6
FAM118A,------,0.0042653430000000004,0.9999999605425004,4.000219942256439e-6,-1,8.000439884512878e-6
DUSP1,------,0.002136191,0.9999990683063269,4.0133213321109444e-6,-1,8.026642664221889e-6
CPSF2,++++++,0.016079405,4.036325446559313e-6,0.9999999672631408,1,8.072650893118626e-6
THBS2,++++++,0.014780808,4.090979799382081e-6,0.9999950796960704,1,8.181959598764162e-6
MIS12,++++++,0.005850567,4.181118228163324e-6,0.9999998282014635,1,8.362236456326648e-6
LL22NC03-86G7.1,------,0.0043431,0.9999996125676696,4.315206857442517e-6,-1,8.630413714885033e-6
RAB29,++++++,0.002971452,4.398941931470698e-6,0.9999998915216826,1,8.797883862941396e-6
PPA1,++++-+,0.002445574,4.428177526219134e-6,0.9987022299375073,1,8.856355052438267e-6
LY6G5C,------,0.008754837,0.999999811929956,4.541285586329019e-6,-1,9.082571172658038e-6
RP11-211N8.3,+-++++,0.002010091,4.549534142743099e-6,0.996308343814249,1,9.099068285486198e-6
SLC8A3,------,0.003421707,0.9999404289768414,4.765156027963443e-6,-1,9.530312055926886e-6
MTPAP,------,0.006696149,0.9999991344798386,4.880545978100847e-6,-1,9.761091956201693e-6
FLVCR1-DT,++++++,0.008790234,5.183251821035381e-6,0.9999999597900777,1,1.0366503642070762e-5
RP11-627G23.1,------,0.00891979,0.999969924246682,5.549027593277817e-6,-1,1.1098055186555634e-5
SPRY4,------,0.004499285,0.9999995907710297,5.610709029538469e-6,-1,1.1221418059076938e-5
LINC00599,------,0.001380007,0.9999919959925032,5.629186996201501e-6,-1,1.1258373992403002e-5
COX18,++++++,0.002192579,5.643606739575059e-6,0.9999383653867668,1,1.1287213479150118e-5
FDFT1,++++++,0.001357612,5.760713099728557e-6,0.9999995450650676,1,1.1521426199457113e-5
XXbac-BPG299F13.17,++++++,7.71997e-4,5.866926474662363e-6,0.9998931425899511,1,1.1733852949324725e-5
BCL11A,------,0.007064712,0.9999947743907611,5.876585212406167e-6,-1,1.1753170424812333e-5
LINC01515,++++++,0.010862695,6.10027132820212e-6,0.9999999758237522,1,1.220054265640424e-5
C12orf60,++++++,0.00136315,6.104711008788959e-6,0.9999985258775314,1,1.2209422017577918e-5
FRG1,++++++,0.013663789,6.108864786563671e-6,0.9999999845462111,1,1.2217729573127342e-5
THNSL1,++++-+,0.003251169,6.1471035621343555e-6,0.9990268226963186,1,1.2294207124268711e-5
MARCH4,------,0.001438913,0.9999930281876648,6.444453729241441e-6,-1,1.2888907458482882e-5
BRD2,----+-,2.1607e-4,0.9993575694325028,6.467295290837336e-6,-1,1.2934590581674671e-5
HIVEP3,------,0.002627787,0.9999833412284449,6.845265223866671e-6,-1,1.3690530447733341e-5
YPEL5,++++-+,0.001303795,7.167230921866205e-6,0.8633543872391566,1,1.433446184373241e-5
TRIM67,------,6.03854e-4,0.9998224313008701,7.207516744165268e-6,-1,1.4415033488330536e-5
RP11-267C16.2,++++++,0.002769526,7.5834268054850185e-6,0.999998586853208,1,1.5166853610970037e-5
TIGD4,++++++,0.006802064,7.897419120691912e-6,0.9999997263696435,1,1.5794838241383825e-5
C12orf73,++++++,0.001894337,8.11720987374406e-6,0.9998589728148993,1,1.623441974748812e-5
HECW1-IT1,----+-,0.00102506,0.9987248343057646,8.12115347271107e-6,-1,1.624230694542214e-5
DHRS9,++++++,0.003274032,8.192683450212266e-6,0.999926233040013,1,1.6385366900424532e-5
PP13439,++++++,0.004333737,8.366926550898884e-6,0.9999981816871124,1,1.673385310179777e-5
EIF3J-DT,++++++,0.002003696,8.377478237615253e-6,0.9999945321114014,1,1.6754956475230506e-5
ISG20L2,------,0.001851455,0.9999778883601745,9.110466718729549e-6,-1,1.8220933437459097e-5
CCNB3,++++++,0.005785721,9.255205111684395e-6,0.9999142362264622,1,1.851041022336879e-5
RP11-169K16.9,++++++,4.02549e-4,9.623462199970294e-6,0.9999987440438775,1,1.9246924399940588e-5
DDX27,------,0.004972443,0.9999889646355333,9.718824106290275e-6,-1,1.943764821258055e-5
GLDN,++++++,0.013601281,9.886018069811777e-6,0.9999991066838295,1,1.9772036139623554e-5
ADRB2,++++++,0.017561869,1.0002964916162408e-5,0.9999959301558882,1,2.0005929832324817e-5
ATXN7,------,0.002090582,0.9999698391774001,1.0114112945805633e-5,-1,2.0228225891611267e-5
RBM24,------,0.012052711,0.9999999607845944,1.0147035918998707e-5,-1,2.0294071837997413e-5
RP11-259K15.2,+-++++,2.1656e-4,1.02661378879875e-5,0.9994194603311248,1,2.0532275775975e-5
SETBP1,------,0.013396429,0.9999981198080732,1.0332038134122581e-5,-1,2.0664076268245162e-5
DLGAP1-AS4,----+-,5.42861e-4,0.9985880289730904,1.0455442019571145e-5,-1,2.091088403914229e-5
IRF8,++++++,0.004169162,1.0634109926911273e-5,0.9999970660687902,1,2.1268219853822546e-5
EXT1,----+-,0.010276231,0.9994707540314011,1.10953409592521e-5,-1,2.21906819185042e-5
CBWD5,------,0.00469072,0.999996666388359,1.1345281555869911e-5,-1,2.2690563111739822e-5
ZBED6CL,------,0.008629982,0.9999873419851846,1.139830166975109e-5,-1,2.279660333950218e-5
DUSP4,------,0.007261581,0.9999669541983618,1.1652763472289081e-5,-1,2.3305526944578163e-5
PPAT,++++-+,4.28602e-4,1.1698536110234882e-5,0.9992462634157969,1,2.3397072220469764e-5
LBH,------,0.004919487,0.9999991084322108,1.1716036079543666e-5,-1,2.343207215908733e-5
CBARP,----+-,0.003967315,0.9996626743826283,1.189084264959567e-5,-1,2.378168529919134e-5
CD27-AS1,++++++,0.001944034,1.2108993280337881e-5,0.9999617707567403,1,2.4217986560675762e-5
DLG5,------,0.010975175,0.9999981044136355,1.2154142994470454e-5,-1,2.4308285988940908e-5
PIGF,++++++,0.010831869,1.2638725638290405e-5,0.999999628738039,1,2.527745127658081e-5
NUDT16,++++++,0.002111872,1.3032690974766743e-5,0.999856037969935,1,2.6065381949533486e-5
CCDC144A,++++++,0.001349185,1.3705590834905208e-5,0.9998615197606302,1,2.7411181669810416e-5
IER2,----+-,0.003913232,0.9924591523325953,1.4270046318994254e-5,-1,2.854009263798851e-5
OMG,++++++,0.002655239,1.4468258882133049e-5,0.9999925238583205,1,2.8936517764266098e-5
IBA57,------,0.003727938,0.9999828355159703,1.4470331049785709e-5,-1,2.8940662099571418e-5
RP11-6O2.3,------,0.015102922,0.999997512931611,1.4496306737298042e-5,-1,2.8992613474596084e-5
PLVAP,++++++,0.003459798,1.4924525646498582e-5,0.999986206270135,1,2.9849051292997165e-5
CSRNP1,----+-,0.004429018,0.999495734851916,1.5043813983163226e-5,-1,3.0087627966326452e-5
VPS53,------,0.003824309,0.9999644972842656,1.512510171249511e-5,-1,3.025020342499022e-5
KIF12,------,0.006282339,0.9999994395908464,1.518005915687596e-5,-1,3.036011831375192e-5
FRG1BP,++++++,0.019795815,1.5947461652668948e-5,0.9999999520404241,1,3.1894923305337896e-5
LINC00609,++++++,0.004366131,1.6092079406675464e-5,0.9999989173128664,1,3.218415881335093e-5
TRIM65,++++++,0.002581385,1.6197939166873334e-5,0.9977837980689019,1,3.239587833374667e-5
CANX,++++++,0.01451807,1.6673650306763288e-5,0.9999944472768912,1,3.3347300613526575e-5
ADAMTS17,------,0.002712418,0.9999835920644575,1.72905514271032e-5,-1,3.45811028542064e-5
MMAB,++++++,0.008893318,1.7789271962934786e-5,0.9999998508140515,1,3.557854392586957e-5
PIR,++++++,0.007463392,1.809881925692011e-5,0.9999986088747267,1,3.619763851384022e-5
CAPS2,++++++,0.002684176,1.8191355077034665e-5,0.9999711316260578,1,3.638271015406933e-5
HLA-C,++++++,0.007461564,1.8970755789050904e-5,0.9999996900738192,1,3.794151157810181e-5
RP11-111F5.4,+-++++,0.001979684,1.9355387047765034e-5,0.9733342248967559,1,3.871077409553007e-5
TRIB2,------,0.025810356,0.9999998133705439,1.947263397704623e-5,-1,3.894526795409246e-5
CCR1,++++++,0.021530826,2.002205748326952e-5,0.9999993779552401,1,4.004411496653904e-5
SH3BGRL2,++++++,1.95883e-4,2.0024290745513582e-5,0.9994388283813621,1,4.0048581491027164e-5
RP11-645C24.5,------,2.08551e-4,0.9975616659205224,2.006683089782782e-5,-1,4.013366179565564e-5
SNORD45,------,6.98476e-4,0.9998996257435044,2.0727877999469153e-5,-1,4.1455755998938305e-5
S100A13,++++++,0.007944259,2.084490633118189e-5,0.9998924903325819,1,4.168981266236378e-5
ZFPM2-AS1,++++++,0.002942462,2.1014528915090686e-5,0.9999652080585582,1,4.202905783018137e-5
ERRFI1,------,0.017079355,0.9999990499018137,2.124259710207334e-5,-1,4.248519420414668e-5
SLC5A11,++++++,0.002531861,2.1631006575784263e-5,0.9999805693714933,1,4.3262013151568525e-5
TMEM17,++++-+,9.3397e-4,2.1988680743402173e-5,0.9940450265488499,1,4.3977361486804346e-5
C11orf71,++++++,0.001660875,2.1995020426749127e-5,0.9999331873995209,1,4.3990040853498255e-5
RP11-190A12.8,------,0.008186749,0.9999972431696454,2.2030717018180433e-5,-1,4.4061434036360866e-5
CDH1,++++++,0.005030868,2.22501126294128e-5,0.9999498621428149,1,4.45002252588256e-5
SLCO4C1,------,0.001876387,0.9999638846583198,2.2327466460900953e-5,-1,4.465493292180191e-5
LINC00467,++++++,0.003968733,2.239744329215599e-5,0.9997985124021797,1,4.479488658431198e-5
CDHR1,++++++,0.017500063,2.2547592421424023e-5,0.9999662991444525,1,4.5095184842848047e-5
HPS3,++++++,0.019381984,2.2573117008673935e-5,0.999999756366785,1,4.514623401734787e-5
ESYT1,++++++,0.002725509,2.2772359445974712e-5,0.9996693946773688,1,4.5544718891949424e-5
LRP2,++++++,0.011950627,2.283540112786236e-5,0.9999996747759229,1,4.567080225572472e-5
RP11-452L6.7,++++++,0.013807174,2.294895438757738e-5,0.9999922289372587,1,4.589790877515476e-5
ZFAT,------,0.011016323,0.9999956382306229,2.3124982141400452e-5,-1,4.6249964282800904e-5
RP11-909M7.3,-----+,4.94907e-4,0.9937766137886356,2.312515595129761e-5,-1,4.625031190259522e-5
KNOP1,++++++,0.013375993,2.316772280807143e-5,0.999960221539941,1,4.633544561614286e-5
CTA-29F11.1,++++++,0.003743975,2.330391470339247e-5,0.9999949088132205,1,4.660782940678494e-5
MTND2P28,------,0.010186389,0.9999962503088815,2.3352427322053352e-5,-1,4.6704854644106704e-5
RP11-116N8.1,++++++,0.006866471,2.3394609903783253e-5,0.9999954481865347,1,4.6789219807566505e-5
AF001548.5,++++++,0.005825122,2.3573489051034088e-5,0.999996061283041,1,4.7146978102068176e-5
LINC00844,++++++,0.023351517,2.386528930297631e-5,0.9999999078888344,1,4.773057860595262e-5
MICAL2,------,0.008051493,0.9999964748643312,2.3871844874565422e-5,-1,4.7743689749130845e-5
ASAP1,------,0.007190513,0.999983909562132,2.3989794517646292e-5,-1,4.7979589035292584e-5
LINC01182,------,9.88159e-4,0.9999911463331257,2.4005160941576653e-5,-1,4.8010321883153306e-5
CTB-131B5.2,------,0.001253795,0.9999949177603146,2.413218598330022e-5,-1,4.826437196660044e-5
CLEC9A,++++++,0.002001496,2.4157216777926748e-5,0.9999818909282547,1,4.8314433555853496e-5
SRF,------,0.004857519,0.9999781795384373,2.4354662765361876e-5,-1,4.870932553072375e-5
CTSC,++++++,0.002916914,2.4399729877330766e-5,0.9998862086390095,1,4.879945975466153e-5
KMO,------,0.013332938,0.9999993059587688,2.5413569944566882e-5,-1,5.0827139889133764e-5
ITGAX,++++++,0.004399138,2.5671930237272847e-5,0.99999715015473,1,5.1343860474545694e-5
GPR19,------,0.00199779,0.9993850171354636,2.5786168952824238e-5,-1,5.1572337905648476e-5
ADRB1,------,0.023580281,0.9999999277037864,2.6270869654308508e-5,-1,5.2541739308617016e-5
SH3BGR,++++++,0.001525045,2.6620715963608698e-5,0.9999985710132041,1,5.3241431927217395e-5
RP1-90G24.6,------,0.017795166,0.9999999167925722,2.669165824052372e-5,-1,5.338331648104744e-5
JKAMP,++++++,0.001120276,2.7368124033979345e-5,0.9997818568973211,1,5.473624806795869e-5
SH3TC2-DT,++++++,0.008888099,2.8284273920696806e-5,0.9999767308964667,1,5.656854784139361e-5
TENT5C,------,0.02655972,0.9999998938143748,2.8320884325034146e-5,-1,5.664176865006829e-5
LINC02473,++++++,0.007163575,2.8844869581772095e-5,0.9999942502397862,1,5.768973916354419e-5
TMPRSS7,------,0.00989353,0.999999095088203,2.9777008641264953e-5,-1,5.9554017282529906e-5
PIEZO2,++++++,0.006256038,2.9803711428972295e-5,0.9999981391743411,1,5.960742285794459e-5
LINC01992,++++++,0.03633266,3.0648433436327826e-5,0.9999997171613892,1,6.129686687265565e-5
RP1-90J20.11,------,0.005214352,0.9999987942918089,3.1798284210805955e-5,-1,6.359656842161191e-5
B3GAT2,++++++,0.008545012,3.227351757120493e-5,0.9999972507137309,1,6.454703514240986e-5
EPHB3,----+-,0.005254208,0.9978477996763288,3.342535069808324e-5,-1,6.685070139616647e-5
GPATCH4,------,6.92629e-4,0.9998225768686615,3.417979817810712e-5,-1,6.835959635621424e-5
FBXW11,++++-+,0.001236181,3.4438918756390124e-5,0.9961737749609599,1,6.887783751278025e-5
FOS,------,0.019294293,0.9999917518228618,3.446496612813675e-5,-1,6.89299322562735e-5
GOLGA6A,++++++,3.68241e-4,3.446560740579741e-5,0.9867503112086438,1,6.893121481159482e-5
TMEM235,++++++,0.011352243,3.45004291643234e-5,0.9999942753381222,1,6.90008583286468e-5
RP11-366M4.11,------,0.002536528,0.9997344693402535,3.532043649075052e-5,-1,7.064087298150104e-5
SMURF1,------,0.005186436,0.9999665615886179,3.5739495226066485e-5,-1,7.147899045213297e-5
FAM160A1,------,0.001171402,0.9999847931873217,3.602566178569819e-5,-1,7.205132357139638e-5
RFLNB,------,0.004312821,0.99958886472088615,3.641523114750182e-5,-1,7.283046229500363e-5
POM121,------,0.003384878,0.9999090331484313,3.710752344101186e-5,-1,7.421504688202371e-5
USP36,------,9.65413e-4,0.9999195608269666,3.728442907821579e-5,-1,7.456885815643158e-5
GABRG3,------,0.001534699,0.9999907232768621,3.8313548295714967e-5,-1,7.662709659142993e-5
CLUL1,------,0.011649265,0.9999997159752176,3.836227005433475e-5,-1,7.67245401086695e-5
CYTH4,++++++,0.002469272,3.842636722668973e-5,0.9992232738263028,1,7.685273445337946e-5
ASXL3,------,0.002256491,0.9996173669847829,3.935979818357716e-5,-1,7.871959636715433e-5
RNF157-AS1,-+----,0.005328348,0.9994636637988606,3.9813004918951456e-5,-1,7.962600983790291e-5
LRRC4,------,0.00586899,0.9999741861521426,4.001668877036431e-5,-1,8.003337754072862e-5
RP11-597D13.7,++++++,0.008728339,4.070203842478575e-5,0.9999966452051878,1,8.14040768495715e-5
PER3,++++++,0.005688337,4.1112421242661374e-5,0.9999982905034632,1,8.222484248532275e-5
SHANK1,------,0.010933975,0.9999955887334396,4.111395264486485e-5,-1,8.22279052897297e-5
MMACHC,++++++,0.002141633,4.136401938400133e-5,0.9999158429033643,1,8.272803876800265e-5
GANC,++++++,5.87023e-4,4.171114404314455e-5,0.9998576575128125,1,8.34222880862891e-5
MIR503HG,+++-++,0.003687713,4.1721666413944965e-5,0.9992337919763796,1,8.344333282788993e-5
BTD,++++++,2.71108e-4,4.1898039762175016e-5,0.9999689636603024,1,8.379607952435003e-5
