gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
PRPF18,--+++-+-,0.095339227,0.8069143376181016,0.513451129082373,-1,1.026902258164746
USP54,++++---+,0.257009938,0.10085105762119743,0.9915946205847569,1,0.20170211524239487
SLC35A1,++-++++-,0.296231119,0.8084504427368089,0.5775832135234445,-1,1.155166427046889
CFAP100,--+--+-+,0.194677949,0.8875887945088772,0.4111140401766713,-1,0.8222280803533426
LINC01285,+-+-++-+,0.106477798,0.5218267251320288,0.6828872934036775,1,1.0436534502640575
MAP3K4,++--+-+-,0.18522836,0.8008632116679635,0.3096344775223264,-1,0.6192689550446528
GOSR1,+-+-++-+,0.142767714,0.8014894468107457,0.21689088117496688,-1,0.43378176234993376
RP11-274B21.3,+-+--+++,0.062078057,0.6414324607404551,0.47065629369081047,-1,0.9413125873816209
RP11-13K12.2,+---++++,0.20077026,0.9795326799385332,0.17599761697982116,-1,0.35199523395964233
DNHD1,+-+-+--+,0.205947528,0.5622238240569378,0.6079189673597838,1,1.1244476481138757
RP13-492C18.2,--+-+--+,0.207567478,0.48535545251834183,0.8829845165717287,1,0.9707109050366837
MID2,-++-++--,0.14143437,0.6109219789351383,0.5409598398127351,-1,1.0819196796254702
GOLT1B,+++++---,0.049658482,0.07213653677808723,0.9845548203775032,1,0.14427307355617447
RPL3P5,+---++-+,0.158791136,0.6226831996030259,0.4868904784984818,-1,0.9737809569969637
PNMA1,--++++++,0.341836683,0.9743026677263238,0.2750433144419505,-1,0.550086628883901
FAM129C,-+--+++-,0.170038074,0.7841685055065383,0.4470955828632835,-1,0.894191165726567
PHF23,--+--+++,0.266746412,0.9156205584384131,0.26607324774860797,-1,0.5321464954972159
OCLNP1,------++,0.460123531,0.915881183659558,0.45317837566931307,-1,0.9063567513386261
RP11-96H19.1,+++++---,0.238661466,0.11705716661015643,0.989176653772002,1,0.23411433322031286
GJC1,-+--++++,0.168038587,0.9890968283334237,0.08455490592275769,-1,0.16910981184551538
LMTK2,---++-++,0.242044884,0.9581166450627487,0.24051290231396688,-1,0.48102580462793376
EXOSC10,+---++--,0.126500979,0.9590334648978305,0.1835500029668728,-1,0.3671000059337456
NOG,-++--+-+,0.206129886,0.6467460873896576,0.600259036861157,-1,1.200518073722314
IMPA1,++-+-+-+,0.265512394,0.5447803214915086,0.7761000900870668,1,1.0895606429830171
SNORD115-27,++--++--,0.044546295,0.507767225400855,0.4630429526829049,-1,0.9260859053658098
ARHGAP27P1-BPTFP1-KPNA2P3,+++-+-++,0.083487659,0.687600119508148,0.40280886684366046,-1,0.8056177336873209
RP11-571L19.8,-+-+++-+,0.265514358,0.6492406986747481,0.5254218192107284,-1,1.0508436384214568
AC020907.2,+----+++,0.178353727,0.926237261219744,0.19717320253010465,-1,0.3943464050602093
ANXA2P2,+-+-+--+,0.252920085,0.47346463894692964,0.7446005639806617,1,0.9469292778938593
LSG1,-+-+++++,0.388536464,0.8839868704104452,0.5673228134364796,-1,1.1346456268729592
OSBP,-+-+-+--,0.339047708,0.3885536662386146,0.878722709575039,1,0.7771073324772292
TTC26,-++-+---,0.314813396,0.48176185155857093,0.8360857138594646,1,0.9635237031171419
RP11-344P13.6,-+++-+-+,0.096930112,0.11650809975867123,0.9464070618645553,1,0.23301619951734245
ESYT2,-+--++++,0.244072179,0.9767713927107308,0.1546333478986065,-1,0.309266695797213
ZNF337-AS1,+++-+---,0.08079985,0.2516472788874184,0.8745999191424123,1,0.5032945577748368
CEACAMP5,----+-++,0.135569781,0.9846964882394816,0.07625688992852854,-1,0.15251377985705708
AC079630.4,-++++-+-,0.214731388,0.3696066878648521,0.7472285433623356,1,0.7392133757297042
RP1-69D17.4,-+--++-+,0.063655417,0.8592483348352573,0.23668203006045885,-1,0.4733640601209177
RP4-635E18.8,--+-++--,0.13048168,0.8487870893067263,0.3968782678281626,-1,0.7937565356563252
LINC01090,+---+-+-,0.209758733,0.8975197612368777,0.29800412815404614,-1,0.5960082563080923
LINC02208,+--++-++,0.177505239,0.8551395663169222,0.2963165034822031,-1,0.5926330069644062
GPR173,-+--+--+,0.254941835,0.8167277747463078,0.5324811381347028,-1,1.0649622762694055
NXPH4,--+--+-+,0.281573542,0.7827937317117667,0.4746543669646164,-1,0.9493087339292328
AFTPH,-+-+--+-,0.038011908,0.21184240957892422,0.9100437066419778,1,0.42368481915784845
AC006116.21,++--+++-,0.219211562,0.8891157229226303,0.2827885101871174,-1,0.5655770203742349
RP11-429J17.7,+---+-+-,0.163126063,0.8107317303438348,0.22361253745577606,-1,0.4472250749115521
CADPS,-----++-,0.378710108,0.7685325476806047,0.6532835656635809,-1,1.3065671313271618
SMARCD1,--+-++--,0.309473261,0.9318406816593926,0.3529991801440003,-1,0.7059983602880006
SETD9,-++-+--+,0.163806972,0.6748827941351934,0.5702372749509534,-1,1.1404745499019069
DPP9,----++++,0.062537189000000007,0.985843419782457,0.08076890210342329,-1,0.16153780420684657
MBLAC1,++--++++,0.326075132,0.9598777342694403,0.2992824188483666,-1,0.5985648376967332
RAD9A,-++--+++,0.064854159,0.9599119972286173,0.11728773159565821,-1,0.23457546319131642
CAPG,-++--++-,0.156117576,0.6048934409590077,0.6255236552641854,1,1.2097868819180153
FYCO1,+++-+--+,0.197007599,0.6068172689528186,0.6826759483504309,1,1.2136345379056372
ITPRIPL1,+-++-+--,0.097592113,0.26851263274212533,0.7902943550673214,1,0.5370252654842507
BAZ1B,+-+++--+,0.242038105,0.3760057078070583,0.761213661639242,1,0.7520114156141166
WBP11,+-+++-++,0.032640319,0.7177172429625973,0.3620198097767626,-1,0.7240396195535252
FOXO3B,--++--+-,0.061848587,0.3732406988713439,0.7313026691064433,1,0.7464813977426878
IGHEP2,----++--,0.107239266,0.9064499526647912,0.27519270009510644,-1,0.5503854001902129
EPN2,----+--+,0.40881451,0.8906821969608347,0.4563957769629261,-1,0.9127915539258522
ALG1L2,+++-+-++,0.054636364,0.4604943825461931,0.5092693256068481,1,0.9209887650923863
GS1-293C5.1,++---+-+,0.145416868,0.381869549031588,0.700678564924049,1,0.763739098063176
CAPN5,---+--++,0.10711409400000001,0.937142225853077,0.22425622958481528,-1,0.44851245916963056
LRTM2,---+++++,0.190279054,0.9575942067690756,0.2373000823064757,-1,0.4746001646129514
HECTD4,----++++,0.223135657,0.9978803574003543,0.07973107735145926,-1,0.15946215470291852
NCKIPSD,+-+++-++,0.237853508,0.75858257880495,0.6733599772471932,-1,1.3467199544943864
APOPT1,+-+-+-++,0.243950895,0.8063217136781022,0.5660301662611038,-1,1.1320603325222076
WDR93,++--+---,0.069188659,0.5135987794841599,0.5876757770260257,1,1.0271975589683198
NTSR2,++++----,0.215361245,0.17394040196714292,0.9910029974110504,1,0.34788080393428583
HSF2BP,+--++--+,0.049904816,0.8645233798242633,0.23327058048256036,-1,0.4665411609651207
RP11-300A12.2,+---+-++,0.208358044,0.9165416821733897,0.20844559453550657,-1,0.41689118907101314
ZNF300P1,+++-----,0.202629774,0.13125956030409816,0.9878395488444521,1,0.2625191206081963
USH2A,-++-+-+-,0.138776247,0.586253340767947,0.6456033006521325,1,1.172506681535894
CABP7,--++---+,0.250568853,0.4533969441355094,0.741633261531093,1,0.9067938882710188
AZIN2,+-+-+-++,0.2233107,0.8073911198673519,0.3982763837637917,-1,0.7965527675275834
ZNF114,+++--+--,0.178632622,0.2442818945259509,0.8504195190247846,1,0.4885637890519018
JAGN1,+-+--+-+,0.311792959,0.5230884869022372,0.8428463788461691,1,1.0461769738044744
SLC7A4,++++--+-,0.215757538,0.17243371888399966,0.9623303709092955,1,0.34486743776799933
RP11-149I23.3,+----+++,0.195086041,0.9868527906951076,0.09036728575616003,-1,0.18073457151232006
EPHA5,++++--+-,0.2504785,0.5070355755952587,0.8744537657996452,1,1.0140711511905174
SPATA22,++++----,0.147660954,0.08826153141433517,0.9915341971788789,1,0.17652306282867034
MCTP1,++-+--+-,0.325224894,0.29431210901200927,0.9344836074156465,1,0.5886242180240185
RP11-180C16.1,++-+-+-+,0.241056715,0.45188988226563453,0.7663309235082811,1,0.9037797645312691
CTC-241N9.1,++++----,0.165771267,0.08135981743807719,0.9975097276321173,1,0.16271963487615437
SFXN5,-+--+++-,0.062700758,0.8983356735459666,0.242610890026434,-1,0.485221780052868
INSM2,++---+-+,0.256305352,0.4214067397070949,0.6998546965334508,1,0.8428134794141898
FCF1P2,-+++++-+,0.023293755,0.21730069164590599,0.818082541381321,1,0.43460138329181197
ITGB7,++--++++,0.281037049,0.9015898119306464,0.40991257320576935,-1,0.8198251464115387
HLA-V,++--+---,0.030440468,0.5708187466232612,0.42402761857532256,-1,0.8480552371506451
HSPBAP1,+++-+---,0.223225142,0.20738861460207786,0.8715749419864014,1,0.4147772292041557
MMP28,+++--+--,0.126157224,0.4339755677841811,0.6161218695793204,1,0.8679511355683622
SMG9,--+-+-++,0.189414933,0.6903599426719995,0.6177226784305826,-1,1.2354453568611652
ST3GAL6-AS1,+--+-+-+,0.092623507,0.37317447878711524,0.6861121763473581,1,0.7463489575742305
MUC20-OT1,--+-++-+,0.178852845,0.9692275946157969,0.17855666275381657,-1,0.35711332550763314
CADM3,---+++++,0.08067979,0.9487893311596951,0.1544290340472391,-1,0.3088580680944782
DOP1B,----++++,0.201624723,0.9972895641746147,0.06552550083995569,-1,0.13105100167991138
RP11-198M15.1,---+++--,0.155589828,0.6656117847041889,0.6135810127229664,-1,1.2271620254459328
CFAP61,+++-+---,0.145159944,0.6410540540341982,0.5232288016432013,-1,1.0464576032864026
