gene_symbol,female_Nac_female_Subic_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
ITPR1,+-+-,0.073458351,0.6633939331009553,0.20988467641880154,-1,0.4197693528376031
IGF2BP3,--+-,0.244742227,0.6937884905077369,0.2552751312171748,-1,0.5105502624343496
C22orf23,++--,0.082011032,0.1159199411429852,0.946334007235085,1,0.2318398822859704
EEF1B2P3,--+-,0.261803735,0.9347468050844642,0.11610231840009419,-1,0.23220463680018838
HAGLR,++--,0.130337669,0.1415918001200683,0.9533544833435847,1,0.2831836002401366
ENO1,-+--,0.087528268,0.11055410283801527,0.7191980332264989,1,0.22110820567603054
RP3-497J21.1,--++,0.176845908,0.9503670724921147,0.15636186598201474,-1,0.31272373196402947
RP11-90H3.1,-++-,0.074554504,0.6752271438664721,0.18418677175248926,-1,0.36837354350497853
RBBP9,++-+,0.17190975,0.2138160920089304,0.9090211344848673,1,0.4276321840178608
PTGES3P1,++--,0.111390038,0.0644743987095142,0.982819869879285,1,0.1289487974190284
CTC-428H11.2,+-+-,0.062713256,0.5418876892120212,0.24376289289970787,-1,0.48752578579941575
MGP,--+-,0.127271973,0.9317477182379752,0.120486041445464,-1,0.240972082890928
CREBZF,+++-,0.268989692,0.24254412183626547,0.8844662444076651,1,0.48508824367253095
H3F3A,++++,0.318125817,0.7980195033572756,0.374032351667075,-1,0.74806470333415
BRF1,+-++,0.146980098,0.957433835950383,0.12070400289162266,-1,0.2414080057832453
SCARNA4,++--,0.080677832,0.1836211823064521,0.8928086381990097,1,0.3672423646129042
RN7SL124P,+++-,0.113380119,0.05801270301959787,0.9471692560611646,1,0.11602540603919574
LSAMP,-+--,0.086147547,0.05723476271874307,0.9382438138604837,1,0.11446952543748613
PCDH10,--++,0.068294702,0.9834487114451189,0.04956160086808705,-1,0.0991232017361741
PPP2R5E,-+--,0.200710283,0.23272786879711108,0.8606625991228415,1,0.46545573759422215
PDCD7,+-++,0.126908695,0.35876031127760805,0.7127529585539618,1,0.7175206225552161
CREBL2,-+--,0.22016081,0.4960838751137632,0.5772361064248188,1,0.9921677502275263
NPTXR,--+-,0.157886641,0.40886051020480785,0.6862796312610979,1,0.8177210204096157
GRIN2B,+---,0.09697493,0.21201777189174312,0.8662651163158889,1,0.42403554378348624
SLC22A25,-++-,0.198539229,0.5891290813067998,0.4660229269610836,-1,0.9320458539221672
MUS81,+-++,0.294904592,0.7247967602159908,0.3142536082050374,-1,0.6285072164100748
LSM5,+++-,0.151869603,0.09193754771593886,0.9170669192564831,1,0.18387509543187772
HLCS-IT1,+-++,0.131049487,0.8140068775601278,0.11820120174073176,-1,0.23640240348146352
SPATA1,++--,0.172990936,0.10438166477839769,0.9779843186090007,1,0.20876332955679539
DCAF8,+++-,0.227565189,0.31174175209506877,0.774343564119526,1,0.6234835041901375
NUCB1,+-++,0.227939298,0.6416349344059216,0.3149360931781706,-1,0.6298721863563412
LYRM1,-+-+,0.171256742,0.4448764891244857,0.533734219304335,1,0.8897529782489714
FAM24B,+++-,0.200729322,0.2700922367081182,0.637609624836497,1,0.5401844734162364
NCAN,---+,0.282755847,0.6546657032649617,0.4349338053267513,-1,0.8698676106535026
CADM3,----,0.404366222,0.6433658448341562,0.5227094121892768,-1,1.0454188243785536
STX18-IT1,++++,0.454259867,0.6542115473598444,0.5314968958837704,-1,1.0629937917675407
ZBTB39,++++,0.356375933,0.6860420899732005,0.494510823457506,-1,0.989021646915012
RP11-490O6.2,--+-,0.259405254,0.7918784010972687,0.3128396025482534,-1,0.6256792050965068
GUSBP9,++++,0.150709841,0.35387451126218955,0.7611435113285968,1,0.7077490225243791
NEK7,++++,0.36922834,0.45446616925789707,0.7161335870438026,1,0.9089323385157941
NXPE2,-+-+,0.076752129,0.30839653223582214,0.5883708961602993,1,0.6167930644716443
OR2L3,+-++,0.213912553,0.7711739788752341,0.26961774196981214,-1,0.5392354839396243
ST8SIA3,-+--,0.086592444,0.17988864934549237,0.8480302539863711,1,0.35977729869098474
NFIA-AS2,-++-,0.046615492,0.10568199978403252,0.8448729352595272,1,0.21136399956806504
RP11-66B24.4,---+,0.137948251,0.9413732477006987,0.07734392352623318,-1,0.15468784705246635
MAP4K3,+++-,0.028183262,0.033647613602335966,0.9088237104466232,1,0.06729522720467193
ATAT1,--++,0.075445759,0.9879384939780218,0.039557518581537963,-1,0.07911503716307593
AL359878.1,--++,0.174342325,0.943773001378525,0.1701804451556049,-1,0.3403608903112098
LRIT3,-+++,0.225444994,0.5215630650177855,0.5819151790010858,1,1.043126130035571
RP3-509I19.6,+---,0.139651058,0.2481186329928788,0.8427591452901607,1,0.4962372659857576
AC026310.1,----,0.128483057,0.8705989629170087,0.24690435178498762,-1,0.49380870356997525
TYSND1,-++-,0.126783043,0.618238785293123,0.27925832234585785,-1,0.5585166446917157
NNT,-+--,0.203007507,0.2683260678016981,0.8134352105394702,1,0.5366521356033962
RPL27,-+++,0.269560533,0.8465833799346052,0.20370796877361297,-1,0.40741593754722594
MMRN1,++--,0.042840629,0.06444343917310069,0.9531167167879271,1,0.12888687834620138
NBR2,+-++,0.217356652,0.9213370952912355,0.20109226080203566,-1,0.4021845216040713
UQCC1,-+++,0.200265968,0.6957582407852261,0.3149069848572286,-1,0.6298139697144572
PROM1,+-++,0.030778158,0.6635146714282532,0.07515852145829875,-1,0.1503170429165975
MED14,++++,0.251098694,0.7383404136941909,0.4090943988339325,-1,0.818188797667865
PEX10,-+++,0.158381338,0.9127073532239431,0.21120644497109367,-1,0.42241288994218734
RAB31,-+-+,0.072536458,0.2165106665716384,0.7810901851268074,1,0.4330213331432768
CTD-3138B18.5,+++-,0.159877082,0.124150252106777,0.8988990422048173,1,0.248300504213554
TCEA1,+++-,0.078112621,0.10890646171865735,0.9130117864341676,1,0.2178129234373147
DPP6,+++-,0.176060509,0.3980788727482678,0.5681809228130726,1,0.7961577454965356
FAHD2A,+-++,0.174832642,0.8181438100391829,0.23178539947994867,-1,0.46357079895989733
CCT6A,-++-,0.200188095,0.24172411366493823,0.5418521938116495,1,0.48344822732987647
ZNRF2P2,-+++,0.187691984,0.8857338069378704,0.25364362943937424,-1,0.5072872588787485
RP11-238K6.1,+--+,0.072470236,0.19089826750087613,0.5834923651421682,1,0.38179653500175226
RP11-319G9.3,+-++,0.284421826,0.6481409066455446,0.45148970806568006,-1,0.9029794161313601
ADD3,++--,0.087280626,0.04223089163456726,0.9917348050914689,1,0.08446178326913452
RP11-284F21.10,+-++,0.310983528,0.807346799232913,0.32639476253053745,-1,0.6527895250610749
KAT6B,--++,0.123208256,0.9882631008546384,0.0660573047131265,-1,0.132114609426253
PDSS2,-+--,0.150991787,0.22863993568532032,0.8146764583997801,1,0.45727987137064063
FAAHP1,+-+-,0.059347295,0.7784152362909343,0.20546803251524157,-1,0.41093606503048313
COA7,++++,0.418846586,0.5776992536722945,0.6064754497307941,1,1.155398507344589
ERCC4,+++-,0.254557357,0.28494756390285364,0.8675939749592787,1,0.5698951278057073
RHOJ,---+,0.278096496,0.7195017594448623,0.28447708105249336,-1,0.5689541621049867
AC010642.1,+-+-,0.197543139,0.5556578295706425,0.36331034155365416,-1,0.7266206831073083
SEC62,++--,0.035759248,0.035576468585312576,0.9694634663841731,1,0.07115293717062515
RNU2-59P,+++-,0.162380364,0.20138093294482595,0.9155395954122998,1,0.4027618658896519
BAIAP2,--+-,0.129304401,0.826442889572386,0.2557286896426917,-1,0.5114573792853834
VPS11,++--,0.11348641,0.15390833534273388,0.9406615436523021,1,0.30781667068546775
MELTF-AS1,+-+-,0.092410921,0.6325425251154608,0.18809701803841258,-1,0.37619403607682517
ACYP2,-+--,0.054458001,0.18604257216890166,0.7972421762608404,1,0.3720851443378033
SNORA53,++-+,0.247347373,0.19397178397249162,0.91719408189619,1,0.38794356794498325
HLF,---+,0.253465679,0.8369731140397693,0.28128967875632765,-1,0.5625793575126553
NRK,+-++,0.182730076,0.8889212529768956,0.18265800605216076,-1,0.3653160121043215
INTU,-+--,0.063173674,0.07772066286680322,0.9288835575770649,1,0.15544132573360644
VPS37B,--+-,0.12722948,0.8353459156247642,0.1793434291018923,-1,0.3586868582037846
MAP6,--++,0.095359914,0.959286325453404,0.10843918922224922,-1,0.21687837844449845
RANBP9,-+++,0.238889154,0.5296129733758013,0.5894314121905251,1,1.0592259467516025
