gene_symbol,male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
RP11-803P9.1,----+-,0.017663533,0.9722382061374404,0.018537822213889058,-1,0.037075644427778116
PRKCD,++++++,0.05596356,0.01854590779651121,0.9983493548411464,1,0.03709181559302242
TRAF6,+-----,0.02025234,0.9671524650940098,0.018565627282091934,-1,0.03713125456418387
MRPS33,+++++-,0.055291351,0.01856905923825587,0.9531325344490541,1,0.03713811847651174
RESF1,+-----,0.052922527,0.9811686244480129,0.018584225062365553,-1,0.037168450124731106
HYI,++++++,0.119258646,0.018584433959632416,0.9993245626582905,1,0.03716886791926483
RP11-576C2.1,----++,0.029355042,0.9832550285190532,0.01859012750639436,-1,0.03718025501278872
ZNRF3-IT1,----+-,0.014987355,0.9394406986508617,0.018600817277301528,-1,0.037201634554603055
DUSP5,------,0.024725869,0.9887989206096556,0.018610370646091893,-1,0.037220741292183786
MTURN,--++++,0.026367046,0.018611722622072818,0.9532064268186613,1,0.037223445244145635
ABHD17A,++++-+,0.040122221,0.01862840510997915,0.913183266152265,1,0.0372568102199583
ANKRD28,+---++,0.024438847,0.6522865921055043,0.0186362790277199,-1,0.0372725580554398
THOC5,++++++,0.043021417,0.018647389664546446,0.9956324843210967,1,0.03729477932909289
EBNA1BP2,++++++,0.077252986,0.018653196942759118,0.9980964744511357,1,0.037306393885518235
GMNN,-----+,0.014122918,0.990024674813143,0.01866349728154653,-1,0.03732699456309306
AC011816.1,+-----,0.03683593,0.9735718591119177,0.018684100175772003,-1,0.037368200351544006
IGSF9B,++++++,0.046085535,0.018689230132234422,0.998772241269025,1,0.037378460264468845
AC105393.2,+-+---,0.001543614,0.6386997268568905,0.018704806421495492,-1,0.037409612842990984
KLF11,++++-+,0.050001802,0.018715486264030766,0.9888151350854787,1,0.03743097252806153
SYPL1,------,0.019061512,0.9901391100813871,0.018716118535182055,-1,0.03743223707036411
WASHC5,------,0.018762923,0.9893690610903341,0.018731504748513966,-1,0.03746300949702793
ZNF607,------,0.033338652,0.9926977409541997,0.018736942384042055,-1,0.03747388476808411
NOL3,+-++++,0.040532281,0.018745215412948716,0.9908281105366686,1,0.03749043082589743
DHX16,++++++,0.026718337,0.01874894776810026,0.9949518899500127,1,0.03749789553620052
SNORD108,------,0.022755312,0.9949864747919018,0.01875169081012474,-1,0.03750338162024948
TRGC1,++++++,0.031759678,0.01875862896682613,0.9980652586100784,1,0.03751725793365226
C12orf60,------,0.005541237,0.9848370779526028,0.0187667143577065,-1,0.037533428715413
PI4KAP2,++++++,0.125823019,0.018780592472485556,0.9993268091462193,1,0.03756118494497111
SLCO5A1,-+----,0.02467964,0.9662979262274198,0.018790352064338493,-1,0.037580704128676985
RNASEH1-AS1,------,0.164039777,0.9996624047364091,0.018801091116928972,-1,0.037602182233857945
WDR35,----+-,0.121635003,0.9970799592902791,0.018809593979112714,-1,0.03761918795822543
RANBP3L,-----+,0.069392993,0.9956746270145382,0.018824412101057345,-1,0.03764882420211469
RBPJ,----++,0.045115234,0.9717383419180982,0.018824954826141153,-1,0.03764990965228231
RP1-269M15.3,++++-+,0.006664972,0.01884011272006962,0.9836703230978995,1,0.03768022544013924
KCNH1,++++--,0.033301689,0.018840327926291176,0.9722472879868153,1,0.03768065585258235
RP11-173P15.3,-+++-+,0.006359972,0.018854356679938344,0.8843409484853764,1,0.03770871335987669
