gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_female_Nac_female_Subic_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
CERS5,+----+----+-,0.002880387,0.7967572989648183,0.11659211937197818,-1,0.23318423874395636
PPM1F,------++++++,0.001028317,0.9999989153900319,1.9912576354467944e-5,-1,3.982515270893589e-5
SLC24A4,------++--+-,0.028412298,0.83458413109711,0.021645801119343593,-1,0.04329160223868719
AC000068.5,++++++---+-+,0.023219137,0.012215454117681955,0.9972499330522352,1,0.02443090823536391
C5orf47,++-+++++--++,0.108986316,0.3047227848184503,0.6332239334119788,1,0.6094455696369006
TBC1D1,++--+-+++++-,0.021170914,0.9690038624972956,0.02500043846492928,-1,0.05000087692985856
HIST1H4A,--+----++--+,0.007236424,0.6706595874324749,0.019682133361144962,-1,0.039364266722289924
CTC-228N24.2,---+--+---+-,0.011489463,0.6273178563929522,0.18996395082637066,-1,0.3799279016527413
TRIM56,--+-++++++++,0.080666345,0.8841319479425305,0.08139838718571445,-1,0.1627967743714289
RP11-5N19.3,+---+-----+-,0.006829213,0.05227720940934934,0.7551561444731929,1,0.10455441881869867
PALD1,-++--+++++++,0.071018614,0.9090848358120527,0.05746545645926146,-1,0.11493091291852292
C6orf62,-+++-+------,0.026456028,0.0034990868049606457,0.9991045864671885,1,0.006998173609921291
ZBTB1,--+-+++---+-,0.007281725,0.031860217414057805,0.8403020869091866,1,0.06372043482811561
SCAMP1-AS1,++++-++--++-,0.005075445,0.01778806589376346,0.9614437465503529,1,0.03557613178752692
LRFN2,------+++---,0.053587492,0.99106050473934,0.0070251346426742816,-1,0.014050269285348563
THOC3,--+--+--+---,0.03100978,0.016680204376525277,0.8827777066437954,1,0.033360408753050554
SCHIP1,----++----+-,0.017922973,0.05196394577103786,0.6721952031981634,1,0.10392789154207573
NAA25,+++++++---+-,0.016440532,8.812787408818701e-4,0.9974135845360002,1,0.0017625574817637401
CTD-2587M2.1,-+++++------,0.077862438,0.004599964916840141,0.9926013243197692,1,0.009199929833680282
SLC46A3,++++++-+-++-,0.026756311,0.02886989493512714,0.9526549141502447,1,0.05773978987025428
UBE2B,------++++--,0.010635717,0.9949235536933015,0.006793358522382492,-1,0.013586717044764983
ACTG1P14,+++-++++++-+,0.090355924,0.34999647815935286,0.46803326112939675,1,0.6999929563187057
AVPI1,++-++--+++-+,0.032704645,0.10885535368202127,0.6720193597421441,1,0.21771070736404255
SETP11,+-+-+-+---+-,0.017940273,0.15782631135658284,0.4731680888000807,1,0.3156526227131657
MIB2,+---+-++++++,0.003172359,0.9993965216902437,5.935787829900419e-4,-1,0.0011871575659800839
RP11-316M1.12,++++++-+-+--,0.018776797,0.007796636998762128,0.9104416566658337,1,0.015593273997524255
DNASE2,++++++--+--+,0.016888292,3.2659563869966157e-4,0.9996338181648232,1,6.531912773993231e-4
EEF1A1P19,+++---+-+++-,0.001021324,0.01698991112615849,0.5593269853773818,1,0.03397982225231698
BEX5,++++-+++++-+,0.061768628,0.7860071758734778,0.15555466774816273,-1,0.31110933549632547
NLGN4X,--+--+------,0.166048597,0.17613175914310494,0.8764611949117972,1,0.3522635182862099
TGM3,+++++++-+-+-,0.088452966,0.08286580443963733,0.8329164161360391,1,0.16573160887927466
HLA-DMA,+++-++++++-+,0.041692188,0.2816004050838645,0.6553548510431941,1,0.563200810167729
ARHGEF10L,-++---++++++,0.017987565,0.9999138592766806,5.118529400769082e-4,-1,0.0010237058801538163
RP11-264L1.3,----++-----+,0.031591918,0.1237942591544916,0.49871254155478617,1,0.2475885183089832
DNAJC3-DT,++++-+---+--,0.021964487,9.620115593878284e-4,0.9992850394404655,1,0.0019240231187756568
GNPDA1,++++-++-++--,0.011830956,0.10855028596159606,0.6137412396760913,1,0.21710057192319213
C1S,++++++++-++-,0.047767563,0.04512443048941876,0.9526904587169128,1,0.09024886097883753
ZC3H11A,+-+-+++---++,0.005418798,0.041382060327761504,0.7005107249607025,1,0.08276412065552301
TASOR,++++++----++,0.013632989,5.909846233798433e-4,0.9990820309191767,1,0.0011819692467596866
AL512428.1,-+---++---++,0.011222485,0.4204181391169337,0.032101398734595075,-1,0.06420279746919015
UGDH,-+----++-+-+,0.027234042,0.8118862144511935,0.058440734514086934,-1,0.11688146902817387
MRPL44,++++++-++---,0.010918143,0.017169403780568637,0.9803982756726871,1,0.034338807561137275
ZSCAN18,+++--++++++-,0.015149766,0.5473462613227212,0.19995272369492564,-1,0.3999054473898513
EAF2,++++++++--++,0.032640787,0.16801083155013474,0.7793044659588567,1,0.3360216631002695
KCNH7,++----++++-+,0.035334322,0.9949637536171312,0.002651798979996483,-1,0.005303597959992966
MAML3,+-+-++++-+--,0.041938478,0.10270972469038808,0.5926643371543489,1,0.20541944938077616
VN1R82P,+----++---+-,0.01644472,0.12702158602354097,0.6598756372019345,1,0.25404317204708193
ANKRD20A3,++--+-----+-,0.016216881,0.3759516470950085,0.2876769371573007,-1,0.5753538743146014
FANCG,+++--+++++++,0.065427036,0.6006487062459807,0.3578117613957659,-1,0.7156235227915319
ZNF852,--+---+---++,0.004687057,0.7379036239557429,0.11556479891572863,-1,0.23112959783145726
IDH3G,++-+--+++++-,0.01569409,0.9570108615954944,0.013953440825049181,-1,0.027906881650098362
GATAD1,+++-+++---++,0.002292769,0.011106355043796645,0.9820167144445814,1,0.02221271008759329
RPS3A,++---+++++++,0.019702246,0.9773085898859142,0.04058097888752024,-1,0.08116195777504048
WASH8P,-----+------,0.058926462,0.14451730747776378,0.9031043911819258,1,0.28903461495552757
CD160,++-+-+-+++--,0.001757794,0.29377473133784093,0.3777987355553657,1,0.5875494626756819
RNU6-1272P,----------+-,0.0455377,0.7671475439859722,0.1065979857085618,-1,0.2131959714171236
DIS3L,++++-+++++-+,0.062685358,0.028966313196430997,0.9814226900816044,1,0.057932626392861994
RP11-408A13.3,++----+-----,3.62584e-4,0.018383249110160323,0.9393458858769006,1,0.036766498220320645
SMUG1,+++++++-++++,0.127162216,0.3199247320672642,0.6736276277828204,1,0.6398494641345284
TCF19,+++-++-+-+++,0.069958026,0.12941369838879052,0.8760466547046398,1,0.25882739677758104
FST,+-+--+-+----,0.012445485,0.16688121076620843,0.5042500099982936,1,0.33376242153241686
PTER,++-+-+-++++-,0.005800249,0.5564633772720715,0.2316718455871257,-1,0.4633436911742514
RPL31P54,-+---+-----+,0.01729364,0.03872360475967239,0.936279402792628,1,0.07744720951934478
SRGAP3,----+-+-----,0.091654532,0.7405640377522125,0.21707679468302377,-1,0.43415358936604753
NSMCE1,++++-++++++-,0.05754163,0.21219921331783578,0.7817562911823294,1,0.42439842663567157
VWA2,-++++-++++++,0.018672623,0.7934842944668647,0.18021317087057995,-1,0.3604263417411599
MLLT1,------++++++,0.011696893,0.9999982280418032,1.723812241166883e-5,-1,3.447624482333766e-5
AL137059.1,++-+-+++++-+,0.053282779,0.7952318211286584,0.11550946195254032,-1,0.23101892390508064
MICOS10,-++---++++-+,0.009576649,0.9735837005534584,4.968284791813082e-4,-1,9.936569583626164e-4
PBX2,+---+-+-++++,0.004989828,0.9981575639338136,1.449956088498467e-4,-1,2.899912176996934e-4
LRRC47,-+++-+++++-+,0.006511957,0.9178386755949225,0.07792971913834341,-1,0.15585943827668683
ERBB3,++++++---+++,0.019996383,0.004040827113113765,0.990315734241063,1,0.00808165422622753
RP11-171I2.5,-+--+-+----+,0.027444038,0.06563655347691805,0.739008826154017,1,0.1312731069538361
CHCHD3,++++-++++-+-,0.057534321,0.3328274307140092,0.4903968121420209,1,0.6656548614280184
AGO4,--+-+-+---++,0.028706972,0.2536050581949547,0.14276524089580966,-1,0.28553048179161933
RP11-737O24.3,--+-+-+---++,0.030137159,0.11763044483959076,0.5328245735839154,1,0.23526088967918152
SEM1,+-+++++--+++,0.019820752,0.1168466593804491,0.4147502057074683,1,0.2336933187608982
SLIT1,------+---+-,0.02062425,0.9853864477116032,0.039636484986314294,-1,0.07927296997262859
XRCC1,+-+-+-++++++,0.018600667,0.9958349385795434,0.002882953036358593,-1,0.005765906072717186
RP11-412D9.4,+++++---+---,0.011241849,0.0028601142707154045,0.9943845169414954,1,0.005720228541430809
MTCYBP35,+-+-+-++++++,0.011344256,0.9789229440730427,0.011305639754363566,-1,0.02261127950872713
RP11-53B2.6,------+---++,0.041384241,0.8605298458073759,0.049692653077646996,-1,0.09938530615529399
UBE4A,-+++-+-+----,6.42624e-4,1.7145797164402962e-5,0.9974749945698425,1,3.4291594328805924e-5
GLIS2,------++++++,0.011930123,0.9999807289653797,8.293771206175264e-5,-1,1.6587542412350528e-4
RP11-315I14.2,--------++-+,0.024983088,0.9805588496804769,0.025941962727688197,-1,0.051883925455376394
KIFC2,------++++++,0.007157893,0.9999884958401207,1.7355704687145227e-5,-1,3.4711409374290455e-5
RAD9B,++++++---+++,0.032250145,0.023266437741570667,0.9868818698932953,1,0.046532875483141334
PLEKHM3,++-+--++++++,0.02386502,0.8498656409499407,0.04589078307555368,-1,0.09178156615110736
IL15RA,+++-++++-++-,0.082347,0.342158071118124,0.3298308787576461,-1,0.6596617575152922
ZFHX2,----+-+--+++,0.009612491,0.9909947339377093,0.012227009684297668,-1,0.024454019368595335
RILP,-++++-+-++++,0.01617779,0.4194148783227983,0.2600624631538917,-1,0.5201249263077834
INTS11,--+-+-++++++,0.026967567,0.9978580306232121,0.006654787554490384,-1,0.013309575108980768
RP1-161N10.1,----+--+---+,0.0109362,0.9175525358746686,0.033334842540110876,-1,0.06666968508022175
SNRNP40,++++++----+-,0.00171835,0.004397677102905487,0.9955434719844894,1,0.008795354205810974
BRSK1,------++++-+,0.005403006,0.9999966257676914,1.3862456275411415e-5,-1,2.772491255082283e-5
NTRK2,++--++-----+,0.032451473,0.012862021905057683,0.9917855710007981,1,0.025724043810115366
COPS8,-+++-+++++--,0.066982093,0.2645917940893687,0.2918371069408485,1,0.5291835881787375
EPRS,++++-+------,0.002610611,4.207030563995649e-5,0.9999773355533035,1,8.414061127991298e-5
AP3M2,++++-+--+---,0.005967721,0.0018791829434723975,0.9965775048000073,1,0.003758365886944795
FUCA2,+++-++------,0.019928841,0.0015727304356981232,0.9998440374387423,1,0.0031454608713962465
BLOC1S6,++++-+++++--,0.07090482,0.3018057118482549,0.4622861068739855,1,0.6036114236965098
SPR,++++-+-++++-,0.013816205,0.12474219978529505,0.6788040598929315,1,0.2494843995705901
ZNF362,------++++-+,0.008220992,0.9949719097411741,7.010751426093516e-4,-1,0.0014021502852187033
EID1,++++-+++++--,0.034251323,0.19358622919664234,0.5196273844369319,1,0.3871724583932847
ANKRD30BP1,++++++++++++,0.117998292,0.31148404385750633,0.736718944293896,1,0.6229680877150127
SP2,------+-++-+,0.00895978,0.9990119196958965,0.002268011081276486,-1,0.004536022162552972
MRPL23,++++-+--++-+,0.032116364,0.2844520672451088,0.45694726538580577,1,0.5689041344902176
PITRM1-AS1,----++-+-+--,0.03612669,0.20386548732360113,0.5303453611514237,1,0.40773097464720226
RIMBP2,------+++---,0.031848637,0.9337314636718507,0.014807365727031598,-1,0.029614731454063195
LMF1,+-+-+-++++++,0.027458383,0.9743815084104734,0.004278796691152104,-1,0.008557593382304208
CTD-2002H8.2,++--+-++-+-+,0.006082998,0.7848990263244995,0.03828561424918816,-1,0.07657122849837632
ZNF445,--+---+---++,0.031563494,0.5886550720620767,0.16163654408938713,-1,0.32327308817877426
ANGPTL2,++++++---+++,0.010512301,0.048549286618974376,0.9666614410334952,1,0.09709857323794875
MLIP,------+++--+,0.035212612,0.9869823102799413,5.824681729802617e-4,-1,0.0011649363459605233
RP11-235E17.6,+-+++-+---+-,0.014449483,0.165982410276899,0.3185641401918717,1,0.331964820553798
MSANTD3,--------+--+,0.026779358,0.9796725312675552,0.02332644666283173,-1,0.04665289332566346
SEC24AP1,---+------++,0.018852624,0.16558672194837037,0.612219463585271,1,0.33117344389674075
TRGC2,+-++++++++++,0.013822241,0.9912804385533756,0.038125064574177546,-1,0.07625012914835509
CLIC4,++++++---++-,0.036049501,0.00192444821298412,0.9996725942922355,1,0.00384889642596824
PEAR1,---++-++++++,0.027461003,0.9745577252158245,0.02715536413690551,-1,0.05431072827381102
FAM185BP,+++---++++++,0.053724363,0.657219946563106,0.26606143431060686,-1,0.5321228686212137
RP11-745L13.2,-+-+++-+--+-,0.015153366,0.0044165399456782255,0.8370483499230181,1,0.008833079891356451
GRM2,+-----+-+--+,0.071433549,0.8934366176237435,0.02028767331958214,-1,0.04057534663916428
AP001429.1,----+-++--+-,0.017860493,0.5992100553863173,0.10254787284598212,-1,0.20509574569196423
PHF10,-+--+------+,0.005750285,0.030822665707848557,0.9378918622348426,1,0.06164533141569711
HMCN2,------++-+++,0.03601574,0.99987209799174,0.0018071349049995993,-1,0.0036142698099991986
CDH2,--------+--+,0.060951072,0.48679924169948974,0.4542632001737485,-1,0.908526400347497
THNSL2,-+----------,0.117934489,0.35911848478850983,0.6951559121640994,1,0.7182369695770197
KRBA2,+++-+++---+-,0.012463567,0.075881761008888,0.9202034511395832,1,0.151763522017776
RCSD1,-++-++++++++,0.040492251,0.9702172643846597,0.041964449449004675,-1,0.08392889889800935
SNCB,------++++-+,0.001066591,0.9985531304091133,1.3014046101459813e-4,-1,2.6028092202919626e-4
AC010884.1,+-++-++++++-,0.057684281,0.6845182320311467,0.19597511679126317,-1,0.39195023358252634
GALNT14,--------++++,0.014831195,0.9991162887798026,0.0011441210014772412,-1,0.0022882420029544824
C12orf43,-+----++++++,0.017629906,0.9997273344185312,3.012887619134469e-4,-1,6.025775238268938e-4
SDF4,+-+---++++++,0.033619191,0.9980133834958217,0.004797177634721734,-1,0.009594355269443468
SPRYD7,+-++-++++++-,0.044455913,0.8010715108973847,0.14794818408468355,-1,0.2958963681693671
NEPRO,-----+++--+-,0.015231749,0.8411179115661243,0.05327661839998032,-1,0.10655323679996064
PID1,-------+++-+,0.016930831,0.9919274408868486,0.00834332226024745,-1,0.0166866445204949
SPTBN2,------++++++,0.008360569,0.9999995638925275,3.622977390811822e-6,-1,7.245954781623644e-6
CTD-2555K7.2,+++-++++--++,0.044910285,0.02700516072286723,0.9184731861369441,1,0.05401032144573446
CHP1,++-+-+-+++--,0.037196147,0.1440301313604182,0.46670593377686354,1,0.2880602627208364
TIFA,++++++-++++-,0.107711161,0.11814961235139244,0.8954340221148742,1,0.2362992247027849
BVES,-+++-+------,0.05296017,0.0022442510130996703,0.9998065571537624,1,0.0044885020261993406
MIR940,+++-++++++--,0.037323556,0.3045551034483226,0.32544610531871554,1,0.6091102068966452
USP9X,++-+++------,0.044766862,8.637816620050183e-5,0.9999917522980876,1,1.7275633240100365e-4
HTATSF1P2,------++----,0.04920494,0.9095895135358025,0.07769700254389701,-1,0.15539400508779402
ASB13,+++++--++++-,0.033938958,0.4286136999271691,0.4766216668759741,1,0.8572273998543382
SPDL1,+-+-+++--+++,0.037101879,0.33513565067282247,0.27217810822837096,-1,0.5443562164567419
RPS15A,+-+---++++++,0.016725609,0.989945112509552,0.004589577205612398,-1,0.009179154411224796
ERCC6,--+-++----++,0.004289321,0.0024633457820567536,0.9627159560174866,1,0.004926691564113507
NCKAP5-IT1,+++++++---++,0.036763118,6.700173212997296e-4,0.9972245472876515,1,0.0013400346425994593
AC117395.1,-++-++-++---,0.012355466,0.022570819082582422,0.9165005847933376,1,0.045141638165164845
HNRNPDL,+-+-+++--+++,0.020641859,0.593389056052864,0.28431805363729706,-1,0.5686361072745941
GALC,++++++----+-,0.070975561,0.003853409408844902,0.9995114007610685,1,0.007706818817689804
RN7SKP95,----++----++,0.0338828,0.03540659557719054,0.8379207709780999,1,0.07081319115438107
HNRNPD,----+-++--++,0.02293047,0.9370358171772943,0.03972732470555111,-1,0.07945464941110222
HMGCL,++++++-+--+-,0.003802606,0.012901503003078336,0.994379724586696,1,0.025803006006156672
HPF1,++++++--+---,0.033665477,0.016159395586961632,0.9955242978915886,1,0.032318791173923264
MIF4GD,+++---++-++-,0.003169608,0.07071333725574942,0.7389340643151234,1,0.14142667451149885
