brain_region,region_location
VIIIB paravermis, VIIIB paravermis <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
VIIIB lateral hemisphere, VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
IX paravermis, IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
IX lateral hemisphere, IX lateral hemisphere <  IX  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
X paravermis, X paravermis <  X  <  flocculonodular lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
X lateral hemisphere, X lateral hemisphere <  X  <  flocculonodular lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
cingulate gyrus frontal part superior bank of gyrus, cingulate gyrus frontal part superior bank of gyrus <  cingulate gyrus frontal part  <  cingulate gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
cingulate gyrus frontal part inferior bank of gyrus, cingulate gyrus frontal part inferior bank of gyrus <  cingulate gyrus frontal part  <  cingulate gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
cingulate gyrus parietal part superior bank of gyrus, cingulate gyrus parietal part superior bank of gyrus <  cingulate gyrus parietal part  <  cingulate gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
cingulate gyrus parietal part inferior bank of gyrus, cingulate gyrus parietal part inferior bank of gyrus <  cingulate gyrus parietal part  <  cingulate gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
cingulate gyrus retrosplenial part superior bank of gyrus, cingulate gyrus retrosplenial part superior bank of gyrus <  cingulate gyrus retrosplenial part  <  cingulate gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
cingulate gyrus retrosplenial part inferior bank of gyrus, cingulate gyrus retrosplenial part inferior bank of gyrus <  cingulate gyrus retrosplenial part  <  cingulate gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
presubiculum, presubiculum <  subiculum  <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
parasubiculum, parasubiculum <  subiculum  <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
prosubiculum, prosubiculum <  subiculum  <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
subiculum proper, subiculum proper <  subiculum  <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
angular gyrus superior bank of gyrus, angular gyrus superior bank of gyrus <  angular gyrus  <  inferior parietal lobule  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
