brain_region,region_location
inferior frontal gyrus opercular part, inferior frontal gyrus opercular part <  inferior frontal gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
inferior frontal gyrus orbital part, inferior frontal gyrus orbital part <  inferior frontal gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
inferior frontal gyrus triangular part, inferior frontal gyrus triangular part <  inferior frontal gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
middle frontal gyrus superior bank of gyrus, middle frontal gyrus superior bank of gyrus <  middle frontal gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
middle frontal gyrus inferior bank of gyrus, middle frontal gyrus inferior bank of gyrus <  middle frontal gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
paracentral lobule anterior part superior bank of gyrus, paracentral lobule anterior part superior bank of gyrus <  paracentral lobule anterior part  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
paracentral lobule anterior part inferior bank of gyrus, paracentral lobule anterior part inferior bank of gyrus <  paracentral lobule anterior part  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
precentral gyrus bank of the precentral sulcus, precentral gyrus bank of the precentral sulcus <  precentral gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
precentral gyrus superior lateral aspect of gyrus, precentral gyrus superior lateral aspect of gyrus <  precentral gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
precentral gyrus inferior lateral aspect of gyrus, precentral gyrus inferior lateral aspect of gyrus <  precentral gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
precentral gyrus bank of the central sulcus, precentral gyrus bank of the central sulcus <  precentral gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
superior frontal gyrus medial bank of gyrus, superior frontal gyrus medial bank of gyrus <  superior frontal gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
superior frontal gyrus lateral bank of gyrus, superior frontal gyrus lateral bank of gyrus <  superior frontal gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
cingulate gyrus frontal part, cingulate gyrus frontal part <  cingulate gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
cingulate gyrus parietal part, cingulate gyrus parietal part <  cingulate gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
cingulate gyrus retrosplenial part, cingulate gyrus retrosplenial part <  cingulate gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
subcallosal cingulate gyrus, subcallosal cingulate gyrus <  cingulate gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
dentate gyrus, dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
CA1 field, CA1 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
CA2 field, CA2 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
CA3 field, CA3 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
CA4 field, CA4 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
indusium griseum, indusium griseum <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
subiculum, subiculum <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
parahippocampal gyrus lateral bank of gyrus, parahippocampal gyrus lateral bank of gyrus <  parahippocampal gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
parahippocampal gyrus bank of the cos, parahippocampal gyrus bank of the cos <  parahippocampal gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter 
cuneus peristriate, cuneus peristriate <  cuneus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter 
cuneus striate, cuneus striate <  cuneus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter 
inferior occipital gyrus superior bank of gyrus, inferior occipital gyrus superior bank of gyrus <  inferior occipital gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter 
inferior occipital gyrus inferior bank of gyrus, inferior occipital gyrus inferior bank of gyrus <  inferior occipital gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter 
lingual gyrus peristriate, lingual gyrus peristriate <  lingual gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter 
lingual gyrus striate, lingual gyrus striate <  lingual gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter 
occipital pole superior aspect, occipital pole superior aspect <  occipital pole  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter 
occipital pole inferior aspect, occipital pole inferior aspect <  occipital pole  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter 
occipital pole lateral aspect, occipital pole lateral aspect <  occipital pole  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter 
occipito temporal gyrus superior bank of gyrus, occipito temporal gyrus superior bank of gyrus <  occipito temporal gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter 
occipito temporal gyrus inferior bank of gyrus, occipito temporal gyrus inferior bank of gyrus <  occipito temporal gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter 
superior occipital gyrus superior bank of gyrus, superior occipital gyrus superior bank of gyrus <  superior occipital gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter 
superior occipital gyrus inferior bank of gyrus, superior occipital gyrus inferior bank of gyrus <  superior occipital gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter 
angular gyrus, angular gyrus <  inferior parietal lobule  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
supramarginal gyrus, supramarginal gyrus <  inferior parietal lobule  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
paracentral lobule posterior part lateral bank of gyrus, paracentral lobule posterior part lateral bank of gyrus <  paracentral lobule posterior part  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
paracentral lobule posterior part bank of cingulate sulcus, paracentral lobule posterior part bank of cingulate sulcus <  paracentral lobule posterior part  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
postcentral gyrus bank of the central sulcus, postcentral gyrus bank of the central sulcus <  postcentral gyrus  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
postcentral gyrus superior lateral aspect of gyrus, postcentral gyrus superior lateral aspect of gyrus <  postcentral gyrus  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
postcentral gyrus inferior lateral aspect of gyrus, postcentral gyrus inferior lateral aspect of gyrus <  postcentral gyrus  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
postcentral gyrus bank of the posterior central sulcus, postcentral gyrus bank of the posterior central sulcus <  postcentral gyrus  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
precuneus superior lateral bank of gyrus, precuneus superior lateral bank of gyrus <  precuneus  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
precuneus inferior lateral bank of gyrus, precuneus inferior lateral bank of gyrus <  precuneus  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
superior parietal lobule superior bank of gyrus, superior parietal lobule superior bank of gyrus <  superior parietal lobule  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
superior parietal lobule inferior bank of gyrus, superior parietal lobule inferior bank of gyrus <  superior parietal lobule  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
fusiform gyrus bank of the its, fusiform gyrus bank of the its <  fusiform gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
fusiform gyrus lateral bank of gyrus, fusiform gyrus lateral bank of gyrus <  fusiform gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
fusiform gyrus bank of cos, fusiform gyrus bank of cos <  fusiform gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
inferior temporal gyrus bank of the its, inferior temporal gyrus bank of the its <  inferior temporal gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
inferior temporal gyrus lateral bank of gyrus, inferior temporal gyrus lateral bank of gyrus <  inferior temporal gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
inferior temporal gyrus bank of mts, inferior temporal gyrus bank of mts <  inferior temporal gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
middle temporal gyrus superior bank of gyrus, middle temporal gyrus superior bank of gyrus <  middle temporal gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
middle temporal gyrus inferior bank of gyrus, middle temporal gyrus inferior bank of gyrus <  middle temporal gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
superior temporal gyrus lateral bank of gyrus, superior temporal gyrus lateral bank of gyrus <  superior temporal gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
superior temporal gyrus inferior bank of gyrus, superior temporal gyrus inferior bank of gyrus <  superior temporal gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
temporal pole superior aspect, temporal pole superior aspect <  temporal pole  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
temporal pole inferior aspect, temporal pole inferior aspect <  temporal pole  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
temporal pole medial aspect, temporal pole medial aspect <  temporal pole  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
amygdalohippocampal area, amygdalohippocampal area <  amygdalohippocampal transition zone  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
anterior amygdaloid area dorsal division, anterior amygdaloid area dorsal division <  anterior amygdaloid area  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
anterior amygdaloid area ventral division, anterior amygdaloid area ventral division <  anterior amygdaloid area  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
basolateral nucleus magnocellular dorsal, basolateral nucleus magnocellular dorsal <  basolateral nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
basolateral nucleus intermediate, basolateral nucleus intermediate <  basolateral nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
basolateral nucleus parvicellular ventral, basolateral nucleus parvicellular ventral <  basolateral nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
basomedial nucleus dorsal division, basomedial nucleus dorsal division <  basomedial nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
basomedial nucleus ventral division, basomedial nucleus ventral division <  basomedial nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
central nucleus medial division, central nucleus medial division <  central nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
central nucleus lateral division, central nucleus lateral division <  central nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
anterior cortical nucleus, anterior cortical nucleus <  cortico medial group  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
medial nucleus, medial nucleus <  cortico medial group  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
posterior cortical nucleus, posterior cortical nucleus <  cortico medial group  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
lateral nucleus dorsal division, lateral nucleus dorsal division <  lateral nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
lateral nucleus intermediate division, lateral nucleus intermediate division <  lateral nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
lateral nucleus ventral division, lateral nucleus ventral division <  lateral nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
paralmainar nucleus, paralmainar nucleus <  paralaminar nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
medial septal nucleus, medial septal nucleus <  septal nuclei  <  basal forebrain  <  cerebral nuclei  <  telencephalon  < gray matter 
lateral septal nucleus, lateral septal nucleus <  septal nuclei  <  basal forebrain  <  cerebral nuclei  <  telencephalon  < gray matter 
basal nucleus of meynert, basal nucleus of meynert <  substantia innominata  <  basal forebrain  <  cerebral nuclei  <  telencephalon  < gray matter 
nucleus of the diagonal band, nucleus of the diagonal band <  substantia innominata  <  basal forebrain  <  cerebral nuclei  <  telencephalon  < gray matter 
nucleus of the anterior commissure, nucleus of the anterior commissure <  substantia innominata  <  basal forebrain  <  cerebral nuclei  <  telencephalon  < gray matter 
bed nucleus of stria terminalis, bed nucleus of stria terminalis <  substantia innominata  <  basal forebrain  <  cerebral nuclei  <  telencephalon  < gray matter 
olfactory tubercle, olfactory tubercle <  substantia innominata  <  basal forebrain  <  cerebral nuclei  <  telencephalon  < gray matter 
globus pallidus external segment, globus pallidus external segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter 
globus pallidus internal segment, globus pallidus internal segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter 
caudate nucleus, caudate nucleus <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter 
nucleus accumbens, nucleus accumbens <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter 
putamen, putamen <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter 
lateral habenular nucleus magnocellular division, lateral habenular nucleus magnocellular division <  lateral habenular nucleus  <  habenular nuclei  <  epithalamus  <  diencephalon  < gray matter 
lateral habenular nucleus parvocellular division, lateral habenular nucleus parvocellular division <  lateral habenular nucleus  <  habenular nuclei  <  epithalamus  <  diencephalon  < gray matter 
anterior hypothalamic area anterior part, anterior hypothalamic area anterior part <  anterior hypothalamic area  <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
anterior hypothalamic area central part, anterior hypothalamic area central part <  anterior hypothalamic area  <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
subparaventricular zone, subparaventricular zone <  paraventricular nucleus of the hypothalamus  <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
paraventricular nucleus of the hypothalamus descending division, paraventricular nucleus of the hypothalamus descending division <  paraventricular nucleus of the hypothalamus  <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
paraventricular nucleus of the hypothalamus magnocellular division, paraventricular nucleus of the hypothalamus magnocellular division <  paraventricular nucleus of the hypothalamus  <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
paraventricular nucleus of the hypothalamus parvicellular division, paraventricular nucleus of the hypothalamus parvicellular division <  paraventricular nucleus of the hypothalamus  <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
periventricular nucleus of the hypohalamus anterior part, periventricular nucleus of the hypohalamus anterior part <  periventricular nucleus of the hypothalamus anterior part  <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
supraoptic nucleus dorsolateral part, supraoptic nucleus dorsolateral part <  supraoptic nucleus  <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
supraoptic nucleus ventromedial part, supraoptic nucleus ventromedial part <  supraoptic nucleus  <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
suprachiasmatic nucleus dorsomedial part, suprachiasmatic nucleus dorsomedial part <  suprachiasmatic nucleus  <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
suprachiasmatic nucleus ventrolateral part, suprachiasmatic nucleus ventrolateral part <  suprachiasmatic nucleus  <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
pallidohypothalamic nucleus, pallidohypothalamic nucleus <  lateral hypothalamic area mammillary region  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter 
lateral mammillary nucleus, lateral mammillary nucleus <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter 
medial mammillary nucleus, medial mammillary nucleus <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter 
premammillary nucleus, premammillary nucleus <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter 
supramammillary nucleus medial part, supramammillary nucleus medial part <  supramammillary nucleus  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter 
tuberomammillary nucleus principle part, tuberomammillary nucleus principle part <  tuberomammillary nucleus  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter 
intermediate nucleus, intermediate nucleus <  intermediate hypothalamic nuclei  <  preoptic region  <  hypothalamus  <  diencephalon  < gray matter 
uncinate nucleus, uncinate nucleus <  intermediate hypothalamic nuclei  <  preoptic region  <  hypothalamus  <  diencephalon  < gray matter 
medial preoptic nucleus, medial preoptic nucleus <  medial preoptic area  <  preoptic region  <  hypothalamus  <  diencephalon  < gray matter 
median preoptic nucleus, median preoptic nucleus <  medial preoptic area  <  preoptic region  <  hypothalamus  <  diencephalon  < gray matter 
anteroventral periventricular nucleus, anteroventral periventricular nucleus <  periventricular nucleus of the hypothalamus preoptic part  <  preoptic region  <  hypothalamus  <  diencephalon  < gray matter 
dorsal periventricular nucleus, dorsal periventricular nucleus <  periventricular nucleus of the hypothalamus preoptic part  <  preoptic region  <  hypothalamus  <  diencephalon  < gray matter 
arcuate nucleus of the hypothalamus dorsal part, arcuate nucleus of the hypothalamus dorsal part <  arcuate nucleus of the hypothalamus  <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter 
arcuate nucleus of the hypothalamus lateral part, arcuate nucleus of the hypothalamus lateral part <  arcuate nucleus of the hypothalamus  <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter 
arcuate nucleus of the hypothalamus medial part, arcuate nucleus of the hypothalamus medial part <  arcuate nucleus of the hypothalamus  <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter 
dorsomedial hypothalamic nucleus compact part, dorsomedial hypothalamic nucleus compact part <  dorsomedial hypothalamic nucleus  <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter 
dorsomedial hypothalamic nucleus diffuse part, dorsomedial hypothalamic nucleus diffuse part <  dorsomedial hypothalamic nucleus  <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter 
ventromedial hypothalamic nucleus dorsal part, ventromedial hypothalamic nucleus dorsal part <  ventromedial hypothalamic nucleus  <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter 
ventromedial hypothalamic nucleus central part, ventromedial hypothalamic nucleus central part <  ventromedial hypothalamic nucleus  <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter 
ventromedial hypothalamic nucleus ventral part, ventromedial hypothalamic nucleus ventral part <  ventromedial hypothalamic nucleus  <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter 
anterodorsal nucleus of the thalamus, anterodorsal nucleus of the thalamus <  anterior group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
anteromedial nucleus of the thalamus, anteromedial nucleus of the thalamus <  anterior group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
anteroventral nucleus of the thalamus, anteroventral nucleus of the thalamus <  anterior group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
lateral dorsal nucleus of the thalamus, lateral dorsal nucleus of the thalamus <  anterior group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
centre median nucleus of the thalamus, centre median nucleus of the thalamus <  caudal group of intralaminar nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
parafascicular nucleus of the thalamus, parafascicular nucleus of the thalamus <  caudal group of intralaminar nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
dorsal lateral geniculate nucleus, dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
lateral group of nuclei dorsal division, lateral group of nuclei dorsal division <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
lateral group of nuclei ventral division, lateral group of nuclei ventral division <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
dorsal nucelus of medial geniculate complex, dorsal nucelus of medial geniculate complex <  medial geniculate complex  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
magnocellular nucleus of the medial geniculate complex, magnocellular nucleus of the medial geniculate complex <  medial geniculate complex  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
ventral nucleus of the medial geniculate complex, ventral nucleus of the medial geniculate complex <  medial geniculate complex  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
mediodorsal nucleus of the thalamus, mediodorsal nucleus of the thalamus <  medial group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
medioventral nucleus of the thalamus, medioventral nucleus of the thalamus <  medial group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
parataenial nucleus of the thalamus, parataenial nucleus of the thalamus <  medial group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
submedial nucleus of the thalamus, submedial nucleus of the thalamus <  medial group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
limitans nucleus of the thalamus, limitans nucleus of the thalamus <  posterior group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
posterior nucleus of the thalamus, posterior nucleus of the thalamus <  posterior group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
suprageniculate nucleus of the thalamus, suprageniculate nucleus of the thalamus <  posterior group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
central lateral nucleus of the thalamus, central lateral nucleus of the thalamus <  rostral group of intralaminar nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
central medial nucleus of the thalamus, central medial nucleus of the thalamus <  rostral group of intralaminar nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
paracentral nucleus of the thalamus, paracentral nucleus of the thalamus <  rostral group of intralaminar nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
rhomboid nucleus of the thalamus, rhomboid nucleus of the thalamus <  rostral group of intralaminar nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
deep gray layer of the superior colliculus, deep gray layer of the superior colliculus <  stratum lemnisci of the superior colliculus  <  superior colliculus  <  midbrain tectum  <  mesencephalon  < gray matter 
deep white layer of the superior colliculus, deep white layer of the superior colliculus <  stratum lemnisci of the superior colliculus  <  superior colliculus  <  midbrain tectum  <  mesencephalon  < gray matter 
middle gray layer of the superior colliculus, middle gray layer of the superior colliculus <  stratum lemnisci of the superior colliculus  <  superior colliculus  <  midbrain tectum  <  mesencephalon  < gray matter 
middle white layer of the superior colliculus, middle white layer of the superior colliculus <  stratum lemnisci of the superior colliculus  <  superior colliculus  <  midbrain tectum  <  mesencephalon  < gray matter 
dorsal raphe nucleus dorsal part, dorsal raphe nucleus dorsal part <  dorsal raphe nucleus  <  midbrain raphe nuclei  <  midbrain tegmentum  <  mesencephalon  < gray matter 
dorsal raphe nucleus interfascicular part, dorsal raphe nucleus interfascicular part <  dorsal raphe nucleus  <  midbrain raphe nuclei  <  midbrain tegmentum  <  mesencephalon  < gray matter 
dorsal raphe nucleus raphe cap, dorsal raphe nucleus raphe cap <  dorsal raphe nucleus  <  midbrain raphe nuclei  <  midbrain tegmentum  <  mesencephalon  < gray matter 
dorsal raphe nucleus ventral part, dorsal raphe nucleus ventral part <  dorsal raphe nucleus  <  midbrain raphe nuclei  <  midbrain tegmentum  <  mesencephalon  < gray matter 
anterior lobe of the vermis, anterior lobe of the vermis <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
posterior lobe of the vermis, posterior lobe of the vermis <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
Flocculonodular Lobe of the Vermis, Flocculonodular Lobe of the Vermis <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
Anterior Lobe, Anterior Lobe <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
Posterior Lobe, Posterior Lobe <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
flocculonodular lobe, flocculonodular lobe <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
facial motor nucleus lateral part, facial motor nucleus lateral part <  facial motor nucleus  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
facial motor nucleus intermediate part, facial motor nucleus intermediate part <  facial motor nucleus  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
facial motor nucleus medial part, facial motor nucleus medial part <  facial motor nucleus  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
facial motor nucleus perifacial zone, facial motor nucleus perifacial zone <  facial motor nucleus  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
facial motor nucleus ventral part, facial motor nucleus ventral part <  facial motor nucleus  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
facial motor nucleus ventrolateral part, facial motor nucleus ventrolateral part <  facial motor nucleus  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
pontine reticular formation, pontine reticular formation <  paramedian pontine reticular formation  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
periolivary nucleus, periolivary nucleus <  superior olivary complex  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
preolivary nucleus, preolivary nucleus <  superior olivary complex  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
retro olivary cell group, retro olivary cell group <  superior olivary complex  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
superior olive, superior olive <  superior olivary complex  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
superior paraolivary nucleus, superior paraolivary nucleus <  superior olivary complex  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
trapezoid nuclei, trapezoid nuclei <  superior olivary complex  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
mesencephalic nucleus of trigeminal nerve, mesencephalic nucleus of trigeminal nerve <  trigeminal nuclei  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
motor nucleus of trigeminal nerve, motor nucleus of trigeminal nerve <  trigeminal nuclei  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
principal sensory nucleus of trigeminal nerve, principal sensory nucleus of trigeminal nerve <  trigeminal nuclei  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
lateral olfactory tract, lateral olfactory tract <  olfactory tract  <  olfactory nerve  <  cranial nerves  <  myelencephalic white matter  < white matter 
medial olfactory tract, medial olfactory tract <  olfactory tract  <  olfactory nerve  <  cranial nerves  <  myelencephalic white matter  < white matter 
anterior orbital gyrus, anterior orbital gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
frontal operculum, frontal operculum <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
frontal pole, frontal pole <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
gyrus rectus, gyrus rectus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
inferior frontal gyrus, inferior frontal gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
inferior rostral gyrus, inferior rostral gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
lateral orbital gyrus, lateral orbital gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
medial orbital gyrus, medial orbital gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
middle frontal gyrus, middle frontal gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
olfactory area, olfactory area <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
