gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
VWF,+++,++++++,-+-+,0.03234898918093314,0.017759485853844174,-,0.0355,0.01731039,9.55,1
CACNA2D4,-++,+-++++,NA,0.03365997778206104,0.017773280331584134,-,0.0355,0.0261967069905029,9.56,1
OR6V1,-+-,NA,NA,0.024068898648263275,0.01779603011635866,-,0.0356,0.042584008448494276,9.57,1
PAK6,+-+,++++++,--+-,0.024876602411199877,0.017800716786370754,-,0.0356,0.014717135,9.58,1
ADORA2B,+-+,-----+,--++,0.03242023722332605,0.01780259522271722,-,0.0356,0.012528933,9.58,1
NHLRC2,--+,-----+,NA,0.03354088294717865,0.017823026090661668,-,0.0356,0.024165671,9.59,1
SF3A2,++-,+-++++,+++-,0.020198842383996204,0.017834345830181324,-,0.0357,0.00341339,9.59,1
NECAB3,++-,++++-+,----,0.03302830643801441,0.017837187712348872,-,0.0357,0.001434312,9.6,1
DPP9,-+-,++++++,----,0.020459300945073138,0.017848412701242565,-,0.0357,0.004423689,9.6,1
TREX1,++-,+++++-,+-+-,0.021837528448880705,0.01785168637154041,-,0.0357,0.012599906,9.6,1
TBC1D10C,---,NA,NA,0.02412593395311698,0.017853068674423912,-,0.0357,0.08907306798232517,9.6,1
NTAN1,++-,++++++,--++,0.024361980820789362,0.017874787722498894,-,0.0357,0.004131929,9.62,1
ARMC5,++-,++++-+,----,0.02361166216394156,0.01788050463106543,-,0.0358,0.013848407,9.62,1
PKN3,++-,+++++-,NA,0.033765477087318856,0.017929077509007848,-,0.0359,0.02762821843616217,9.65,1
NR2F6,++-,++++-+,----,0.025203566925027326,0.017950452081062024,-,0.0359,0.001162257,9.66,1
AOAH,--+,++++++,NA,0.034322183844912875,0.017978998220629542,-,0.036,0.029612195031876645,9.67,1
FADS1,---,------,+-++,0.027351843679174905,0.017989544564006654,-,0.036,0.071401741,9.68,1
PYGO1,--+,------,NA,0.03353445538962836,0.01799670698750821,-,0.036,0.010609802826174485,9.68,1
PLD5,+++,++--+-,----,0.029350419867611752,0.018001665358516106,-,0.036,9.87995e-4,9.68,1
TMPRSS5,---,+++-++,NA,0.033543685551989805,0.01800590500591027,-,0.036,0.04708383,9.69,1
SH2B2,++-,++++++,-+--,0.035514183739091154,0.01801039011507171,-,0.036,0.001523392,9.69,1
PRRX1,-++,------,-+--,0.034861485397787294,0.01802438095004905,-,0.036,0.005571028,9.7,1
ERCC6,--+,----++,----,0.026344873741030558,0.0180313643077201,-,0.0361,0.004289321,9.7,1
NELFE,++-,++++++,--+-,0.02653810730866014,0.018047091263243987,-,0.0361,0.052857397,9.71,1
NDUFB2,++-,++++-+,--+-,0.025536501007215162,0.0180512146445882,-,0.0361,0.017711476,9.71,1
ZNF184,+--,+-+---,----,0.0215579003723442,0.018095466518083855,-,0.0362,0.02641683793734062,9.74,1
ZNF79,+--,++++++,NA,0.03468624866209449,0.018126074789315005,-,0.0363,0.084161378,9.75,1
HHATL,-+-,-+++++,+--+,0.02547839049437515,0.01813216316197551,-,0.0363,0.005389607,9.76,1
PTPRB,+++,+++-++,----,0.02414781415600254,0.018134857831717716,-,0.0363,0.013512466,9.76,1
HIST1H3H,---,NA,NA,0.024297039867678092,0.01813826146475017,-,0.0363,0.029998385633828034,9.76,1
CCDC69,++-,++++++,NA,0.03467854251448068,0.018159493580597954,-,0.0363,0.074141276,9.77,1
OSGEP,-+-,++++++,-+--,0.031228295874382847,0.018175159552515845,-,0.0364,0.005154894,9.78,1
VPS51,++-,-+++++,--++,0.03172321551660188,0.01818179183539387,-,0.0364,4.71832e-4,9.78,1
ARL10,+-+,------,NA,0.03558671862838042,0.01818604840312441,-,0.0364,0.017025904,9.78,1
