gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p
XKR4,-+-+,------+-,+++++-,0.4139361502558098,0.3323436067651799,-,0.665,0.064670149,179,1
WBSCR28,++-+,NA,NA,0.3323508952373836,0.8484195923565436,+,0.665,0.23322957955938783,179,1
FASTKD3,++++,++++++--,-----+,0.3323629824507403,0.9067906738465085,+,0.665,0.084869191,179,1
DDX6,-+++,-+-+-+--,--++++,0.3323758229395222,0.3920561350945388,+,0.665,0.073879189,179,1
ZDHHC4,+-++,-++--+++,NA,0.33243246230677886,0.420363644049046,+,0.665,0.019866403,179,1
CFHR4,+-++,NA,NA,0.7992480755979408,0.3324554156040781,-,0.665,0.26362623245674305,179,1
ECHS1,+-+-,-++-++++,-++--+,0.3869577344464596,0.33250827883813,-,0.665,0.026154772,179,1
TUBA3C,+++-,NA,-+++-+,0.3326113182868382,0.4899646590409307,+,0.665,0.016068633,179,1
ARFIP2,+-+-,-+++-+++,+-----,0.33267493994277886,0.5264918410526594,+,0.665,0.04874138375080981,179,1
PCDHB13,--++,---++--+,+-----,0.33268118530379653,0.5439051656241847,+,0.665,0.011014607,179,1
IFT81,----,+++-++-+,NA,0.33273263459490426,0.6076763074064707,+,0.665,0.06649085967268624,179,1
KCNS3,--++,++-++++-,----++,0.9819291504713701,0.3328545776670665,-,0.666,0.141194101,179,1
C6orf165,-+++,+-+-+-+-,---+--,0.8504498539411602,0.3328783681200499,-,0.666,0.021981761,179,1
MLLT4,-+-+,+-------,NA,0.46475515500195075,0.33290594915920224,-,0.666,0.047219035374731905,179,1
ANGPT4,+-+-,NA,NA,0.5389225137423321,0.33298057861307884,-,0.666,0.08131058879953888,179,1
GBP2,--++,++-+++-+,--++--,0.8829143315053198,0.3330376001188857,-,0.666,0.044231671,179,1
C5orf42,-+-+,++--+---,NA,0.333057840934491,0.5758124275787416,+,0.666,0.073426877,179,1
CD300E,-+--,NA,NA,0.3331222308228579,0.8979107461482921,+,0.666,0.3794748155160437,179,1
EAPP,+++-,++++++++,NA,0.5196865748887309,0.33315779672272844,-,0.666,0.015688095,179,1
FANCC,---+,--+----+,NA,0.6199609555529199,0.3331882218969982,-,0.666,0.021280109,179,1
SPINK2,----,NA,NA,0.3332865615602178,0.5870205864650058,+,0.667,0.09124460590951365,179,1
OR51E2,----,NA,NA,0.33333090488391287,0.37333496993104015,+,0.667,0.1030045329700576,179,1
DOPEY2,-+++,----++++,++-+--,0.5566228201314593,0.3334181679829313,-,0.667,0.073583052,179,1
B9D2,+-+-,--++-+-+,++-+--,0.45291653647174407,0.33342316084576945,-,0.667,0.022431367,179,1
SULT4A1,+-++,-+-+-+++,+++---,0.3334581946145083,0.3828488295230169,+,0.667,0.0615829913752859,179,1
MRFAP1L1,+-+-,+-++++++,++--++,0.7581137655740003,0.33347983476750803,-,0.667,0.021424813,179,1
NOP16,++++,++-+++++,NA,0.755736019119897,0.33348016894369126,-,0.667,0.047281962,179,1
