gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
FBLN1,----,+++-++-+,+++-++,0.10705331638980146,0.09942207345727158,-,0.199,0.020922566,53.5,1
CCK,--+-,-+-+-++-,++----,0.10946537950922794,0.09946192513476096,-,0.199,0.018709575,53.5,1
GHRH,--+-,NA,NA,0.09952660696971426,0.11704312114989733,+,0.199,0.08585253167830413,53.5,1
MRPL44,--+-,++++-++-,+---++,0.1266304311107895,0.09954444963247874,-,0.199,0.010918143,53.6,1
SPATS2L,--+-,----++++,NA,0.16246152191377017,0.0995690506277114,-,0.199,0.002620065,53.6,1
PDE6D,----,-+++-+-+,---+++,0.11020475554020032,0.09957108992395129,-,0.199,0.008894663,53.6,1
PNPO,++++,+-+-++++,+++-++,0.10909661737704267,0.0995779126847039,-,0.199,0.016905618,53.6,1
SLC17A4,--++,NA,NA,0.09958932238193019,0.11709348086465522,+,0.199,0.20843661650778866,53.6,1
AVIL,-+-+,--------,NA,0.1461600539837785,0.09960880983270838,-,0.199,0.102462097,53.6,1
KCMF1,++++,++---+++,+-+--+,0.10525857384672868,0.09961001435583008,-,0.199,0.009914701,53.6,1
NDUFA11,--+-,+---++++,-+++--,0.1312160902070219,0.09961928917551924,-,0.199,0.013629963,53.6,1
NANP,++-+,-+++----,--+-+-,0.09962748284322748,0.11047376119168605,+,0.199,0.031738109,53.6,1
VPS39,++++,++-+++-+,+++---,0.09965915516895804,0.12474724036360932,+,0.199,0.06111868542785745,53.6,1
FARP2,-+--,-++-++-+,NA,0.11476097317032978,0.09966277394095407,-,0.199,0.029323051,53.6,1
HMGCL,++--,++++-+--,-+---+,0.12293288581463864,0.09967322124186874,-,0.199,0.003802606,53.6,1
PPP1R7,+-+-,++++++++,++---+,0.1198120464552133,0.09969437175893298,-,0.199,0.056712117,53.6,1
