gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC_male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
THAP10,-+--+--+,0.073392416,0.5904551836092693,0.5460783031737818,-1,1.0921566063475636
MTERFD1,---++-++,0.07094485,0.9375881531237387,0.11378366166740679,-1,0.22756732333481358
COPE,++---++-,0.224707865,0.5860422238168717,0.45834744145174217,-1,0.9166948829034843
C1orf144,-++--+--,0.270485112,0.5350692215825621,0.6729689901180376,1,1.0701384431651242
TMEM95,-++--+++,0.194695412,0.7542194183109616,0.47695360257909486,-1,0.9539072051581897
CCNT2,+--++-++,0.0500397,0.7869028545771246,0.21259103229489854,-1,0.42518206458979707
BLVRB,-+----++,0.21694897,0.715466035726296,0.3742966788160736,-1,0.7485933576321472
CUTC,++--+-++,0.040779494,0.928469443613487,0.1269188592525523,-1,0.2538377185051046
SFXN2,+-++--+-,0.106745693,0.2550846796378171,0.8427113367532097,1,0.5101693592756342
CEBPZ,--+++--+,0.249678839,0.5519721353771464,0.6261291798473625,1,1.1039442707542928
ADAT1,+-++---+,0.096816292,0.21523517034219228,0.7723618228444753,1,0.43047034068438456
PDZD7,+++++---,0.120830993,0.07924560424496552,0.99190322904674455,1,0.15849120848993103
ENDOG,+++----+,0.071371067,0.09432122064231517,0.9794786695558529,1,0.18864244128463034
DLG5,-+---+--,0.296371816,0.683126917444939,0.5736994300160027,-1,1.1473988600320053
B3GNT3,+++-+---,0.062060955,0.19389566303595812,0.9673579643341164,1,0.38779132607191624
FLJ35220,--+---++,0.228973221,0.7954597875648962,0.4925252193257237,-1,0.9850504386514474
C6orf211,-+--+-++,0.091819101,0.8766167336227675,0.167898180915055,-1,0.33579636183011
ARHGEF16,-+-+-+++,0.156875375,0.9660142985476966,0.21945547948986582,-1,0.43891095897973165
LOC441461,-+-++++-,0.102719663,0.4419435882694739,0.5671550413491742,1,0.8838871765389478
SMEK1,+---++--,0.085448596,0.8787591029207309,0.2202257413201547,-1,0.4404514826403094
C19orf21,--++++-+,0.259901311,0.8952523152549544,0.3618448330250654,-1,0.7236896660501309
TLR4,+----+--,0.068783521,0.8331372427886062,0.2506073376373654,-1,0.5012146752747308
STRN3,---++++-,0.261494757,0.954455064578606,0.2570386153040603,-1,0.5140772306081206
PCTK1,+-++----,0.215503277,0.4398645267496427,0.8471461585254969,1,0.8797290534992854
PSMC2,++---+-+,0.112029963,0.684020830306463,0.32958962008510145,-1,0.6591792401702029
ANGPTL4,++++----,0.08849485,0.038381123284083184,0.9989462355369506,1,0.07676224656816637
VWCE,++----+-,0.108290918,0.41500415307087524,0.8918491395547917,1,0.8300083061417505
CROT,+-++---+,0.079592228,0.32246592529857027,0.8300961083653358,1,0.6449318505971405
ZNF512B,++-++---,0.233343071,0.33663940220777766,0.8091274287596785,1,0.6732788044155553
TSSK3,++++-+--,0.422102341,0.3357563454239723,0.959159808515241,1,0.6715126908479446
ACCN1,+-+++---,0.192773689,0.3241864162788165,0.8369533733915309,1,0.648372832557633
ZNF428,++-++-+-,0.194049251,0.4389428991411405,0.6262232843672471,1,0.877885798282281
DGAT2,-+++----,0.08053764,0.1372186659861506,0.9813866559141071,1,0.2744373319723012
TAX1BP3,---+++--,0.097394101,0.8693797267792116,0.3744636621972102,-1,0.7489273243944204
INPP1,----+-++,0.11692191,0.9609443205011486,0.19041140964192713,-1,0.38082281928385425
ADRM1,++++----,0.183173783,0.052674991521077366,0.9982049958721082,1,0.10534998304215473
ACSS2,+--++---,0.137422566,0.3003412582133501,0.8507442540363821,1,0.6006825164267002
ACAD11,--++++--,0.222468258,0.6870658612451087,0.5632772762662165,-1,1.126554552532433
TARSL2,----++-+,0.090742416,0.9866680513739093,0.08054279077777826,-1,0.16108558155555652
RXRA,+-+++---,0.127633614,0.21165561443323572,0.9689169036750064,1,0.42331122886647143
FES,-++-+---,0.085823596,0.1155166649519638,0.9791193001241024,1,0.2310333299039276
ZNF434,+--+++-+,0.092331086,0.4779142293275795,0.6584478191593279,1,0.955828458655159
RHOV,+-++-+--,0.290888483,0.38110419459841627,0.9240300114931459,1,0.7622083891968325
LOC400027,-++--+-+,0.182175281,0.6018931188088028,0.42353230508312834,-1,0.8470646101662567
SCNN1D,-++-++--,0.132410206,0.3215814197883375,0.7924150856238898,1,0.643162839576675
SLC37A3,------++,0.362866854,0.9479473916850443,0.3519210346192114,-1,0.7038420692384229
RAB11FIP5,+-++---+,0.100329869,0.35594832086318473,0.8761621423472281,1,0.7118966417263695
C20orf3,-++--+--,0.204597097,0.3093579547453897,0.8033078265652271,1,0.6187159094907794
FOXP4,+-++-+--,0.048050749,0.57846485428515515,0.39044869658203896,-1,0.7808973931640779
SMC6,+-++-+--,0.088470693,0.520420174187453,0.4360896846107973,-1,0.8721793692215946
CHRNB1,+++-++-+,0.080524532,0.6590272184235935,0.3703529297768617,-1,0.7407058595537234
MAGOH,++-+---+,0.309383333,0.3880498322514459,0.8361706563353559,1,0.7760996645028918
BCL9,---+----,0.308138951,0.6504586758198556,0.7247743584304736,1,1.3009173516397112
C2orf42,+----+++,0.071810674,0.8335630792680477,0.19198681156706116,-1,0.3839736231341223
RBM5,--+-++-+,0.102694663,0.9490376143139514,0.1107661532010801,-1,0.2215323064021602
GLI1,---+-+++,0.136119569,0.9216797169875529,0.2130179466228078,-1,0.4260358932456156
