gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC_male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
RPAP1,+++++---,0.001111704,1.1873247679887863e-5,0.9834315641211205,1,2.3746495359775727e-5,0.0016273393002441008,0.0018305705278145023,0.0032546786004882017
NGEF,-+------,0.001766479,0.9534364301084314,1.2351204764634558e-5,-1,2.4702409529269117e-5,0.0017288721651581409,0.0018307567127746134,0.0034577443303162817
SEL1L,+-------,6.01311e-4,0.9945381717745487,1.2447855222458999e-5,-1,2.4895710444917998e-5,0.0017288721651581409,0.0019324654190398698,0.0034577443303162817
PDCD7,+++++-++,5.95506e-4,1.4324017901846491e-5,0.9974230827180983,1,2.8648035803692982e-5,0.0017290480065093572,0.0020339672531272247,0.0034580960130187145
LINGO2,++++---+,1.42322e-4,1.5140875349159618e-5,0.6882580037674058,1,3.0281750698319236e-5,0.0018307567127746134,0.0020339672531272247,0.003661513425549227
SLC13A3,+++++++-,0.004557491,1.625261537700319e-5,0.980241491088094,1,3.250523075400638e-5,0.0019324654190398698,0.0020339672531272247,0.0038649308380797396
P4HA1,+------+,7.94288e-4,0.4273418849997083,1.6312530532371238e-5,-1,3.2625061064742476e-5,0.0020339672531272247,0.0020341741253051262,0.0040679345062544494
PCDH9,-+++++++,0.004988764,1.6500803385597988e-5,0.9977780568881651,1,3.3001606771195976e-5,0.0020341741253051262,0.0021356656157835857,0.0040683482506102524
RIOK3,-+++++++,5.96536e-4,1.8535878525224757e-5,0.8426994569950493,1,3.7071757050449515e-5,0.0021358828315703824,0.0021356656157835857,0.004271331231567171
SLC25A42,++------,9.60861e-4,0.5786930074441813,1.8934538505548433e-5,-1,3.786907701109687e-5,0.002237363978439947,0.0021358828315703824,0.004271765663140765
MAN1A1,-------+,9.38764e-4,0.9927431057051657,1.904379930911622e-5,-1,3.808759861823244e-5,0.002237363978439947,0.0022375915378356386,0.004474727956879894
FAM115A,+++++-++,0.002346629,1.9256788598784472e-5,0.998330355591215,1,3.8513577197568945e-5,0.0022375915378356386,0.002339062341096308,0.004475183075671277
ELOVL5,------+-,0.00106573,0.9715229613990422,2.0413235762805575e-5,-1,4.082647152561115e-5,0.002339062341096308,0.002339300244100895,0.004678124682192616
PLA2G5,--------,8.33895e-4,0.9999871556250478,2.339244205271674e-5,-1,4.678488410543348e-5,0.002339062341096308,0.0024410089503661514,0.004678124682192616
STAMBPL1,--------,0.001905805,0.9995141966451999,2.4236634074921542e-5,-1,4.8473268149843084e-5,0.002339062341096308,0.0025427176566314076,0.004678124682192616
PGAP1,----+-+-,0.001316292,0.9063734161001477,2.9477582437046745e-5,-1,5.895516487409349e-5,0.002339062341096308,0.0026444263628966637,0.004678124682192616
NPTX2,--------,0.017181461,0.9999992785862437,3.0658300463191725e-5,-1,6.131660092638345e-5,0.002339062341096308,0.0027461350691619204,0.004678124682192616
AAK1,-+-+----,0.001023596,0.4135955943432181,3.066121916039405e-5,-1,6.13224383207881e-5,0.002339062341096308,0.0028478437754271765,0.004678124682192616
SCO1,-------+,3.4073e-4,0.9704968730161477,3.114204987005877e-5,-1,6.228409974011753e-5,0.002339062341096308,0.0029495524816924327,0.004678124682192616
ALMS1,++++++++,0.007134457,3.180175152810752e-5,0.9999863421176965,1,6.360350305621505e-5,0.002339300244100895,0.003050950879690837,0.00467860048820179
MRPS6,------++,1.16199e-4,0.9747966273135629,3.4279720078821353e-5,-1,6.855944015764271e-5,0.0024407607037526696,0.0030512611879576893,0.004881521407505339
APTX,------+-,0.001219476,0.9995425641329684,3.4894436978934925e-5,-1,6.978887395786985e-5,0.0024407607037526696,0.0031529698942229455,0.004881521407505339
ZNF394,++++-+-+,8.10112e-4,3.5391853427791795e-5,0.9085596181563098,1,7.078370685558359e-5,0.0024410089503661514,0.0032543476050035593,0.004882017900732303
AKR1A1,----+-++,0.005248127,0.951922482393774,3.580934814686621e-5,-1,7.161869629373242e-5,0.002542459066409031,0.0032546786004882017,0.005084918132818062
CTDSP2,+-+++++-,9.41948e-4,3.586525808862182e-5,0.7059293027606108,1,7.173051617724364e-5,0.0025427176566314076,0.0033560459676599207,0.005085435313262815
CORT,------+-,0.001221536,0.9964779116284733,3.664462815027659e-5,-1,7.328925630055318e-5,0.002644157429065392,0.0033563873067534583,0.005288314858130784
COX8A,-+----+-,4.8661e-4,0.8823394909212121,3.928869740715089e-5,-1,7.857739481430178e-5,0.002644157429065392,0.0034580960130187145,0.005288314858130784
PIAS1,++++++++,0.020192228,4.1835197437888956e-5,0.9999843465270803,1,8.367039487577791e-5,0.0026444263628966637,0.003559442692972643,0.0052888527257933275
CKS2,----+-+-,0.001113015,0.8835003993032179,4.3234723594633986e-5,-1,8.646944718926797e-5,0.0027458557917217534,0.0035598047192839707,0.005491711583443507
ATPIF1,++++--++,7.26311e-4,4.331133576077458e-5,0.717014489079211,1,8.662267152154915e-5,0.0027461350691619204,0.0036611410556290046,0.005492270138323841
CPEB4,+-++++++,0.005901966,4.444944829767568e-5,0.9937279015751276,1,8.889889659535136e-5,0.0028478437754271765,0.0036611410556290046,0.005695687550854353
DPY19L1,----+---,0.002539513,0.9722735623440808,4.806853056764163e-5,-1,9.613706113528326e-5,0.002949252517034476,0.003661513425549227,0.005898505034068952
ASH2L,-+------,4.97659e-4,0.9827564984585841,5.196484585352298e-5,-1,1.0392969170704596e-4,0.002949252517034476,0.0037632221318144835,0.005898505034068952
NR2F1,++++++++,0.004436142,5.2285491081544236e-5,0.9999602455417048,1,1.0457098216308847e-4,0.0029495524816924327,0.003864537780941727,0.0058991049633848654
U2AF1L4,------+-,0.004311049,0.9958060722846505,5.273988188344645e-5,-1,1.054797637668929e-4,0.003050950879690837,0.0038649308380797396,0.006101901759381674
GRB10,-+------,0.011806554,0.9997603623558311,5.316012915942678e-5,-1,1.0632025831885356e-4,0.003050950879690837,0.003966639544344996,0.006101901759381674
ZMYM6,------++,3.34551e-4,0.9662197069416444,5.5933489795423805e-5,-1,1.1186697959084761e-4,0.003050950879690837,0.0040683482506102524,0.006101901759381674
BAT1,+-++++++,0.004015262,5.596441912468116e-5,0.9731063164167764,1,1.1192883824936231e-4,0.0030512611879576893,0.004169632868910811,0.006102522375915379
VSTM2L,++++----,1.43539e-4,5.72214079598509e-5,0.044890548705466396,1,1.144428159197018e-4,0.0031529698942229455,0.004169632868910811,0.006305939788445891
CAMK1G,+-------,0.003465169,0.9416110858843612,5.723458719849887e-5,-1,1.1446917439699774e-4,0.0032543476050035593,0.004170056956875509,0.006508695210007119
C2orf47,-+------,3.17135e-4,0.9910300717755697,5.885862414231123e-5,-1,1.1771724828462246e-4,0.0032543476050035593,0.004271765663140765,0.006508695210007119
NFX1,-+++++--,3.34363e-4,5.956200569461066e-5,0.7289086583896077,1,1.1912401138922132e-4,0.0032546786004882017,0.004373029594223533,0.006509357200976403
NOV,-+--+--+,0.001721067,0.8991403143529813,5.968916186944826e-5,-1,1.1937832373889652e-4,0.0033560459676599207,0.004373474369406021,0.0067120919353198414
FAM69B,-++-+-+-,2.81e-7,0.503894622343444,5.976802764299484e-5,-1,1.1953605528598968e-4,0.0033560459676599207,0.004475183075671277,0.0067120919353198414
ARHGEF10L,++++-+++,0.011266292,6.140019507509372e-5,0.9998745288843575,1,1.2280039015018744e-4,0.0033563873067534583,0.004576426319536256,0.006712774613506917
NOL3,--------,0.004336049,0.9999979670237836,6.188008530056241e-5,-1,1.2376017060112483e-4,0.0034577443303162817,0.004576891781936533,0.006915488660632563
EXOC6,-+----+-,0.002013764,0.6684975857702556,6.286109777311403e-5,-1,1.2572219554622807e-4,0.0034577443303162817,0.00467860048820179,0.006915488660632563
MLL,++++--+-,0.001785206,6.497499878156817e-5,0.8375025281990465,1,1.2994999756313634e-4,0.0034580960130187145,0.004779823044848978,0.006916192026037429
NUDCD3,++++--++,0.003626404,6.547136455237692e-5,0.5874323671919209,1,1.3094272910475383e-4,0.0035598047192839707,0.004779823044848978,0.007119609438567941
SQLE,----+--+,5.82e-5,0.6323012686712707,7.048586839471838e-5,-1,1.4097173678943677e-4,0.0036611410556290046,0.004780309194467047,0.007322282111258009
PPAP2C,----++--,4.55243e-4,0.7535008086956778,7.111472248315793e-5,-1,0.00014222944496631587,0.0036611410556290046,0.004882017900732303,0.007322282111258009
RIPK1,++++-++-,0.00206236,7.124435639016629e-5,0.8708979900634207,1,1.4248871278033258e-4,0.003661513425549227,0.004983219770161701,0.007323026851098454
SFT2D1,------+-,0.010585487,0.9990418144669295,7.372015750483538e-5,-1,1.4744031500967076e-4,0.0037628394182853656,0.004983726606997559,0.007525678836570731
PIK3R1,++++++-+,0.028847191,8.103910498763261e-5,0.9586445685055084,1,1.6207820997526522e-4,0.0037632221318144835,0.005084918132818062,0.007526444263628967
LGI3,++++++--,0.001578652,8.136606540135198e-5,0.6357953807213437,1,1.6273213080270397e-4,0.0038649308380797396,0.005084918132818062,0.007729861676159479
TCF4,+-+++-++,0.004359551,8.279339195663545e-5,0.93038405394958,1,1.655867839132709e-4,0.003966639544344996,0.005084918132818062,0.007933279088689993
FBXL18,---+--+-,0.00826264,0.9641184958959897,8.323277571646585e-5,-1,1.664655514329317e-4,0.0040679345062544494,0.005085435313262815,0.008135869012508899
PHF20,++++--++,0.00394073,8.573037973944946e-5,0.9398955196561791,1,1.7146075947889892e-4,0.0040683482506102524,0.005186616495474423,0.008136696501220505
PRKAG2,-----+--,0.004585674,0.7777825467642794,8.780364474903582e-5,-1,1.7560728949807163e-4,0.004169632868910811,0.005187144019528071,0.008339265737821622
RBBP6,+++++++-,0.016409925,8.956831191633076e-5,0.9869800508465012,1,0.00017913662383266151,0.004170056956875509,0.005288314858130784,0.008340113913751017
MACROD1,++++++++,0.006461049,8.996273436377373e-5,0.999774742806577,1,1.7992546872754747e-4,0.004271765663140765,0.005288314858130784,0.00854353132628153
DNAJB12,+-+-----,0.006455243,0.8266211082782171,9.047862358376752e-5,-1,1.8095724716753504e-4,0.004373029594223533,0.0052888527257933275,0.008746059188447066
ATF4,--+-----,0.001943352,0.44182194914171474,9.08802666033812e-5,-1,1.817605332067624e-4,0.004373029594223533,0.0053905614320585845,0.008746059188447066
JPH3,++++-+-+,0.010283052,9.217536783672814e-5,0.9958052563767587,1,1.8435073567345627e-4,0.004373474369406021,0.005491711583443507,0.008746948738812042
HMGCS1,-----+-+,0.001480243,0.8081125158142792,9.705046227016532e-5,-1,1.9410092454033063e-4,0.004474727956879894,0.005492270138323841,0.008949455913759789
PPP6C,----+--+,0.005052903,0.9729504168262189,9.744682221699772e-5,-1,1.9489364443399544e-4,0.004474727956879894,0.005593978844589097,0.008949455913759789
VEGFA,--+----+,0.001792509,0.9081952833392131,1.0495906350195426e-4,-1,2.0991812700390852e-4,0.004474727956879894,0.005695687550854353,0.008949455913759789
RWDD2B,+--+---+,0.003980618,0.1406050926774476,1.0775573269698956e-4,-1,2.1551146539397912e-4,0.004474727956879894,0.005797396257119609,0.008949455913759789
SLC39A8,----+---,0.007589607,0.9991940228961582,1.0908936325419624e-4,-1,2.1817872650839248e-4,0.004474727956879894,0.0058991049633848654,0.008949455913759789
NUDT1,--+-----,0.001228745,0.9954852981329577,1.0943924629017098e-4,-1,2.1887849258034195e-4,0.004474727956879894,0.006000813669650122,0.008949455913759789
LBH,--------,0.058894569,0.9999984985354655,1.1192664949909642e-4,-1,2.2385329899819284e-4,0.004474727956879894,0.006102522375915379,0.008949455913759789
MBP,+++-++-+,4.00562e-4,1.1299455891991146e-4,0.7506971446621606,1,2.2598911783982292e-4,0.004475183075671277,0.006203600122038035,0.008950366151342554
SEZ6L2,-+------,9.17978e-4,0.9664787513850361,1.143011665716824e-4,-1,2.286023331433648e-4,0.004576426319536256,0.006204231082180635,0.009152852639072511
OSBPL3,------+-,0.004191948,0.9605830290163313,1.1751377224999094e-4,-1,2.3502754449998187e-4,0.004576426319536256,0.006305939788445891,0.009152852639072511
PRDM2,+-+-----,0.002031554,0.7892128748187982,1.1878857478826543e-4,-1,2.3757714957653087e-4,0.004576426319536256,0.006407648494711147,0.009152852639072511
DHFRL1,+-++++++,3.63296e-4,1.2104708604006062e-4,0.9714981802183493,1,2.4209417208012125e-4,0.004576891781936533,0.006508695210007119,0.009153783563873067
UGCG,+-+-+--+,1.49e-5,1.2157425128170576e-4,0.23433773180408526,1,2.431485025634115e-4,0.00467860048820179,0.006508695210007119,0.00935720097640358
IPO8,+-++++++,0.011783708,1.268905906724009e-4,0.9868974804884123,1,2.537811813448018e-4,0.004780309194467047,0.006508695210007119,0.009560618388934093
