gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC_male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
FADD,+----+-+,0.097130524,0.7413150460078382,0.13510671403899438,-1,0.27021342807798876
C16orf72,+++-+-+-,0.024302247,0.16453254790270533,0.1351252173979396,-1,0.2702504347958792
C11orf58,-+---+-+,0.047382772,0.5314775266683374,0.13512902326189163,-1,0.27025804652378327
C1orf21,++----++,0.031179494,0.2239523337622311,0.13513411723181076,-1,0.2702682344636215
SDPR,--+--+--,0.023589981,0.8237193630987649,0.13533822471029705,-1,0.2706764494205941
PNMA3,++-++-+-,0.026690169,0.1354267834000111,0.47629210426709256,1,0.2708535668000222
KIAA1462,++-+-+-+,0.011066573,0.28323761787640406,0.13544055808411326,-1,0.2708811161682265
SLC31A2,--+-++-+,0.04279588,0.1686658412506629,0.1354477043383919,-1,0.2708954086767838
EFCAB4A,--+---++,0.081788951,0.9312190966336659,0.13545957580783627,-1,0.27091915161567254
PNMT,+--+--++,0.03781339,0.8132085717415969,0.13550466250899584,-1,0.2710093250179917
CAP1,++-----+,0.015355899,0.45941109391896184,0.13555861664679017,-1,0.27111723329358034
LENG8,---++++-,0.01936264,0.33791805005873476,0.13555873364453822,-1,0.27111746728907643
MPP2,-+++-+-+,0.074943446,0.13558494628408754,0.836678135291979,1,0.2711698925681751
HTR2A,+++-----,0.048259644,0.5983000282396755,0.13562563543628564,-1,0.2712512708725713
HRASLS,++-++-++,0.197598034,0.13565266616747007,0.9043257994857381,1,0.27130533233494014
GPR144,-------+,0.250886049,0.988670966817028,0.1357753546919275,-1,0.271550709383855
ZNF146,--++++++,0.071743727,0.13578900272079766,0.762616075195734,1,0.2715780054415953
CPEB1,--+++---,0.105560112,0.7977105636965023,0.13580945625762691,-1,0.27161891251525383
ZNF711,+++--+-+,0.036457959,0.1358306316241697,0.5150795128081961,1,0.2716612632483394
ETV6,+-++----,0.123708427,0.7224225568546254,0.13597180210354734,-1,0.2719436042070947
EXOSC2,++-++---,0.073313109,0.13597804568056587,0.734851830441758,1,0.27195609136113175
MCM3AP,+-++----,0.028921442,0.13602312415162687,0.229409543421834,1,0.27204624830325375
HDGF2,-+++--+-,0.095307959,0.13602318702896427,0.529847394751748,1,0.27204637405792853
INTS5,-++-----,0.1047,0.9487310854324665,0.13605576273138142,-1,0.27211152546276285
CTDSPL,+-++--+-,0.05338324,0.1360809978776417,0.4417822416957633,1,0.2721619957552834
ARRB2,-----+++,0.052853184,0.43863104645160983,0.1360939815980633,-1,0.2721879631961266
ANXA1,--++----,0.102017228,0.9328975246026051,0.1361161942912972,-1,0.2722323885825944
BTBD6,+++---++,0.02250824,0.1362396026462243,0.3392155030727688,1,0.2724792052924486
YOD1,+++-++-+,0.02343867,0.13628819509159498,0.22949036301037137,1,0.27257639018318996
ZNF232,--+++-+-,0.021489513,0.8597117981969328,0.13634664202632793,-1,0.27269328405265586
RPL34,-+-+--+-,0.119526966,0.9009895656176916,0.136364921286215,-1,0.27272984257243
HLTF,----+---,0.047571536,0.7038471127374306,0.1363783241089715,-1,0.272756648217943
EDEM3,+-+--+-+,0.017082116,0.13639171386484913,0.22112120010446332,1,0.27278342772969827
PSMB5,-+----++,0.109077341,0.8702289147739698,0.13639652240971398,-1,0.27279304481942795
IL17D,+--+-+++,0.118553277,0.1364544223782768,0.8747357428574054,1,0.2729088447565536
PAK1,++-----+,0.079407397,0.662020853882642,0.1364728298531547,-1,0.2729456597063094
CES2,+--+----,0.101319195,0.6518553507974458,0.1365287720014305,-1,0.273057544002861
UBE2D2,+---+--+,0.006923034,0.22903657142584835,0.13660770678853873,-1,0.27321541357707746
UBE2I,-++----+,0.011012266,0.22258071128648696,0.13670242780178163,-1,0.27340485560356326
GABBR2,++-+----,0.116708052,0.4778320623349476,0.13675903705724998,-1,0.27351807411449996
UTP14A,-+++---+,0.00823221,0.1926131530201465,0.13679294908870027,-1,0.27358589817740053
PELI2,+-+-+--+,0.032114419,0.1368470448087499,0.5402075424034647,1,0.2736940896174998
SLC30A3,++-+-+--,0.00596573,0.31838659908063466,0.13685079886921728,-1,0.27370159773843455
TM4SF1,+-+--+++,0.036220974,0.13689923769818785,0.6902689868259884,1,0.2737984753963757
PSMB3,++------,0.048047472,0.9323302018873472,0.13690826459190725,-1,0.2738165291838145
LONRF1,+--+----,0.117755993,0.9306028375246104,0.13693867084240366,-1,0.2738773416848073
SFMBT1,+++-++-+,0.049219382,0.13694071855409792,0.8023247444513664,1,0.27388143710819585
AP3B2,-+-+----,0.112358614,0.7255207401573209,0.13700266236532535,-1,0.2740053247306507
AP3B1,--+--+--,0.023224813,0.3048219198671883,0.13700353699365922,-1,0.27400707398731844
RAB34,+-+++-++,0.005964232,0.13705903301093464,0.319589781403192,1,0.2741180660218693
MYL6B,-+-+--++,0.085157584,0.8301859243078034,0.13707306119934132,-1,0.27414612239868263
CCDC96,-+++++-+,0.021128464,0.13709260618828584,0.8382687728684289,1,0.2741852123765717
FAM73B,++++----,0.01050309,0.35007103231529796,0.13713297606428876,-1,0.2742659521285775
PPP2R2B,-+-+++-+,0.003760768,0.14509755071706204,0.13717018903889355,-1,0.2743403780777871
TATDN3,-++-+-++,0.006503652,0.23696142321718972,0.13717921471363947,-1,0.27435842942727895
DNAJA4,++---+++,0.019100562,0.1373541983522023,0.173404960683642,1,0.2747083967044046
NARF,++++--++,0.021127434,0.13745476055103864,0.6149221691955653,1,0.2749095211020773
MAP2,+--+-+++,0.031504401,0.1374962110591121,0.49706335878855856,1,0.2749924221182242
ACBD6,+-+++-++,0.024233427,0.1375247476003935,0.7339430748834401,1,0.275049495200787
ANKRD28,+--+----,0.006254401,0.24210658852368852,0.13754609411342672,-1,0.27509218822685344
EVL,++-++-+-,0.015597659,0.13755903713984885,0.4317423472866369,1,0.2751180742796977
RAB43,+-+---+-,0.050958146,0.7056315480747748,0.1376414489532216,-1,0.2752828979064432
TSN,+++-++-+,0.002634082,0.14759067256996994,0.13770049396402323,-1,0.27540098792804646
RAB9B,++----+-,0.100794569,0.7018992936630456,0.13777697561167668,-1,0.27555395122335336
KCNJ8,--+-++-+,0.046081086,0.7960473647800269,0.13790792744976912,-1,0.27581585489953825
REEP4,--+++++-,0.070180899,0.13795712587110537,0.8524133673620472,1,0.27591425174221074
F11R,+-+--++-,0.021863296,0.4947045099891725,0.13796690846338264,-1,0.2759338169267653
POU3F2,+-+-+++-,0.062052434,0.1379774528167037,0.7732090091146067,1,0.2759549056334074
ARL2,++--+---,0.01798661,0.6760728237146907,0.13807964159849961,-1,0.27615928319699923
C20orf112,+++-----,0.034589139,0.5160034675056255,0.13808029713192468,-1,0.27616059426384937
TMEM17,++--+--+,0.004411236,0.29435626310947055,0.1380843472420139,-1,0.2761686944840278
ZNF384,+++++---,0.018169382,0.1382152793675644,0.5081444770050387,1,0.2764305587351288
C1orf201,++-+--+-,0.019067416,0.138235048025949,0.705647257346601,1,0.276470096051898
OMG,----++-+,0.018297753,0.13828387669904044,0.3887814723892275,1,0.2765677533980809
GNAL,++++--++,0.086455337,0.13834378776582829,0.6277357606013223,1,0.27668757553165657
SLC39A3,++-+----,0.133435206,0.6979635821875644,0.1384044362073241,-1,0.2768088724146482
BRSK1,+--+++++,0.049476685,0.13840680716223916,0.8823932728540895,1,0.2768136143244783
C19orf20,+-+-----,0.15084335200000001,0.91765647049867,0.13846657176741226,-1,0.2769331435348245
ZNF76,--+++---,0.02138867,0.13853157063985086,0.232308758187127,1,0.2770631412797017
ZZZ3,--+++--+,0.005418258,0.15069267755219565,0.13859758046350806,-1,0.2771951609270161
SLC27A5,+++-----,0.036706648,0.27645324726382803,0.13862413217455571,-1,0.27724826434911143
GUCY1B3,-++----+,0.014826404,0.13871686820917184,0.2910871408109914,1,0.2774337364183437
VRK3,++-+--+-,0.029558427,0.13874661280968886,0.4209170044604258,1,0.2774932256193777
BDH2,+-----++,0.014623689,0.5895121733555713,0.13875478814826434,-1,0.27750957629652867
ATP5H,-+-++-++,0.006552154,0.26097286354905225,0.13880707399028336,-1,0.2776141479805667
NUDCD2,--++++-+,0.063547285,0.13884355230387924,0.7368569110081772,1,0.2776871046077585
SUSD1,++----+-,0.046654026,0.8794122231121809,0.13889243199439794,-1,0.27778486398879587
LMO2,--+--+++,0.060058989,0.13898439905148882,0.4797266584521922,1,0.27796879810297764
TMEM175,++------,0.114195693,0.812101506818445,0.13901864777793044,-1,0.2780372955558609
CDADC1,+++----+,0.048692228,0.13903279452931397,0.15357319445012632,1,0.27806558905862794
THAP6,-+--+-++,0.01032191,0.1391191906847044,0.28337532505657254,1,0.2782383813694088
BET1L,--++----,0.123749157,0.8932810113108685,0.13913301652004717,-1,0.27826603304009434
PIK3CA,--+-++++,0.051204588,0.13915437890655338,0.39428389561214344,1,0.27830875781310677
LIN37,++++----,0.027568446,0.1391579084364299,0.23424602073368234,1,0.2783158168728598
BICD2,+------+,0.024744757,0.5595959053944962,0.13922652606322022,-1,0.27845305212644045
LGALS8,++++---+,0.014016667,0.18907718743286328,0.13934663046067974,-1,0.2786932609213595
F3,+---+-++,0.006223502,0.6540021333592025,0.13945177194238467,-1,0.27890354388476934
CCDC72,--+-+-++,0.059779682,0.13958879558455323,0.9577332851746061,1,0.27917759116910645
NME1,++----+-,0.107428371,0.8460594162555388,0.1395912327250066,-1,0.2791824654500132
MYBBP1A,-+-+---+,0.048839326,0.13961508666796138,0.6880689292632578,1,0.27923017333592276
LRBA,--++++++,0.052124625,0.13962317180194714,0.9288680536236084,1,0.2792463436038943
CXXC5,+-+++---,0.024003652,0.1396732103369277,0.22265426618522471,1,0.2793464206738554
