gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
ZCWPW1,++++,0.001999813,0.00242402608064048,0.9816692654804121,1,0.00484805216128096,0.03661513425549227,0.051357673141462425,0.07323026851098453
GDI2,--+-,0.006901592,0.9701070043630575,0.002433291565535451,-1,0.004866583131070902,0.036713108918946406,0.05136289666395443,0.07342621783789281
QTRT1,+-++,0.006133146,0.0024356254743464123,0.7305231501494607,1,0.0048712509486928245,0.03671684296175753,0.051459371504118785,0.07343368592351505
ACTR1A,----,0.026829775,0.9965287220997779,0.002436360592633533,-1,0.004872721185267066,0.03681480728160277,0.05146460537021969,0.07362961456320553
TNPO1,+-++,0.001880431,0.0024433257691496056,0.6062956487423814,1,0.004886651538299211,0.03681855166802278,0.051561069866775146,0.07363710333604556
PTCD1,++-+,2.75562e-4,0.0024484668405638497,0.017051365173309845,1,0.004896933681127699,0.03692026037428804,0.051561069866775146,0.07384052074857608
PKNOX1,+---,0.02796676,0.7119476813815335,0.0024494622656890397,-1,0.004898924531378079,0.03701820400691549,0.051566314076484945,0.07403640801383098
MAP4,---+,0.006901873,0.5804501768656631,0.0024529166136166335,-1,0.004905833227233267,0.03701820400691549,0.051668022782750206,0.07403640801383098
STK35,-+++,0.00935412,0.002457659954513888,0.4206863856096674,1,0.004915319909027776,0.037021969080553295,0.05176446659208787,0.07404393816110659
SMARCD3,++++,0.050265824,0.0024712151055395785,0.999876293516495,1,0.004942430211079157,0.03712367778681855,0.05176446659208787,0.0742473555736371
PKNOX2,++-+,0.003101592,0.0024731574658294424,0.968837047952163,1,0.004946314931658885,0.03722538649308381,0.05176446659208787,0.07445077298616762
ARMC1,-+++,0.010650936,0.0024810460871193198,0.904983726019877,1,0.0049620921742386396,0.03732709519934906,0.05176446659208787,0.07465419039869813
LSM6,+---,0.014966292,0.9246016625810207,0.0024930740647188944,-1,0.004986148129437789,0.03742499745754093,0.05176973148901546,0.07484999491508186
STRAP,-+--,0.009452247,0.8714207571049815,0.0024948465947322537,-1,0.004989693189464507,0.03742499745754093,0.05187144019528071,0.07484999491508186
THUMPD3,---+,5.01592e-4,0.09814223554872728,0.0024981766787174316,-1,0.004996353357434863,0.03742499745754093,0.051973148901545974,0.07484999491508186
VAC14,-+-+,9.73315e-4,0.2047317583663385,0.002500434674834303,-1,0.005000869349668606,0.03742499745754093,0.05207485760781123,0.07484999491508186
SBF1,++--,9.84831e-4,0.0025013027082974233,0.6560403297591044,1,0.0050026054165948465,0.03742880390561432,0.05217126004271331,0.07485760781122865
BTBD9,++++,0.008650749,0.002501559056677085,0.9971140851315078,1,0.00500311811335417,0.03753051261187958,0.05217126004271331,0.07506102522375915
ABHD12,++++,0.0030647,0.002504936524086452,0.997550064455891,1,0.005009873048172904,0.03763222131814483,0.05217126004271331,0.07526444263628966
GORASP2,----,0.004319663,0.9918703962211688,0.002513073543435488,-1,0.005026147086870976,0.03773009254551002,0.05217656631407649,0.07546018509102004
NOL9,+-++,0.005388764,0.0025141308827314915,0.7306408911633785,1,0.005028261765462983,0.03773393002441009,0.05227295840536968,0.07546786004882018
PWP1,----,7.67509e-4,0.9789775000763715,0.002523879429562983,-1,0.005047758859125966,0.03783179090816638,0.05227827502034174,0.07566358181633276
DISP2,++++,0.019079869,0.0025249447427334007,0.9995978104392336,1,0.005049889485466801,0.037835638730675344,0.05237465676802604,0.07567127746135069
TPPP3,----,0.009795225,0.9810454937405431,0.0025310729162772473,-1,0.005062145832554495,0.03793348927082274,0.052379983726606995,0.07586697854164548
KIFAP3,-+--,0.007630337,0.950008989468647,0.002550335428062672,-1,0.005100670856125344,0.03793348927082274,0.052481692432872255,0.07586697854164548
CYP1B1,+-+-,8.58895e-4,0.0025589513676408863,0.726089064511394,1,0.005117902735281773,0.037937347436940605,0.05257805349333876,0.07587469487388121
CMTM1,-+-+,2.1573e-4,0.6612648230135547,0.00256426766791826,-1,0.00512853533583652,0.0380351876334791,0.05258340113913751,0.0760703752669582
SEC61A2,----,0.002315262,0.9888347844086627,0.002566894128296391,-1,0.005133788256592782,0.0380351876334791,0.05268510984540277,0.0760703752669582
SH3GLB1,----,0.008115637,0.999158815135484,0.002568414292225689,-1,0.005136828584451378,0.0380351876334791,0.05278681855166802,0.0760703752669582
IARS,-+--,0.00675103,0.9046671624658849,0.002571408549411721,-1,0.005142817098823442,0.0380351876334791,0.05288852725793328,0.0760703752669582
MGST3,++--,7.65356e-4,0.5506465560397273,0.0025748811427302037,-1,0.0051497622854604075,0.0380351876334791,0.05299023596419854,0.0760703752669582
USP25,----,0.016917228,0.9960532501634057,0.0025892378619290727,-1,0.005178475723858145,0.0380351876334791,0.05309194467046379,0.0760703752669582
PRUNE2,--+-,0.013427341,0.6408708302128718,0.0025995374140330113,-1,0.005199074828066023,0.0380351876334791,0.05319365337672905,0.0760703752669582
RAD51C,-+--,0.002073689,0.881539880531644,0.002599727527069592,-1,0.005199455054139184,0.0380351876334791,0.053295362082994305,0.0760703752669582
DHRS7B,-+--,0.00317088,0.9739605176786138,0.002600168746850092,-1,0.005200337493700184,0.0380351876334791,0.05339707078925956,0.0760703752669582
ASXL1,++++,0.002587828,0.002602784052812383,0.9907218525380665,1,0.005205568105624766,0.03803905614320586,0.05349333875724601,0.07607811228641172
TIMM8B,++--,0.001515824,0.7343866720514831,0.0026074883822616657,-1,0.0052149767645233314,0.03813688599613546,0.05349877949552482,0.07627377199227092
CPLX2,++++,0.023403558,0.002614115594314568,0.9991830482419446,1,0.005228231188629136,0.03814076484947111,0.05359503711990237,0.07628152969894222
CYB5R4,----,0.016858427,0.9963593562793895,0.002619401145048549,-1,0.005238802290097098,0.03823858435879182,0.05360048820179007,0.07647716871758364
CSF1R,----,0.026040824,0.9990836912096931,0.0026219023378840707,-1,0.0052438046757681414,0.03823858435879182,0.05370219690805533,0.07647716871758364
MTCH2,----,0.007885861,0.9892233652311546,0.0026259059745750725,-1,0.005251811949150145,0.03823858435879182,0.05380390561432059,0.07647716871758364
BCL7C,+-++,6.48689e-4,0.0026311553460088275,0.9089596812251494,1,0.005262310692017655,0.03824247355573637,0.05390013220787145,0.07648494711147275
NDN,----,0.016988483,0.9976392144891354,0.0026394633162006667,-1,0.005278926632401333,0.03834028272144818,0.05390561432058584,0.07668056544289636
FBXO18,++++,0.007233146,0.0026617909421672624,0.9985989769516543,1,0.005323581884334525,0.038344182262001626,0.05400183057052781,0.07668836452400325
ANLN,--+-,0.024400094,0.7429640184646507,0.00266464561132959,-1,0.00532929122265918,0.03844198108410454,0.0540073230268511,0.07688396216820909
DHRS12,+-+-,0.005786704,0.0026901009273984275,0.4986957286881449,1,0.005380201854796855,0.03844589096826689,0.054103528933184174,0.07689178193653377
SPTB,-+-+,0.002352622,0.002690589186017694,0.39086833159634676,1,0.005381178372035388,0.03854759967453214,0.054103528933184174,0.07709519934906428
C1orf53,-+--,9.07772e-4,0.76424052671995,0.002704435416102252,-1,0.005408870832204504,0.03864537780941727,0.054109031733116354,0.07729075561883454
