gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
SLCO1A2,----,3.41573e-4,0.9999999999921819,1.2037924163224012e-9,-1,2.4075848326448024e-9,1.0169836265636123e-4,1.017087062652563e-4,2.0339672531272246e-4
AGA,----,2.84925e-4,0.9999999284088643,6.060763144200773e-9,-1,1.2121526288401545e-8,1.0169836265636123e-4,2.034174125305126e-4,2.0339672531272246e-4
C1orf115,++++,1.26498e-4,4.658220873527864e-8,0.9999999944414756,1,9.316441747055729e-8,1.017087062652563e-4,3.050950879690837e-4,2.034174125305126e-4
ZFP106,++++,3.28e-6,7.102687418260348e-8,0.9999766301481715,1,1.4205374836520696e-7,2.034174125305126e-4,3.050950879690837e-4,4.068348250610252e-4
LINGO2,++++,1.42322e-4,8.023803322383238e-8,0.9999997201063645,1,1.6047606644766476e-7,3.051261187957689e-4,3.050950879690837e-4,6.101901759381674e-4
MRPS12,----,8.02e-5,0.9996699236781834,1.654734763618982e-7,-1,3.309469527237964e-7,4.067934506254449e-4,3.051261187957689e-4,6.102522375915378e-4
VSTM2L,++++,1.43539e-4,1.7567336157756498e-7,0.9999993565219727,1,3.5134672315512996e-7,4.068348250610252e-4,4.067934506254449e-4,8.135869012508898e-4
EXOC7,++++,7.08895e-4,2.2118839488816665e-7,0.9999999162601699,1,4.423767897763333e-7,5.085435313262816e-4,4.067934506254449e-4,8.135869012508898e-4
DGCR2,++++,6.76404e-4,5.824107026712626e-7,0.999995989053863,1,1.1648214053425252e-6,6.102522375915378e-4,4.067934506254449e-4,8.135869012508898e-4
ZNF394,++++,8.10112e-4,8.723476470160555e-7,0.999997163208484,1,1.744695294032111e-6,7.119609438567941e-4,4.067934506254449e-4,8.135869012508898e-4
FBXO9,----,9.29213e-4,0.9999983302832118,1.4514890788101828e-6,-1,2.9029781576203655e-6,8.135869012508898e-4,4.068348250610252e-4,8.136696501220504e-4
SCO1,----,3.4073e-4,0.9999593293181401,2.4724043987543297e-6,-1,4.9448087975086595e-6,8.135869012508898e-4,5.085435313262816e-4,0.0010170870626525631
ATPIF1,++++,7.26311e-4,2.609707440243615e-6,0.9999969335374795,1,5.21941488048723e-6,8.136696501220504e-4,6.101901759381674e-4,0.0012203803518763348
LRP8,----,0.002573783,0.9999995918421165,2.6745044194159597e-6,-1,5.349008838831919e-6,9.152852639072511e-4,6.102522375915378e-4,0.0012205044751830757
SQLE,----,5.82e-5,0.9999750819705703,3.0380989247647357e-6,-1,6.0761978495294715e-6,9.152852639072511e-4,7.119609438567941e-4,0.0014239218877135883
RPAP1,++++,0.001111704,3.507646824181318e-6,0.9996062000961992,1,7.015293648362636e-6,9.153783563873067e-4,8.135869012508898e-4,0.0016271738025017796
SET,----,9.95131e-4,0.9999266038853867,5.492273119562283e-6,-1,1.0984546239124566e-5,0.0010169836265636124,8.136696501220504e-4,0.0016273393002441008
MLL,++++,0.001785206,6.222434168241625e-6,0.9999460919584771,1,1.244486833648325e-5,0.0010170870626525631,9.152852639072511e-4,0.0018305705278145023
NUDCD3,++++,0.003626404,6.638650065087132e-6,0.999999818232515,1,1.3277300130174264e-5,0.0011187957689178193,9.152852639072511e-4,0.0018305705278145023
SARM1,++++,2.78558e-4,6.673336898218089e-6,0.9999699009080074,1,1.3346673796436178e-5,0.0012205044751830757,9.152852639072511e-4,0.0018305705278145023
NTRK3,++++,0.003217697,8.12191843953685e-6,0.9999993257131515,1,1.62438368790737e-5,0.0013222131814483319,9.152852639072511e-4,0.0018305705278145023
LSM5,----,0.001827154,0.9999962714954993,9.792643573854006e-6,-1,1.9585287147708012e-5,0.0014237770771890572,9.153783563873067e-4,0.0018307567127746134
NFX1,-+++,3.34363e-4,1.027995189342946e-5,0.7176759068540497,1,2.055990378685892e-5,0.0014239218877135883,0.0010169836265636124,0.0020339672531272247
CRH,+---,0.001538858,0.9932509563898988,1.1259946897932883e-5,-1,2.2519893795865766e-5,0.0015254754398454184,0.0010170870626525631,0.0020341741253051262
LRRFIP1,++++,0.001119382,1.1397140321887374e-5,0.9999953903800098,1,2.279428064377475e-5,0.0015256305939788447,0.0011186819892199736,0.002237363978439947
PPAP2C,----,4.55243e-4,0.996102295129405,1.1416799996014326e-5,-1,2.2833599992028652e-5,0.0016271738025017796,0.0011187957689178193,0.0022375915378356386
AKR1A1,----,0.005248127,0.9996379357852143,1.236568849065969e-5,-1,2.473137698131938e-5,0.0016271738025017796,0.0012205044751830757,0.0024410089503661514
AGPS,+---,5.44e-5,0.9794506869958103,1.4535600550983274e-5,-1,2.9071201101966548e-5,0.0016271738025017796,0.0013222131814483319,0.0026444263628966637
FAM115A,++++,0.002346629,1.5060153559947633e-5,0.9999651975285095,1,3.0120307119895267e-5,0.0016273393002441008,0.0014237770771890572,0.0028475541543781144
NEUROD6,----,2.46816e-4,0.9994893595314639,1.575932693571164e-5,-1,3.151865387142328e-5,0.0017288721651581409,0.0014239218877135883,0.0028478437754271765
SST,----,3.35674e-4,0.9998509103220629,1.5981509275743062e-5,-1,3.1963018551486125e-5,0.0017288721651581409,0.0015256305939788447,0.0030512611879576893
MRPS6,----,1.16199e-4,0.9962767789652,1.753167189948271e-5,-1,3.506334379896542e-5,0.0017288721651581409,0.0016273393002441008,0.0032546786004882017
FAM69B,-++-,2.81e-7,0.49310029346359285,1.786328575544006e-5,-1,3.572657151088012e-5,0.0017288721651581409,0.0017290480065093572,0.0034577443303162817
COL6A1,++++,0.002037172,1.849792020411188e-5,0.9999932021334881,1,3.699584040822376e-5,0.0017290480065093572,0.0018305705278145023,0.0034580960130187145
RERE,++++,6.1161e-4,1.87964005356465e-5,0.9997772894182577,1,3.7592801071293e-5,0.0018307567127746134,0.0018305705278145023,0.0036611410556290046
ARPP-21,++++,0.005426966,1.9291153406936526e-5,0.9999959821097355,1,3.858230681387305e-5,0.0019324654190398698,0.0018305705278145023,0.0036611410556290046
COX8A,-+--,4.8661e-4,0.9186587635698237,2.001905383956691e-5,-1,4.003810767913382e-5,0.0020339672531272247,0.0018307567127746134,0.003661513425549227
PGAP1,----,0.001316292,0.9995387875907854,2.30854133030502e-5,-1,4.61708266061004e-5,0.0020339672531272247,0.0019324654190398698,0.0038649308380797396
HMGCS1,----,0.001480243,0.9999331838407813,2.3723028363188835e-5,-1,4.744605672637767e-5,0.0020339672531272247,0.0020341741253051262,0.0040679345062544494
MYT1,++++,0.004020974,2.523735637424922e-5,0.9998009765251943,1,5.047471274849844e-5,0.0020341741253051262,0.0021356656157835857,0.0040683482506102524
FTCD,++++,0.005770599,2.5873918471728575e-5,0.999933109091813,1,5.174783694345715e-5,0.0021358828315703824,0.0021356656157835857,0.004271331231567171
AGK,----,0.001906554,0.9991850583001557,2.6342152863638237e-5,-1,5.2684305727276475e-5,0.002237363978439947,0.0021358828315703824,0.004271765663140765
NME5,----,2.82022e-4,0.9998367934199338,2.6929702194284743e-5,-1,5.3859404388569486e-5,0.002237363978439947,0.0022375915378356386,0.004474727956879894
ZMYM6,----,3.34551e-4,0.9990492641856005,2.7011265287129408e-5,-1,5.4022530574258816e-5,0.002237363978439947,0.002339300244100895,0.004474727956879894
EXTL3,++++,0.005214607,2.746654462546915e-5,0.9999991511790811,1,5.49330892509383e-5,0.0022375915378356386,0.0024407607037526696,0.004475183075671277
CHST10,++++,6.14e-5,2.8293944494577846e-5,0.9948361089112521,1,5.658788898915569e-5,0.002339300244100895,0.0024407607037526696,0.00467860048820179
PIGH,----,0.002240824,0.9999404493889982,2.870715158866778e-5,-1,5.741430317733556e-5,0.0024407607037526696,0.0024410089503661514,0.004881521407505339
ATG7,----,1.17509e-4,0.999860726875994,2.9723206827973913e-5,-1,5.9446413655947826e-5,0.0024407607037526696,0.0025427176566314076,0.004881521407505339
APH1A,++++,1.72846e-4,2.972887364573977e-5,0.9997066409964523,1,5.945774729147954e-5,0.0024410089503661514,0.002644157429065392,0.004882017900732303
RQCD1,----,6.95412e-4,0.9954638854143582,3.115536030322013e-5,-1,6.231072060644026e-5,0.002542459066409031,0.0026444263628966637,0.005084918132818062
CORT,----,0.001221536,0.9973397336102017,3.1301218839410274e-5,-1,6.260243767882055e-5,0.002542459066409031,0.0027461350691619204,0.005084918132818062
KLF3,----,0.004518727,0.9999883552597795,3.187710205965473e-5,-1,6.375420411930945e-5,0.002542459066409031,0.0028478437754271765,0.005084918132818062
FDFT1,----,0.005134363,0.9999917638626726,3.255992237567716e-5,-1,6.511984475135431e-5,0.002542459066409031,0.0029495524816924327,0.005084918132818062
PM20D2,++-+,3.32678e-4,3.3702348289008e-5,0.9446585837340502,1,6.7404696578016e-5,0.0025427176566314076,0.003050950879690837,0.005085435313262815
MARCKS,----,0.006911423,0.9999966808518548,3.600454038856404e-5,-1,7.200908077712808e-5,0.002644157429065392,0.0030512611879576893,0.005288314858130784
SLC9A1,++-+,0.002194476,3.605290835359051e-5,0.8142735317259774,1,7.210581670718103e-5,0.0026444263628966637,0.0031526492423471983,0.0052888527257933275
ELAC2,++++,0.001522472,4.0022443949844115e-5,0.9981429064020452,1,8.004488789968823e-5,0.0027461350691619204,0.0031526492423471983,0.005492270138323841
ISCA1,----,0.001430805,0.9895454447377059,4.283432478599126e-5,-1,8.566864957198251e-5,0.0028475541543781144,0.0031529698942229455,0.005695108308756229
MACROD1,++++,0.006461049,4.311415163108671e-5,0.9999463481415103,1,8.622830326217342e-5,0.0028478437754271765,0.0032543476050035593,0.005695687550854353
CAMK2D,----,0.003687453,0.9998845300730246,4.3578242267592626e-05,-1,8.715648453518525e-5,0.002949252517034476,0.0032546786004882017,0.005898505034068952
SCAMP5,++++,0.012569288,4.953677282332894e-5,0.9999987687780778,1,9.907354564665788e-5,0.0029495524816924327,0.0033560459676599207,0.0058991049633848654
GGCX,+---,0.002990824,0.9879124967872412,5.021252682828896e-5,-1,1.0042505365657792e-4,0.003050950879690837,0.0033563873067534583,0.006101901759381674
RIPK1,++++,0.00206236,5.049426312799488e-5,0.9991312542517277,1,1.0098852625598976e-4,0.0030512611879576893,0.0034577443303162817,0.006102522375915379
CMTM3,-+++,2.63577e-4,5.237658046171079e-5,0.8654762504472004,1,1.0475316092342158e-4,0.0031529698942229455,0.0034577443303162817,0.006305939788445891
ZNF550,----,0.00193661,0.9999562628730776,5.275367066688607e-5,-1,1.0550734133377214e-4,0.0032543476050035593,0.0034580960130187145,0.006508695210007119
P2RY12,----,0.008526498,0.9999630312912678,5.348338035263092e-5,-1,1.0696676070526184e-4,0.0032543476050035593,0.0035598047192839707,0.006508695210007119
RHEB,----,9.05e-5,0.9994976944015216,5.395045901058145e-5,-1,1.079009180211629e-4,0.0032543476050035593,0.003661513425549227,0.006508695210007119
DR1,----,0.003042884,0.9998937095002086,5.425205914430873e-5,-1,1.0850411828861746e-4,0.0032543476050035593,0.0037632221318144835,0.006508695210007119
MAP2K2,++++,8.40356e-4,5.4442731345038774e-5,0.999966435602203,1,1.0888546269007755e-4,0.0032546786004882017,0.003864537780941727,0.006509357200976403
ATG9A,++++,0.002241948,5.5617220415284026e-5,0.9994244956953426,1,1.1123444083056805e-4,0.0033563873067534583,0.003864537780941727,0.006712774613506917
SLC12A2,--+-,5.34363e-4,0.9038697118272169,5.5829969943387005e-5,-1,1.1165993988677401e-4,0.0034577443303162817,0.0038649308380797396,0.006915488660632563
APTX,----,0.001219476,0.9972743469595837,5.6611029414560926e-5,-1,1.1322205882912185e-4,0.0034577443303162817,0.003966639544344996,0.006915488660632563
DIRC2,+---,0.00498764,0.9852985764856691,5.710550203585602e-5,-1,1.1421100407171204e-4,0.0034577443303162817,0.0040683482506102524,0.006915488660632563
TACC2,++++,0.013745599,5.897292827181597e-5,0.9999983445768814,1,1.1794585654363194e-4,0.0034580960130187145,0.004169632868910811,0.006916192026037429
PLA2G5,----,8.33895e-4,0.9998117766627225,6.249259970596952e-5,-1,1.2498519941193904e-4,0.003559442692972643,0.004170056956875509,0.007118885385945286
FBXO15,---+,4.71348e-4,0.8408474980260711,6.269454665817028e-5,-1,1.2538909331634055e-4,0.003559442692972643,0.004271765663140765,0.007118885385945286
PANK1,----,3.77715e-4,0.9980581944461899,6.386912063512405e-5,-1,1.277382412702481e-4,0.003559442692972643,0.004373474369406021,0.007118885385945286
COQ5,----,0.001940637,0.9999802359169594,6.455329593464203e-5,-1,1.2910659186928406e-4,0.003559442692972643,0.004475183075671277,0.007118885385945286
PHF2,+++-,0.001404682,6.475628425264352e-5,0.9785919272905598,1,1.2951256850528704e-4,0.0035598047192839707,0.004576426319536256,0.007119609438567941
MANEAL,----,6.5103e-4,0.9997276571874141,6.540973999352285e-5,-1,1.308194799870457e-4,0.0036611410556290046,0.004576891781936533,0.007322282111258009
FZD4,++++,9.01498e-4,6.581470582600617e-5,0.9998849593525089,1,1.3162941165201233e-4,0.003661513425549227,0.004678124682192616,0.007323026851098454
CDO1,-+--,6.13e-5,0.986323334577756,6.608758134135919e-5,-1,1.3217516268271837e-4,0.0037628394182853656,0.00467860048820179,0.007525678836570731
CAPN3,----,0.002785861,0.9999415283383829,6.730026351942461e-5,-1,1.3460052703884921e-4,0.0037628394182853656,0.004780309194467047,0.007525678836570731
SH3BP5L,+-++,9.95412e-4,6.791771763948541e-5,0.9606741775507988,1,1.3583543527897083e-4,0.0037632221318144835,0.004881521407505339,0.007526444263628967
C11orf1,-+--,1.99532e-4,0.9434715373018564,6.854975158772937e-5,-1,1.3709950317545875e-4,0.003864537780941727,0.004882017900732303,0.007729075561883454
AKT1,++++,0.007920037,6.875504759891143e-5,0.9998855395566618,1,1.3751009519782285e-4,0.0038649308380797396,0.004983219770161701,0.007729861676159479
NDST2,+---,0.001439326,0.9584414125119561,6.91083634108822e-5,-1,1.382167268217644e-4,0.003966236143598088,0.004983726606997559,0.007932472287196176
ORMDL1,----,0.01050309,0.9999767717048733,7.059138474759629e-5,-1,1.4118276949519259e-4,0.003966236143598088,0.005085435313262815,0.007932472287196176
CDK10,++++,0.012007022,7.089609701860889e-5,0.99999506172501,1,1.4179219403721779e-4,0.003966639544344996,0.005186616495474423,0.007933279088689993
SSR1,----,0.013412453,0.999997624477677,7.159573138779892e-5,-1,1.4319146277559785e-4,0.0040679345062544494,0.005187144019528071,0.008135869012508899
RBM45,---+,8.59925e-4,0.6924200208294937,7.342168147949239e-5,-1,1.4684336295898477e-4,0.0040679345062544494,0.0052888527257933275,0.008135869012508899
ZNF395,-+++,2.12828e-4,7.674079521093737e-5,0.9860944206886344,1,1.5348159042187474e-4,0.0040683482506102524,0.0053900132207871454,0.008136696501220505
UBE2E3,-+--,0.001145225,0.9347930803829072,7.879193819255426e-5,-1,1.575838763851085e-4,0.004169632868910811,0.0053905614320585845,0.008339265737821622
CGRRF1,----,5.48596e-4,0.9991319919371655,7.894932110881047e-5,-1,1.5789864221762095e-4,0.004169632868910811,0.005492270138323841,0.008339265737821622
ASH2L,-+--,4.97659e-4,0.8320426004459126,7.90043311621602e-5,-1,1.580086623243204e-4,0.004169632868910811,0.005593978844589097,0.008339265737821622
IVNS1ABP,----,0.003493914,0.9999843513669672,7.957390513676189e-5,-1,1.5914781027352379e-4,0.004169632868910811,0.005695687550854353,0.008339265737821622
NAV2,++++,7.03745e-4,8.133240256241662e-5,0.9991281987334928,1,1.6266480512483323e-4,0.004170056956875509,0.00579680667141259,0.008340113913751017
ZWILCH,----,0.021340918,0.9999987323009708,8.200782693775661e-5,-1,1.6401565387551322e-4,0.004271331231567171,0.005797396257119609,0.008542662463134343
PDCD7,++++,5.95506e-4,8.279015889939963e-5,0.9992422708387627,1,1.6558031779879926e-4,0.004271765663140765,0.005898505034068952,0.00854353132628153
TIA1,----,0.00147294,0.9998978026822672,8.361135062371975e-5,-1,1.672227012474395e-4,0.004373029594223533,0.0058991049633848654,0.008746059188447066
ACOT4,----,0.007517228,0.9999388495280657,8.730180560316234e-5,-1,1.7460361120632468e-4,0.004373029594223533,0.006000813669650122,0.008746059188447066
TRIM44,++++,5.1882e-4,8.796953426436881e-5,0.9991814167008929,1,1.7593906852873763e-4,0.004373474369406021,0.006101901759381674,0.008746948738812042
TMEM126B,----,0.003693633,0.999905576235951,8.80147549444004e-5,-1,1.760295098888008e-4,0.004474727956879894,0.006102522375915379,0.008949455913759789
FBXO38,-+--,0.001160674,0.9150938340916123,8.87838901551933e-5,-1,1.775677803103866e-4,0.004474727956879894,0.006204231082180635,0.008949455913759789
NHP2L1,-+--,0.001953839,0.9855268812399057,8.90012879939384e-5,-1,1.780025759878768e-4,0.004474727956879894,0.006305939788445891,0.008949455913759789
LGI3,++++,0.001578652,9.096464316057617e-5,0.9997767281750471,1,1.8192928632115233e-4,0.004475183075671277,0.006406996847350758,0.008950366151342554
ATP5B,-+--,5.55618e-4,0.7422444239456054,9.121587052131562e-5,-1,1.8243174104263125e-4,0.004576426319536256,0.006407648494711147,0.009152852639072511
CNDP1,--+-,0.009759738,0.9775292499736254,9.478643861067154e-5,-1,1.8957287722134308e-4,0.004576426319536256,0.006509357200976403,0.009152852639072511
CAMK2B,++++,0.025905243,9.75033284436549e-5,0.9999982988160259,1,1.950066568873098e-4,0.004576891781936533,0.00661039357266348,0.009153783563873067
MRPL42,----,6.99625e-4,0.9995770554486443,9.908442883133869e-5,-1,1.9816885766267737e-4,0.004678124682192616,0.00661106590724166,0.009356249364385233
PITRM1,-+++,0.003733333,9.973896046205918e-5,0.9791334425068338,1,1.9947792092411836e-4,0.00467860048820179,0.0067120919353198414,0.00935720097640358
SNRPB,-+--,0.002281554,0.9146856056281585,1.0045511635601616e-4,-1,2.0091023271203231e-4,0.004779823044848978,0.006712774613506917,0.009559646089697955
C17orf39,++++,1.06086e-4,1.0086724597409662e-4,0.9988256856838622,1,0.00020173449194819324,0.004780309194467047,0.006813790297976203,0.009560618388934093
SYDE1,++++,0.011515449,1.0509772835636826e-4,0.9999915806685884,1,2.1019545671273652e-4,0.004882017900732303,0.006813790297976203,0.009764035801464606
NDUFC2,-+--,8.24813e-4,0.9354737104742491,1.0509799340133957e-4,-1,2.1019598680267914e-4,0.004983219770161701,0.006814483319772173,0.009966439540323401
RTCD1,----,0.001580056,0.9999649108757471,1.0510255913368108e-4,-1,2.1020511826736217e-4,0.004983219770161701,0.006916192026037429,0.009966439540323401
ACAT2,----,0.004275281,0.9994498330947958,1.0607707247063645e-4,-1,2.121541449412729e-4,0.004983219770161701,0.007017900732302685,0.009966439540323401
MAN1A1,----,9.38764e-4,0.9892391985480958,1.0688573914195396e-4,-1,2.1377147828390792e-4,0.004983219770161701,0.007119609438567941,0.009966439540323401
PPM1A,--+-,0.003844569,0.9288568389670668,1.1274726035940535e-4,-1,2.254945207188107e-4,0.004983219770161701,0.0072213181448331975,0.009966439540323401
SMARCD1,++++,0.001623408,1.1296916190258697e-4,0.9997215971627307,1,2.2593832380517394e-4,0.004983726606997559,0.007322282111258009,0.009967453213995118
PROSC,+---,0.002791667,0.9863917445116559,1.1318355806684739e-4,-1,2.2636711613369478e-4,0.005084918132818062,0.007323026851098454,0.010169836265636124
SEMA5B,++++,0.019176873,1.1456423985963608e-4,0.9999954417346117,1,2.2912847971927217e-4,0.005085435313262815,0.00742398047391437,0.01017087062652563
AZIN1,-+--,0.004089607,0.9894996984211393,1.161107652254636e-4,-1,2.322215304509272e-4,0.005186616495474423,0.007424735557363711,0.010373232990948845
NCK1,+---,7.75187e-4,0.8325438369771626,1.17130995796626e-4,-1,2.34261991593252e-4,0.005186616495474423,0.007526444263628967,0.010373232990948845
SCCPDH,-+--,0.001830993,0.9514017966833395,1.2073357351254556e-4,-1,2.4146714702509111e-4,0.005186616495474423,0.007628152969894223,0.010373232990948845
C10orf90,--+-,0.002580431,0.8319618937788944,1.2141885778305666e-4,-1,0.00024283771556611331,0.005186616495474423,0.007729861676159479,0.010373232990948845
PXK,--+-,0.003722846,0.9858304933206095,1.2146943106132235e-4,-1,2.429388621226447e-4,0.005186616495474423,0.007831570382424735,0.010373232990948845
ISCA2,+---,3.3427e-4,0.8722180767933618,1.2177483256464674e-4,-1,2.435496651292935e-4,0.005186616495474423,0.007933279088689993,0.010373232990948845
BAT1,+-++,0.004015262,1.2195753173300535e-4,0.6830127658196654,1,2.439150634660107e-4,0.005187144019528071,0.008034170649852537,0.010374288039056143
TRAF5,++++,0.008789045,1.2353978855596126e-4,0.9999835492577602,1,2.470795771119225e-4,0.0052888527257933275,0.008034170649852537,0.010577705451586655
SLC22A15,----,0.011837266,0.999913212617933,1.2531092317368014e-4,-1,2.506218463473603e-4,0.0053900132207871454,0.008034987794955248,0.010780026441574291
B3GALNT1,-+--,0.003603464,0.5810297382888695,1.2633735420396373e-4,-1,2.5267470840792747e-4,0.0053900132207871454,0.008136696501220505,0.010780026441574291
MAPK8,+-+-,3.87e-5,0.2821284021475392,1.2641216669921057e-4,-1,2.5282433339842114e-4,0.0053900132207871454,0.00823840520748576,0.010780026441574291
PPM1D,----,0.002243446,0.9999249327604712,1.2665597661130483e-4,-1,2.5331195322260967e-4,0.0053900132207871454,0.008340113913751017,0.010780026441574291
FOXO3,++++,0.003330712,1.2764060250819816e-4,0.9999781806495033,1,2.552812050163963e-4,0.0053905614320585845,0.008440964100477982,0.010781122864117169
ZNF564,++++,1.26124e-4,1.2791536727472353e-4,0.9915529725228758,1,2.5583073454944706e-4,0.005492270138323841,0.008440964100477982,0.010984540276647681
MED6,+---,9.18258e-4,0.9673872708401766,1.2900854957143308e-4,-1,2.5801709914286615e-4,0.005593409946099867,0.008441822620016273,0.011186819892199735
XRCC2,++-+,0.001595318,1.3259246990229273e-4,0.9756434631883948,1,2.6518493980458546e-4,0.005593978844589097,0.008542662463134343,0.011187957689178194
STK24,+---,0.001455899,0.8561991150407406,1.3323523599889392e-4,-1,2.6647047199778785e-4,0.005695108308756229,0.00854353132628153,0.011390216617512458
LYPLA1,----,0.0020353,0.9997214904327811,1.343403767156112e-4,-1,2.686807534312224e-4,0.005695108308756229,0.008645240032546787,0.011390216617512458
KIF2A,----,0.001922659,0.9998880950520332,1.3507227463453256e-4,-1,2.701445492690651e-4,0.005695108308756229,0.008746948738812042,0.011390216617512458
RTN4,----,0.002729026,0.9999399522045582,1.3617434781906633e-4,-1,2.7234869563813266e-4,0.005695108308756229,0.008848657445077299,0.011390216617512458
CCDC90B,+---,0.004704494,0.9430974465821131,1.3786258343009822e-4,-1,2.7572516686019644e-4,0.005695108308756229,0.008950366151342554,0.011390216617512458
CADM3,++++,0.005146723,1.4269773506742786e-4,0.9999094184082462,1,2.853954701348557e-4,0.005695687550854353,0.00905115427641615,0.011391375101708706
KIAA1853,++++,5.02996e-4,1.442840109857532e-4,0.9976944943498633,1,2.885680219715064e-4,0.005797396257119609,0.00905115427641615,0.011594792514239219
DDX58,+-+-,9.5e-5,0.914089744454329,1.4496237842819606e-4,-1,2.899247568563921e-4,0.005898505034068952,0.009052074857607811,0.011797010068137903
TEF,++++,0.004226779,1.4577596605900136e-4,0.9999624560403755,1,2.915519321180027e-4,0.0058991049633848654,0.009152852639072511,0.011798209926769731
RAPGEF3,-+++,0.00120927,1.465184098807187e-4,0.9222910728838232,1,2.930368197614374e-4,0.006000813669650122,0.009152852639072511,0.012001627339300243
OSBPL1A,----,0.002249251,0.9999183733295836,1.465839716696009e-4,-1,2.931679433392018e-4,0.006101901759381674,0.009153783563873067,0.012203803518763347
CLCA4,----,0.011396536,0.9977773118150114,1.476793386695596e-4,-1,2.953586773391192e-4,0.006101901759381674,0.009255492270138324,0.012203803518763347
BIN3,++++,0.012126685,1.4794273165777866e-4,0.9999913643892945,1,2.958854633155573e-4,0.006102522375915379,0.009356249364385233,0.012205044751830757
ANAPC13,----,0.001096161,0.9985233160950875,1.5113208366913507e-4,-1,3.0226416733827014e-4,0.006203600122038035,0.00935720097640358,0.01240720024407607
CCNY,--+-,0.003007491,0.6599808263215514,1.5162090132797497e-4,-1,3.0324180265594994e-4,0.006203600122038035,0.009458909682668836,0.01240720024407607
TCF20,++++,0.01803427,1.5292389014482e-4,0.9999922955433673,1,3.0584778028964e-4,0.006204231082180635,0.009559646089697955,0.01240846216436127
PWWP2B,++++,0.008282865,1.5373585176755062e-4,0.9999666426035625,1,3.0747170353510124e-4,0.006305939788445891,0.009559646089697955,0.012611879576891782
CHMP5,-+--,3.39045e-4,0.9229743940393799,1.5460113579085998e-4,-1,3.0920227158171996e-4,0.006406996847350758,0.009560618388934093,0.012813993694701516
MRPL30,----,0.005517228,0.9978196737228462,1.5538139528140319e-4,-1,3.1076279056280637e-4,0.006406996847350758,0.009662327095199348,0.012813993694701516
SC65,-+++,0.00184897,1.560035353136012e-4,0.9916342994421634,1,3.120070706272024e-4,0.006407648494711147,0.009763042815010678,0.012815296989422294
UBQLN4,-+++,9.32772e-4,1.5724378330398626e-4,0.7626565910793375,1,3.144875666079725e-4,0.006509357200976403,0.009763042815010678,0.013018714401952807
LPAR5,----,0.004860674,0.9985043313453005,1.5740101665379316e-4,-1,3.1480203330758633e-4,0.00661039357266348,0.009764035801464606,0.01322078714532696
CACNA1C,+-++,0.002153558,1.583525733717473e-4,0.639094692157496,1,3.167051467434946e-4,0.00661106590724166,0.009864741177667039,0.01322213181448332
DDX23,++++,3.35e-5,1.6061811512682738e-4,0.9697908822425381,1,3.2123623025365476e-4,0.006712774613506917,0.009864741177667039,0.013425549227013833
CORO7,+-++,9.32e-5,1.6114704063989972e-4,0.8055392121696064,1,3.2229408127979945e-4,0.006814483319772173,0.009864741177667039,0.013628966639544346
RASAL2,--++,2.28e-5,1.6176305813778204e-4,0.2369231724671762,1,3.235261162755641e-4,0.006916192026037429,0.009864741177667039,0.013832384052074858
ZNF805,++++,0.017198502,1.6382070846422054e-4,0.999994975048417,1,3.276414169284411e-4,0.007017900732302685,0.009864741177667039,0.01403580146460537
CHDH,-+++,0.00333221,1.654280428370923e-4,0.9492136565732169,1,3.308560856741846e-4,0.007119609438567941,0.009864741177667039,0.014239218877135883
VGF,----,0.008081461,0.9999788782610807,1.6913999634957943e-4,-1,3.3827999269915886e-4,0.007220583748601648,0.00986574450772986,0.014441167497203295
MKKS,-+--,7.74719e-4,0.8987592528106043,1.714181870321378e-4,-1,3.428363740642756e-4,0.007220583748601648,0.009967453213995118,0.014441167497203295
HIST1H2AC,----,0.009502154,0.9991956511091127,1.719353145678942e-4,-1,3.438706291357884e-4,0.007220583748601648,0.010069161920260375,0.014441167497203295
DLGAP4,++-+,3.1161e-4,1.737972690424413e-4,0.9483107945021153,1,3.475945380848826e-4,0.0072213181448331975,0.010169836265636124,0.014442636289666395
GUF1,----,0.001052528,0.9997598023982089,1.7498328402219663e-4,-1,3.4996656804439326e-4,0.007322282111258009,0.01017087062652563,0.014644564222516018
SH3PXD2A,--++,5.74625e-4,1.7775871040818478e-4,0.30172881452938216,1,3.5551742081636956e-4,0.007323026851098454,0.010271534628292485,0.014646053702196907
SIRPA,++++,0.001439139,1.8111040980057973e-4,0.9961543123723846,1,3.6222081960115947e-4,0.007424735557363711,0.010271534628292485,0.014849471114727422
PDE4C,-+++,3.73783e-4,1.8243789932216752e-4,0.9780458936124741,1,3.6487579864433504e-4,0.007526444263628967,0.010271534628292485,0.015052888527257934
SFRS14,++++,0.004860112,1.841548185445014e-4,0.9991683852907065,1,3.683096370890028e-4,0.007628152969894223,0.010271534628292485,0.015256305939788446
CCNDBP1,-+--,0.001809082,0.9496886260117096,1.8597089647561592e-4,-1,3.7194179295123184e-4,0.007729075561883454,0.010272579332790887,0.015458151123766908
FGL2,----,6.13202e-4,0.9934520065699588,1.8724127284873557e-4,-1,3.7448254569747113e-4,0.007729075561883454,0.010374288039056143,0.015458151123766908
