gene_symbol,female_AMY_male_AMY,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
PDHB,--,0.008151404,0.041833316895712395,0.026344925759532293,-1,0.052689851519064586
ARNTL,--,0.002862079,0.09938606602795323,0.010612656468710983,-1,0.021225312937421966
TAZ,++,2.1985e-4,8.362273378470077e-4,0.6244457361128085,1,0.0016724546756940154
RWDD2B,--,0.007305337,0.04864344227501373,0.023979158096258085,-1,0.04795831619251617
KRBA2,+-,6.9e-5,1.9044303211081466e-5,0.9992693659620303,1,3.808860642216293e-5
CHMP1A,++,3.67697e-4,0.0014765007451904325,0.48954206273326506,1,0.002953001490380865
ZNF395,++,2.12828e-4,7.645430620328924e-4,0.681990028890584,1,0.0015290861240657848
GPR125,+-,1.32303e-4,3.608456842716784e-4,0.8598157338678356,1,7.216913685433567e-4
OTUB1,--,3.21067e-4,0.5486670054002637,0.0012545030531915722,-1,0.0025090061063831443
FKBP14,++,0.007332959,0.05450673410606068,0.024030349003849504,-1,0.04806069800769901
ZNF74,-+,9.86e-5,0.9619824387257048,1.5871869673030647e-4,-1,3.1743739346061294e-4
WDFY2,++,0.002454213,0.13466621400236445,0.009206145556705177,-1,0.018412291113410355
BCL7C,++,6.48689e-4,0.0026322986100017374,0.3602384052423467,1,0.005264597220003475
SMYD3,--,1.58052e-4,0.8300362948312618,4.585498335466531e-4,-1,9.170996670933062e-4
ZNFX1,+-,1.18352e-4,2.4093806901594696e-4,0.9320949115481196,1,4.818761380318939e-4
ACOT7,--,1.70599e-4,0.8162021752998052,5.070750533539961e-4,-1,0.0010141501067079922
PGK1,-+,1.23127e-4,0.9277265005414677,2.565214454712897e-4,-1,5.130428909425794e-4
SLC45A1,--,4.10955e-4,0.5165465882567231,0.001602531840048207,-1,0.003205063680096414
TMEM205,--,1.65075e-4,0.8427755881093071,4.623870980070557e-4,-1,9.247741960141114e-4
C3orf31,--,5.7912e-4,0.42021868360748527,0.00230920230602137,-1,0.00461840461204274
COX5A,-+,1.04682e-4,0.97806743344578,1.3167997622917248e-4,-1,2.6335995245834495e-4
ZNF708,+-,1.147e-4,1.786305923490561e-4,0.9637393258405101,1,3.572611846981122e-4
BHLHB9,--,0.002301311,0.16451016603895313,0.008635144498782669,-1,0.017270288997565338
ARFGAP1,++,2.66386e-4,9.129569677444854e-4,0.7032064049265948,1,0.0018259139354889708
PACSIN1,--,0.001010955,0.3066625705151571,0.003994559742797928,-1,0.007989119485595856
PCBP4,++,1.92978e-4,5.53231756692825e-4,0.8273568584185791,1,0.00110646351338565
CALCOCO1,++,0.002503558,0.009309040396499203,0.1581287531632562,1,0.018618080792998405
