gene_symbol,male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
SYNGR1,----,0.008564888,0.9999759086089773,1.2021394548930089e-4,-1,2.4042789097860178e-4,8.136696501220504e-4,0.0012206286237412267,0.0016273393002441008
SCD5,++++,0.003748408,1.2761029468329123e-4,0.9998720070026982,1,2.5522058936658246e-4,8.137524158274845e-4,0.0013222131814483319,0.001627504831654969
ZFYVE9,----,0.002007959,0.9999512672664924,1.3284215446416828e-4,-1,2.6568430892833655e-4,9.153783563873067e-4,0.0013223476757196623,0.0018307567127746134
LRRCC1,++--,1.98221e-4,1.331054878468932e-4,0.8880857885261506,1,2.662109756937864e-4,9.1547146780592e-4,0.0014239218877135883,0.00183094293561184
MPP3,++++,6.30618e-4,1.3467460918439818e-4,0.9994235683699526,1,2.6934921836879635e-4,0.0010171905197843556,0.0014239218877135883,0.002034381039568711
ADAMTSL2,+---,3.1339e-4,0.8548824395533008,1.4024655887741368e-4,-1,2.8049311775482736e-4,0.0011187957689178193,0.0014240667276980978,0.0022375915378356386
RABEP1,++++,0.006704869,1.412994752637286e-4,0.9998982182171433,1,2.825989505274572e-4,0.0011189095717627912,0.0015256305939788447,0.0022378191435255823
ANP32A,++++,8.82022e-4,1.4214799586377902e-4,0.9989179427644863,1,2.8429599172755804e-4,0.0012206286237412267,0.0015256305939788447,0.0024412572474824534
SMAD5,++++,0.003325843,1.55017017694391e-4,0.9999533939164931,1,3.10034035388782e-4,0.0013223476757196623,0.0015256305939788447,0.0026446953514393245
MTERFD2,---+,0.001656367,0.5236172400847887,1.5588729229800246e-4,-1,3.117745845960049e-4,0.0014239218877135883,0.0015257857796765334,0.0028478437754271765
CA12,++++,0.003140449,1.620694568309314e-4,0.999966626039783,1,3.241389136618628e-4,0.0014240667276980978,0.0016273393002441008,0.0028481334553961957
KTN1,++++,0.009738296,1.632822297278163e-4,0.999936530180288,1,3.265644594556326e-4,0.0015257857796765334,0.0016273393002441008,0.003051571559353067
PNN,++++,0.005205431,1.6630535192991555e-4,0.9993218200478489,1,3.326107038598311e-4,0.001627504831654969,0.0016273393002441008,0.0032546786004882017
GALNT14,----,0.009527247,0.9999797691335065,1.727205054290422e-4,-1,3.454410108580844e-4,0.0017290480065093572,0.001627504831654969,0.003255009663309938
SLC35A3,++++,0.009109831,1.7926630687174687e-4,0.9998815665145129,1,3.5853261374349375e-4,0.0017292238836334045,0.0017290480065093572,0.0034580960130187145
LIN7C,++++,0.016159082,1.8021897326643758e-4,0.9999843766713801,1,3.6043794653287516e-4,0.00183094293561184,0.0017290480065093572,0.0034580960130187145
SEL1L,----,6.01311e-4,0.9987955719405056,1.8247056973735469e-4,-1,3.6494113947470937e-4,0.0019324654190398698,0.0017292238836334045,0.003458447767266809
LRFN2,----,0.00265927,0.9905950094222467,2.1003490021181498e-4,-1,4.2006980042362996e-4,0.0019324654190398698,0.00183094293561184,0.00366188587122368
MAP1B,+---,3.38764e-4,0.797828180082162,2.111131490803141e-4,-1,4.222262981606282e-4,0.0019324654190398698,0.0019326619875902756,0.0038649308380797396
CREBZF,++++,0.009225281,2.2962562146079145e-4,0.9999120542926627,1,4.592512429215829e-4,0.0019326619875902756,0.0020341741253051262,0.0038653239751805513
NRF1,----,0.004883989,0.9999226709838867,2.386456180668306e-4,-1,4.772912361336612e-4,0.0020341741253051262,0.002034381039568711,0.0040683482506102524
HOPX,---+,2.67e-5,0.8440464007022375,2.460634326040629e-4,-1,4.921268652081258e-4,0.0020341741253051262,0.0021361000915471468,0.0040683482506102524
ADARB2,++++,0.003788296,2.544750418805966e-4,0.9998502284072921,1,5.089500837611932e-4,0.002034381039568711,0.0022375915378356386,0.004068762079137422
PPP2R3A,++-+,3.6161e-4,2.5576452106649666e-4,0.9363517246990267,1,5.115290421329933e-4,0.0021361000915471468,0.0022375915378356386,0.0042722001830942935
TRIM8,++++,0.008264139,2.635190515839108e-4,0.9977600744326791,1,5.270381031678216e-4,0.0022378191435255823,0.0022375915378356386,0.004475183075671277
RWDD2B,---+,0.003980618,0.35953212298518783,2.6873521522560685e-4,-1,5.374704304512137e-4,0.002339300244100895,0.0022378191435255823,0.004475638287051165
AK1,--+-,0.00240824,0.9666408154790209,2.740439201003454e-4,-1,5.480878402006908e-4,0.002339300244100895,0.002339538195504018,0.00467860048820179
CNKSR3,++++,6.41386e-4,2.762395591770541e-4,0.9907525619654669,1,5.524791183541082e-4,0.002339538195504018,0.0024410089503661514,0.004679076391008036
EPB41L4B,--+-,0.003397753,0.9871360106186655,2.770701813227241e-4,-1,5.541403626454482e-4,0.0024410089503661514,0.0024412572474824534,0.004882017900732303
DGAT1,----,7.54963e-4,0.9684488954902741,2.9725346770956664e-4,-1,5.945069354191333e-4,0.0024410089503661514,0.002542976299460889,0.004882017900732303
FAM78A,----,0.005652622,0.9998781389496508,2.98327864093671e-4,-1,5.96655728187342e-4,0.0024410089503661514,0.0026446953514393245,0.004882017900732303
ARMC6,----,0.001055524,0.9967444187260772,2.9969246236779623e-4,-1,5.993849247355925e-4,0.0024410089503661514,0.00274641440341776,0.004882017900732303
NAB2,--+-,0.001542884,0.6562943055484038,3.029543787083158e-4,-1,6.059087574166316e-4,0.0024410089503661514,0.0028481334553961957,0.004882017900732303
FBXO32,++-+,1.6339e-4,3.1521556160155143e-4,0.5466027470318405,1,6.304311232031029e-4,0.0024412572474824534,0.0029495524816924327,0.004882514494964907
SLC13A3,+++-,0.004557491,3.337202232331144e-4,0.6718851099328007,1,6.674404464662288e-4,0.002542976299460889,0.0029495524816924327,0.005085952598921778
TCERG1L,----,0.005617135,0.9999547255475397,3.339617970784467e-4,-1,6.679235941568935e-4,0.0026444263628966637,0.0029498525073746312,0.0052888527257933275
ATP9B,----,0.001202809,0.99681718486785,3.4288054144669e-4,-1,6.8576108289338e-4,0.0026444263628966637,0.003051571559353067,0.0052888527257933275
GNB1L,----,0.007149813,0.9993806035131289,3.545125888203066e-4,-1,7.090251776406132e-4,0.0026444263628966637,0.0031532906113315023,0.0052888527257933275
TMEM110,----,0.004041854,0.9997871153362821,3.585536108123619e-4,-1,7.171072216247238e-4,0.0026444263628966637,0.003255009663309938,0.0052888527257933275
GEMIN6,----,0.002617041,0.9998604828271314,3.6527976602750004e-4,-1,7.305595320550001e-4,0.0026444263628966637,0.0033567287152883735,0.0052888527257933275
GRB10,----,0.011806554,0.999959780443566,3.866591713577688e-4,-1,7.733183427155376e-4,0.0026444263628966637,0.003458447767266809,0.0052888527257933275
HPS5,+-++,0.002587828,3.8842180513989384e-4,0.36549476309744855,1,7.768436102797877e-4,0.0026446953514393245,0.0035598047192839707,0.005289390702878649
EFS,++++,0.00879485,3.982044474107569e-4,0.9998508723186144,1,7.964088948215138e-4,0.00274641440341776,0.0035598047192839707,0.00549282880683552
ATP5S,++++,0.001525936,3.9975773589288026e-4,0.999470998219379,1,7.995154717857605e-4,0.0028481334553961957,0.0035598047192839707,0.005696266910792391
GALNT13,++++,0.015,4.0100939703566755e-4,0.9999826238382274,1,8.020187940713351e-4,0.0029498525073746312,0.0035598047192839707,0.0058997050147492625
SRP9,-+++,0.001225,4.03007101566853e-4,0.848997415060452,1,8.06014203133706e-4,0.003051571559353067,0.0035598047192839707,0.006103143118706134
REEP2,----,0.005434457,0.9996646414418087,4.201258812325312e-4,-1,8.402517624650624e-4,0.0031529698942229455,0.0035601668192452446,0.006305939788445891
BRD4,+---,0.010253464,0.9898545862479778,4.3046070369195163e-4,-1,8.609214073839033e-4,0.0031529698942229455,0.00366188587122368,0.006305939788445891
EIF1,-+++,8.09082e-4,4.5090555211823517e-4,0.6512353581621892,1,9.018111042364703e-4,0.0031532906113315023,0.0037632221318144835,0.006306581222663005
GALNTL2,++-+,0.006315824,4.532344957986612e-4,0.9812950037120541,1,9.064689915973224e-4,0.003255009663309938,0.0037632221318144835,0.006510019326619876
ATAD3A,--+-,5.66948e-4,0.9817716999663884,4.5459001001463945e-4,-1,9.091800200292789e-4,0.0033563873067534583,0.0037636049232021157,0.006712774613506917
SSBP4,--+-,0.002953558,0.8544474172387195,4.593419283089393e-4,-1,9.186838566178786e-4,0.0033563873067534583,0.0038653239751805513,0.006712774613506917
ETS2,----,0.029133146,0.9998912305209091,4.622419916323638e-4,-1,9.244839832647276e-4,0.0033563873067534583,0.003967043027158987,0.006712774613506917
LMBR1L,++++,0.003453464,4.634953525179212e-4,0.9944966916950668,1,9.269907050358424e-4,0.0033567287152883735,0.0040683482506102524,0.006713457430576747
EGR4,----,0.034943914,0.9999712074322209,4.6482865208403556e-4,-1,9.296573041680711e-4,0.0034580960130187145,0.004068762079137422,0.006916192026037429
PPIA,----,0.00128221,0.9992840779554264,4.672313289212294e-4,-1,9.344626578424588e-4,0.0034580960130187145,0.004170481131115858,0.006916192026037429
PQLC3,++++,0.009324813,4.680687952769545e-4,0.9998736858102653,1,9.36137590553909e-4,0.003458447767266809,0.004271765663140765,0.006916895534533618
ZNF34,++-+,0.005054682,4.700841159632008e-4,0.9760490397490158,1,9.401682319264016e-4,0.0035601668192452446,0.004271765663140765,0.007120333638490489
NR2F1,++++,0.004436142,4.716695664338959e-4,0.9994209709904363,1,9.433391328677918e-4,0.00366188587122368,0.004271765663140765,0.00732377174244736
HN1L,++++,0.003455337,4.7394637984311225e-4,0.9997918518420075,1,9.478927596862245e-4,0.0037636049232021157,0.004271765663140765,0.007527209846404231
FDX1L,--++,0.001898221,0.882795186495795,4.790611429213023e-4,-1,9.581222858426046e-4,0.0038649308380797396,0.0042722001830942935,0.007729861676159479
NPTX2,----,0.017181461,0.9998667844205996,4.8266095413079736e-4,-1,9.653219082615947e-4,0.0038649308380797396,0.004373919235072729,0.007729861676159479
