gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
ARL6IP5,+++-,0.06089073,0.08686020943261424,0.5216403938795194,1,0.1737204188652285
PRR18,--++,0.00982706,0.13634189569573424,0.08691296616886855,-1,0.1738259323377371
UBE3B,++++,0.079127809,0.08692218090043898,0.9638780970356481,1,0.17384436180087795
EIF2C4,+---,0.004242978,0.08692983106840961,0.27566901189315024,1,0.17385966213681922
PAK6,++++,0.24011779,0.08695778188142364,0.9882030658279596,1,0.17391556376284728
PODXL,+-++,0.024060206,0.08701914780975059,0.8967093310449715,1,0.17403829561950118
PHF14,++-+,0.003709925,0.20840270689551843,0.08703943318988432,-1,0.17407886637976863
ZFAND2A,-+--,0.026247566,0.7790716365015081,0.08704283843347205,-1,0.1740856768669441
NKX6-2,-+++,0.036655993,0.08705020140662154,0.34899429507444085,1,0.17410040281324307
ZNF580,+-++,0.083459738,0.08708891256460578,0.8143868898716731,1,0.17417782512921157
C19orf2,--++,0.01580103,0.08709526088457327,0.204015648397646,1,0.17419052176914654
JMY,-+-+,0.069225468,0.0871051178483525,0.8533309594095606,1,0.174210235696705
C2orf40,----,0.166402996,0.9748357895530676,0.08718755814614229,-1,0.17437511629228458
PLTP,----,0.163303558,0.9830902035195842,0.08726831529366068,-1,0.17453663058732136
HEXIM2,+--+,0.026319101,0.7080192793079341,0.08727270407000834,-1,0.17454540814001668
TFB1M,++-+,0.075348127,0.0873330139013148,0.904145008960798,1,0.1746660278026296
SHFM1,+++-,0.087780712,0.08735303691673844,0.9602971027555502,1,0.1747060738334769
ZNF622,-+--,0.009522753,0.34049968897952193,0.08753047222268474,-1,0.1750609444453695
HRAS,-+-+,0.053462828,0.695428787601148,0.0876334038450127,-1,0.1752668076900254
FAM84A,++--,0.01739588,0.22273436104907812,0.087639829190696,-1,0.175279658381392
CNIH3,-+-+,0.00705206,0.0876919835758424,0.16624312014437637,1,0.1753839671516848
SEMA6C,-+--,0.092591479,0.5811469959135875,0.08771683689094537,-1,0.17543367378189073
IPP,+-+-,0.04256985,0.14126904264082982,0.08773792816537197,-1,0.17547585633074395
TMEM91,----,0.080698315,0.9738052199812617,0.08780812535744682,-1,0.17561625071489365
MN1,+--+,0.034005993,0.08781149806649127,0.9013197307159759,1,0.17562299613298255
SENP5,-+-+,0.046696536,0.08781319725593205,0.6082964228787366,1,0.1756263945118641
NDUFB7,+++-,0.006272753,0.4692673749434338,0.08783550339308162,-1,0.17567100678616324
