gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
SLCO1A2,----,3.41573e-4,0.9999999999921819,1.2037924163224012e-9,-1,2.4075848326448024e-9
AGA,----,2.84925e-4,0.9999999284088643,6.060763144200773e-9,-1,1.2121526288401545e-8
C1orf115,++++,1.26498e-4,4.658220873527864e-8,0.9999999944414756,1,9.316441747055729e-8
ZFP106,++++,3.28e-6,7.102687418260348e-8,0.9999766301481715,1,1.4205374836520696e-7
LINGO2,++++,1.42322e-4,8.023803322383238e-8,0.9999997201063645,1,1.6047606644766476e-7
NSDHL,----,2.56835e-4,0.9999491477904325,1.431237523126326e-7,-1,2.862475046252652e-7
MRPS12,----,8.02e-5,0.9996699236781834,1.654734763618982e-7,-1,3.309469527237964e-7
VSTM2L,++++,1.43539e-4,1.7567336157756498e-7,0.9999993565219727,1,3.5134672315512996e-7
EXOC7,++++,7.08895e-4,2.2118839488816665e-7,0.9999999162601699,1,4.423767897763333e-7
DGCR2,++++,6.76404e-4,5.824107026712626e-7,0.999995989053863,1,1.1648214053425252e-6
ZNF394,++++,8.10112e-4,8.723476470160555e-7,0.999997163208484,1,1.744695294032111e-6
FBXO9,----,9.29213e-4,0.9999983302832118,1.4514890788101828e-6,-1,2.9029781576203655e-6
SCO1,----,3.4073e-4,0.9999593293181401,2.4724043987543297e-6,-1,4.9448087975086595e-6
ATPIF1,++++,7.26311e-4,2.609707440243615e-6,0.9999969335374795,1,5.21941488048723e-6
LRP8,----,0.002573783,0.9999995918421165,2.6745044194159597e-6,-1,5.349008838831919e-6
SQLE,----,5.82e-5,0.9999750819705703,3.0380989247647357e-6,-1,6.0761978495294715e-6
RPAP1,++++,0.001111704,3.507646824181318e-6,0.9996062000961992,1,7.015293648362636e-6
SET,----,9.95131e-4,0.9999266038853867,5.492273119562283e-6,-1,1.0984546239124566e-5
MLL,++++,0.001785206,6.222434168241625e-6,0.9999460919584771,1,1.244486833648325e-5
NUDCD3,++++,0.003626404,6.638650065087132e-6,0.999999818232515,1,1.3277300130174264e-5
SARM1,++++,2.78558e-4,6.673336898218089e-6,0.9999699009080074,1,1.3346673796436178e-5
NTRK3,++++,0.003217697,8.12191843953685e-6,0.9999993257131515,1,1.62438368790737e-5
LSM5,----,0.001827154,0.9999962714954993,9.792643573854006e-6,-1,1.9585287147708012e-5
NFX1,-+++,3.34363e-4,1.027995189342946e-5,0.7176759068540497,1,2.055990378685892e-5
CRH,+---,0.001538858,0.9932509563898988,1.1259946897932883e-5,-1,2.2519893795865766e-5
LRRFIP1,++++,0.001119382,1.1397140321887374e-5,0.9999953903800098,1,2.279428064377475e-5
PPAP2C,----,4.55243e-4,0.996102295129405,1.1416799996014326e-5,-1,2.2833599992028652e-5
AKR1A1,----,0.005248127,0.9996379357852143,1.236568849065969e-5,-1,2.473137698131938e-5
AGPS,+---,5.44e-5,0.9794506869958103,1.4535600550983274e-5,-1,2.9071201101966548e-5
FAM115A,++++,0.002346629,1.5060153559947633e-5,0.9999651975285095,1,3.0120307119895267e-5
NEUROD6,----,2.46816e-4,0.9994893595314639,1.575932693571164e-5,-1,3.151865387142328e-5
SST,----,3.35674e-4,0.9998509103220629,1.5981509275743062e-5,-1,3.1963018551486125e-5
MRPS6,----,1.16199e-4,0.9962767789652,1.753167189948271e-5,-1,3.506334379896542e-5
FAM69B,-++-,2.81e-7,0.49310029346359285,1.786328575544006e-5,-1,3.572657151088012e-5
ProSAPiP1,++++,0.002179213,1.8271537491469344e-5,0.9999986952101272,1,3.654307498293869e-5
COL6A1,++++,0.002037172,1.849792020411188e-5,0.9999932021334881,1,3.699584040822376e-5
RERE,++++,6.1161e-4,1.87964005356465e-5,0.9997772894182577,1,3.7592801071293e-5
ARPP-21,++++,0.005426966,1.9291153406936526e-5,0.9999959821097355,1,3.858230681387305e-5
COX8A,-+--,4.8661e-4,0.9186587635698237,2.001905383956691e-5,-1,4.003810767913382e-5
PGAP1,----,0.001316292,0.9995387875907854,2.30854133030502e-5,-1,4.61708266061004e-5
HMGCS1,----,0.001480243,0.9999331838407813,2.3723028363188835e-5,-1,4.744605672637767e-5
MYT1,++++,0.004020974,2.523735637424922e-5,0.9998009765251943,1,5.047471274849844e-5
FTCD,++++,0.005770599,2.5873918471728575e-5,0.999933109091813,1,5.174783694345715e-5
AGK,----,0.001906554,0.9991850583001557,2.6342152863638237e-5,-1,5.2684305727276475e-5
NME5,----,2.82022e-4,0.9998367934199338,2.6929702194284743e-5,-1,5.3859404388569486e-5
ZMYM6,----,3.34551e-4,0.9990492641856005,2.7011265287129408e-5,-1,5.4022530574258816e-5
EXTL3,++++,0.005214607,2.746654462546915e-5,0.9999991511790811,1,5.49330892509383e-5
CHST10,++++,6.14e-5,2.8293944494577846e-5,0.9948361089112521,1,5.658788898915569e-5
PIGH,----,0.002240824,0.9999404493889982,2.870715158866778e-5,-1,5.741430317733556e-5
ATG7,----,1.17509e-4,0.999860726875994,2.9723206827973913e-5,-1,5.9446413655947826e-5
APH1A,++++,1.72846e-4,2.972887364573977e-5,0.9997066409964523,1,5.945774729147954e-5
RQCD1,----,6.95412e-4,0.9954638854143582,3.115536030322013e-5,-1,6.231072060644026e-5
CORT,----,0.001221536,0.9973397336102017,3.1301218839410274e-5,-1,6.260243767882055e-5
KLF3,----,0.004518727,0.9999883552597795,3.187710205965473e-5,-1,6.375420411930945e-5
FDFT1,----,0.005134363,0.9999917638626726,3.255992237567716e-5,-1,6.511984475135431e-5
PM20D2,++-+,3.32678e-4,3.3702348289008e-5,0.9446585837340502,1,6.7404696578016e-5
MARCKS,----,0.006911423,0.9999966808518548,3.600454038856404e-5,-1,7.200908077712808e-5
PGK1,-+--,1.23127e-4,0.8710755799444954,3.603559794512236e-5,-1,7.207119589024472e-5
SLC9A1,++-+,0.002194476,3.605290835359051e-5,0.8142735317259774,1,7.210581670718103e-5
LOC344595,----,6.54869e-4,0.9999597444257681,3.744840771003058e-5,-1,7.489681542006115e-5
ELAC2,++++,0.001522472,4.0022443949844115e-5,0.9981429064020452,1,8.004488789968823e-5
ISCA1,----,0.001430805,0.9895454447377059,4.283432478599126e-5,-1,8.566864957198251e-5
MACROD1,++++,0.006461049,4.311415163108671e-5,0.9999463481415103,1,8.622830326217342e-5
CD24,----,0.009715449,0.9999959536531808,4.341783223354726e-5,-1,8.683566446709452e-5
CAMK2D,----,0.003687453,0.9998845300730246,4.3578242267592626e-05,-1,8.715648453518525e-5
KIAA1279,----,0.002844757,0.9970554406527281,4.753350231965841e-5,-1,9.506700463931682e-5
SCAMP5,++++,0.012569288,4.953677282332894e-5,0.9999987687780778,1,9.907354564665788e-5
ZC3H12B,++++,0.001890075,4.98974286946371e-5,0.999977497814745,1,9.97948573892742e-5
GGCX,+---,0.002990824,0.9879124967872412,5.021252682828896e-5,-1,1.0042505365657792e-4
RIPK1,++++,0.00206236,5.049426312799488e-5,0.9991312542517277,1,1.0098852625598976e-4
HCCS,----,4.88296e-4,0.9983188078757381,5.1051899179978186e-5,-1,1.0210379835995637e-4
CMTM3,-+++,2.63577e-4,5.237658046171079e-5,0.8654762504472004,1,1.0475316092342158e-4
ZNF550,----,0.00193661,0.9999562628730776,5.275367066688607e-5,-1,1.0550734133377214e-4
P2RY12,----,0.008526498,0.9999630312912678,5.348338035263092e-5,-1,1.0696676070526184e-4
RHEB,----,9.05e-5,0.9994976944015216,5.395045901058145e-5,-1,1.079009180211629e-4
DR1,----,0.003042884,0.9998937095002086,5.425205914430873e-5,-1,1.0850411828861746e-4
MAP2K2,++++,8.40356e-4,5.4442731345038774e-5,0.999966435602203,1,1.0888546269007755e-4
ATG9A,++++,0.002241948,5.5617220415284026e-5,0.9994244956953426,1,1.1123444083056805e-4
SLC12A2,--+-,5.34363e-4,0.9038697118272169,5.5829969943387005e-5,-1,1.1165993988677401e-4
APTX,----,0.001219476,0.9972743469595837,5.6611029414560926e-5,-1,1.1322205882912185e-4
DIRC2,+---,0.00498764,0.9852985764856691,5.710550203585602e-5,-1,1.1421100407171204e-4
TACC2,++++,0.013745599,5.897292827181597e-5,0.9999983445768814,1,1.1794585654363194e-4
MARCH6,++++,0.006038764,5.900562588491916e-5,0.9999920203161639,1,1.1801125176983831e-4
PLA2G5,----,8.33895e-4,0.9998117766627225,6.249259970596952e-5,-1,1.2498519941193904e-4
FBXO15,---+,4.71348e-4,0.8408474980260711,6.269454665817028e-5,-1,1.2538909331634055e-4
PANK1,----,3.77715e-4,0.9980581944461899,6.386912063512405e-5,-1,1.277382412702481e-4
COQ5,----,0.001940637,0.9999802359169594,6.455329593464203e-5,-1,1.2910659186928406e-4
PHF2,+++-,0.001404682,6.475628425264352e-5,0.9785919272905598,1,1.2951256850528704e-4
MANEAL,----,6.5103e-4,0.9997276571874141,6.540973999352285e-5,-1,1.308194799870457e-4
FZD4,++++,9.01498e-4,6.581470582600617e-5,0.9998849593525089,1,1.3162941165201233e-4
CDO1,-+--,6.13e-5,0.986323334577756,6.608758134135919e-5,-1,1.3217516268271837e-4
CAPN3,----,0.002785861,0.9999415283383829,6.730026351942461e-5,-1,1.3460052703884921e-4
SH3BP5L,+-++,9.95412e-4,6.791771763948541e-5,0.9606741775507988,1,1.3583543527897083e-4
C11orf1,-+--,1.99532e-4,0.9434715373018564,6.854975158772937e-5,-1,1.3709950317545875e-4
AKT1,++++,0.007920037,6.875504759891143e-5,0.9998855395566618,1,1.3751009519782285e-4
NDST2,+---,0.001439326,0.9584414125119561,6.91083634108822e-5,-1,1.382167268217644e-4
ORMDL1,----,0.01050309,0.9999767717048733,7.059138474759629e-5,-1,1.4118276949519259e-4
CDK10,++++,0.012007022,7.089609701860889e-5,0.99999506172501,1,1.4179219403721779e-4
SSR1,----,0.013412453,0.999997624477677,7.159573138779892e-5,-1,1.4319146277559785e-4
RBM45,---+,8.59925e-4,0.6924200208294937,7.342168147949239e-5,-1,1.4684336295898477e-4
ZNF395,-+++,2.12828e-4,7.674079521093737e-5,0.9860944206886344,1,1.5348159042187474e-4
PRDX4,----,0.002877341,0.9983731948197302,7.816928059145823e-5,-1,1.5633856118291647e-4
UBE2E3,-+--,0.001145225,0.9347930803829072,7.879193819255426e-5,-1,1.575838763851085e-4
CGRRF1,----,5.48596e-4,0.9991319919371655,7.894932110881047e-5,-1,1.5789864221762095e-4
ASH2L,-+--,4.97659e-4,0.8320426004459126,7.90043311621602e-5,-1,1.580086623243204e-4
IVNS1ABP,----,0.003493914,0.9999843513669672,7.957390513676189e-5,-1,1.5914781027352379e-4
NAV2,++++,7.03745e-4,8.133240256241662e-5,0.9991281987334928,1,1.6266480512483323e-4
ZWILCH,----,0.021340918,0.9999987323009708,8.200782693775661e-5,-1,1.6401565387551322e-4
PDCD7,++++,5.95506e-4,8.279015889939963e-5,0.9992422708387627,1,1.6558031779879926e-4
TIA1,----,0.00147294,0.9998978026822672,8.361135062371975e-5,-1,1.672227012474395e-4
ACOT4,----,0.007517228,0.9999388495280657,8.730180560316234e-5,-1,1.7460361120632468e-4
TRIM44,++++,5.1882e-4,8.796953426436881e-5,0.9991814167008929,1,1.7593906852873763e-4
TMEM126B,----,0.003693633,0.999905576235951,8.80147549444004e-5,-1,1.760295098888008e-4
FBXO38,-+--,0.001160674,0.9150938340916123,8.87838901551933e-5,-1,1.775677803103866e-4
NHP2L1,-+--,0.001953839,0.9855268812399057,8.90012879939384e-5,-1,1.780025759878768e-4
LGI3,++++,0.001578652,9.096464316057617e-5,0.9997767281750471,1,1.8192928632115233e-4
ATP5B,-+--,5.55618e-4,0.7422444239456054,9.121587052131562e-5,-1,1.8243174104263125e-4
CNDP1,--+-,0.009759738,0.9775292499736254,9.478643861067154e-5,-1,1.8957287722134308e-4
CAMK2B,++++,0.025905243,9.75033284436549e-5,0.9999982988160259,1,1.950066568873098e-4
MRPL42,----,6.99625e-4,0.9995770554486443,9.908442883133869e-5,-1,1.9816885766267737e-4
PITRM1,-+++,0.003733333,9.973896046205918e-5,0.9791334425068338,1,1.9947792092411836e-4
SNRPB,-+--,0.002281554,0.9146856056281585,1.0045511635601616e-4,-1,2.0091023271203231e-4
C17orf39,++++,1.06086e-4,1.0086724597409662e-4,0.9988256856838622,1,0.00020173449194819324
FLJ45244,++++,1e-4,1.0476268316193618e-4,0.9980228941741147,1,2.0952536632387237e-4
SYDE1,++++,0.011515449,1.0509772835636826e-4,0.9999915806685884,1,2.1019545671273652e-4
NDUFC2,-+--,8.24813e-4,0.9354737104742491,1.0509799340133957e-4,-1,2.1019598680267914e-4
RTCD1,----,0.001580056,0.9999649108757471,1.0510255913368108e-4,-1,2.1020511826736217e-4
VAMP7,----,0.006344195,0.998758030833958,1.0556687284749293e-4,-1,2.1113374569498586e-4
AIFM1,-+--,0.001193258,0.8935464068779069,1.0599196425483334e-4,-1,2.1198392850966668e-4
ACAT2,----,0.004275281,0.9994498330947958,1.0607707247063645e-4,-1,2.121541449412729e-4
MAN1A1,----,9.38764e-4,0.9892391985480958,1.0688573914195396e-4,-1,2.1377147828390792e-4
PPM1A,--+-,0.003844569,0.9288568389670668,1.1274726035940535e-4,-1,2.254945207188107e-4
SMARCD1,++++,0.001623408,1.1296916190258697e-4,0.9997215971627307,1,2.2593832380517394e-4
PROSC,+---,0.002791667,0.9863917445116559,1.1318355806684739e-4,-1,2.2636711613369478e-4
SEMA5B,++++,0.019176873,1.1456423985963608e-4,0.9999954417346117,1,2.2912847971927217e-4
AZIN1,-+--,0.004089607,0.9894996984211393,1.161107652254636e-4,-1,2.322215304509272e-4
NCK1,+---,7.75187e-4,0.8325438369771626,1.17130995796626e-4,-1,2.34261991593252e-4
SCCPDH,-+--,0.001830993,0.9514017966833395,1.2073357351254556e-4,-1,2.4146714702509111e-4
C10orf90,--+-,0.002580431,0.8319618937788944,1.2141885778305666e-4,-1,0.00024283771556611331
PXK,--+-,0.003722846,0.9858304933206095,1.2146943106132235e-4,-1,2.429388621226447e-4
ISCA2,+---,3.3427e-4,0.8722180767933618,1.2177483256464674e-4,-1,2.435496651292935e-4
BAT1,+-++,0.004015262,1.2195753173300535e-4,0.6830127658196654,1,2.439150634660107e-4
TRAF5,++++,0.008789045,1.2353978855596126e-4,0.9999835492577602,1,2.470795771119225e-4
SLC22A15,----,0.011837266,0.999913212617933,1.2531092317368014e-4,-1,2.506218463473603e-4
B3GALNT1,-+--,0.003603464,0.5810297382888695,1.2633735420396373e-4,-1,2.5267470840792747e-4
MAPK8,+-+-,3.87e-5,0.2821284021475392,1.2641216669921057e-4,-1,2.5282433339842114e-4
PPM1D,----,0.002243446,0.9999249327604712,1.2665597661130483e-4,-1,2.5331195322260967e-4
FOXO3,++++,0.003330712,1.2764060250819816e-4,0.9999781806495033,1,2.552812050163963e-4
ZNF564,++++,1.26124e-4,1.2791536727472353e-4,0.9915529725228758,1,2.5583073454944706e-4
MED6,+---,9.18258e-4,0.9673872708401766,1.2900854957143308e-4,-1,2.5801709914286615e-4
MCF2,----,4.69382e-4,0.9935592553533688,1.3187227951238324e-4,-1,2.637445590247665e-4
XRCC2,++-+,0.001595318,1.3259246990229273e-4,0.9756434631883948,1,2.6518493980458546e-4
STK24,+---,0.001455899,0.8561991150407406,1.3323523599889392e-4,-1,2.6647047199778785e-4
LYPLA1,----,0.0020353,0.9997214904327811,1.343403767156112e-4,-1,2.686807534312224e-4
KIF2A,----,0.001922659,0.9998880950520332,1.3507227463453256e-4,-1,2.701445492690651e-4
RTN4,----,0.002729026,0.9999399522045582,1.3617434781906633e-4,-1,2.7234869563813266e-4
CCDC90B,+---,0.004704494,0.9430974465821131,1.3786258343009822e-4,-1,2.7572516686019644e-4
CADM3,++++,0.005146723,1.4269773506742786e-4,0.9999094184082462,1,2.853954701348557e-4
KIAA1853,++++,5.02996e-4,1.442840109857532e-4,0.9976944943498633,1,2.885680219715064e-4
DDX58,+-+-,9.5e-5,0.914089744454329,1.4496237842819606e-4,-1,2.899247568563921e-4
TEF,++++,0.004226779,1.4577596605900136e-4,0.9999624560403755,1,2.915519321180027e-4
RAPGEF3,-+++,0.00120927,1.465184098807187e-4,0.9222910728838232,1,2.930368197614374e-4
OSBPL1A,----,0.002249251,0.9999183733295836,1.465839716696009e-4,-1,2.931679433392018e-4
CLCA4,----,0.011396536,0.9977773118150114,1.476793386695596e-4,-1,2.953586773391192e-4
BIN3,++++,0.012126685,1.4794273165777866e-4,0.9999913643892945,1,2.958854633155573e-4
ANAPC13,----,0.001096161,0.9985233160950875,1.5113208366913507e-4,-1,3.0226416733827014e-4
CCNY,--+-,0.003007491,0.6599808263215514,1.5162090132797497e-4,-1,3.0324180265594994e-4
TCF20,++++,0.01803427,1.5292389014482e-4,0.9999922955433673,1,3.0584778028964e-4
PWWP2B,++++,0.008282865,1.5373585176755062e-4,0.9999666426035625,1,3.0747170353510124e-4
CHMP5,-+--,3.39045e-4,0.9229743940393799,1.5460113579085998e-4,-1,3.0920227158171996e-4
MRPL30,----,0.005517228,0.9978196737228462,1.5538139528140319e-4,-1,3.1076279056280637e-4
SC65,-+++,0.00184897,1.560035353136012e-4,0.9916342994421634,1,3.120070706272024e-4
UBQLN4,-+++,9.32772e-4,1.5724378330398626e-4,0.7626565910793375,1,3.144875666079725e-4
LPAR5,----,0.004860674,0.9985043313453005,1.5740101665379316e-4,-1,3.1480203330758633e-4
CACNA1C,+-++,0.002153558,1.583525733717473e-4,0.639094692157496,1,3.167051467434946e-4
DDX23,++++,3.35e-5,1.6061811512682738e-4,0.9697908822425381,1,3.2123623025365476e-4
CORO7,+-++,9.32e-5,1.6114704063989972e-4,0.8055392121696064,1,3.2229408127979945e-4
RASAL2,--++,2.28e-5,1.6176305813778204e-4,0.2369231724671762,1,3.235261162755641e-4
CD99L2,+++-,0.001155993,1.618536379506248e-4,0.5555745632207127,1,3.237072759012496e-4
ZNF805,++++,0.017198502,1.6382070846422054e-4,0.999994975048417,1,3.276414169284411e-4
CHDH,-+++,0.00333221,1.654280428370923e-4,0.9492136565732169,1,3.308560856741846e-4
VGF,----,0.008081461,0.9999788782610807,1.6913999634957943e-4,-1,3.3827999269915886e-4
MKKS,-+--,7.74719e-4,0.8987592528106043,1.714181870321378e-4,-1,3.428363740642756e-4
HIST1H2AC,----,0.009502154,0.9991956511091127,1.719353145678942e-4,-1,3.438706291357884e-4
DLGAP4,++-+,3.1161e-4,1.737972690424413e-4,0.9483107945021153,1,3.475945380848826e-4
LIX1L,----,0.012564419,0.9999865367510433,1.748975035054754e-4,-1,3.497950070109508e-4
GUF1,----,0.001052528,0.9997598023982089,1.7498328402219663e-4,-1,3.4996656804439326e-4
SH3PXD2A,--++,5.74625e-4,1.7775871040818478e-4,0.30172881452938216,1,3.5551742081636956e-4
SIRPA,++++,0.001439139,1.8111040980057973e-4,0.9961543123723846,1,3.6222081960115947e-4
MAGEH1,-+--,0.009315918,0.977494070418752,1.8207289314796607e-4,-1,3.6414578629593214e-4
PDE4C,-+++,3.73783e-4,1.8243789932216752e-4,0.9780458936124741,1,3.6487579864433504e-4
SFRS14,++++,0.004860112,1.841548185445014e-4,0.9991683852907065,1,3.683096370890028e-4
CCNDBP1,-+--,0.001809082,0.9496886260117096,1.8597089647561592e-4,-1,3.7194179295123184e-4
FGL2,----,6.13202e-4,0.9934520065699588,1.8724127284873557e-4,-1,3.7448254569747113e-4
NADK,++++,0.006610581,1.872974845154662e-4,0.9998933644913905,1,3.745949690309324e-4
HEBP1,----,0.024771723,0.9999955957588608,1.8794051363374545e-4,-1,3.758810272674909e-4
BIN1,--++,2.08146e-4,1.881527693895907e-4,0.24130501028503917,1,3.763055387791814e-4
FIGNL1,----,0.005381929,0.9999597858864451,1.8892472661403604e-4,-1,3.778494532280721e-4
MIF,-+--,0.002037547,0.691961831929991,1.9450167553099402e-4,-1,3.8900335106198804e-4
CD46,----,0.020018914,0.9999949624239489,1.957530814454507e-4,-1,3.915061628909014e-4
ARRDC2,+-++,4.37921e-4,1.9636090514435018e-4,0.8594014077755279,1,3.9272181028870035e-4
LOC388789,----,0.011373689,0.997886553924275,1.9919302370896756e-4,-1,3.983860474179351e-4
RNASE1,--+-,0.003926311,0.6763440849626818,1.992227867607635e-4,-1,3.98445573521527e-4
KIAA0427,++++,0.009136798,2.0388191380590472e-4,0.9997688606596684,1,4.0776382761180944e-4
SESN1,++++,0.005077528,2.0427865335863644e-4,0.9998240640932954,1,4.085573067172729e-4
PAIP2,----,0.013597378,0.9999805871222945,2.0798257810790478e-4,-1,4.1596515621580957e-4
TSR1,++++,2.88483e-4,2.095637037373541e-4,0.999118286716262,1,4.191274074747082e-4
SFRS7,----,0.008799719,0.999646757620289,2.1072192212393952e-4,-1,4.2144384424787904e-4
AK2,--+-,0.003155431,0.8838159476280869,2.1473421186952535e-4,-1,4.294684237390507e-4
KALRN,++++,0.006120131,2.1589082298717938e-4,0.9998378008826216,1,4.3178164597435875e-4
ASAH2B,----,0.004243352,0.9948163912776262,2.1759092365967672e-4,-1,4.3518184731935344e-4
LPHN1,++++,0.002319382,2.2085529353599672e-4,0.9999171745922546,1,4.4171058707199345e-4
PIK3R1,++++,0.028847191,2.2169907151136744e-4,0.9999952949613854,1,4.433981430227349e-4
TMF1,++++,0.011129869,2.2234923230523795e-4,0.999987777300813,1,4.446984646104759e-4
ARFGAP1,++++,2.66386e-4,2.272603028856179e-4,0.9984682474169173,1,4.545206057712358e-4
NME7,-+--,0.00105927,0.8970239418166338,2.2734278114488102e-4,-1,4.5468556228976203e-4
SLIT2,++-+,0.002379775,2.2831523235843838e-4,0.9733725194544174,1,4.5663046471687677e-4
DDN,++-+,0.001204026,2.288800059925252e-4,0.877124882804594,1,4.577600119850504e-4
SC5DL,----,7.50281e-4,0.9995859187053056,2.3198012317013586e-4,-1,4.639602463402717e-4
ZNF672,-+++,0.004951124,2.328050679773753e-4,0.9919735739626379,1,4.656101359547506e-4
SLC6A15,---+,1.39326e-4,0.7942890177493678,2.3360050268312891e-4,-1,4.6720100536625783e-4
RPS26,----,0.024721536,0.9999925467286714,2.3445613047716284e-4,-1,4.689122609543257e-4
ARGLU1,----,5.53371e-4,0.9965158461466036,2.3462427163358708e-4,-1,4.6924854326717416e-4
XRCC6BP1,----,0.00759588,0.997290871962477,2.3696785551970958e-4,-1,4.7393571103941916e-4
C6orf129,-++-,1.14607e-4,0.2847735505583333,2.406806591339321e-4,-1,4.813613182678642e-4
SPTLC1,----,0.006583146,0.9998126347053158,2.417316864533141e-4,-1,4.834633729066282e-4
NOL3,----,0.004336049,0.9999093840120492,2.425202203773523e-4,-1,4.850404407547046e-4
CHERP,++++,9.56742e-4,2.4256760310789147e-4,0.9997365445587891,1,4.8513520621578293e-4
VPS37B,++++,0.006035112,2.4264018066053378e-4,0.9999685209003168,1,4.8528036132106756e-4
MBP,+++-,4.00562e-4,2.4391806866516373e-4,0.5472631828432174,1,4.8783613733032746e-4
LRRC42,----,3.4588e-4,0.9968486841567501,2.444369837197788e-4,-1,4.888739674395576e-4
SCN4B,++++,0.011831273,2.4494662949528664e-4,0.9999826645374951,1,4.898932589905733e-4
SLC22A3,+-++,3.44757e-4,2.460363564536842e-4,0.7201833115635601,1,4.920727129073684e-4
UQCC,----,0.001220037,0.9973205196079971,2.464340271352199e-4,-1,4.928680542704399e-4
PTPN2,-+--,9.08333e-4,0.5816047512458289,2.4702181849137563e-4,-1,4.940436369827513e-4
SIN3A,+-++,0.012896255,2.479631258480102e-4,0.9480799355727422,1,4.959262516960204e-4
C2orf47,-+--,3.17135e-4,0.8718300540985195,2.485499236107323e-4,-1,4.970998472214646e-4
SCRN3,+---,0.00173221,0.9374477524133238,2.5156218568935077e-4,-1,5.031243713787015e-4
MTUS1,----,0.007289888,0.999916423686948,2.569859285528914e-4,-1,5.139718571057828e-4
ITFG1,++--,5.853e-4,0.6409377727524719,2.5702271579373156e-4,-1,5.140454315874631e-4
RNASEH2A,-+--,0.002391479,0.9473585613728419,2.5707572087389844e-4,-1,5.141514417477969e-4
SPCS1,-+--,0.004113015,0.9218339048327808,2.624029298281302e-4,-1,5.248058596562604e-4
PUS1,++-+,3.15169e-4,2.6278993378038926e-4,0.2758345819882998,1,5.255798675607785e-4
PDE4DIP,--+-,0.001728745,0.20525084001225086,2.652980368554078e-4,-1,5.305960737108156e-4
INSIG1,----,0.002387453,0.9993984244341818,2.6580018989938296e-4,-1,5.316003797987659e-4
AFAP1L2,++++,6.87921e-4,2.6624732196573234e-4,0.9937648137935118,1,5.324946439314647e-4
TMEM93,-+--,0.006480056,0.7378651736809201,2.6635031020177404e-4,-1,5.327006204035481e-4
CLIC5,+---,0.003763858,0.9723209291564989,2.6687285947795064e-4,-1,5.337457189559013e-4
MRPS14,----,0.002063015,0.9930510343809258,2.770283334668394e-4,-1,5.540566669336788e-4
ADK,-+--,0.0012147,0.9243663865064974,2.8144314779412696e-4,-1,5.628862955882539e-4
C7orf54,++++,0.018909644,2.8244308709418593e-4,0.999987450659419,1,5.648861741883719e-4
NOV,-+--,0.001721067,0.9349019092674951,2.8346670788929965e-4,-1,5.669334157785993e-4
PMPCB,----,0.003216667,0.9996371530398073,2.845946315848889e-4,-1,5.691892631697777e-4
U2AF1L4,----,0.004311049,0.996732988964561,2.848607258307442e-4,-1,5.697214516614884e-4
HNRPLL,----,0.005290824,0.9999136766389912,2.8895330734333784e-4,-1,5.779066146866757e-4
C7orf50,++++,0.003973315,2.9204735252832633e-4,0.9993938205650139,1,5.840947050566527e-4
STARD10,++++,0.013598689,2.935261930550456e-4,0.9999199398838715,1,5.870523861100912e-4
PRB1,+++-,0.003313577,2.9959074313906376e-4,0.9748683336683736,1,5.991814862781275e-4
PDRG1,-+--,1.29401e-4,0.9769190086587173,2.996866179942024e-4,-1,5.993732359884048e-4
IGF1R,++-+,0.003084925,3.0143312957785505e-4,0.9735870840130934,1,6.028662591557101e-4
RAVER1,++++,0.01911161,3.0879016944986715e-4,0.9999170704111833,1,6.175803388997343e-4
RPL4,++++,0.00845412,3.111209633923837e-4,0.9994616365535633,1,6.222419267847674e-4
UBIAD1,----,0.035969663,0.9999922077362616,3.1177142367020446e-4,-1,6.235428473404089e-4
SLC2A13,++-+,0.004617041,3.142028440600897e-4,0.4432832191052495,1,6.284056881201794e-4
HSPA8,----,0.003060581,0.9950509350605194,3.1535608132055964e-4,-1,6.307121626411193e-4
PTPLAD1,----,0.004975655,0.9999395844647718,3.183622681187869e-4,-1,6.367245362375738e-4
ACYP1,-+--,0.001529307,0.9888185876028565,3.2105882763929373e-4,-1,6.421176552785875e-4
SIP1,----,7.81086e-4,0.9993706795959751,3.219052413587428e-4,-1,6.438104827174856e-4
UGCG,+-+-,1.49e-5,3.2245362995680867e-4,0.2729222808541159,1,6.449072599136173e-4
IL1RAPL1,++++,0.002657678,3.25036418495523e-4,0.9997653308604939,1,6.50072836991046e-4
SEPT9,-+-+,3.91e-5,3.254582802269288e-4,0.251973451009146,1,6.509165604538576e-4
APOO,-+--,0.002153839,0.8566441206891396,3.2661582268865027e-4,-1,6.532316453773005e-4
KIAA1324L,----,2.8661e-4,0.9955300970765882,3.2932530882293646e-4,-1,6.586506176458729e-4
SC4MOL,----,0.002216386,0.9998709662697803,3.3077732716993674e-4,-1,6.615546543398735e-4
HHLA3,--+-,4.26124e-4,0.8438182057794091,3.342161003879073e-4,-1,6.684322007758146e-4
EMG1,-++-,0.001649438,0.666570829729346,3.356806834544534e-4,-1,6.713613669089068e-4
TRAK1,++++,5.99064e-4,3.383791754478024e-4,0.9979651351972876,1,6.767583508956049e-4
C2CD2L,++++,0.037249251,3.423830046047306e-4,0.9999898117319905,1,6.847660092094612e-4
