gene_symbol,female_AMY_male_AMY,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
NUDCD1,-+,0.269033708,0.3434410358864763,0.4968074669416912,1,0.6868820717729526,0.3773393002441009,0.4291670904098444,0.7546786004882018
ENY2,-+,0.184273408,0.5552326912020976,0.2552612525018305,-1,0.510522505003661,0.31709549476253435,0.36960943856794143,0.6341909895250687
EBAG9,++,0.376577528,0.2714094337436821,0.8358178779545573,1,0.5428188674873642,0.3298413344182262,0.38157225668666733,0.6596826688364524
GOLSYN,-+,0.128901779,0.5641074571241383,0.19614369755001337,-1,0.39228739510002675,0.2718397233804536,0.31926362896663957,0.5436794467609072
KCNV1,--,0.043722378,0.9794654569654209,0.025449146234871118,-1,0.050898292469742236,0.07861283433336723,0.08553702196908056,0.15722566866673446
CSMD3,++,0.159213296,0.06256395560051867,0.9757892666124149,1,0.12512791120103733,0.13801871440195282,0.15519170141360725,0.27603742880390564
TRPS1,-+,0.821011985,0.645823241022661,0.538251126590475,-1,1.07650225318095,0.4614054713719109,0.5217656631407649,0.9228109427438218
EIF3H,-+,0.029447097,0.7001867107189133,0.05482093078962004,-1,0.10964186157924008,0.12630936641920065,0.14330756712774614,0.2526187328384013
RAD21,-+,0.492505899,0.6089823071936795,0.45616281377990653,-1,0.9123256275598131,0.4329299298281298,0.49288039056143207,0.8658598596562596
MED30,--,0.027465543,0.87155912574034,0.03792130114708126,-1,0.07584260229416252,0.10118987084307943,0.11421887713588283,0.20237974168615885
EXT1,+-,0.250207491,0.2578209325060797,0.7486040412056947,1,0.5156418650121594,0.319060211554109,0.37191091223431305,0.638120423108218
SAMD12,-+,0.019728933,0.41141561415050676,0.04897325208790763,-1,0.09794650417581525,0.11929217939591173,0.1336452400325468,0.23858435879182346
MAL2,-+,0.017000468,0.8311682112746207,0.02826634829231961,-1,0.05653269658463922,0.08339265737821622,0.09275834011391375,0.16678531475643243
NOV,--,0.005452622,0.9971474056933013,0.0018729092909653962,-1,0.0037458185819307923,0.010678328078917929,0.012815296989422294,0.021356656157835857
ENPP2,+-,0.148813109,0.20085188582634753,0.66020452161401455,1,0.40170377165269505,0.2749186330349878,0.3226889047086342,0.5498372660699756
TAF2,-+,0.230475468,0.37821337342676326,0.3288173265149563,-1,0.6576346530299126,0.3671310891894641,0.42036208299430433,0.7342621783789282
DSCC1,-+,0.089217884,0.8222897843519128,0.1090899125873281,-1,0.2181798251746562,0.19454896776161903,0.22141985353946297,0.38909793552323807
DEPDC6,+-,0.285322846,0.301696411524377,0.694681222392986,1,0.603392823048754,0.3493694060211554,0.4019119292179396,0.6987388120423108
MRPL13,-+,0.014967322,0.6263077506827593,0.03376092926447279,-1,0.06752185852894559,0.09427438218244687,0.10516680227827502,0.18854876436489373
SNTB1,++,0.143433801,0.1389375205224173,0.8639908688991077,1,0.2778750410448346,0.2220301057770545,0.2579070476965321,0.444060211554109
ZHX2,++,0.082408521,0.03824863349026555,0.9811202962417145,1,0.0764972669805311,0.10181041497152156,0.11522424488965728,0.20362082994304312
DERL1,-+,0.321104026,0.5670001663942279,0.367379779491998,-1,0.734759558983996,0.39174209295230344,0.4447721724979658,0.7834841859046069
WDR67,-+,0.065653933,0.12736222063858343,0.4315538895012259,1,0.25472444127716687,0.2106387306753458,0.24377097528729788,0.4212774613506916
C8orf76,-+,0.014454401,0.5499663380962629,0.034846818437902626,-1,0.06969363687580525,0.09641004779823045,0.10709926769731488,0.1928200955964609
ZHX1,--,0.254244663,0.8878023366512724,0.18386660528733978,-1,0.36773321057467956,0.2616698871148175,0.3083807973962571,0.523339774229635
ATAD2,++,0.508496067,0.29203093876252906,0.8461599089519418,1,0.5840618775250581,0.3426566314076485,0.3958100274585579,0.685313262815297
FBXO32,+-,0.045354307,0.10525131206352924,0.15985061001020104,1,0.21050262412705847,0.1899918633034988,0.21651581409539306,0.3799837266069976
FAM91A1,--,0.031769476,0.95807359981644,0.02710941694364924,-1,0.05421883388729848,0.08146038848774535,0.08970707892595606,0.1629207769754907
TMEM65,++,0.468497566,0.36650837066860087,0.7530611268637175,1,0.7330167413372017,0.391273393002441,0.4441167497203295,0.782546786004882
TRMT12,--,0.041608146,0.9393152973261087,0.039315007029846034,-1,0.07863001405969207,0.10383402827214482,0.11737184703010578,0.20766805654428963
RNF139,--,0.005257022,0.9017945119349331,0.008396736777746577,-1,0.016793473555493155,0.03508593511644462,0.04037835638730675,0.07017187023288925
TATDN1,--,0.060358052,0.9097284864440834,0.06199824246993738,-1,0.12399648493987477,0.13759788467405676,0.15439381611065908,0.2751957693481135
MTSS1,+-,0.558053745,0.6396107902855238,0.4706876092024709,-1,0.9413752184049418,0.4392352283128242,0.49938974776240846,0.8784704566256484
SQLE,--,0.184372753,0.949205224430991,0.1030370252933678,-1,0.2060740505867356,0.18681989219973558,0.21267290480065093,0.37363978439947115
KIAA0196,--,0.750134457,0.7014458519091445,0.47821224261230044,-1,0.9564244852246009,0.44137089392860773,0.5027461350691619,0.8827417878572155
NSMCE2,-+,0.532746067,0.7292898823079109,0.4055909187085875,-1,0.811181837417175,0.4117766703956066,0.46480878763222133,0.8235533407912132
TRIB1,++,0.523568633,0.378991933428922,0.7607237757675106,1,0.757983866857844,0.39910496338486573,0.4502186514797112,0.7982099267697315
FAM84B,+-,0.147255056,0.1584140468271361,0.819532891919271,1,0.3168280936542722,0.23932058584214808,0.2798738940303061,0.47864117168429615
MYC,++,0.470136704,0.22778393597323793,0.8908939509354898,1,0.45556787194647586,0.2965825874694874,0.34526594121834636,0.5931651749389748
