gene_symbol,female_ACC.1_female_ACC.2_female_DLPFC_male_ACC.1_male_ACC.2_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
MAP2K3,+++---,0.062017228,0.011737181693362204,0.9989175327715138,1,0.023474363386724408
HIRIP3,---+--,0.21486573,0.6624347576224423,0.45957092944227756,-1,0.9191418588845551
MIA3,++--+-,0.070586517,0.03713620790148611,0.9262302365465173,1,0.07427241580297222
ISLR2,+++---,0.075371723,0.03403063094507913,0.9958587654460368,1,0.06806126189015826
C16orf48,--++--,0.037340824,0.2072827536126084,0.5707463765895795,1,0.4145655072252168
LHPP,--+++-,0.076921629,0.9170225592537544,0.06759849209640645,-1,0.1351969841928129
ARL8A,--++-+,0.046376498,0.926076108092456,0.1450291287649996,-1,0.2900582575299992
MYST3,+-++--,0.070223408,0.06297619713303385,0.8433117696707777,1,0.1259523942660677
HSPA1L,-+-++-,0.10008633,0.7926569245166586,0.16509897595256912,-1,0.33019795190513823
GOLGA8A,+-++--,0.108155524,0.17356077710481468,0.5274137448274965,1,0.34712155420962937
TRIP4,++-+++,0.318166573,0.7854153966893588,0.4419008840732912,-1,0.8838017681465824
MCHR2,-+--++,0.072453839,0.9202213295347629,0.09740793993564655,-1,0.1948158798712931
LRRC20,+++---,0.056228933,0.051965587346366644,0.993506192169347,1,0.10393117469273329
KIAA1958,+----+,0.152246067,0.597470043125163,0.5332097053309955,-1,1.066419410661991
ACTL6B,++-+-+,0.053293727,0.12932888868160564,0.7976398336460497,1,0.25865777736321127
RFC1,-+++-+,0.111933333,0.3761427899230968,0.36354339082705883,-1,0.7270867816541177
PTCHD1,+++---,0.084918633,0.025740502596900285,0.9976633949558635,1,0.05148100519380057
GRK5,-+-+++,0.10706882,0.9828793663230748,0.095385790428667655,-1,0.1907715808573353
NDUFAF1,+----+,0.234313015,0.6091749862239855,0.5315630376366898,-1,1.0631260752733795
CBL,+-+-+-,0.129563951,0.4544333843442287,0.5188353781650982,1,0.9088667686884574
EIF2B4,---++-,0.069498221,0.9715195858379878,0.05090016663089813,-1,0.10180033326179626
PRPF8,-++---,0.040667884,0.011922180088266126,0.9976878480125552,1,0.023844360176532253
ABHD3,+--+++,0.087388858,0.9777070601794192,0.057190215091889415,-1,0.11438043018377883
MGC2752,+++---,0.088684363,0.07324260698945999,0.9906293147108262,1,0.14648521397891998
C1orf64,+---+-,0.180020318,0.5960347417530756,0.4707062751864437,-1,0.9414125503728874
RNF208,++++--,0.069602528,0.03644625692729627,0.9891411803052342,1,0.07289251385459254
HCST,---+++,0.036019287999999997,0.9945163370065601,0.026752395096806086,-1,0.05350479019361217
ARL13B,---++-,0.182743071,0.9577936687382208,0.16769570249506083,-1,0.33539140499012166
ZC3H18,-++---,0.067338764,0.03896674241583305,0.9302122372466771,1,0.0779334848316661
TSPAN9,++---+,0.045294195,0.08188967257555609,0.9187496452157597,1,0.16377934515111217
TPD52L1,++--+-,0.026832491,0.35751731952095095,0.2653831195957513,-1,0.5307662391915026
CPNE6,-+-+-+,0.185277622,0.6731540303829149,0.5150883412961376,-1,1.0301766825922751
LOC284422,+++-+-,0.118348315,0.15864939715698664,0.9058444649866654,1,0.3172987943139733
SPRYD3,+++-++,0.207327809,0.2936150629623798,0.8487428621824247,1,0.5872301259247596
GOLSYN,+++--+,0.067892228,0.026759777419546316,0.984671169912992,1,0.05351955483909263
