gene_symbol,female_ACC.1_female_ACC.2_female_DLPFC_male_ACC.1_male_ACC.2_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
FBXL5,++++++,0.137309925,0.02101386486683076,0.9981256837254057,1,0.04202772973366152
GRK6,-++---,0.003156367,0.5064508399613886,0.02101866515019008,-1,0.04203733030038016
CDRT4,+++++-,0.01832191,0.021039237659359847,0.9810125838977549,1,0.042078475318719694
NTRK2,+++-++,0.052849438,0.02106096089055648,0.9878388307980753,1,0.04212192178111296
SIPA1L1,+++---,0.010142697000000001,0.0210763656975929,0.21032843563202488,1,0.0421527313951858
C10orf28,---+++,0.002816011,0.021081510043612983,0.2953610058349906,1,0.042163020087225965
C10orf128,---++-,0.028956273,0.9145496849512698,0.02108400775282739,-1,0.04216801550565478
C2CD2L,+++---,0.037249251,0.02110894451958991,0.2672877326909708,1,0.04221788903917982
SNRPB,-+---+,0.006451498,0.6879344188259091,0.021110785668290034,-1,0.04222157133658007
HNRNPD,+---++,0.003055899,0.021114109275459408,0.32277883516342704,1,0.042228218550918815
ST13,----++,0.004896536,0.02112671167385304,0.09026561250369963,1,0.04225342334770608
PAK7,+++--+,0.03706161,0.021175718464230275,0.820811432794635,1,0.04235143692846055
ZCCHC7,+-++++,0.05196236,0.02118349139254149,0.7361799640561981,1,0.04236698278508298
CNTN4,-++---,0.006568446,0.6923890226366171,0.021189758114753574,-1,0.04237951622950715
USP6,--+-+-,0.020237079,0.6283548082197132,0.02120202892407197,-1,0.04240405784814394
ZNF395,-++-++,0.064333521,0.02121165504967976,0.9855429614128562,1,0.04242331009935952
SMCR7L,++----,0.011509551,0.4564725674991978,0.021218582056172903,-1,0.042437164112345806
FAM20B,+++-++,0.018325468,0.021219452376042003,0.7338001297411025,1,0.042438904752084006
TUBGCP6,--++--,0.027439981,0.9493962297315551,0.021243433867069724,-1,0.04248686773413945
RRAGA,-+---+,0.046705337,0.9219097099758179,0.021247041670142863,-1,0.042494083340285725
PFKFB2,+---+-,0.001994476,0.06627145502015877,0.021251323518900463,-1,0.04250264703780093
SLC35D2,--++--,0.014169663,0.7159405054521861,0.021264887008023203,-1,0.04252977401604641
AIF1,----++,0.004315262,0.799038855162982,0.021274148038222727,-1,0.042548296076445453
FAIM,++-+++,0.054488202,0.021276410861448835,0.9936323699275904,1,0.04255282172289767
SPTB,-++---,0.002352622,0.021278541191126887,0.05454076587369689,1,0.04255708238225377
PA2G4,+-++++,0.070126592,0.02129813342460756,0.958370881220142,1,0.04259626684921512
ADAM19,-+++--,0.01056264,0.3257301776714863,0.021313620136064557,-1,0.042627240272129115
SLC39A6,----++,0.009916854,0.32158212111710777,0.02131696109520037,-1,0.04263392219040074
RANBP2,++---+,0.015852247,0.3629267493246768,0.02135044577465662,-1,0.04270089154931324
NADK,++++--,0.039526124,0.02135327620745383,0.8460460714862643,1,0.04270655241490766
BAI3,-+++-+,0.047030993,0.02136398328944171,0.9173210686418997,1,0.04272796657888342
KCTD16,-+--++,0.002610112,0.2969488059457118,0.021395278675153753,-1,0.042790557350307505
CERK,+++-++,0.005502434,0.021432855068776128,0.9349541711895204,1,0.042865710137552256
ADAMTS8,++-+--,0.045942884,0.7748181173055473,0.02145879561742696,-1,0.04291759123485392
ACSL6,-+--++,0.008326311,0.0215113161465937,0.061790032266248844,1,0.0430226322931874
CACNB1,+-+-+-,0.025183614,0.5819822975351898,0.021522386221837723,-1,0.043044772443675446
MKRN1,+++-+-,0.006270412,0.021548616884639327,0.8800609240814964,1,0.04309723376927865
ZNF91,-+-+++,0.01194691,0.021568966231454993,0.7451885339249527,1,0.043137932462909985
POLR1B,-++-+-,0.001145787,0.021590411839834886,0.638411251809925,1,0.04318082367966977
KCNA1,-++---,0.004524719,0.9109784610020476,0.021602053758289795,-1,0.04320410751657959
ADRBK1,+---+-,0.034803839,0.9790001098457201,0.02163974588646951,-1,0.04327949177293902
ADORA3,-----+,0.017030618,0.8579240632738436,0.02164794235418297,-1,0.04329588470836594
DNAJB11,-----+,0.056038858,0.9900604880102709,0.021701362387104687,-1,0.043402724774209374
LRMP,---+-+,0.00633633,0.6916007326520941,0.021706655115861867,-1,0.043413310231723734
B4GALT2,+++---,0.013480993,0.6499169002725507,0.021736870941144713,-1,0.043473741882289425
ALAS1,-+---+,0.066371536,0.9004854798725631,0.021751156085389623,-1,0.043502312170779246
HMGCR,-+---+,0.016467322,0.681012927059703,0.02175515274155537,-1,0.04351030548311074
NR3C1,---+--,0.02448736,0.9555025651122169,0.021766094508076313,-1,0.04353218901615263
TMEM160,++----,0.007437921,0.6850469326770863,0.021773553337730317,-1,0.043547106675460634
GJA1,-----+,0.010269944,0.9794692955011125,0.02180468273365248,-1,0.04360936546730496
CD200,-+--++,0.010367228,0.02182158642097555,0.14868211515007373,1,0.0436431728419511
WDR89,-+-+++,0.013118165,0.021891009857426015,0.9285313584566223,1,0.04378201971485203
FAM49B,---++-,0.018481273,0.7790923356491407,0.021895544071437154,-1,0.04379108814287431
BOK,--++++,0.010045318,0.021953852816691478,0.28555652693768996,1,0.043907705633382955
IFT74,+-++++,0.066544944,0.021954264537963047,0.9721520668303605,1,0.043908529075926093
KLK6,---+++,0.009705337,0.3936248994425332,0.0219593579182822,-1,0.0439187158365644
DHRS9,----++,0.026811704,0.4900859824640135,0.02196436417266872,-1,0.04392872834533744
PCK2,+--+++,0.008024157,0.02196456198671393,0.603421446140127,1,0.04392912397342786
ABI1,-+--++,0.005877996,0.021994032790812214,0.8625961043640663,1,0.04398806558162443
ATCAY,+++---,0.008240075,0.08733450131339685,0.022048193538986446,-1,0.04409638707797289
TM6SF1,---++-,7.80993e-4,0.4023658850219336,0.022103109371578215,-1,0.04420621874315643
DPP6,-++---,0.028226591999999998,0.17431733699172758,0.022119998774411766,-1,0.04423999754882353
GALNT7,--++++,0.005797004,0.02213369833200786,0.8678912126837567,1,0.04426739666401572
ST3GAL1,-+----,0.073027528,0.8007787079260983,0.02213958442783217,-1,0.04427916885566434
EGR1,++----,0.022033895,0.8333805727898185,0.022141405420997334,-1,0.04428281084199467
RNF126,++++--,0.018864888,0.022170229218836657,0.22498898443831541,1,0.044340458437673314
RTN4,---+++,0.002729026,0.1209399220516293,0.022195091430314624,-1,0.04439018286062925
ITIH5,----++,0.079278745,0.9271255618132109,0.022211518308181043,-1,0.044423036616362085
DPM2,-+----,0.01075927,0.8179653097474452,0.022242645604800534,-1,0.04448529120960107
CXCL12,-----+,0.033307397,0.9922328823859226,0.022263754678120275,-1,0.04452750935624055
GTF2A1,++++-+,0.020251404,0.022264481243203644,0.5563388760583506,1,0.04452896248640729
ACAD10,--++-+,0.017774625,0.6222167571984234,0.022268319947168397,-1,0.044536639894336795
PECR,+-+-++,0.01145618,0.022303755936914995,0.6572431944894949,1,0.04460751187382999
CAPZA2,+---++,0.005482584,0.022318999186286007,0.130248849866869,1,0.04463799837257201
ITGAM,------,0.059425843,0.9878450019299454,0.02232124452582161,-1,0.04464248905164322
DHCR24,---+--,0.048922472,0.9869823875857304,0.022337104433374923,-1,0.044674208866749845
C7orf49,+---++,0.003716292,0.6762776327966278,0.02233799305433532,-1,0.04467598610867064
INF2,------,0.086573502,0.9974217431653115,0.022373195258299894,-1,0.04474639051659979
GPC1,+++---,0.013875843,0.4046535593407236,0.022403714630219115,-1,0.04480742926043823
P2RX5,+----+,0.034983614,0.8820197841848949,0.022412668333028206,-1,0.04482533666605641
RNF123,+++---,0.035055805,0.43453059683068324,0.022412943036082687,-1,0.04482588607216537
MAPK4,++----,0.014127715,0.6832873166856763,0.022430057207276793,-1,0.044860114414553585
SOX8,---+-+,0.002900468,0.36787998130018884,0.02243037685027741,-1,0.04486075370055482
SFRS5,----++,0.003933146,0.7469997908503128,0.022436448408003233,-1,0.044872896816006466
C20orf30,-----+,0.007231367,0.3092549993022348,0.02247513743391192,-1,0.04495027486782384
NRP1,++----,0.037154775,0.8621680077647795,0.02250564680253303,-1,0.04501129360506606
HRK,+--+-+,0.006321067,0.3556367350532231,0.022513918609417108,-1,0.045027837218834216
UBTD2,----++,0.004860955,0.8582699142865566,0.022533632334980694,-1,0.04506726466996139
USP34,--+++-,0.002044569,0.04384990322232855,0.022554652203186684,-1,0.04510930440637337
FECH,++-+--,0.018657678,0.12715563015182407,0.022561651100321576,-1,0.04512330220064315
TNRC6C,+-++--,0.011443633,0.022571110616044564,0.596999164674583,1,0.04514222123208913
CNTN1,-+-+++,0.007630056,0.022609211253974002,0.11197724454471789,1,0.045218422507948004
RPS6KB2,---+--,0.049393633,0.9903690323853642,0.022611208079532645,-1,0.04522241615906529
RASL10B,++--+-,0.008094757,0.5411100410234423,0.022629241859495094,-1,0.04525848371899019
