gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
GID4,+-,----,+-,0.4636896333688149,0.3931325153384897,-,0.786,0.3219859267827807,212,1
PCBD1,-+,-+-+,-+,0.43742635966521787,0.39315896057283684,-,0.786,0.22624220630392403,212,1
ALG1L2,--,+-++,NA,0.4917621149306385,0.39317090915416486,-,0.786,0.426602486,212,1
RASL11B,-+,---+,--,0.45026697274142347,0.3931975455042222,-,0.786,0.095134094,212,1
TCF7L2,+-,+--+,-+,0.45686267236487393,0.39321499331941323,-,0.786,0.157460768,212,1
INTS5,+-,++++,+-,0.45714216443877714,0.39331368123714533,-,0.787,0.27196476939916947,212,1
DNMT3A,--,--++,NA,0.5046910834070453,0.39335165064062216,-,0.787,0.350146871,212,1
OR4C16,-+,NA,NA,0.45049053159936114,0.39337249757599957,-,0.787,0.5353741138890189,212,1
CASR,++,NA,NA,0.4505475701574264,0.39348656818570693,-,0.787,0.7004185366324047,212,1
CXCL17,-+,NA,NA,0.4506616472735569,0.39354360349056067,-,0.787,0.508562634651514,212,1
MAGI3,+-,++--,NA,0.5084275532804851,0.3935620250892971,-,0.787,0.167306166,212,1
FRMD4A,-+,--++,-+,0.448355227870125,0.3935870001094795,-,0.787,0.223805078,212,1
GJC3,-+,NA,NA,0.45071868583162217,0.39371470940512177,-,0.787,0.4424427003675361,212,1
YTHDC1,-+,++-+,+-,0.44926873792816,0.393735289917952,-,0.787,0.151047378,212,1
ZNF566,--,-++-,++,0.44912266674352314,0.3938344679761181,-,0.788,0.307580778,212,1
MDM1,+-,+++-,NA,0.5037775989708908,0.3938575465113923,-,0.788,0.185142978,212,1
TMEM213,-+,NA,NA,0.4509468400638832,0.39388581531968286,-,0.788,0.46892903114887896,212,1
PLSCR3,NA,NA,-+,0.3941212367778682,0.4462524153361131,+,0.788,0.28318015,212,1
TRAM1,--,+---,+-,0.45757336064110415,0.39416310602183213,-,0.788,0.209633513,212,1
TENM2,+-,+-+-,-+,0.4548857303882742,0.39418939366209843,-,0.788,0.158223755,212,1
AHSG,+-,NA,NA,0.45111795573807895,0.3942280271488051,-,0.788,0.4704409333847269,212,1
CCDC8,-+,-++-,NA,0.5170307849042446,0.3943077501328783,-,0.789,0.250782771,212,1
VN1R5,+-,NA,NA,0.45126333200250957,0.39442162902121836,-,0.789,0.40942350774043534,212,1
GJB7,++,NA,NA,0.4512890714122747,0.39451320367307363,-,0.789,0.7913290055977791,212,1
TSSK4,-+,NA,NA,0.45143443791707066,0.39453570613734884,-,0.789,0.5891575253462189,212,1
ELAVL1,+-,----,+-,0.46118217704297165,0.3945510488290173,-,0.789,0.27832294,212,1
SLC17A8,+-,+++-,NA,0.4931656975530753,0.3946936007270535,-,0.789,0.3423332465432629,212,1
ACTR3C,-+,+-+-,NA,0.5154844991895865,0.39471726614821173,-,0.789,0.366793755,212,1
AP4M1,-+,++--,--,0.4518519254414904,0.3948201069582406,-,0.79,0.30362820171391414,212,1
KRTAP13-4,+-,NA,NA,0.4516313027606662,0.39491245080704956,-,0.79,0.5882854507216825,212,1
NOP9,+-,-+-+,NA,0.5015194162032364,0.39494582752555185,-,0.79,0.251686051,212,1
MAPRE1,--,++-+,+-,0.45483906422560244,0.394956442332711,-,0.79,0.172288202,212,1
DPYS,--,-+++,NA,0.49874143297264,0.39496827167701354,-,0.79,0.386783627,212,1
TRAT1,++,NA,NA,0.4517453798767967,0.395026521416757,-,0.79,0.6768949781208837,213,1
C9orf135,-+,NA,NA,0.4517766497461929,0.3950490531599361,-,0.79,0.5489670178102474,213,1
ZNF813,+-,-++-,NA,0.5107991898649504,0.3950932052186412,-,0.79,0.158679752,213,1
TECPR1,++,--++,NA,0.5108591277512918,0.39513621804263166,-,0.79,0.327210999,213,1
KRTAP10-6,-+,NA,NA,0.451947755660754,0.3953342459502624,-,0.791,0.4185960239575293,213,1
PAG1,--,+--+,+-,0.43283643001444927,0.3953425477027249,-,0.791,0.26747807438094096,213,1
MTRNR2L7,-+,NA,NA,0.4520876112251882,0.3953687332458792,-,0.791,0.5913628437639907,213,1
ADPRH,-+,+-++,NA,0.5129702481010111,0.39537003988459546,-,0.791,0.3956907,213,1
OR5AP2,++,NA,NA,0.45214464978325347,0.3954257685507329,-,0.791,0.7678768967859988,213,1
SUMO2,++,-++-,-+,0.46015145149327635,0.3954709044208202,-,0.791,0.099948155,213,1
POLR2C,+-,-++-,+-,0.4441111566324409,0.3954990875829212,-,0.791,0.30058627195150467,213,1
GPC1,--,--++,+-,0.4557714807697905,0.39553709092293876,-,0.791,0.141480108,213,1
MTSS1L,++,--++,NA,0.5133727457906301,0.39557981661101005,-,0.791,0.297731803,213,1
TMEM132E,+-,--++,-+,0.44907086605339486,0.3955887877612115,-,0.791,0.227428471,213,1
OMP,++,NA,NA,0.45254391968971025,0.3956539097701477,-,0.791,0.6635233306068677,213,1
PRR30,-+,NA,NA,0.4525751440141448,0.3956764772986539,-,0.791,0.45961230990293034,213,1
GALNT12,--,+-+-,NA,0.5181975645240505,0.39569673293137697,-,0.791,0.091521896,213,1
NAGS,-+,NA,NA,0.4526009582477755,0.39571094507500143,-,0.791,0.6079264149743588,213,1
SELK,-+,NA,+-,0.3957153836583224,0.4036817296823008,+,0.791,0.2949405501827362,213,1
TRIM39-RPP21,+-,NA,NA,0.45263217931899846,0.3957335158567191,-,0.791,0.5508093315037872,213,1
C17orf75,++,-+++,+-,0.4772279412362995,0.3957360232912695,-,0.791,0.204118497,213,1
SLC41A1,+-,+-+-,-+,0.4715422056834141,0.3957766152283088,-,0.792,0.157168411,213,1
ZCWPW2,++,-+-+,NA,0.506462131902889,0.39579391994838414,-,0.792,0.39033423,213,1
RSPH9,-+,NA,NA,0.45294318959616703,0.39593908629441626,-,0.792,0.5281120462850813,213,1
MSX2,+-,NA,NA,0.4529743911481207,0.39596167008898014,-,0.792,0.4697488522248314,213,1
HINT3,+-,++-+,-+,0.463700212113122,0.39619359159232165,-,0.792,0.177523034,213,1
PTPRF,+-,+-++,+-,0.4539897171635947,0.3962676010947111,-,0.793,0.212208602,213,1
MEF2BNB-MEF2B,-+,NA,NA,0.4530572667122975,0.39628129812353846,-,0.793,0.4107250119545187,213,1
DCAF4L2,++,NA,NA,0.453171343828428,0.3963383334283922,-,0.793,0.7748478133376853,213,1
TMEM169,--,-++-,+-,0.4445656353211395,0.3963429269454714,-,0.793,0.08315515,213,1
PPEF2,++,NA,NA,0.45334245950262375,0.3963953687332459,-,0.793,0.8058275446742205,213,1
PMS1,--,-+++,++,0.45127286696873437,0.3964099536998751,-,0.793,0.321236142,213,1
SLCO1B7,-+,NA,NA,0.45368469085101526,0.3965094393429533,-,0.793,0.4972870472499408,213,1
QTRTD1,--,-++-,NA,0.519202580951414,0.39654986302214085,-,0.793,0.148998093,213,1
ILK,-+,++-+,+-,0.44046911972012737,0.39655508306666704,-,0.793,0.21544901743189934,213,1
WDR72,-+,NA,NA,0.45396988364134155,0.3966235099526607,-,0.793,0.5240132129184163,213,1
POM121C,+-,--++,NA,0.519279694910252,0.39665412887090234,-,0.793,0.116841485,213,1
ABCC8,-+,--++,+-,0.46414530902576856,0.3968736452128373,-,0.794,0.122554912,214,1
VANGL1,++,+-++,NA,0.5066268576640506,0.39688355372580414,-,0.794,0.393445977,214,1
IFNG,-+,NA,NA,0.4544002737694633,0.39693132557608946,-,0.794,0.5261329096541503,214,1
GPR85,+-,++--,+-,0.4497353488968665,0.39702341985759404,-,0.794,0.096589513,214,1
OR1E1,--,NA,NA,0.4547995209034392,0.3972165183664157,-,0.794,0.7932269627915599,214,1
TTBK2,+-,++-+,NA,0.5076818837445869,0.3972730972806318,-,0.795,0.225028986,214,1
KCNA1,+-,-++-,-+,0.46836675147301154,0.3974077310921785,-,0.795,0.117176655,214,1
KHK,++,+-+-,+-,0.4448253397299007,0.3974693016086818,-,0.795,0.318197566,214,1
MPRIP,+-,+-++,NA,0.4996610197115098,0.39747018583025895,-,0.795,0.2798513707757775,214,1
L2HGDH,-+,-++-,+-,0.4642874117714288,0.3975573995179338,-,0.795,0.164980586,214,1
TRAP1,+-,--++,--,0.4441223362508132,0.3975926001495828,-,0.795,0.350829494,214,1
PYDC1,-+,--++,++,0.4637812632814519,0.397630884754182,-,0.795,0.162945394,214,1
OR52W1,+-,NA,NA,0.4552817704768423,0.3977071807448811,-,0.795,0.41466639512127734,214,1
C12orf74,+-,NA,NA,0.45539584759297286,0.3977071807448811,-,0.795,0.5283639893293305,214,1
OR5AU1,++,NA,NA,0.4555669632671686,0.3977642160497348,-,0.796,0.8008720299238863,214,1
TROAP,-+,NA,NA,0.4559091946155601,0.3978212513545885,-,0.796,0.5657713453336412,214,1
TAAR8,--,NA,NA,0.45594022700051334,0.3978439425051335,-,0.796,0.7349522298939926,214,1
KRT73,-+,NA,NA,0.4559662331736254,0.3978782866594422,-,0.796,0.5562553696234438,214,1
TSPAN11,+-,+-++,+-,0.44998563925847546,0.3978912037864236,-,0.796,0.082786517,214,1
EMC8,-+,-++-,+-,0.4363352826009155,0.39793608002177083,-,0.796,0.174711142,214,1
IFNL4,+-,NA,NA,0.4560803102897559,0.3980493925740033,-,0.796,0.5488160535617196,214,1
SNTB1,--,++--,++,0.44427302184092976,0.39808369173499,-,0.796,0.143433801,214,1
CLPSL2,+-,NA,NA,0.45611133291507444,0.39812913529545974,-,0.796,0.45121386097512073,214,1
TTC24,+-,NA,NA,0.4561683682199281,0.3982432124115902,-,0.796,0.4906729008526941,214,1
SERPINB5,-+,NA,NA,0.4561683682199281,0.3983002509696555,-,0.797,0.543433071571244,214,1
TOP1,--,+-++,-+,0.45717340934437867,0.39831426138485254,-,0.797,0.313267425,214,1
PDE6C,--,NA,NA,0.45656761535390405,0.398414328085786,-,0.797,0.6642337366669357,214,1
CHRNA1,--,+---,NA,0.5094634453202459,0.39842584658640656,-,0.797,0.209864821,214,1
CCDC157,++,--+-,NA,0.509083849138558,0.3984430735259926,-,0.797,0.360369729,214,1
DHDH,+-,++++,-+,0.44863608536660826,0.39850224137103135,-,0.797,0.129628277,214,1
PRKAR2A,-+,-+--,-+,0.4416996195563576,0.39856171662514256,-,0.797,0.24589872784022734,214,1
C2CD4D,-+,NA,NA,0.4566506958704084,0.3986197456225404,-,0.797,0.4858490661938305,214,1
ARL5C,-+,-++-,NA,0.5096270613145127,0.3986281815190328,-,0.797,0.35208199892505976,214,1
GRIN3A,-+,---+,--,0.450062614646171,0.39872739724271167,-,0.797,0.144131086,215,1
GNB4,-+,-+-+,+-,0.4470939496179997,0.3988123005497894,-,0.798,0.2715526250265292,215,1
SETD1A,+-,+-++,++,0.48301765360776805,0.3988898312979485,-,0.798,0.12994562,215,1
SLC10A4,--,--+-,-+,0.4455439554484454,0.39889625889242464,-,0.798,0.252459551,215,1
PSG5,-+,NA,NA,0.45693588866073465,0.3989619574516626,-,0.798,0.5919260387443812,215,1
MLC1,+-,-+-+,-+,0.45181569994354864,0.3991491316834665,-,0.798,0.132003558,215,1
TDRD10,-+,NA,NA,0.4571950037072948,0.39921286789869953,-,0.798,0.43989048868470515,215,1
BMP8A,+-,--++,NA,0.5229234845887379,0.3992335602135397,-,0.798,0.231411495,215,1
STT3A,+-,-+--,-+,0.443865490494146,0.39923920269179963,-,0.798,0.2397231873719331,215,1
GNAI1,--,-+--,++,0.45211542927772114,0.39927878404700395,-,0.799,0.183453454,215,1
RAB19,-+,NA,NA,0.4572520390121485,0.39932694501483,-,0.799,0.4588683451872564,215,1
PLA2G2F,++,NA,NA,0.45727812000912615,0.3993612045856385,-,0.799,0.7509613497249727,215,1
FAM149B1,--,+--+,NA,0.5221749974602302,0.3993832626166652,-,0.799,0.282192836,215,1
IAPP,++,--++,-+,0.46629663607210853,0.3994983562369708,-,0.799,0.257769632,215,1
TRNT1,--,++--,-+,0.44987445843338414,0.3995473011989654,-,0.799,0.171456061,215,1
SFTA3,-+,NA,NA,0.457537215536417,0.39955509924709104,-,0.799,0.424514104013562,215,1
CYP51A1,+-,++--,-+,0.4506166412168065,0.3995594845788064,-,0.799,0.18098595011295296,215,1
C8orf74,-+,NA,NA,0.45765128614612444,0.3996121378051563,-,0.799,0.4468056022369026,215,1
TIMM44,++,--+-,--,0.44844358283459634,0.3996707092191983,-,0.799,0.344405524,215,1
PRKACG,--,NA,NA,0.4578223920606856,0.3997262149212868,-,0.799,0.7911225607765642,215,1
PSIP1,+-,-+--,++,0.4466506383950895,0.39975129090560574,-,0.8,0.237364232,215,1
CRBN,--,-+++,+-,0.44231285064321857,0.39982523870870706,-,0.8,0.3607003444903558,215,1
SOCS2,-+,++--,-+,0.48207176701204557,0.3999391996242285,-,0.8,0.197539053,215,1
MUC19,NA,--++,NA,0.5081729022884126,0.400043585645794,-,0.8,0.359287955,215,1
ALLC,-+,NA,NA,0.45824777549623547,0.40004562824388296,-,0.8,0.6505291316631391,215,1
GPR1,+-,NA,NA,0.4583357098043689,0.4001825233858088,-,0.8,0.4557067067631875,215,1
EFCAB12,+-,--++,NA,0.5170218517388112,0.40019314623934865,-,0.8,0.21288197,215,1
CEP76,-+,-++-,++,0.4544951271213438,0.4002161529926466,-,0.8,0.301535317,215,1
RWDD3,++,-+--,-+,0.45676178548279484,0.40028247981726334,-,0.801,0.107360581,215,1
ZMYND11,+-,-++-,-+,0.44366575185501406,0.40034707865654506,-,0.801,0.236299625,215,1
HTR1F,+-,+-++,NA,0.5248639944045053,0.40041670278976993,-,0.801,0.058357636,215,1
AKIP1,++,-+-+,+-,0.4410635659948322,0.4004767314260665,-,0.801,0.166562172,215,1
INPP5K,++,--++,NA,0.5066349084663954,0.4005898456983653,-,0.801,0.489061067,216,1
RAG1,-+,+--+,NA,0.5121209694312713,0.4006374885815037,-,0.801,0.5333426648630499,216,1
PXDN,-+,--++,++,0.4548326484732412,0.4006573069820448,-,0.801,0.187464482,216,1
LRGUK,+-,--+-,NA,0.5245849511989923,0.40081276301636226,-,0.802,0.248671178,216,1
CLU,-+,++--,--,0.4515072557126633,0.40085897742441073,-,0.802,0.28538587512623004,216,1
OR6C3,-+,NA,NA,0.45879199224319855,0.40086698608259186,-,0.802,0.5424305678703929,216,1
ILF2,--,-++-,-+,0.44748694786694526,0.4008812991476895,-,0.802,0.3381354,216,1
OR5B3,+-,NA,NA,0.458818161076888,0.4009011578166885,-,0.802,0.4917215767469777,216,1
DNAJC19,+-,-++-,-+,0.46411453762401234,0.4009097986089011,-,0.802,0.167759831,216,1
AGAP5,-+,NA,NA,0.45890606285290597,0.4009240246406571,-,0.802,0.5986374942604142,216,1
KLRC1,-+,NA,NA,0.45890606285290597,0.4010381017567876,-,0.802,0.5852936552466836,216,1
CHIT1,-+,NA,NA,0.45910335386721424,0.40107226373124966,-,0.802,0.4612784013285066,216,1
C1QTNF8,+-,NA,NA,0.45898927675108375,0.40107226373124966,-,0.802,0.5717260923669438,216,1
LRRC46,++,NA,NA,0.45904631530914897,0.40107226373124966,-,0.802,0.7269579289774316,216,1
