gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
SPRY4,---+--,-----------+,+++-----,2.5625495687647457e-4,6.150690650066419e-4,+,5.13e-4,1.7407994055434223e-4,0.138,1
CUX2,--++++,------++++-+,++++----,2.648198713809422e-4,4.174432737028178e-4,+,5.3e-4,0.005047505,0.142,1
CA4,---++-,----+-++++--,-------+,2.685690009338777e-4,0.0010898395405255056,+,5.37e-4,0.005919834512648399,0.144,1
SLC5A4,---+++,------++++++,NA,2.753902604606021e-4,6.529423520562145e-4,+,5.51e-4,0.00147793,0.148,1
HHEX,---+++,+++-+++-++-+,NA,2.760264376086907e-4,7.588807130533353e-4,+,5.52e-4,0.0014887201827733685,0.149,1
PRKD2,---+++,------++++++,--+-++++,2.8481651398952387e-4,0.0011109805780821706,+,5.7e-4,0.017864344080784647,0.153,1
MANEA,-++--+,++++++------,----+-++,3.811944761757329e-4,2.8694820951564304e-4,-,5.74e-4,7.71466e-4,0.154,1
RPS28,-+-++-,+++---++++++,+++---+-,3.09809422793472e-4,2.934992202899197e-4,-,5.87e-4,4.3403e-4,0.158,1
ASPH,++++--,++++++------,---+++++,2.949916217164469e-4,6.160361248018612e-4,+,5.9e-4,0.007180899,0.159,1
NR4A1,------,------------,-++-----,2.9507983400692283e-4,5.777030618205878e-4,+,5.9e-4,7.75511e-5,0.159,1
EXOC7,+-++-+,-+----++++++,++++--++,9.557320454867454e-4,3.0321148215687677e-4,-,6.06e-4,7.08895e-4,0.163,1
FOLH1,----+-,++++++---++-,--+-++++,3.035504516725899e-4,6.039116306688664e-4,+,6.07e-4,0.002427807386375163,0.163,1
C18orf54,-++---,++++++----+-,NA,3.161767900193016e-4,0.0012555124917625834,+,6.32e-4,0.0012623854899758377,0.17,1
ASB2,---++-,NA,+++-----,3.220941451106105e-4,8.038926162414635e-4,+,6.44e-4,0.00511870063714121,0.173,1
RGS5,---++-,+-----++++++,+++--+-+,3.231960854218634e-4,9.94648664641467e-4,+,6.46e-4,0.003012459810095568,0.174,1
NPAS4,+-----,-----------+,+++-+-+-,3.5089354119117387e-4,3.2926180130900495e-4,-,6.59e-4,2.11793e-4,0.177,1
SLC9A3R2,+--++-,+-+++-++++++,----+--+,3.3096312704972755e-4,9.193220399534337e-4,+,6.62e-4,7.81086e-4,0.178,1
TNC,+++-+-,-++++++--+++,NA,3.487307645679122e-4,9.085359530809111e-4,+,6.97e-4,0.001667914097392927,0.188,1
PTGDR2,---+++,----+-++++++,NA,3.563894677951152e-4,0.0013641646822110214,+,7.13e-4,0.012136759,0.192,1
KIF2A,--+--+,++++++------,-----+-+,3.955247226087096e-4,3.669058282013856e-4,-,7.34e-4,0.001922659,0.197,1
NRG4,+-++++,------++++++,NA,3.709243063591444e-4,5.011279420852897e-4,+,7.42e-4,0.003636789,0.2,1
USHBP1,---+++,+-+-+-++++++,NA,3.795563690469401e-4,9.705880780379286e-4,+,7.59e-4,5.07620858896974e-4,0.204,1
SPTBN4,+--++-,------++++++,++++----,4.063937519803731e-4,3.7991914535790176e-4,-,7.6e-4,0.006130524,0.204,1
EPB41L4B,++++-+,------+++--+,++++--+-,3.910473613162773e-4,4.309479842912585e-4,+,7.82e-4,0.003397753,0.21,1
IP6K3,--+---,++++++----+-,NA,5.319259328682003e-4,3.9590874136284404e-4,-,7.92e-4,0.004055764,0.213,1
FOXL2,---+++,NA,NA,3.992471339759311e-4,0.0013118868355007985,+,7.98e-4,0.0023274191562202475,0.215,1
HLA-DOB,---+++,NA,NA,3.992471339759311e-4,0.0010837326032397902,+,7.98e-4,8.739610401742689e-4,0.215,1
CLEC3B,---++-,+++++-+++++-,--+-+-+-,4.1014476116386515e-4,0.0016642818869829236,+,8.2e-4,3.673648174405286e-4,0.221,1
DHRS9,----++,++++++++++++,-----+++,4.147309372690276e-4,8.560139359359025e-4,+,8.29e-4,0.003274032,0.223,1
CD8B,---+++,--++--+--+++,NA,4.257877049247515e-4,0.0010396079758934762,+,8.52e-4,0.0016936671947150154,0.229,1
ZNF254,+++---,++++-++-----,--+++-++,4.358893941833822e-4,0.0016043964342837796,+,8.72e-4,0.00382428,0.235,1
BOK,----+-,+++++----+++,--++++-+,4.6110914308613974e-4,0.0015802264661752732,+,9.22e-4,2.753101830955955e-4,0.248,1
EPHB3,+--++-,----+--+++-+,++++-++-,4.648044340362396e-4,0.0011646128222278223,+,0.00093000000000000005,0.0014442643637351503,0.25,1
XPOT,++++-+,++++++-+----,----++-+,4.660153229727908e-4,5.826121310462063e-4,+,9.32e-4,3.48571e-4,0.251,1
SMARCD1,++++-+,--+-+-++--++,+++++-+-,4.774560223268207e-4,7.113404101660101e-4,+,9.55e-4,0.001623408,0.257,1
CNDP1,--+-+-,++++++---+++,--+-++--,4.834648317412405e-4,6.02347229767763e-4,+,9.67e-4,0.008086068,0.26,1
ACOX1,++++-+,++++-+------,--++-+++,4.8425671095879354e-4,7.694106176883357e-4,+,9.69e-4,0.001529775,0.261,1
TPM2,----+-,+-+-+-++++++,+++-----,4.984119311522078e-4,7.487235981575344e-4,+,9.97e-4,0.00435721,0.268,1
FAM98C,----+-,------++++++,+-------,4.984520434386182e-4,0.0010704662391334148,+,9.97e-4,0.00700334,0.268,1
SST,----+-,+-----++++--,-------+,5.026789294926527e-4,0.0010289223266257688,+,0.00101,3.35674e-4,0.27,1
MOG,----+-,++++++---+++,--+-++-+,5.04242500418501e-4,9.375272264363728e-4,+,0.00101,0.0037824636542395473,0.271,1
HMGCS1,+++---,++++++------,-----+-+,5.1092727523623e-4,8.705089473148134e-4,+,0.00102,0.001480243,0.275,1
CCDC103,++++--,NA,NA,5.13347022587269e-4,0.0015969885359037243,+,0.00103,0.004062170867761208,0.276,1
PDE4C,+---++,------+-+++-,-+++++--,6.221102123906591e-4,5.199690334746311e-4,-,0.00104,3.73783e-4,0.28,1
LZTS2,----+-,+++++-----+-,--+-++-+,5.264867222016651e-4,6.912183002309128e-4,+,0.00105,0.004275579558707603,0.283,1
TMED10,+++---,++++-+----+-,+-+-++++,5.612134732422453e-4,0.0013979497563507495,+,0.00112,0.001043446,0.302,1
PKMYT1,---++-,+--++--+++++,++++----,5.669429982272841e-4,7.430488251827141e-4,+,0.00113,0.004020974,0.305,1
SHANK2,++++-+,------+++--+,++-+--+-,0.0019726799348135505,5.690993448365867e-4,-,0.00114,5.34925e-4,0.306,1
TMEM171,---++-,NA,NA,5.703530485370444e-4,0.0019393109742185718,+,0.00114,7.905890022530246e-4,0.307,1
PRSS21,---+-+,NA,NA,5.703530485370444e-4,0.0018252338580880675,+,0.00114,5.6063175910272834e-5,0.307,1
FA2H,----+-,++++++---+++,--+-++-+,5.798157138528826e-4,9.46170519995576e-4,+,0.00116,1.9055863334777843e-4,0.312,1
