gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
ZFP69,---,------,NA,0.9999531352361851,7.398116418325338e-4,-,0.00148,0.006090375,0.398,1
NET1,+++,++++++,++-+,7.427986566084268e-4,0.9992938946672948,+,0.00149,0.00744961549949834,0.4,1
ANKRD37,+-+,------,---+,0.338986746676445,7.72828402626855e-4,-,0.00155,6.06648e-4,0.416,1
ADAMTS1,---,------,+--+,0.9711535751219351,8.097846001236696e-4,-,0.00162,0.001457023,0.436,1
ARL5B,+-+,------,NA,0.974321567443185,8.20191330493561e-4,-,0.00164,0.002460311,0.441,1
RNF217,--+,------,NA,0.9765359528892066,8.324800213114125e-4,-,0.00166,0.007448689,0.448,1
CLCN3,+--,------,+--+,0.6727271583334523,8.490370873208169e-4,-,0.0017,8.88109e-4,0.457,1
LDAH,---,----+-,---+,0.9886840640900929,8.537477231351056e-4,-,0.00171,0.009952434,0.459,1
TPSB2,+++,NA,NA,8.555783709787816e-4,0.9996007300935432,+,0.00171,0.006228541983341123,0.46,1
ATP2C2,---,-+++-+,NA,0.7238393357185406,8.576175463027216e-4,-,0.00172,0.004532410032157394,0.461,1
INAFM2,NA,---+--,NA,0.935779150018162,8.717762440973483e-4,-,0.00174,0.001927182,0.469,1
SHISA2,---,----+-,NA,0.9963416987237161,8.835229609773063e-4,-,0.00177,0.002683791029221813,0.475,1
CALN1,+-+,----+-,++++,8.846035190624747e-4,0.3048290359787941,+,0.00177,0.006168633,0.476,1
ZNF229,---,----+-,NA,0.9990985956920494,8.888018680910706e-4,-,0.00178,0.016708739,0.478,1
PCDHA12,+++,----++,NA,9.013632123596588e-4,0.42751180402475936,+,0.0018,0.008800711906672622,0.485,1
DPYSL5,---,---+++,----,0.9820025997186272,9.149732908971109e-4,-,0.00183,0.001886142,0.492,1
PTGDR2,+++,++++++,NA,9.312876848437873e-4,0.9998387908547899,+,0.0018600000000000001,0.012136759,0.501,1
IPMK,+-+,------,NA,0.6749836475401616,9.609060123575313e-4,-,0.00192,0.003786006,0.517,1
IFIT1B,---,NA,NA,0.9991444216290212,9.696554871092859e-4,-,0.00194,0.010476244408348163,0.522,1
RPL13,++-,++++++,++++,9.896631287520138e-4,0.9969494561870247,+,0.00198,0.001804768,0.532,1
ZNF514,+++,++++++,++++,0.0010073784341747699,0.9999806403972078,+,0.00201,0.006364232,0.542,1
MLN,---,NA,NA,0.9996577686516085,0.001026694045174538,-,0.00205,0.024148565190912814,0.552,1
NAALADL1,+++,NA,NA,0.001026694045174538,0.9842573579739904,+,0.00205,0.003747923490938021,0.552,1
CXCL9,-+-,NA,NA,0.4645220168834132,0.0010837326032397902,-,0.00217,0.013751424125641403,0.583,1
RPL31,++-,++++++,+-++,0.0011042815992403244,0.9981533145990977,+,0.00221,0.006640981,0.594,1
NDUFA2,++-,+++++-,---+,0.0011505102031857323,0.8460324999581363,+,0.0023,6.12726e-5,0.619,1
BMP4,+++,++-+--,NA,0.0011838013520952637,0.6150295625489284,+,0.00237,8.611995940077596e-4,0.637,1
IFNB1,+++,NA,NA,0.0011978097193702942,0.999315537303217,+,0.0024,0.019544928737364672,0.644,1
ERRFI1,+--,-+----,----,0.9988658645962981,0.0012027669729734896,-,0.00241,0.010008088670738158,0.647,1
NCBP1,--+,------,NA,0.9964361733858534,0.0012162467786376923,-,0.00243,0.003438202,0.654,1
CRY1,---,------,-+--,0.9971615183388229,0.0012495063071381602,-,0.0025,0.001297082,0.672,1
SAMD8,+-+,------,NA,0.9717948098243441,0.001289133863212408,-,0.00258,5.94461e-4,0.694,1
NPTX2,---,-++---,----,0.9955039463515363,0.0012969230710854472,-,0.00259,0.017181461,0.698,1
ENHO,+++,++++-+,NA,0.0013408618343269648,0.9934637482300614,+,0.00268,0.0032484891364441023,0.721,1
GSC2,+++,NA,NA,0.0013689253935660506,0.9989162673967602,+,0.00274,0.01585551069241804,0.736,1
ARHGEF15,+++,++++++,NA,0.0014497626839831068,0.9955614815530909,+,0.0029,0.002213345420813612,0.78,1
MFNG,+++,++++++,NA,0.0014780553033587596,0.9966991387208095,+,0.00296,0.0031188105429773246,0.795,1
PRSS45,+++,NA,NA,0.001483002509696555,0.999543691535478,+,0.00297,0.020711568132772654,0.798,1
LONRF1,+-+,------,----,0.9975880534824653,0.0014906441163818627,-,0.00298,0.004010672,0.802,1
ZFP1,---,--+---,NA,0.9975587795359337,0.001509552830941164,-,0.00302,0.0024753968202982403,0.812,1
CKB,++-,++++++,-++-,0.0015546230975292056,0.9605320472016058,+,0.00311,1.82118e-5,0.836,1
EEF2,++-,++++++,-++-,0.001591851073671441,0.982004372305114,+,0.00318,8.97529e-5,0.856,1
SPTLC1,+-+,------,-+-+,0.7550934595419578,0.0015956941295130057,-,0.00319,0.001247492,0.858,1
PRF1,---,NA,NA,0.9942391056354095,0.0015970796258270592,-,0.00319,0.015600884456785985,0.859,1
DZIP1,+-+,++++++,++++,0.0016033757992421707,0.9995757464188375,+,0.00321,0.016185010768806195,0.863,1
TMEM87B,+-+,++++++,++++,0.0016120642781144313,0.9860477005278216,+,0.00322,0.004725869,0.867,1
CCNT1,--+,------,++-+,0.862274130129607,0.0016124550677529316,-,0.00322,3.6569e-4,0.868,1
KDM3A,+--,----+-,NA,0.972262591350593,0.0016221601840972796,-,0.00324,0.005746965,0.873,1
RPL27A,++-,++++++,++++,0.0016477472293555825,0.9978604281858332,+,0.0033,0.001389884,0.886,1
SPHAR,+++,NA,NA,0.001654118183892311,0.9996577686516085,+,0.00331,0.03078053934092415,0.89,1
BROX,---,------,NA,0.9994645083385331,0.0016776378546373397,-,0.00336,0.007920789,0.903,1
NFKBIZ,---,----+-,--++,0.9795725097012192,0.0016920778951518265,-,0.00338,0.017331711627682524,0.91,1
FAM101B,+++,--++--,-+--,0.0016924552538603937,0.7668559267835874,+,0.00338,1.3169669318966625e-4,0.911,1
LAMTOR4,++-,++++++,NA,0.0017623586478320297,0.8272084520406335,+,0.00352,7.60347e-4,0.948,1
ZNF367,---,----+-,-+--,0.9785932691095608,0.0017995886099326308,-,0.0036,0.002865121,0.968,1
ZFP14,---,------,---+,0.9929869117244448,0.001799948674009807,-,0.0036,1.79024e-4,0.968,1
ERAP2,---,+-----,NA,0.9887433709897113,0.0018009480727353027,-,0.0036,0.026826773267259425,0.969,1
MPPE1,+-+,------,----,0.7728572509636051,0.0018141250390871588,-,0.00363,0.003013764,0.976,1
HOXC12,+--,NA,NA,0.8162217659137577,0.0018252338580880675,-,0.00365,6.682613533342364e-4,0.982,1
CEACAM4,++-,NA,NA,0.0018252338580880675,0.9196326716860598,+,0.00365,6.704937778527911e-4,0.982,1
ZNF10,--+,------,++++,0.5940891470913702,0.0018358875010630903,-,0.00367,0.0030278759087957823,0.988,1
CCNH,---,----+-,----,0.9987660739449045,0.001836569985183224,-,0.00367,0.005131359,0.988,1
RETSAT,---,-+----,-+-+,0.753098465948849,0.0018400307040770962,-,0.00368,0.0038929317527825165,0.99,1
AGBL5,+--,++++-+,----,0.0018470999130825805,0.48403904642663326,+,0.00369,1.31829e-4,0.994,1
FOXF2,+++,++++++,+++-,0.001875516569190182,0.999147495059783,+,0.00375,1.97753e-4,1.01,1
NOS3,+++,++++++,NA,0.00191735168720499,0.9989882542674952,+,0.00383,8.2228e-4,1.03,1
HSPA12B,+++,++++++,++-+,0.0019215217581196897,0.9952812001132523,+,0.00384,0.009108716468139263,1.03,1
ZC3H12C,+-+,------,NA,0.8924065321025405,0.0019309554484379283,-,0.00386,0.00560833539605875,1.04,1
XIRP1,---,NA,NA,0.9972621492128679,0.0019393109742185718,-,0.00388,0.012762789349620326,1.04,1
CRYBG3,---,NA,NA,0.9992584987451517,0.001996349532283824,-,0.00399,0.027653141420158206,1.07,1
MAP3K2,--+,------,NA,0.9796834168647585,0.0020001549096408206,-,0.004,0.004374298,1.08,1
EIF1,+--,++++++,-+++,0.002003960742197073,0.9103998110737928,+,0.00401,8.09082e-4,1.08,1
RAMP2,++-,++++++,++--,0.0020250080164858765,0.8818103675693277,+,0.00405,0.001559395,1.09,1
ANKRD66,---,NA,NA,0.9830025096965549,0.002053388090349076,-,0.00411,0.01049310853902266,1.1,1
USP37,--+,------,----,0.9967619393602878,0.002065337246706806,-,0.00413,0.004584095,1.11,1
GCSAM,--+,NA,NA,0.9054871092858773,0.002110426648414328,-,0.00422,0.012044084299365689,1.14,1
RBM12B,--+,------,-++-,0.9344707895495007,0.0021368454615734596,-,0.00427,0.008063764631912865,1.15,1
PLXNA2,+--,+-+-++,----,0.9403066199623001,0.0021409312463824878,-,0.00428,5.01217e-4,1.15,1
PSORS1C1,-+-,NA,NA,0.961099703399498,0.0021674652064795803,-,0.00433,0.0033780312786811455,1.17,1
LDHC,+++,NA,NA,0.0021674652064795803,0.9987451517225645,+,0.00433,0.017241123105348345,1.17,1
ZNF816,---,---+--,NA,0.9882009734137016,0.0021933759678363952,-,0.00439,0.02381018947031478,1.18,1
ACTL7B,+-+,NA,NA,0.0022245037645448325,0.9059434177503992,+,0.00445,0.01069400034661003,1.2,1
CALCA,---,NA,NA,0.999543691535478,0.0022245037645448325,-,0.00445,0.06752390349274061,1.2,1
SMIM5,---,---+--,NA,0.9922508335679063,0.002264744750333677,-,0.00453,0.006367172,1.22,1
CCDC77,---,+--++-,+-+-,0.8895803476034158,0.002270602088167404,-,0.00454,0.009584608948118425,1.22,1
TEAD1,---,------,NA,0.9997870655720236,0.002297166173968621,-,0.00459,0.045816203,1.24,1
EGR4,---,------,----,0.9999775089437637,0.002298905579808553,-,0.0046,0.034943914,1.24,1
SLC35D1,--+,----+-,+---,0.9360640886758089,0.0023204372810780435,-,0.00464,0.005007737,1.25,1
