gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_p,minp,Corrected_p,Bonferroni_meta_p
CYR61,++-,----+-,+++-,0.35474316897304947,2.4631830430124355e-7,-,4.93e-7,6.307473318190584,9.6745e-4,1.33e-4,0.00867
TET3,---,------,-+-+,0.6318035180217776,2.534722884078507e-7,-,5.07e-7,6.2950395185736125,0.001737538,1.36e-4,0.00893
GALNT15,-++,-+++++,++--,3.395658328514678e-7,0.7068180555791778,+,6.79e-7,6.1680460193205695,2.81e-5,1.83e-4,0.012
GALNT15,-++,-+++++,+++-,3.395658328514678e-7,0.7068180555791778,+,6.79e-7,6.1680460193205695,2.81e-5,1.83e-4,0.012
GALNT15,-++,-+++++,--++,3.395658328514678e-7,0.7068180555791778,+,6.79e-7,6.1680460193205695,2.81e-5,1.83e-4,0.012
SIK1,+++,------,NA,0.15270045757974487,3.411579568942306e-7,-,6.82e-7,6.16601449946622,0.001941142,1.84e-4,0.012
DUSP6,+--,------,++-+,0.514985416404781,3.4245908365430015e-7,-,6.85e-7,6.164361314068631,4.978697421824598e-4,1.84e-4,0.0121
TRIB2,---,------,+-+-,0.9992842366246848,3.825950453434526e-7,-,7.65e-7,6.1162306627794285,0.0023563972179960774,2.06e-4,0.0135
BHLHE41,-++,++++++,NA,4.3884261662443294e-7,0.8110437428222277,+,8.78e-7,6.056661208436712,0.005542234,2.36e-4,0.0155
SPTY2D1,--+,------,NA,0.7117723702009082,4.522424370362454e-7,-,9.04e-7,6.043598691559036,0.002723638,2.43e-4,0.0159
ZNF331,+++,------,-+-+,0.1307435527108148,4.603735876230453e-7,-,9.21e-7,6.035859604840052,0.001591073,2.48e-4,0.0162
DNAJB5,---,------,-++-,0.9318806261096372,5.283919193334111e-7,-,1.06e-6,5.97601383698275,4.07769e-4,2.84e-4,0.0186
TLR2,+++,++++++,NA,5.580852008034409e-7,0.9999999511657925,+,1.12e-6,5.952269498204628,0.00311095554286188,3e-4,0.0197
RPS26,---,--+--+,----,0.9999864915834589,6.136357086723166e-7,-,1.23e-6,5.911059380207168,0.0034940048758907616,3.3e-4,0.0216
RGS2,---,------,-+--,0.9984445613586556,6.152153693924683e-7,-,1.23e-6,5.909942827804408,0.005417929,3.31e-4,0.0217
BCL11A,++-,------,---+,0.9738566954859943,6.875132318204508e-7,-,1.38e-6,5.861688943359088,0.005324543507883395,3.7e-4,0.0242
LRP8,---,------,----,0.999667070763856,8.432952157710358e-7,-,1.69e-6,5.7729903678653525,0.002573783,4.54e-4,0.0297
ECT2,+++,++++++,++--,8.571612635892996e-7,0.9900072034078274,+,1.71e-6,5.765907467945625,1.74409e-4,4.61e-4,0.0302
PCCB,--+,++++++,---+,9.23031898759658e-7,0.8957533375070531,+,1.85e-6,5.733753294408787,5.58917e-4,4.97e-4,0.0325
INHBA,-+-,------,NA,0.993961255119041,1.0626663859262544e-6,-,2.13e-6,5.672573061065635,1.88165e-4,5.72e-4,0.0374
STAT6,++-,------,+-+-,0.7410726283833109,1.1062548412439604e-6,-,2.21e-6,5.655114820046239,4.06613e-5,5.95e-4,0.039
SESN1,+++,++++-+,++++,1.1812279955295248e-6,0.99998460051221,+,2.36e-6,5.626636272985146,0.005077528,6.36e-4,0.0416
FZD4,+++,++++++,++++,1.2250000552982606e-6,0.9999999486762183,+,2.45e-6,5.610833896030791,9.01498e-4,6.59e-4,0.0431
ZNF30,+-+,++++++,++-+,1.2351205855591104e-6,0.9738413907309453,+,2.47e-6,5.6072606442412285,0.00207997,6.64e-4,0.0435
MRPS6,---,------,----,0.9999993903415944,1.3042315717500517e-6,-,2.61e-6,5.58361529529875,1.16199e-4,7.02e-4,0.0459
