gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,Corrected_p,Bonferroni_meta_p
MRPS11,++-,++++++,--+-,0.13924822513724008,0.5251180697192375,+,0.278,0.5551803359876681,0.022576979,74.9,1
DDAH2,-+-,+-+-+-,+-++,0.13931275566814777,0.8944352764698277,+,0.279,0.5549791214894437,0.027109925,75,1
CLVS2,+-+,------,NA,0.6851407934943149,0.13941467638761665,-,0.279,0.5546615093498469,0.05566974078184021,75,1
BTG1,---,+-----,++-+,0.13943987929358226,0.2563448807716512,+,0.279,0.5545830061818291,0.016027622,75,1
COL11A1,---,+++-++,++-+,0.13944414108520659,0.8835355101545742,+,0.279,0.5545697327602606,0.007145693,75,1
DCAF13,---,+---+-,NA,0.9754500875267812,0.13949297905601352,-,0.279,0.5544176550343931,0.051945847,75,1
UGT3A2,---,NA,NA,0.9132694367806277,0.1395164849866285,-,0.279,0.5543444783339736,0.10697289629569821,75.1,1
ZNF581,++-,+++++-,--+-,0.22953284072983257,0.13957034752723688,-,0.279,0.5541768444528102,0.006924345,75.1,1
CDK20,+-+,+-+---,----,0.8898202701792794,0.13957467930886144,-,0.279,0.554163365660959,0.025207584,75.1,1
ZC3H10,-+-,-+-+++,--++,0.852165466631969,0.13958685449609834,-,0.279,0.5541254835318247,0.01747268512032373,75.1,1
RARRES2,++-,+++-++,+++-,0.13961174119626404,0.9816550124586592,+,0.279,0.5540480608173116,0.07255598895512048,75.1,1
C11orf16,-+-,NA,NA,0.8945341387593593,0.13961352044717834,-,0.279,0.5540425260827431,0.15628488752275094,75.1,1
DEF6,-+-,+-++++,NA,0.13964325418477677,0.9243202739918265,+,0.279,0.5539500434689825,0.065710528,75.1,1
EFHD2,-+-,-+++-+,+---,0.17256037681544872,0.13965246597358555,-,0.279,0.5539213954893623,0.015004252,75.1,1
PPP1R16B,+-+,++++-+,----,0.13966512977829826,0.2942636987698418,+,0.279,0.5538820150808663,0.09308861831116776,75.1,1
SCGN,+--,NA,NA,0.8171624271937052,0.13971292293546717,-,0.279,0.553733425709353,0.08813599731161983,75.2,1
LENG9,++-,NA,NA,0.13974127043806056,0.8133088932141017,+,0.279,0.5536453170726877,0.15022357925922114,75.2,1
STPG1,++-,+++-++,--+-,0.13980884165839905,0.8535233323093467,+,0.28,0.5534353668174014,0.149633391,75.2,1
TIMM22,++-,++++--,----,0.13980997065082937,0.4053893833426679,+,0.28,0.5534318597916863,0.024597639,75.2,1
ALDH9A1,+++,++--+-,-+++,0.1398429537700348,0.8924326968350343,+,0.28,0.5533294157585121,0.07417839825027334,75.2,1
GPS2,++-,+++--+,NA,0.13984796268849706,0.7742394141321697,+,0.28,0.5533138604042216,0.043265905,75.2,1
NAPRT,---,-----+,--+-,0.992243237562115,0.1398499109243989,-,0.28,0.5533078102466661,0.11258443519938925,75.2,1
WDR88,---,NA,NA,0.9615764732338483,0.13987704351975233,-,0.28,0.5532235599712354,0.28540148776818275,75.3,1
B3GNT5,-++,---+--,NA,0.9735979198533257,0.13987919352825465,-,0.28,0.5532168846110113,0.167957062,75.3,1
CERS6,+-+,-++---,---+,0.667472851421911,0.13990215607061468,-,0.28,0.5531455967608804,0.07238121105931145,75.3,1
DPM2,++-,++++++,----,0.37333162205682124,0.13991435444052613,-,0.28,0.5531077313416137,0.01075927,75.3,1
FLAD1,++-,-++++-,+-+-,0.5112801449508194,0.13994436693922538,-,0.28,0.5530145824659316,0.003265449,75.3,1
NTNG2,-+-,-+++--,+-++,0.13997814591699204,0.7571651473327935,+,0.28,0.5529097675757685,0.00209401,75.3,1
PSMB11,---,NA,NA,0.894498092389598,0.14003312125839992,-,0.28,0.5527392352399678,0.09179939562687986,75.3,1
COPS8,+-+,++++--,--++,0.14008621672989724,0.6494556528160689,+,0.28,0.552574597762762,0.06039161952621104,75.4,1
TMEM262,-+-,NA,NA,0.8144173729572192,0.1400959214338924,-,0.28,0.5525445123374532,0.06104042298026392,75.4,1
SLC10A6,+--,+--+-+,NA,0.7921968250289417,0.14010167284919217,-,0.28,0.5525266834339998,0.08004495534563748,75.4,1
ARFGEF3,--+,------,+-++,0.7769567555042417,0.14011019364382954,-,0.28,0.552500271032984,0.04495618,75.4,1
PIP5K1B,+++,+++---,--++,0.1401256758177793,0.3495028391136188,+,0.28,0.5524522841515473,0.04115103216996297,75.4,1
FUT2,-++,NA,NA,0.14017214131567,0.8840250323139383,+,0.28,0.5523082965192209,0.10853900147654644,75.4,1
FRRS1L,+-+,------,-+-+,0.1401922194059384,0.2891961059358247,+,0.28,0.5522460931506958,0.012980524,75.4,1
ZNF579,-+-,++++-+,+-+-,0.14019625523331417,0.3397739506525687,+,0.28,0.5522335909423822,0.016859806,75.4,1
CHAD,---,++++++,-+++,0.14021213232609134,0.40889355511816994,+,0.28,0.552184410289484,0.08332601,75.4,1
C3orf33,+++,--++--,NA,0.14024594807939147,0.8450724631479565,+,0.28,0.5520796816604526,0.13205343509173315,75.5,1
ZNF541,-+-,++++-+,NA,0.14025744019414801,0.6491172928388764,+,0.281,0.552044095908297,0.05312797800291969,75.5,1
DDX27,-+-,+-----,+---,0.944582555148713,0.14026080847354114,-,0.281,0.5520336664609369,0.102658146,75.5,1
PPP4R4,--+,+-+---,NA,0.49626123058261895,0.14026382919371044,-,0.281,0.5520243133993886,0.022937351,75.5,1
LOH12CR1,---,+---++,+--+,0.9178679761462671,0.14027395856048266,-,0.281,0.5519929512921198,0.05693386676217425,75.5,1
GCKR,-+-,+-++++,NA,0.140280805811761,0.7953005880106032,+,0.281,0.5519717524117255,0.147224415,75.5,1
ADORA1,++-,--+++-,+---,0.8668228759540687,0.14029786732692706,-,0.281,0.5519189349839733,0.014338858206298714,75.5,1
ADGRG3,+++,NA,NA,0.14031204420795493,0.9554502931410704,+,0.281,0.5518750524199358,0.290153014982367,75.5,1
REM1,++-,NA,----,0.6686939899548644,0.14033655970363912,-,0.281,0.5517991785735995,0.032598783,75.5,1
IFNL1,---,NA,NA,0.9264122666993149,0.14037547810921647,-,0.281,0.5516787558868725,0.19955542450820415,75.5,1
FADS6,++-,+-++++,NA,0.14038242495113423,0.959290259765781,+,0.281,0.5516572642381654,0.119305857,75.5,1
C6orf141,--+,+---++,NA,0.1403871592460483,0.5107926129094896,+,0.281,0.5516426182204142,0.041713584,75.5,1
TBX4,-++,NA,NA,0.572440648315713,0.140390177981895,-,0.281,0.5516332797151521,0.03482405008294675,75.5,1
TLK2,+--,---+++,-+--,0.8999287752932553,0.14048798710142224,-,0.281,0.5513308143199166,0.095732678,75.6,1
TNFRSF10D,++-,------,NA,0.8650313737505673,0.14049203402296614,-,0.281,0.5513183041372474,0.131790767,75.6,1
OLA1,+--,+-++--,++++,0.14057387145479575,0.8731565561389634,+,0.281,0.551065398712801,0.06635836669452443,75.6,1
STK32C,++-,-+++++,----,0.14064693322500138,0.47358011920700277,+,0.281,0.5508397374258388,0.008670159,75.7,1
C6orf136,++-,++++++,+---,0.14067374886609224,0.27773531905168564,+,0.281,0.5507569430510836,0.056803558,75.7,1
TDRD12,+++,+--+++,NA,0.1406832176686789,0.9718157990400067,+,0.281,0.5507277115110523,0.109495519,75.7,1
PAFAH1B3,++-,+-+++-,--+-,0.1407045019489967,0.5516201996507466,+,0.281,0.5506620110922601,0.009046062,75.7,1
FBF1,-+-,+--+++,+-+-,0.1407175788635173,0.8484341129614741,+,0.281,0.55062165013832,0.077658141,75.7,1
AGPAT6,+--,+-+++-,----,0.3502494881235201,0.140743731851261,-,0.281,0.550540942077477,0.019422807362803426,75.7,1
HIST1H4I,---,++++-+,NA,0.1408060144421955,0.3437263576877878,+,0.282,0.5503487985123784,0.05401157,75.8,1
SERTAD3,++-,----+-,NA,0.9125244039487503,0.1408082410424841,-,0.282,0.5503419309607547,0.088868759,75.8,1
WDR25,+--,++-+++,----,0.14087608489392026,0.6157361540910401,+,0.282,0.5501327307450056,0.030934152,75.8,1
CHMP7,+--,++++--,--+-,0.7354084878831204,0.14087656666171972,-,0.282,0.5501312455480024,0.066946629,75.8,1
CAPN15,-+-,++++++,-+--,0.14091021662036513,0.27996386674624996,+,0.282,0.5500275217944947,0.022150071,75.8,1
SCUBE2,-+-,++-+++,+++-,0.14091072979858218,0.9794694486188718,+,0.282,0.5500259401486253,0.02547397,75.8,1
APOBEC3D,-+-,NA,NA,0.14093115657447608,0.6809766647446306,+,0.282,0.5499629882844898,0.04247025992285374,75.8,1
WDR60,-+-,+--+++,----,0.43057936182153694,0.14095456394209777,-,0.282,0.5498908619589795,0.08740721,75.8,1
SUPT7L,+--,+---+-,+-++,0.14101847745820756,0.5076959013329423,+,0.282,0.5496939829403114,0.028132022,75.9,1
KLHL2,+-+,--+-+-,-+-+,0.4476554163116225,0.14103106539708726,-,0.282,0.5496552176060918,0.023677659,75.9,1
ARFIP1,---,----+-,++++,0.1410351441570512,0.6167665223662466,+,0.282,0.5496426575553983,0.017238483,75.9,1
RUSC1,+-+,++++++,-+--,0.1410608399098768,0.8334304612194758,+,0.282,0.5495635389268344,0.10606575664748191,75.9,1
GRIN2A,+-+,--+---,--+-,0.7932659833330564,0.14115292790567766,-,0.282,0.5492801132799935,0.042193258,75.9,1
EPN3,++-,NA,NA,0.1411898023506388,0.5862140425351346,+,0.282,0.5491666740705164,0.14888296540724325,76,1
NEK2,-++,+++-+-,NA,0.14120794362258782,0.7644674986221932,+,0.282,0.5491108757900744,0.01761474,76,1
AK5,+--,--+---,+-++,0.4308395161629785,0.14121297149492673,-,0.282,0.5490954125074644,0.0721891328335835,76,1
ZNF438,---,----++,+++-,0.38190671568427587,0.14124130187838224,-,0.282,0.5490082923580735,0.068825382,76,1
ENC1,+-+,+-+---,----,0.8002711472209431,0.1412428848254771,-,0.282,0.5490034250754374,0.068210774,76,1
GBGT1,+++,--+---,NA,0.14128448867676918,0.6676073447003703,+,0.283,0.5488755201368914,0.011666973565999984,76,1
FAM222B,++-,---+++,+---,0.6417529318990274,0.14133850402894305,-,0.283,0.5487095140420001,0.028407959,76,1
EID2B,-++,++++++,-+-+,0.1413386221256321,0.9605414328560364,+,0.283,0.5487091511633966,0.076925882,76,1
ACSBG1,---,-+---+,---+,0.9681087670751083,0.14134463307701736,-,0.283,0.5486906815655697,0.008605805,76,1
DIMT1,--+,-+----,++-+,0.2815103516598063,0.14140852230304304,-,0.283,0.5484944203514309,0.048067135,76.1,1
FKBP9,+++,-+++++,-+--,0.1414647114598041,0.7711787381566497,+,0.283,0.5483218862398046,0.061892382,76.1,1
HOXB8,++-,NA,NA,0.141493554102644,0.8794027508389148,+,0.283,0.5482333487966777,0.15495301491830873,76.1,1
VWA9,+--,+--+++,NA,0.8639064347102154,0.1415432339862003,-,0.283,0.5480808901734905,0.029522834784652414,76.2,1
GPR45,+-+,++++-+,NA,0.14155733029932233,0.6764760192377963,+,0.283,0.5480376408707236,0.087481542,76.2,1
PRKD1,-+-,----++,----,0.9930199538984905,0.14164685414760564,-,0.283,0.5477630706719877,0.048520787,76.2,1
ERI2,---,+----+,NA,0.9822825425638979,0.14173167254214045,-,0.283,0.5475030921743882,0.04437710388518352,76.3,1
KLF17,-++,NA,NA,0.14185877517470627,0.8681713432908923,+,0.284,0.5471137985567842,0.1514795281559995,76.3,1
CTSS,-+-,++++++,NA,0.141880742440321,0.5375705810100264,+,0.284,0.5470465519332738,0.09476498948497626,76.3,1
SRI,+-+,------,-+++,0.14188492023949584,0.477920267380401,+,0.284,0.5470337639510273,0.068723689,76.3,1
GNLY,-+-,++++-+,NA,0.14189545017321617,0.6681724076446875,+,0.284,0.5470015341522925,0.087572315,76.3,1
OR6C68,+++,NA,NA,0.14189912932474924,0.9678275458044967,+,0.284,0.5469902736468113,0.35067829508932946,76.3,1
KDM5A,-+-,----+-,NA,0.9088723502857539,0.14193212869047306,-,0.284,0.54688928799354,0.111212001,76.4,1
RCCD1,-+-,+++++-,----,0.6495907274649254,0.1419374771575926,-,0.284,0.5468729226644657,0.113140449,76.4,1
DGCR14,++-,--++++,--+-,0.14194546320284313,0.14803144855025363,+,0.284,0.5468484879775414,0.039121348,76.4,1
VIMP,++-,----+-,NA,0.789883292435772,0.1419576260821902,-,0.284,0.546811276185299,0.092385838,76.4,1
ST6GALNAC5,+-+,+-+---,-+++,0.374465551958373,0.14196435838195748,-,0.284,0.5467906803822264,0.02385856,76.4,1
ABLIM1,+-+,-+---+,--++,0.5602622537989003,0.1419845739283386,-,0.284,0.5467288417960737,0.035740842,76.4,1
PNPLA1,-+-,NA,NA,0.4868156847249665,0.14200843594726376,-,0.284,0.5466558601182839,0.13693209326505437,76.4,1
CSPP1,-+-,+---++,++++,0.14207984988857755,0.6983488709913117,+,0.284,0.5464375147457841,0.090725375,76.4,1
LAPTM4B,+++,-+-+--,-+++,0.14208920854576448,0.699297726674805,+,0.284,0.5464089091460177,0.052400749,76.4,1
TMEM225,+++,NA,NA,0.1420902418728615,0.9630344222835754,+,0.284,0.5464057508018406,0.25276445209721426,76.4,1
MUC5AC,-+-,NA,NA,0.8907250024513893,0.14211615538073133,-,0.284,0.546326554178439,0.23160637669767775,76.5,1
TMED2,+-+,------,++-+,0.5318059267245709,0.14220569076492298,-,0.284,0.5460530280663797,0.051569655,76.5,1
KRT71,+++,NA,NA,0.1422070079084387,0.9555034103962285,+,0.284,0.5460490055444358,0.22006208883020448,76.5,1
EIF2B5,+--,++++++,----,0.28557855683747757,0.14220775753693257,-,0.284,0.5460467162152032,0.033641305,76.5,1
