gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
CYCS,++++,-+-+++++,++---+,0.3245135100905445,0.3171327951155164,-,0.634,0.04608867,171,1
ILDR1,----,NA,NA,0.32658415559231163,0.3171343828428017,-,0.634,0.2484578702361929,171,1
C16orf58,+++-,+-++++++,-++---,0.32363736089335654,0.3171628193221521,-,0.634,0.209702622,171,1
COL7A1,+---,+++-++++,+-++-+,0.3266141088174844,0.3172059941543825,-,0.634,0.041314513,171,1
PEAK1,-+-+,----++-+,-++---,0.31725545764017365,0.3203103247296936,+,0.635,0.02000721,171,1
SIAH1,-++-,-+------,+--+--,0.31728095830819847,0.322636092847625,+,0.635,0.025963289,171,1
MYDGF,+-+-,++-++-++,++--++,0.32317230880702313,0.31728930037588543,-,0.635,0.027665945,171,1
DSCC1,--+-,--+++---,++---+,0.3173328869626132,0.3206487953344452,+,0.635,0.003920974,171,1
C17orf62,++--,+++-++++,++++-+,0.3261991680812403,0.3173595103473122,-,0.635,0.058288996,171,1
OSGIN2,-++-,++++++--,--+-+-,0.3279259207489087,0.31736872533783744,-,0.635,0.037017117,171,1
BCL6B,----,----++-+,-+---+,0.3182067335203535,0.3173779649564804,-,0.635,0.034782678,171,1
HOXC8,+--+,NA,NA,0.32681229681172647,0.317419575633128,-,0.635,0.08587561882406028,171,1
HEXDC,----,++-+++-+,NA,0.32378802300971804,0.31744395206809367,-,0.635,0.07282679966000506,171,1
SPDYE3,++-+,NA,NA,0.32686933211658015,0.3174766141911933,-,0.635,0.11930320117532889,171,1
C11orf91,+++-,NA,NA,0.3269450148300251,0.31751554212057265,-,0.635,0.20600285349208772,171,1
KIR3DL2,++++,NA,NA,0.3270590919461556,0.31751554212057265,-,0.635,0.08108200055558383,171,1
THOC7,+++-,-+--++++,+---++,0.31763569150387466,0.3193751905760427,+,0.635,0.082552154,171,1
CMAS,+++-,++++-+++,-++--+,0.3239046285649304,0.3176428105075021,-,0.635,0.033849625,171,1
OR1N2,--+-,NA,NA,0.32715450864084866,0.31764772986538903,-,0.635,0.2574223936897579,171,1
IFI6,+-+-,++++++++,---+--,0.3176885267962068,0.3241503982768764,+,0.635,0.023935527,171,1
CELA2A,+---,NA,NA,0.32715450864084866,0.31770476842345424,-,0.635,0.05450225523142581,171,1
DCP2,-+++,++-+--+-,+++-++,0.32014192193752866,0.31774210019755617,-,0.635,0.014381719,171,1
ALDH1A2,--++,++----+-,+--+++,0.3177920931049136,0.31967255495121494,+,0.636,0.055193727,171,1
DOPEY2,-+++,----++++,++-+--,0.31788220081509816,0.32349895775069337,+,0.636,0.073583052,171,1
ACTL10,---+,NA,NA,0.327667826384532,0.31793292265571527,-,0.636,0.32165536316434956,171,1
SEC14L4,+---,NA,NA,0.3278576317590691,0.31797182455940226,-,0.636,0.10942942883540535,171,1
TMPRSS6,+---,NA,NA,0.3279146703171344,0.31797182455940226,-,0.636,0.15703704092782528,171,1
OR8H2,-+++,NA,NA,0.32801003821365426,0.31798996121378054,-,0.636,0.16566506626732078,171,1
TLE3,-++-,----+-+-,NA,0.3240102229089401,0.318005312560651,-,0.636,0.110742509,171,1
RTP3,-+-+,NA,NA,0.32806707351850795,0.31804699977184575,-,0.636,0.12161335962583648,171,1
FBXW12,+--+,++--+---,++++++,0.32439746665386143,0.31805650444762373,-,0.636,0.016466479,171,1
PRDM5,--++,+++-++--,NA,0.31807572975193066,0.3185368101370032,+,0.636,0.016727401,171,1
C7orf76,NA,+-+++--+,NA,0.3189248092989466,0.31810257155310184,-,0.636,0.019820752,171,1
LMAN1L,+---,NA,+++-+-,0.33007907527624686,0.3181275142683577,-,0.636,0.1137050757075502,171,1
TTC34,+--+,+-+-++-+,NA,0.31877268349534327,0.31818433595623086,-,0.636,0.076999489,171,1
AZGP1,+-++,++++---+,NA,0.32390657622890817,0.3182115087585804,-,0.636,0.1466164373707648,171,1
MYL6,+-+-,+++-++++,-----+,0.3182171085869614,0.32151371146675245,+,0.636,0.022928527,171,1
AMY2A,-+--,++-+--+-,NA,0.3239145887129358,0.31828549132418754,-,0.637,0.12727184255389734,171,1
ATG13,++++,-++++--+,-++---,0.32246610122088876,0.3183323532224184,-,0.637,0.050149272,171,1
PBXIP1,+-+-,++++++--,++++++,0.3183801706004887,0.32466300232815004,+,0.637,0.011657584,171,1
SLC4A11,+-++,+-------,-----+,0.32670907598571314,0.3183822766512548,-,0.637,0.042912603612984344,171,1
IFT81,----,+++-++-+,NA,0.32266546019580994,0.31848763454748713,-,0.637,0.06649085967268624,171,1
XRCC4,---+,+++++--+,NA,0.3232411293031958,0.3185020717722184,-,0.637,0.09960200393679612,171,1
SUV420H2,----,+-+-++-+,NA,0.3248198969640815,0.3185139326361936,-,0.637,0.104462474,171,1
PEG3,-+++,+-++----,++----,0.32485717651530704,0.31851905805061564,-,0.637,0.1042644743256963,171,1
ZNF345,---+,+++++---,NA,0.31853086842043715,0.32110211149082807,+,0.637,0.057488134,171,1
RNF41,++++,++-+++++,+----+,0.32492662542696205,0.31856534179545254,-,0.637,0.029102366,171,1
MOSPD3,+-+-,+-+-++++,+-+++-,0.3258223665072024,0.31858180413292264,-,0.637,0.041291568,171,1
PSMB3,+-+-,-+++++++,++----,0.32451823694233517,0.31859484004740857,-,0.637,0.010153714,171,1
ACBD7,+-++,+-+-----,NA,0.3246272022039554,0.3186386974571369,-,0.637,0.106271242,171,1
CRB2,----,-++-++-+,NA,0.32316257142907096,0.31864273508939484,-,0.637,0.021736688154918672,171,1
NNMT,+++-,NA,NA,0.3286561715719827,0.3186562482176467,-,0.637,0.1678379352223435,171,1
OR4K13,+-+-,NA,NA,0.3286944618718987,0.31867442391056355,-,0.637,0.12695052355804493,171,1
GLCCI1,++++,--+---+-,--+---,0.319733248142011,0.31869916251498953,-,0.637,0.029216217,171,1
VPS37D,+-+-,-++++++-,-+++--,0.3284179270586703,0.3187513454400973,-,0.638,0.015739936,171,1
FAM221B,----,NA,NA,0.32897963839616723,0.3188455395847593,-,0.638,0.10319787452519313,172,1
TMEM247,+--+,NA,NA,0.3291124800365047,0.31888438943706154,-,0.638,0.2841570438869377,172,1
