gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
PPP2CB,--++-+,+++--+-+++--,-+-----+,0.024651735027246886,0.01902817843479994,-,0.0381,0.006609363,10.2,1
C2orf61,------,NA,NA,0.019049791821137283,0.024925849874515172,+,0.0381,0.08111957343074477,10.2,1
NDUFS6,++-++-,++++++++++-+,-+++---+,0.019093218048714916,0.026842035363959543,+,0.0382,0.002055551,10.3,1
SERPINE3,+++---,-+-+++-+---+,NA,0.023175322078253752,0.019113419159028304,-,0.0382,0.0713674107030609,10.3,1
SGK2,--+---,-+++++---+++,+-+-+-++,0.021314636404212425,0.019133990792186167,-,0.0383,0.023514949,10.3,1
DAAM2,----+-,--+-++---+++,--+-++-+,0.019154814502256194,0.020233367745443005,+,0.0383,2.27341e-4,10.3,1
CLASP2,--+--+,++++++-+--++,----++-+,0.02259161639899703,0.019156898670361105,-,0.0383,0.003665397,10.3,1
TBX2,+---+-,----+-++++++,NA,0.031435373375945284,0.01915873040577925,-,0.0383,0.018914857,10.3,1
ATP2B4,++++-+,---+--+----+,+++++-++,0.0205354814925287,0.01916519622097134,-,0.0383,0.006337266,10.3,1
CNOT6L,-+++-+,-+++--------,---+-+--,0.022922896819089482,0.019208798218140255,-,0.0384,0.001106929,10.3,1
PTPDC1,-++---,++++++----+-,--++++++,0.02044058622609122,0.01921631067071149,-,0.0384,0.009922472,10.3,1
SAMD7,-+-+++,NA,NA,0.01922199406798996,0.025380710659898477,+,0.0384,0.03869647930767961,10.3,1
APOL3,+--++-,++++++++++++,+-+--+--,0.02203083337188569,0.019242812883452542,-,0.0385,0.003018446,10.4,1
PIK3CA,--++-+,-+-+-+------,--+-++++,0.0192690005142033,0.020519052765391337,+,0.0385,0.002521271,10.4,1
ZBTB43,+-+-++,+---+-------,+++++-+-,0.023810930061451213,0.019270766028091232,-,0.0385,0.002044288,10.4,1
TIAF1,------,--+-+-+--+++,-+++-+--,0.021057938207805067,0.019313212082702143,-,0.0386,0.024684918,10.4,1
LGI4,+++++-,+--+++++++-+,+-++--+-,0.020587171407907744,0.019315901350393096,-,0.0386,0.005505243,10.4,1
NMRAL1,++-++-,++++-++++++-,---+++-+,0.019326883875988705,0.02577101235327714,+,0.0387,0.003247795,10.4,1
CDNF,+---+-,++++++-+-+++,NA,0.032213858944290824,0.019335776276724864,-,0.0387,0.0184774,10.4,1
COL9A3,----+-,+++++---++++,----++-+,0.02051207038883509,0.019339456508267374,-,0.0387,0.006599744,10.4,1
CDK6,------,-++++-----++,-++++-++,0.019367054758447636,0.019947050834614913,+,0.0387,0.003631929,10.4,1
