gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_p,minp,Corrected_p,Bonferroni_meta_p
IFI6,-+,++++,--,0.8513793366573217,0.16945040047522492,-,0.339,0.46992740475970174,0.05829544793843756,91.2,1
NODAL,-+,NA,NA,0.9091457869765647,0.16946825291012518,-,0.339,0.46988165210551497,0.2666790839109975,91.2,1
TRAPPC11,+-,-++-,--,0.16947415183273232,0.5033660093906844,+,0.339,0.46986653526264216,0.044573632959840355,91.2,1
FBXL2,+-,--++,--,0.517568283753442,0.16949428436388547,-,0.339,0.46981494670003177,0.053045412,91.2,1
TDGF1,-+,+--+,NA,0.8675237366511921,0.16949868875950916,-,0.339,0.46980366148253616,0.0816138534890666,91.2,1
LHX8,+-,NA,NA,0.16953196003512208,0.8490765374515603,+,0.339,0.4697184212158975,0.18026113403553343,91.2,1
ARHGAP35,+-,-+-+,++,0.16954081699407067,0.7898124637036988,+,0.339,0.4696957327038182,0.050673783,91.2,1
MCEMP1,-+,NA,NA,0.9237812560416663,0.1695617108323962,-,0.339,0.4696422145023456,0.35439587171687265,91.2,1
FAM160A2,+-,--+-,NA,0.16957616238904882,0.641256191436221,+,0.339,0.4696052016423349,0.09110932593702137,91.2,1
HDAC11,-+,++++,--,0.766429229494171,0.1695931561204007,-,0.339,0.46956168188181124,0.09784177,91.2,1
SLC52A1,-+,+++-,NA,0.9276850988582886,0.16965053109494022,-,0.339,0.46941478078376014,0.11354986847172166,91.3,1
TGDS,--,----,++,0.16968206135725153,0.727888705327155,+,0.339,0.4693340728336324,0.016643165,91.3,1
UBE2Z,+-,+++-,++,0.16968420354679978,0.765389749400097,+,0.339,0.4693285900193623,0.10691325165728394,91.3,1
FAM193A,++,+-++,++,0.16979393882294996,0.32930128040899265,+,0.34,0.46904782127101596,0.0064383900000000004,91.3,1
OR6Q1,+-,NA,NA,0.1698476276313141,0.922369779472783,+,0.34,0.46891051915190174,0.3387699791594735,91.4,1
PRM2,++,NA,NA,0.3969643062557746,0.16996646277697985,-,0.34,0.46860676806223595,0.09360338026806934,91.4,1
NEK8,-+,-+++,+-,0.9105148911892056,0.17001768202981998,-,0.34,0.4684759134951408,0.0334283349032049,91.5,1
SNX21,-+,+-++,++,0.7278970827781479,0.17009463469419803,-,0.34,0.4682793894856646,0.09136156474884455,91.5,1
PKN1,++,--++,++,0.22252873166110257,0.1700981898889529,-,0.34,0.46827031227208094,0.019949251,91.5,1
PRDM8,-+,+-+-,--,0.7924089703881402,0.17012209307443413,-,0.34,0.46820928697705105,0.106922819,91.5,1
HOXA10,-+,NA,NA,0.9238039312375645,0.17016424358543009,-,0.34,0.46810169679515745,0.36140679598347475,91.5,1
FRK,-+,+++-,NA,0.17022185276422777,0.3196933833380316,+,0.34,0.46795469109212784,0.048985623,91.6,1
PROC,-+,--++,-+,0.17028782481123506,0.4170791934923794,+,0.341,0.46778640632244006,0.007068352,91.6,1
PROC,-+,--++,+-,0.17028782481123506,0.4170791934923794,+,0.341,0.46778640632244006,0.007068352,91.6,1
NUDT6,-+,++++,-+,0.8722851108201889,0.17036768667604305,-,0.341,0.4675827779256201,0.259329691,91.7,1
ALPK3,++,+-++,NA,0.6127435108180906,0.17041534258170082,-,0.341,0.4674613123876368,0.035311558,91.7,1
SPINK9,-+,+---,NA,0.17041739715678708,0.2979524470305827,+,0.341,0.46745607644332393,0.081341715,91.7,1
FOXD1,++,NA,NA,0.7755349885671117,0.17045909939752588,-,0.341,0.46734981477196036,0.1452951346329788,91.7,1
OR1J1,-+,NA,NA,0.9134306271573861,0.1704908091722228,-,0.341,0.4672690323469364,0.2856904755679396,91.7,1
ANGPTL2,-+,++++,+-,0.17050374016999187,0.7089231944640138,+,0.341,0.4672360942193908,0.010512301,91.7,1
NFU1,-+,+++-,--,0.513820096054977,0.17053861287163635,-,0.341,0.46714727814237883,0.032080243,91.7,1
H1FX,++,+--+,++,0.20799262354987097,0.1706355762574708,-,0.341,0.46690042087186934,0.017637172,91.8,1
PHF20,++,+-++,++,0.1706710431789139,0.3303771916881812,+,0.341,0.46681016133718045,0.011288951,91.8,1
XPO5,+-,+-++,-+,0.17067379355178178,0.43333912740479774,+,0.341,0.46680316271507644,0.0326656396979093,91.8,1
TUBA1C,+-,--++,--,0.7638502417642562,0.17069002818308399,-,0.341,0.4667618542321812,0.152595422,91.8,1
ACSL3,+-,++--,-+,0.17072736574594802,0.4747498696514889,+,0.341,0.46666686494415693,0.080920225,91.9,1
KRTAP10-12,-+,NA,NA,0.8724563148065929,0.170737426114812,-,0.341,0.4666412742373611,0.20340383050171645,91.9,1
CLASRP,-+,+-++,+-,0.44744237699508715,0.1707793594697711,-,0.342,0.46653462399042356,0.071418914,91.9,1
HSPA8,--,-+--,-+,0.21549718088034878,0.17080390714612165,-,0.342,0.4664722033659793,0.031392978,91.9,1
RNF40,+-,+-++,++,0.1708056318955637,0.7973563388999517,+,0.342,0.46646781795468517,0.037637921,91.9,1
GHR,-+,---+,++,0.8904465157424304,0.17081136009793085,-,0.342,0.4664532535346603,0.09581523628533901,91.9,1
TAPBPL,-+,++++,--,0.6325656592423331,0.17085234888616818,-,0.342,0.46634905045912906,0.138012547,91.9,1
COTL1,++,-+-+,++,0.17085239336591226,0.6561568445028069,+,0.342,0.4663489373948076,0.058005524,91.9,1
TBCEL,+-,--++,--,0.17085824427989643,0.7941963896171182,+,0.342,0.46633406504740177,0.0427397,91.9,1
HSDL1,+-,-+--,-+,0.17088680083670302,0.6968765093698008,+,0.342,0.46626148488713703,0.06822700362022056,91.9,1
CECR2,--,++++,NA,0.5129435761249471,0.17088725816893166,-,0.342,0.46626032261716327,0.07181231296658729,91.9,1
IKZF3,-+,NA,NA,0.9123878026573915,0.17089174035980453,-,0.342,0.4662489316845933,0.2829660980137566,91.9,1
C19orf33,--,NA,NA,0.2819787805562614,0.17093202047095077,-,0.342,0.4661465781791511,0.08878612197358456,92,1
TUBB4A,+-,+-+-,--,0.17094551237323874,0.854075942260986,+,0.342,0.4661123000640124,0.082454271,92,1
C1QTNF1,++,+-++,NA,0.6800157050417335,0.1709509564684383,-,0.342,0.4660984693244769,0.03664787628813812,92,1
CREM,--,--+-,--,0.8016852088747034,0.1709662228589579,-,0.342,0.4660596873645959,0.018301128,92,1
HS3ST6,++,+-++,--,0.17341537244033642,0.17101289497106248,-,0.342,0.46594114538460457,0.012346067,92,1
TSKS,-+,NA,NA,0.9228007494271795,0.17101379888866275,-,0.342,0.4659388498536829,0.3540243979823484,92,1
