gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_Correction
MPHOSPH6,++--,+---+++-,++----,0.18014715555949948,0.7584707541853398,+,0.36029431111899896,0.063054893,96.91916969101072,1
ZDHHC22,+-++,+-+---++,+++--+,0.18015619506964173,0.49591558221915316,+,0.36031239013928346,0.03901882,96.92403294746725,1
GRM6,----,NA,NA,0.8881924891016775,0.1802086951832228,-,0.3604173903664456,0.1399423466372838,96.95227800857387,1
CKMT2,----,++--++++,-+--++,0.6745576605300935,0.18024714324682659,-,0.36049428649365317,0.00921264,96.9729630667927,1
ZNF880,++++,++++++++,NA,0.18025368248468468,0.5183987507139903,+,0.36050736496936936,0.022158621,96.97648117676036,1
OR6K2,++--,NA,NA,0.180277751175684,0.9567025210545018,+,0.360555502351368,0.13963189983242025,96.989430132518,1
KCNK7,----,NA,NA,0.9072477989690926,0.18028676594723853,-,0.36057353189447705,0.07453364681599245,96.99428007961433,1
PTPRQ,-+--,+++-++--,-+---+,0.18031439481473696,0.5689724416918527,+,0.3606287896294739,0.023498952,97.00914441032849,1
CTCFL,---+,NA,NA,0.8727696922882731,0.18032672947771425,-,0.3606534589554285,0.12348718052310002,97.01578045901026,1
TAS2R3,-+-+,+----+--,NA,0.18036169920872672,0.8319524924699047,+,0.36072339841745343,0.122735112,97.03459417429498,1
HOXD9,+---,NA,NA,0.7183581033153097,0.18040837536564192,-,0.36081675073128383,0.09703766597056142,97.05970594671535,1
TRAPPC2L,+---,++++++++,+++---,0.18043201145695076,0.6646097135781314,+,0.3608640229139015,0.017692157,97.0724221638395,1
PRDX1,--+-,++++---+,----+-,0.4021718827019765,0.1805164896573293,-,0.3610329793146586,0.04734176,97.11787143564317,1
KRT6C,++--,NA,NA,0.18052807556437364,0.9117255165785308,+,0.3610561511287473,0.04234710464910405,97.12410465363303,1
ATP5SL,+++-,++++++++,++-+--,0.1805982494444084,0.517844840372699,+,0.3611964988888168,0.0624959,97.16185820109172,1
