gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_Correction
GALNT15,-+--,-+++++-+,++-+-+,0.9941076514559538,4.055154487535533e-12,-,8.110308975071066e-12,0.004911423,2.1816731142941166e-9,1.4283065135997656e-7
GALNT15,-+--,-+++++-+,++-+++,0.9941076514559538,4.055154487535533e-12,-,8.110308975071066e-12,0.004911423,2.1816731142941166e-9,1.4283065135997656e-7
GALNT15,-+--,-+++++-+,--++++,0.9941076514559538,4.055154487535533e-12,-,8.110308975071066e-12,0.004911423,2.1816731142941166e-9,1.4283065135997656e-7
RPS26,--++,--+-++++,------,0.9944788493597108,4.902347629118485e-10,-,9.80469525823697e-10,0.0022078621270659442,2.637463024465745e-7,1.726704881928113e-5
PILRB,---+,----++++,+-+-++,0.9480569907404223,2.908980039078571e-8,-,5.817960078157142e-8,0.002967031,1.5650312610242713e-5,0.0010246009493642544
CA4,--+-,----++++,-----+,0.9029662266169128,6.464389101609285e-8,-,1.292877820321857e-7,0.005919834512648399,3.477841336665795e-5,0.0022768871293688225
TMED5,-+++,++++----,-+----,7.866986412622383e-8,0.8601258227992366,+,1.5733972825244766e-7,8.06631e-4,4.232438689990842e-5,0.002770909954253856
KLK1,-++-,++++---+,---+++,9.278943932519112e-8,7.529977029225211e-5,+,1.8557887865038224e-7,0.009705337,4.9920718356952824e-5,0.0032682296319118814
KLK1,-++-,++++---+,+++---,9.278943932519112e-8,7.529977029225211e-5,+,1.8557887865038224e-7,0.009705337,4.9920718356952824e-5,0.0032682296319118814
KLK1,-++-,+--+++++,---+++,9.278943932519112e-8,7.529977029225211e-5,+,1.8557887865038224e-7,0.009705337,4.9920718356952824e-5,0.0032682296319118814
KLK1,-++-,+--+++++,+++---,9.278943932519112e-8,7.529977029225211e-5,+,1.8557887865038224e-7,0.009705337,4.9920718356952824e-5,0.0032682296319118814
SEL1L,-+++,++++----,+-----,9.580259238000394e-8,0.5813654075194687,+,1.916051847600079e-7,6.01311e-4,5.1541794700442124e-5,0.003374358908808499
RPS28,--+-,+++-++++,++----,0.3057572854006247,1.5074226995001798e-7,-,3.0148453990003595e-7,4.3403e-4,8.109934123310967e-5,0.005309444232179533
FAM101B,-+++,------++,+++-+-,0.24282805987970577,1.6622511789370284e-7,-,3.324502357874057e-7,1.3169669318966625e-4,8.942911342681213e-5,0.005854781102452002
IP6K3,-+--,++++----,NA,2.7797528427407884e-7,0.7718086283713379,+,5.559505685481577e-7,0.004055764,1.4955070293945442e-4,0.009790845462701606
PHLDB2,--++,----++++,NA,0.9999975038634991,3.089421754438799e-7,-,6.178843508877598e-7,0.001950897,1.6621089038880738e-4,0.010881561303484338
RPL13,--+-,-++-++++,--++++,0.9984786177003867,3.5420890576047713e-7,-,7.084178115209543e-7,0.001804768,1.905643912991367e-4,0.012475946078695526
SLCO1A2,----,++++---+,---+++,0.240732450990846,5.529154190176846e-7,-,1.1058308380353693e-6,3.41573e-4,2.9746849543151434e-4,0.019474786888640887
PM20D2,++-+,+++-+---,++++++,6.225624375039957e-7,0.5159191186995639,+,1.2451248750079914e-6,3.32678e-4,3.349385913771497e-4,0.021927894173765738
VSTM2L,+-+-,---+-+++,+++---,6.486679650262488e-7,0.5023140449930639,+,1.2973359300524976e-6,1.43539e-4,3.4898336518412185e-4,0.022847383064154535
RPH3AL,--++,----++++,NA,0.9999838839090565,7.689543353008139e-7,-,1.5379086706016278e-6,6.508400741202351e-4,4.1369743239183786e-4,0.027084109597965266
MANEA,-+-+,++++----,---+-+,8.796952762187447e-7,0.055231620402687455,+,1.7593905524374894e-6,7.71466e-4,4.7327605860568466e-4,0.030984627018976627
LBH,--+-,----++++,------,0.4173796993572873,9.732096394148757e-7,-,1.9464192788297513e-6,0.0010815023559854458,5.235867860052031e-4,0.03427838991947075
SOCS4,+++-,-++-----,++++--,9.932674329189686e-7,0.296272439292371,+,1.986534865837937e-6,5.17462e-4,5.343778789104051e-4,0.03498486552227191
SOCS4,+++-,-++-----,---+--,9.932674329189686e-7,0.296272439292371,+,1.986534865837937e-6,5.17462e-4,5.343778789104051e-4,0.03498486552227191
SPRED2,+-+-,------+-,++--+-,0.1587455459692681,1.0052027154471105e-6,-,2.010405430894221e-6,6.85e-5,5.407990609105455e-4,0.03540525004347812
ANKRD37,++++,-+-+----,++---+,1.0552746037252683e-6,0.34365468375720015,+,2.1105492074505367e-6,6.06648e-4,5.677377368041944e-4,0.0371688820924114
ASB4,++-+,++++----,NA,1.0910507891246379e-06,0.9751485601660311,+,2.1821015782492757e-6,0.001065553,5.869853245490552e-4,0.038428990894547994
SLC9A3R2,+-+-,+-++++++,---+-+,0.9995785299772976,1.1498359718963636e-6,-,2.2996719437927273e-6,7.81086e-4,6.186117528802436e-4,0.04049952260213372
SESN1,++++,+++++---,+++---,1.235174304295001e-6,0.954596837928969,+,2.470348608590002e-6,0.005077528,6.645237757107106e-4,0.043505309345878526
C1orf43,-+++,+++-++++,----++,0.5048448025763402,1.6600284734099604e-6,-,3.3200569468199208e-6,0.001660319,8.930953186945587e-4,0.05846952289044562
P4HA1,-+--,++++----,+----+,2.1622667861690915e-6,0.08386710454968042,+,4.324533572338183e-6,7.94288e-4,0.0011632995309589713,0.07615936074244774
CFH,-++-,-+++++++,-+-+-+,0.9973657804256261,2.2541201296333937e-6,-,4.508240259266787e-6,0.002341199,0.0012127166297427657,0.0793946192059474
CFH,-++-,-+++++++,-+--++,0.9973657804256261,2.2541201296333937e-6,-,4.508240259266787e-6,0.002341199,0.0012127166297427657,0.0793946192059474
CPSF2,++--,++++----,--++++,2.4477950091295495e-6,0.3662702233977412,+,4.895590018259099e-6,0.016079405,0.0013169137149116976,0.086216235811561
DUSP5,+---,--------,+--++-,0.28878424871791886,2.4696409678360195e-6,-,4.939281935672039e-6,2.21995e-4,0.0013286668406957784,0.08698569416912028
EEF2,+-+-,-+--++++,+++-+-,0.41100837724256245,2.503012968743236e-6,-,5.006025937486472e-6,8.97529e-5,0.001346620977183861,0.08816112278507425
UBE2M,+-+-,-+--++++,+---++,0.9645916214134898,2.5560814637417736e-6,-,5.112162927483547e-6,4.9052e-5,0.0013751718274930742,0.09003030131591275
FAM98C,----,----++++,+-----,0.9028563919921966,2.566979473703009e-6,-,5.133958947406018e-6,0.00700334,0.001381034956852219,0.09041415102276738
TIE1,--++,++++++++,NA,0.9913506584221331,2.5921666497756852e-6,-,5.1843332995513704e-6,0.002398653419051088,0.0013945856575793187,0.09130129373839918
PRKD2,--++,----++++,---+++,0.9999999973377005,2.616010664123217e-6,-,5.232021328246434e-6,0.017864344080784647,0.001407413737298291,0.09214112761174796
CCDC124,+-+-,+---++++,++-++-,0.8412664478120409,2.7497880990513413e-6,-,5.4995761981026825e-6,9.17799e-7,0.0014793859972896215,0.09685303642478635
MPND,+-+-,----++++,-+----,0.7183874853723748,2.796266862534923e-6,-,5.592533725069846e-6,4.67658e-4,0.0015043915720437885,0.09849011143220505
STAT6,+-+-,-----+++,+-----,0.09924134698869286,2.97900109103892e-6,-,5.95800218207784e-6,4.06613e-5,0.0016027025869789389,0.10492637642857283
PPAT,++-+,++++--+-,++++--,3.1465560821831334e-6,0.9999496255884204,+,6.293112164366267e-6,4.28602e-4,0.0016928471722145258,0.11082799832665433
EPHB3,+-+-,-----+++,+++-+-,0.2600436435244696,3.2739474429207e-6,-,6.5478948858414e-6,0.0014442643637351503,0.0017613837242913366,0.11531497683455288
SAMD14,+-+-,----++++,+-+-++,0.8355732874841713,3.995230668847368e-6,-,7.990461337694735e-6,7.85112e-4,0.0021494340998398837,0.140720014618142
ENHO,+-++,-+--++++,NA,0.9999297774841002,4.128299388122854e-6,-,8.256598776245709e-6,8.0034e-4,0.002221025070810096,0.14540696104846318
HSPA12B,--++,++++++++,---+++,0.9959475814091843,4.3721623198883805e-6,-,8.744324639776761e-6,0.0032038410689174644,0.0023522233280999488,0.15399630123110855
ARRB2,+-++,----++++,----++,0.9989527989441563,5.240285458529587e-6,-,1.0480570917059174e-5,0.001218337,0.0028192735766889177,0.1845733344203291
SHANK2,++++,----+++-,+++---,5.31197057073023e-6,0.1869476700732264,+,1.062394114146046e-5,5.34925e-4,0.002857840167052864,0.18709822744226018
UBE4A,-+++,-+++-+--,+-++--,5.592658192284582e-6,0.9957505763408921,+,1.1185316384569163e-5,6.42624e-4,0.003008850107449105,0.19698460684864755
RPS21,--+-,+++-++++,------,0.7561038555827019,5.641039428990547e-6,-,1.1282078857981093e-5,7.553565144445032e-4,0.003034879212796914,0.19868869076790505
B4GALNT4,+---,----++++,++++-+,0.5476096283229887,5.649559212747766e-6,-,1.1299118425495531e-5,1.57781e-4,0.003039462856458298,0.1989887745914018
RAMP2,--+-,-++-++++,---++-,0.977814482490988,6.109038893479445e-6,-,1.221807778695889e-5,0.001559395,0.0032866629246919416,0.215172567906133
ELMOD2,++++,++++----,NA,6.138230589249391e-6,0.9698643949493745,+,1.2276461178498782e-5,0.006006846,0.003302368057016172,0.21620075781454204
CITED2,--+-,-----+++,+---+-,0.9657931916652627,6.805758768350495e-6,-,1.361151753670099e-5,0.004709407,0.0036614982173725666,0.23971243533884115
MPZ,---+,+-+-+---,-+----,0.90909034619692,6.850102223515435e-6,-,1.370020444703087e-5,0.019370225,0.0036853549962513037,0.24127430051666066
MPZ,---+,+-+-+---,---+++,0.90909034619692,6.850102223515435e-6,-,1.370020444703087e-5,0.019370225,0.0036853549962513037,0.24127430051666066
NPAS4,+---,--------,++-+--,0.09397673098964976,6.971273902648708e-6,-,1.3942547805297416e-5,6.063085790285896e-4,0.0037505453596250048,0.2455422093990928
XPOT,++++,++++-+--,---+++,7.139615379221354e-6,0.4680267614360513,+,1.4279230758442707e-5,3.48571e-4,0.0038411130740210885,0.2514715328869345
ECT2,++-+,++++----,++-++-,7.40279212094473e-6,0.9909499315090147,+,1.480558424188946e-5,1.74409e-4,0.003982702161068265,0.26074114408391524
SAMD8,-+++,-+-+----,NA,7.552271713062962e-6,0.9932424197120147,+,1.5104543426125925e-5,5.94461e-4,0.004063122181627874,0.26600611427750365
NDUFA2,+-+-,++++++++,+----+,0.6379069512364609,7.83411897791161e-6,-,1.566823795582322e-5,6.12726e-5,0.004214756010116447,0.27593333864000275
CCNT1,-+-+,++++----,--++++,8.01883583867159e-6,0.877605912665246,+,1.603767167734318e-5,3.6569e-4,0.004314133681205315,0.28243943590969073
NRG4,++++,----++++,NA,0.9712997361112835,8.050786263859843e-6,-,1.6101572527719685e-5,0.019833814696229038,0.004331323009956595,0.2835647937856714
RPL36,--+-,+++-++++,-+----,0.6139546718465939,8.250307913809866e-6,-,1.650061582761973e-5,2.28312e-4,0.004438665657629708,0.2905923453402111
MAF,--++,--+-++++,-----+,0.7424269617504671,8.314036662469681e-6,-,1.6628073324939362e-5,0.001806367,0.004472951724408689,0.2928369993255071
FMNL1,+-+-,----++++,+---+-,0.6728065041572365,8.695279407452418e-6,-,1.7390558814904836e-5,0.001258154,0.004678060321209401,0.30626513128928906
CHCHD10,+-+-,+---++++,NA,0.43902421089999605,8.769397843613034e-6,-,1.753879568722607e-5,7.98659e-4,0.004717936039863813,0.3088757308477383
EIF1,-++-,-++-++++,----++,0.9411485464143015,8.820244029944542e-6,-,1.7640488059889084e-5,8.09082e-4,0.004745291288110164,0.31066663522270666
SLC5A4,--++,----++++,NA,0.9999946236197417,9.05010564067518e-6,-,1.810021128135036e-5,0.007531233950523735,0.004868956834683247,0.31876282087586116
UNC5B,----,--++----,---+++,0.36230752461822446,9.050493269468904e-6,-,1.8100986538937808e-5,0.0010902470541897958,0.00486916537897427,0.31877647393723374
STK17A,-+++,+++-----,NA,9.19623441605236e-6,0.9780291046115194,+,1.839246883210472e-5,0.002774788,0.004947574115836169,0.3239097686021962
MARCH2,+-++,-++-++++,NA,0.8070651858317561,9.3970141333875e-6,-,1.8794028266775e-5,1.74212e-4,0.005055593603762475,0.3309816318061745
HSD17B6,-+--,++++----,+---++,9.541259669804917e-6,0.41842463244608336,+,1.9082519339609835e-5,1.4783e-4,0.005133197702355046,0.3360622480898688
RCSD1,--+-,-++-++++,---++-,0.9999412116258612,9.877362285241083e-6,-,1.9754724570482167e-5,0.006018525343068232,0.005314020909459703,0.34790045441076145
IGIP,++++,++++----,NA,1.0178028476511698e-5,0.9490552458403109,+,2.0356056953023396e-5,0.001897794,0.005475779320363293,0.35849051899969503
FA2H,----,++++---+,---+++,0.09766716418425068,1.1010952634939001e-5,-,2.2021905269878003e-5,1.9055863334777843e-4,0.005923892517597183,0.3878277737078215
AGBL5,+-+-,+++-++++,++----,0.055791070822243535,1.123579552007441e-5,-,2.247159104014882e-5,1.31829e-4,0.006044857989800033,0.39574718980806084
C1orf115,+-++,++-+++++,+++--+,1.1698920223378725e-5,0.6175378157962622,+,2.339784044675745e-5,1.26498e-4,0.006294019080177754,0.41205936810784544
LAMTOR4,--+-,+++-++++,NA,0.7976371318439244,1.1961666717045028e-5,-,2.3923333434090056e-5,7.60347e-4,0.006435376693770225,0.42131382510776
RPL10A,--+-,+++-++++,------,0.7908295638139347,1.1968855043181489e-5,-,2.3937710086362978e-5,2.61478e-4,0.006439244013231641,0.4215670123309384
AP1G1,-+++,++++----,+-----,1.2062413889945468e-5,0.7631397720605606,+,2.4124827779890936e-5,0.001502811,0.006489578672790662,0.4248623420316593
C18orf54,-+--,++++----,NA,1.2745413047335668e-5,0.9999549312122545,+,2.5490826094671335e-5,0.0012623854899758377,0.006857032219466589,0.4489189383532569
ALS2CL,--+-,+++-++++,NA,0.9991418739649647,1.3770229162992004e-5,-,2.7540458325984008e-5,7.092032401843758e-4,0.007408383289689698,0.48501501157890436
SLC2A13,-+++,++-+--+-,+++---,1.391688937088482e-5,0.9887984770514233,+,2.783377874176964e-5,0.004617041,0.007487286481536033,0.4901806774213051
ZNF514,--++,+++-++++,---+++,0.7833712064795281,1.397768842325668e-5,-,2.795537684651336e-5,7.00094e-4,0.007519996371712094,0.49232214164394683
BRSK1,+-++,----++++,+-++++,0.9984426859367632,1.4250291486464252e-5,-,2.8500582972928505e-5,0.005403006,0.007666656819717768,0.501923766736244
MLLT6,--+-,+---++++,------,0.9967309349732455,1.4306754334306189e-5,-,2.8613508668612377e-5,0.001018653,0.007697033831856729,0.5039125011629326
LZTS2,----,++++----,---+++,0.022097506996956635,1.4442827102918486e-5,-,2.8885654205836973e-5,0.004275579558707603,0.007770240981370146,0.508705256218995
PLEKHM2,+-+-,-+--++++,+-----,0.3216320586263781,1.4847899916083855e-5,-,2.969579983216771e-5,0.003242619,0.007988170154853114,0.5229727308443055
MRPL21,--+-,-++-++++,+-----,0.13204623695518725,1.5087507053330468e-5,-,3.0175014106660936e-5,6.72138e-4,0.008117078794691791,0.5314121734324058
INHBA,--+-,----+++-,NA,0.9853414312215866,1.5930513023252933e-5,-,3.1861026046505866e-5,1.88165e-4,0.008570616006510079,0.5611045297050148
GRIK1,---+,----++++,---+++,0.9999982994997026,1.6895925590130352e-5,-,3.3791851180260704e-5,0.005527175,0.009090007967490129,0.5951082911355713
NECAB3,+-+-,-+--++++,------,0.9865328571912417,1.7586204046568115e-5,-,3.517240809313623e-5,0.001434312,0.009461377777053645,0.6194212789282222
RGS10,---+,+++-++++,---+++,0.9831789736728035,1.8283112099370853e-5,-,3.656622419874171e-5,4.305647467464804e-4,0.00983631430946152,0.6439677743640402
INTS2,-+-+,++++----,--++-+,1.8773399357261654e-5,0.964184980504468,+,3.754679871452331e-5,0.01964451,0.01010008885420677,0.66123667216147
RPL32,--+-,+---++++,++----,0.7718832030485941,1.9123623280670832e-5,-,3.8247246561341664e-5,8.79551e-4,0.010288509325000908,0.6735722591917881
NR4A3,----,--------,NA,0.07551851429558022,1.945599223841593e-5,-,3.891198447683186e-5,0.001118376,0.01046732382426777,0.6852789586214858
SELE,++--,NA,NA,1.9462771011783665e-5,0.9999835644935378,+,3.892554202356733e-5,0.003438083148316652,0.010470970804339612,0.6855177205770443
KMT2B,+---,NA,-++++-,1.9549551237612003e-5,0.9982858368908054,+,3.9099102475224005e-5,0.017954026,0.010517658565835258,0.68857429369117
KMT2B,+---,NA,+++---,1.9549551237612003e-5,0.9982858368908054,+,3.9099102475224005e-5,0.017954026,0.010517658565835258,0.68857429369117
RPL26,--++,+-++++++,NA,0.9798537853343487,2.0095088442257976e-5,-,4.019017688451595e-5,0.001198507,0.01081115758193479,0.7077892051132104
BSPRY,+++-,++++----,NA,2.0558614299890553e-5,0.9967177891686644,+,4.1117228599781106e-5,0.005409271,0.011060534493341118,0.724115512870745
LRRIQ3,+---,++++----,NA,2.2134411922709493e-5,0.9999860226747238,+,4.4268823845418985e-5,0.006741096,0.011908313614417706,0.7796182567416737
EPB41L4B,++++,----+++-,+++---,2.2158535870396305e-5,0.040927475558412814,+,4.431707174079261e-5,0.003397753,0.011921292298273212,0.7804679504270987
ARC,----,-----+--,+++---,0.04683487000783078,2.2351655110669098e-5,-,4.4703310221338196e-5,7.60893e-4,0.012025190449539975,0.787269996307987
SEMA3G,--+-,++++++++,+--++-,0.9849488747917194,2.255661563452447e-5,-,4.511323126904894e-5,6.126447033197101e-4,0.012135459211374166,0.7944891158792209
MEGF9,++--,-+++----,+--+-+,2.256401884585866e-5,0.30456773131830045,+,4.512803769171732e-5,0.007617522141769065,0.012139442139071959,0.7947498717888337
IPMK,++++,-+++----,NA,2.267727658437576e-5,0.9813742133605448,+,4.535455316875152e-5,0.003786006,0.01220037480239416,0.798739035854883
PTGDR2,--++,----++++,NA,0.9999997887061179,2.295442026187848e-5,-,4.590884052375696e-5,0.012136759,0.012349478100890623,0.8085005904638838
APH1B,-+++,++++----,++++++,2.3002652724526943e-5,0.6852196615962171,+,4.6005305449053885e-5,0.011822047,0.012375427165795495,0.810199434263288
THAP2,-+-+,++++----,NA,2.3088186650858635e-5,0.7603208712909529,+,4.617637330171727e-5,0.001534369,0.012421444418161946,0.8132121102165428
GALK2,++--,+++++---,+--+-+,2.3639182857596515e-5,0.6460185617362176,+,4.727836571519303e-5,0.001603277,0.012717880377386925,0.8326192986102644
NR4A1,----,--------,-+----,0.20119213697957083,2.428184085474559e-5,-,4.856368170949118e-5,0.003887937416103675,0.013063630379853128,0.8552549985858492
SLC26A10,+--+,----++++,NA,0.9996524382734281,2.4591687016605832e-5,-,4.9183374033211663e-5,0.011370361731451605,0.013230327614933937,0.8661684000988906
RPL8,--+-,++++++++,++--++,0.8733110922083871,2.517203553251686e-5,-,5.034407106503372e-5,2.1357e-5,0.01354255511649407,0.8866094355263088
CAMK2N1,+-++,----++++,++---+,0.6289497666464476,2.543296339450053e-5,-,5.086592678900106e-5,0.009156328,0.013682934306241285,0.8957998366810976
CD8B,--++,--+++--+,NA,0.9834120544234826,2.5858144437811364e-5,-,5.171628887562273e-5,0.0016936671947150154,0.013911681707542513,0.9107755633885919
SERPINA5,++--,NA,NA,2.616522542580077e-5,0.9999856937127125,+,5.233045085160154e-5,0.0037290565012853324,0.014076891279080813,0.9215915699475546
NCS1,+-++,+---++++,+---+-,0.4201819239640514,2.619252028671019e-5,-,5.238504057342038e-5,5.09994e-4,0.014091575914250082,0.9225529495385063
IFI27,--+-,++++++++,---++-,0.9530012429757102,2.6702908535330447e-5,-,5.3405817070660894e-5,0.0015733365889031613,0.014366164792007781,0.940529844431409
TMED7,-+--,++++----,----++,2.6833033936703527e-5,0.06712724289658814,+,5.3666067873407054e-5,3.26372e-4,0.014436172257946498,0.9451131213185716
RNASE1,----,++++-+-+,---+-+,0.08654459325164691,2.806414366883087e-5,-,5.612828733766174e-5,0.0026220746677592843,0.01509850929383101,0.9884752683035609
AES,+-+-,+--+++++,--++-+,0.980759337872817,2.8105507055259138e-5,-,5.6211014110518277e-5,2.76229e-4,0.015120762795729416,0.9899321695003374
MOG,----,++++---+,---+++,0.02697414613266789,2.818015579248203e-5,-,5.636031158496406e-5,0.0037824636542395473,0.015160923816355332,0.992561447322802
EFS,----,++++---+,---+++,0.47943411680985015,2.846654028733592e-5,-,5.693308057467184e-5,0.002433855713712995,0.015314998674586725,1
USHBP1,--++,+-+-++++,NA,0.9938137963670972,2.9120333182302646e-5,-,5.824066636460529e-5,5.07620858896974e-4,0.015666739252078822,1
ELOF1,+-+-,++--++++,--++--,0.07610341430248173,2.9379538493953456e-5,-,5.875907698790691e-5,9.19193e-5,0.01580619170974696,1
TMEM41B,-+-+,-+++----,----++,2.955397588353042e-5,0.03683590064968996,+,5.910795176706084e-5,0.001655023,0.015900039025339367,1
DEAF1,+-++,++--++++,-+---+,0.4130610016550917,2.9772040847791816e-5,-,5.954408169558363e-5,0.001223482,0.016017357976111996,1
RPL31,--+-,++--++++,+--+-+,0.9964478827753991,2.991164364423282e-5,-,5.982328728846564e-5,0.005337559716722759,0.016092464280597258,1
RIF1,-+--,++++----,-+-+-+,3.0231178379095348e-5,0.053504523782998324,+,6.0462356758190696e-5,0.003727931,0.016264373967953296,1
SLURP1,+++-,-+-+----,NA,3.071788863333214e-5,0.9958665898844757,+,6.143577726666428e-5,0.0012349109060917098,0.016526224084732692,1
XRRA1,----,----++++,NA,0.8717995570787264,3.0909990000173506e-5,-,6.181998000034701e-5,0.005265531,0.016629574620093346,1
FOLH1,----,++++---+,---+++,0.015912611063260446,3.1241118251794764e-5,-,6.248223650358953e-5,0.002427807386375163,0.016807721619465584,1
BOK,----,++++---+,--++++,0.08903448329990903,3.266514938916409e-5,-,6.533029877832818e-5,2.753101830955955e-4,0.01757385037137028,1
HINT1,--+-,+++-++++,+---++,0.9954195599615471,3.3133088880132166e-5,-,6.626617776026433e-5,4.20037e-4,0.017825601817511104,1
SPTLC1,++++,++++----,----++,3.348793192099371e-5,0.02688673693378381,+,6.697586384198742e-5,0.001247492,0.018016507373494615,1
VEGFA,-+--,+-+-----,-----+,3.415084114236746e-5,0.21888338453016504,+,6.830168228473492e-5,0.001792509,0.018373152534593692,1
C7orf50,+-+-,-+++++++,+++-+-,0.03518599436855991,3.4416381943111494e-5,-,6.883276388622299e-5,1.35065e-4,0.018516013485393983,1
CPSF1,--+-,----++++,--+--+,0.931852282542837,3.589851981033327e-5,-,7.179703962066653e-5,0.006458765,0.019313403657959298,1
ERCC1,+-+-,-++-++++,---+--,0.8691079580972227,3.6341868691249776e-5,-,7.268373738249955e-5,2.64684e-4,0.01955192535589238,1
FOXF2,--++,++--++++,++-++-,0.8559996434810148,3.6496533349187234e-5,-,7.299306669837447e-5,1.97753e-4,0.019635134941862732,1
INS-IGF2,--+-,NA,NA,0.9885861107782064,3.6784830377187074e-5,-,7.356966075437415e-5,2.458261293222708e-4,0.019790238742926645,1
NEDD9,++--,--------,+++-+-,0.045421361070323664,3.726753783268889e-5,-,7.453507566537778e-5,1.23189e-4,0.020049935353986623,1
OMG,-++-,++++-+--,---+++,3.744068774616893e-5,0.07022450756335481,+,7.488137549233786e-5,0.002655239,0.020143090007438882,1
CLEC3B,--+-,++++++++,---+--,0.9628039020741574,3.793587559599163e-5,-,7.587175119198326e-5,3.673648174405286e-4,0.020409501070643495,1
NEURL4,+-+-,+---++++,NA,0.861586348565264,3.799473231442904e-5,-,7.598946462885809e-5,0.003755728,0.020441165985162824,1
INSL6,-+-+,++++----,-+-+-+,3.880055127305042e-5,0.06733250343618251,+,7.760110254610083e-5,0.003727931,0.020874696584901126,1
FAM69A,-++-,++++----,+--+-+,3.95241572920916e-5,0.6884496925200088,+,7.90483145841832e-5,0.002925319,0.021263996623145282,1
CHPT1,++--,+++--+--,+-++--,3.981533214092241e-5,0.998801339435671,+,7.963066428184482e-5,0.004313296,0.021420648691816258,1
RPL27A,--+-,+-+-++++,---+++,0.9737586988599063,4.105213033167256e-5,-,8.210426066334511e-5,0.001389884,0.022086046118439836,1
TESK1,+-+-,+-++++++,+++---,4.1650050247445184e-5,0.29661482605592676,+,8.330010049489037e-5,0.00667191,0.022407727033125508,1
HLA-C,--+-,++++++++,---++-,0.20745135620424868,4.175021911119933e-5,-,8.350043822239866e-5,0.00113221,0.02246161788182524,1
C6orf106,++++,----++++,-+--++,0.5615657303959094,4.231857846317771e-5,-,8.463715692635542e-5,0.002620127,0.022767395213189608,1
ABHD11,+-+-,----++++,+-+---,0.7202427223006449,4.258016287285158e-5,-,8.516032574570316e-5,0.002229753,0.02290812762559415,1
FAM160B1,++++,++++----,NA,4.2730162073805764e-5,0.9843178452280209,+,8.546032414761153e-5,3.98538e-4,0.022988827195707502,1
LGR4,++-+,++++----,NA,4.3049847506127486e-5,0.9997227637051821,+,8.609969501225497e-5,0.003349343,0.023160817958296588,1
PDE4B,++--,++++----,----+-,4.335938647785571e-5,0.1019335157243244,+,8.671877295571142e-5,0.014338818790589444,0.023327349925086373,1
PALM,+-+-,----++++,+-+---,0.41861854253638237,4.385098551958907e-5,-,8.770197103917814e-5,2.2065e-4,0.02359183020953892,1
ARPP21,+++-,----+---,+++---,4.492830403584902e-5,0.029208572445689543,+,8.985660807169804e-5,0.001519169,0.024171427571286774,1
CD55,-+--,++++----,---+++,0.10693007832600572,4.497045805341604e-5,-,8.994091610683209e-5,0.001054213,0.02419410643273783,1
TMEM106B,-+-+,++++----,---+-+,4.528434902025054e-5,0.014362960650266278,+,9.056869804050108e-5,2.16239e-4,0.024362979772894793,1
CLCA4,----,++++---+,---+++,0.042860205170810295,4.593548297395815e-5,-,9.18709659479163e-5,0.002883052,0.024713289839989484,1
HDAC5,+-+-,----++++,+-----,0.844409055822184,4.6078505512545725e-5,-,9.215701102509145e-5,0.003715657,0.0247902359657496,1
ETV3,-+--,--------,NA,0.07476056367217104,4.770808398514734e-5,-,9.541616797029468e-5,1.62732e-4,0.025666949184009268,1
NSFL1C,+-+-,+---++++,-++-++,0.9299672331242046,4.8104604105192884e-5,-,9.620920821038577e-5,0.00296874,0.02588027700859377,1
RPL35,----,--+-++++,++----,0.7373339859636868,4.8397678830288074e-5,-,9.679535766057615e-5,0.002585066,0.026037951210694982,1
COX4I2,--+-,NA,NA,0.9955178191555049,4.867176480606757e-5,-,9.734352961213515e-5,0.0017328605021389005,0.026185409465664354,1
HES1,++++,-+++----,+++--+,4.889810077592387e-5,0.9941336837808123,+,9.779620155184775e-5,0.003550966,0.026307178217447044,1
IMP4,+-+-,-++-++++,++----,0.7559574418730585,4.919374422343972e-5,-,9.838748844687944e-5,4.99604e-4,0.026466234392210568,1
SLC6A2,-+-+,+-+++---,-+++++,0.955069425871356,4.973781986811823e-5,-,9.947563973623646e-5,7.644242388104408e-4,0.026758947089047608,1
SLC6A2,-+-+,++++++++,-+++++,0.955069425871356,4.973781986811823e-5,-,9.947563973623646e-5,7.644242388104408e-4,0.026758947089047608,1
DMXL1,++-+,++++----,-++---,4.987126475665333e-5,0.9991213256144362,+,9.974252951330666e-5,0.003541324,0.026830740439079494,1
RBBP9,++++,++++++--,------,5.2106945871267336e-5,0.9747741933496885,+,1.0421389174253467e-4,2.26421e-4,0.028033536878741827,1
PTPN9,++++,------+-,+-+---,5.25825794976878e-5,0.9352894002085836,+,1.051651589953756e-4,0.003747191,0.028289427769756036,1
ZNF654,++-+,-+-+----,-+++++,5.297278542230905e-5,0.4659533015913665,+,1.059455708446181e-4,1.10049e-4,0.02849935855720227,1
C10orf90,-+--,-+++----,---+++,0.03216558917833658,5.300015348172706e-5,-,1.0600030696345411e-4,0.002580431,0.028514082573169158,1
ATP8A1,-+-+,++++----,++-+-+,5.3503045307147146e-5,0.33789090554952117,+,1.0700609061429429e-4,0.004230372,0.028784638375245166,1
RPL13A,--+-,+-+-++++,-+---+,0.8932536875262123,5.378662955981751e-5,-,1.0757325911963502e-4,0.0020329188932070993,0.02893720670318182,1
