gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
PBK,+-,NA,NA,0.10175678758840977,0.9101072324891627,+,0.204,0.10468868473649252,54.7,1
KREMEN2,++,NA,NA,0.7854209445585215,0.10181382614647502,-,0.204,0.07158463787014846,54.8,1
TWF1,--,++--,NA,0.10183980798809418,0.9365181964999586,+,0.204,0.173738575,54.8,1
CTRC,-+,NA,NA,0.8789071412274698,0.10187086470454026,-,0.204,0.10119138671640247,54.8,1
CMA1,++,NA,NA,0.10187086470454026,0.7430412959160393,+,0.204,0.05284739755671302,54.8,1
RASSF10,-+,NA,NA,0.8616814966917636,0.10192790326260552,-,0.204,0.09287568653409058,54.8,1
MPND,++,+-++,--,0.9274857014683665,0.1019490677318271,-,0.204,0.043516479,54.8,1
HIST1H4G,+-,NA,NA,0.10198494182067078,0.9118754277891855,+,0.204,0.10646402297546771,54.9,1
VRK3,-+,+-+-,-+,0.9831017600350456,0.1019948406044417,-,0.204,0.098367648,54.9,1
SLC39A13,-+,+-++,++,0.9281152463676302,0.10204420525563969,-,0.204,0.117407465,54.9,1
KCNN1,++,----,-+,0.6393818281799957,0.10210422801211652,-,0.204,0.05370618,54.9,1
DAPK1,+-,-++-,++,0.10215798168010247,0.8627399465405601,+,0.204,0.06514058334756209,55,1
CETN3,-+,+++-,++,0.10216311444294902,0.5518220234912363,+,0.204,0.039713222,55,1
CRACR2A,-+,--++,NA,0.9897622015647894,0.10225393582655351,-,0.205,0.110238001,55,1
S100A9,++,+-++,-+,0.9249579748119257,0.10226060262045827,-,0.205,0.005328933,55,1
C10orf62,-+,NA,NA,0.9471252566735113,0.10227013461099703,-,0.205,0.2013960073742627,55,1
FAM177B,+-,NA,NA,0.10232717316906229,0.9415925165411818,+,0.205,0.1464445664630787,55.1,1
SFTPC,-+,+-++,+-,0.701239419032681,0.10234449920890211,-,0.205,0.005867164,55.1,1
TXNDC16,+-,-+-+,--,0.10240104671763803,0.9450848950397965,+,0.205,0.04420165308828343,55.1,1
NFYA,+-,++++,NA,0.1024339523375527,0.7789431931939946,+,0.205,0.08227448506618386,55.1,1
FAS,-+,+-++,NA,0.9690930959373328,0.10244569069765865,-,0.205,0.126254954,55.1,1
DLX5,+-,--+-,-+,0.7159502782887954,0.10245130402580564,-,0.205,0.019016819,55.1,1
TOPBP1,+-,++--,--,0.10246711235325044,0.7813820383043266,+,0.205,0.034770778183550094,55.1,1
C17orf67,-+,++-+,NA,0.5762951251466013,0.10246807872378921,-,0.205,0.067940232,55.1,1
OSBPL3,++,+--+,-+,0.9015001361279695,0.10247097586336743,-,0.205,0.06267122,55.1,1
