gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,Corrected_p,Bonferroni_meta_p
GALNT15,-++-+-,-+++++++-++-,++--+-++,0.124432511773269,1.730783379149132e-12,-,3.46e-12,11.460727288353864,2.81e-5,9.31e-10,6.1e-8
GALNT15,-++-+-,-+++++++-++-,+++-++++,0.124432511773269,1.730783379149132e-12,-,3.46e-12,11.460727288353864,2.81e-5,9.31e-10,6.1e-8
GALNT15,-++-+-,-+++++++-++-,--++++++,0.124432511773269,1.730783379149132e-12,-,3.46e-12,11.460727288353864,2.81e-5,9.31e-10,6.1e-8
GALNT15,-++-+-,-+++++++-++-,--++++-+,0.124432511773269,1.730783379149132e-12,-,3.46e-12,11.460727288353864,2.81e-5,9.31e-10,6.1e-8
RPS26,---+++,--+--+++++++,--------,0.9983623518959066,3.570104153926486e-10,-,7.14e-10,9.146289117967322,0.0022078621270659442,1.92e-7,1.26e-5
KLK1,-++++-,++++++---++-,--+-++-+,1.083389062750492e-9,0.00910122420999073,+,2.17e-9,8.664185557440645,0.009705337,5.83e-7,3.82e-5
KLK1,-++++-,++++++---++-,++++----,1.083389062750492e-9,0.00910122420999073,+,2.17e-9,8.664185557440645,0.009705337,5.83e-7,3.82e-5
KLK1,-++++-,+--+-+++++--,--+-++-+,1.083389062750492e-9,0.00910122420999073,+,2.17e-9,8.664185557440645,0.009705337,5.83e-7,3.82e-5
KLK1,-++++-,+--+-+++++--,++++----,1.083389062750492e-9,0.00910122420999073,+,2.17e-9,8.664185557440645,0.009705337,5.83e-7,3.82e-5
PILRB,----++,------++++++,+-++-+++,0.8788144723283073,3.732406430332964e-9,-,7.46e-9,8.126981075360105,0.002967031,2.01e-6,1.31e-4
TMED5,--++-+,++++++------,-+----+-,1.9876579158725208e-8,0.7905953112829162,+,3.98e-8,7.400628361715632,8.06631e-4,1.07e-5,7e-4
RPS28,-+-++-,+++---++++++,+++---+-,0.3175616116758566,2.1007770589678988e-8,-,4.2e-8,7.376590038173465,4.3403e-4,1.13e-5,7.4e-4
ANKRD37,+-++-+,-+-++-------,+++----+,4.086673915538544e-8,0.6026288975837955,+,8.17e-8,7.087600018528522,6.06648e-4,2.2e-5,0.00144
PHLDB2,---+++,----+-++++++,NA,0.9999975800326151,4.3545482575212437e-8,-,8.71e-8,7.060026896528912,0.001950897,2.34e-5,0.00153
SLCO1A2,----+-,++++++---+++,----++-+,0.2713347076181536,4.4156659536727466e-8,-,8.83e-8,7.053973792867582,3.41573e-4,2.38e-5,0.00156
IP6K3,--+---,++++++----+-,NA,4.9314336960741405e-8,0.7717999906517707,+,9.86e-8,7.005996805996879,0.004055764,2.65e-5,0.00174
P4HA1,--+---,++++++------,+------+,5.3721675421991585e-8,0.04157829673241696,+,1.07e-7,6.9688204557529785,7.94288e-4,2.89e-5,0.00189
RPL13,---++-,-++---++++++,---+++++,0.9999528254357666,7.945600368343354e-8,-,1.59e-7,6.7988432863284585,0.001804768,4.27e-5,0.0028
NPAS4,+-----,-----------+,+++-+-+-,0.136014263444204,1.1082745949961386e-7,-,2.22e-7,6.654322626329382,2.11793e-4,5.96e-5,0.0039
ASB4,+++-++,++++++----+-,NA,1.335890883525938e-7,0.9751483892772009,+,2.67e-7,6.573199018215869,0.001065553,7.19e-5,0.00471
CCDC144A,+-+-+-,++++++------,NA,1.5470466230078203e-7,0.9770143396990151,+,3.09e-7,6.509466602201023,0.001349185,8.32e-5,0.00545
NRG4,+-++++,------++++++,NA,0.9712998452448003,1.568355978050282e-7,-,3.14e-7,6.503525360683723,0.003636789,8.44e-5,0.00552
ENHO,+--+++,-+----++++-+,NA,0.9999723715526525,1.9564818615799136e-7,-,3.91e-7,6.407494178397439,8.0034e-4,1.05e-4,0.00689
CITED2,---+--,-------+++-+,+----++-,0.9924205117650876,1.9724816072962523e-7,-,3.94e-7,6.4039570420804095,0.004697846,1.06e-4,0.00695
VSTM2L,++-++-,---+-+-+++--,++++----,2.2696209689781368e-7,0.6380312015340811,+,4.54e-7,6.343016669092536,1.43539e-4,1.22e-4,0.00799
CFH,--+++-,-+++--++++++,-+--+--+,0.9999596869957579,2.381942547836124e-7,-,4.76e-7,6.322038722192892,0.002341199,1.28e-4,0.00839
CFH,--+++-,-+++--++++++,-+---+++,0.9999596869957579,2.381942547836124e-7,-,4.76e-7,6.322038722192892,0.002341199,1.28e-4,0.00839
RPH3AL,---+++,----+-++++++,NA,0.9999828934582837,2.515547954110988e-7,-,5.03e-7,6.2983374036015904,6.508400741202351e-4,1.35e-4,0.00886
HK2,-++-+-,++++++------,NA,2.6761221720366896e-7,0.9994863672552506,+,5.35e-7,6.271464068098894,0.001113167,1.44e-4,0.00943
LBH,---++-,------++++-+,--------,0.5990309476224266,3.213973239614375e-7,-,6.43e-7,6.191927747943601,0.0010815023559854458,1.73e-4,0.0113
SLC9A3R2,+--++-,+-+++-++++++,----+--+,0.999682084311542,3.566605035813456e-7,-,7.13e-7,6.146714985904318,7.81086e-4,1.92e-4,0.0126
FAM101B,-+++++,--------++--,++++-+--,0.29632027039365483,4.1227061140545807e-7,-,8.25e-7,6.0837876269912305,1.3169669318966625e-4,2.22e-4,0.0145
SEL1L,-+++-+,++++-+------,+-------,4.5800001714107906e-7,0.5800828799686284,+,9.16e-7,6.038104510078272,6.01311e-4,2.46e-4,0.0161
SPRED2,+--+--,--------+--+,++---+--,0.2171488349174542,4.676356473222764e-7,-,9.35e-7,6.029062394820386,6.85e-5,2.52e-4,0.0165
CPSF2,+++---,++++++------,--++++++,5.271064760662852e-7,0.5204799933967631,+,1.05e-6,5.977071652316519,0.016079405,2.84e-4,0.0186
NR4A1,------,------------,-++-----,0.18640996534265242,6.419116013174813e-7,-,1.28e-6,5.891494779543414,7.75511e-5,3.45e-4,0.0226
EEF2,++-++-,-+----++++++,++-+-++-,0.6220644328893075,6.786335155421775e-7,-,1.36e-6,5.867334700079687,8.97529e-5,3.65e-4,0.0239
SST,----+-,+-----++++--,-------+,0.9427554965598828,6.844217236862916e-7,-,1.37e-6,5.863646218652001,3.35674e-4,3.68e-4,0.0241
PRRX1,+++-++,++++++------,+-+--+--,7.20978714890083e-7,0.8882567314921623,+,1.44e-6,5.841047560895696,0.005571028,3.88e-4,0.0254
SAMD14,+--++-,------++++++,+-++-+++,0.9188718210099807,7.218199257844646e-7,-,1.44e-6,5.840541137780725,7.85112e-4,3.88e-4,0.0254
SLC5A4,---+++,------++++++,NA,0.9999946224838653,8.023797750280703e-7,-,1.6e-6,5.794590031113794,0.00147793,4.32e-4,0.0283
PRKD2,---+++,------++++++,--+-++++,0.999993123169129,8.431386879068104e-7,-,1.69e-6,5.773070986723576,0.017864344080784647,4.54e-4,0.0297
CHST6,+++-+-,++++++---++-,--+++--+,8.54851751228668e-7,0.6570736459332774,+,1.71e-6,5.767079198620401,2.58333e-4,4.6e-4,0.0301
ECT2,+++--+,++++++------,++--++--,8.676193073614381e-7,0.9971126757423681,+,1.74e-6,5.760640796416599,1.74409e-4,4.67e-4,0.0306
MANEA,-++--+,++++++------,----+-++,9.050178270743794e-7,0.03485649086412637,+,1.81e-6,5.742312870297912,7.71466e-4,4.87e-4,0.0319
CCNT1,-++--+,++++-+------,--++++-+,9.070361224175717e-7,0.9639959639421849,+,1.81e-6,5.741345421295504,3.6569e-4,4.88e-4,0.0319
DUSP5,++----,------------,+-+-++--,0.16536749715543542,9.487403551493785e-7,-,1.9e-6,5.721822630427681,2.21995e-4,5.1e-4,0.0334
HSD17B6,--+---,++++++------,+----+-+,9.929524111002674e-7,0.4158558309040409,+,1.99e-6,5.702041569628967,1.4783e-4,5.34e-4,0.035
ABHD11,+--++-,------++++++,+--+--+-,0.8908849503315528,1.0323586649970442e-6,-,2.06e-6,5.685139396998741,0.002229753,5.55e-4,0.0364
CA4,---++-,----+-++++--,-------+,0.6260816081308915,1.0474362489221122e-6,-,2.09e-6,5.678842404758676,0.005919834512648399,5.64e-4,0.0369
CCDC124,+--++-,+-----++++++,+++-++--,0.8345845661121256,1.0489923277016303e-6,-,2.1e-6,5.678197692547638,9.17799e-7,5.64e-4,0.0369
XRRA1,------,------+++++-,NA,0.871799425348303,1.06270994196226e-6,-,2.13e-6,5.672555260786367,0.005265531,5.72e-4,0.0374
FAM98C,----+-,------++++++,+-------,0.8815497884090923,1.1340323315257274e-6,-,2.27e-6,5.644344567765859,0.00700334,6.1e-4,0.0399
UBE2M,++-++-,-+----++++++,+----+-+,0.9672029474371096,1.245164751226114e-6,-,2.49e-6,5.60374318638647,4.9052e-5,6.7e-4,0.0439
TIE1,---+++,++++++++++++,NA,0.9557994528185748,1.3078833988757466e-6,-,2.62e-6,5.582400977077195,0.002398653419051088,7.04e-4,0.0461
XPOT,++++-+,++++++-+----,----++-+,1.32753706915236e-6,0.1539277241796108,+,2.66e-6,5.575923347498859,3.48571e-4,7.14e-4,0.0468
SESN1,++++-+,++++-++---+-,++++----,1.4272517004826904e-6,0.9530798999286882,+,2.85e-6,5.544469435221804,0.005077528,7.68e-4,0.0503
MRPL21,---++-,-++--+++++++,+-------,0.18974481825501052,1.5139561947125914e-6,-,3.03e-6,5.518856695004082,6.72138e-4,8.15e-4,0.0533
VEGFA,--+---,+-+-+-------,--+----+,1.7849792551118442e-6,0.4364197195447958,+,3.57e-6,5.4473368311947015,0.001792509,9.6e-4,0.0629
GBP3,----+-,++++++++--++,NA,1.8080526724609839e-6,0.5855158132954668,+,3.62e-6,5.441758926080554,0.002975392,9.73e-4,0.0637
PITRM1,++++-+,+++++++++++-,-+++----,1.9389358194451846e-6,0.9999867503984605,+,3.88e-6,5.411406570565262,0.003733333,0.00104,0.0683
PLEKHM2,++-++-,-+----++++-+,+-+-----,0.07897539838619941,2.1260346903875403e-6,-,4.25e-6,5.371399657732481,0.003242619,0.00114,0.0749
CHCHD10,++-++-,+-----++++-+,NA,0.43913065400584395,2.2446391092553287e-6,-,4.49e-6,5.347823478799786,7.98659e-4,0.00121,0.0791
PDE4C,+---++,------+-+++-,-+++++--,0.042570473057973054,2.5673712345102398e-6,-,5.13e-6,5.2894813333886175,3.73783e-4,0.00138,0.0904
PIGF,--++-+,++++++------,----++++,2.584714384608484e-6,0.01172497814887186,+,5.17e-6,5.286557444543044,0.010831869,0.00139,0.091
TMEM41B,-++--+,-+++++------,--+--+-+,3.065012963317875e-6,0.11766087165564032,+,6.13e-6,5.212537688651074,0.001655023,0.00165,0.108
CPSF1,-+-++-,------++++++,--++---+,0.8676660641040292,3.3418507761332636e-6,-,6.68e-6,5.174982950923706,0.006458765,0.0018,0.118
MAF,---+++,--+--+++++--,------++,0.9177716416875082,3.4248653444899523e-6,-,6.85e-6,5.164326503338112,0.001806367,0.00184,0.121
MEGF9,+++---,-+++++----+-,+-+-+--+,3.428608264856375e-6,0.5976178908861172,+,6.86e-6,5.16385213664011,0.007617522141769065,0.00184,0.121
C18orf54,-++---,++++++----+-,NA,3.662896717103219e-6,0.9999550303900653,+,7.33e-6,5.135145331323817,0.0012623854899758377,0.00197,0.129
PM20D2,+++--+,+++--++-----,++-+++++,3.885355296825811e-6,0.27048706588161353,+,7.77e-6,5.109539265267162,3.32678e-4,0.00209,0.137
PPAT,+++--+,++++-+--+-+-,++-++---,3.974087742202984e-6,0.9999041961603804,+,7.95e-6,5.099732552852127,4.28602e-4,0.00214,0.14
MPND,++-++-,----+-++++++,-+------,0.7965966212460326,3.976075596844645e-6,-,7.95e-6,5.099515371321918,4.67658e-4,0.00214,0.14
HLA-DRB5,+-++++,++++++------,NA,4.054293090029713e-6,0.783119307812292,+,8.11e-6,5.091054863140941,0.001867568,0.00218,0.143
SAMD8,-+++-+,-+-+-+------,NA,4.136148141283603e-6,0.9936978686341278,+,8.27e-6,5.082373919175219,5.94461e-4,0.00223,0.146
RPL31,-+-++-,++----++++++,+-+-+-++,0.9995808902436002,4.202682630748771e-6,-,8.41e-6,5.075443409219624,0.005337559716722759,0.00226,0.148
ETV3,-++---,-----------+,NA,0.17036833872340185,4.243680305542574e-6,-,8.49e-6,5.071227345121887,1.62732e-4,0.00228,0.149
C1orf115,++-+-+,++-+--++++-+,++++--++,4.717483865045381e-6,0.5506576510047547,+,9.43e-6,5.02525958089041,1.26498e-4,0.00254,0.166
EIF1,-+++--,-++--+++++++,--+--+++,0.946242680908916,4.930849349457077e-6,-,9.86e-6,5.006048270452003,8.09082e-4,0.00265,0.174
GUK1,---++-,-+----++++-+,-+----++,0.9884986682308787,4.968271046018486e-6,-,9.94e-6,5.0027647234116275,5.48489e-4,0.00267,0.175
NUFIP2,-++--+,-+++++------,+-+++--+,5.584863481623174e-6,0.9132084889522765,+,1.12e-5,4.951957442802452,0.006423197,0.003,0.197
ZNF615,++++--,++++++----+-,-++----+,6.175419448970883e-6,0.9988901903638896,+,1.24e-5,4.908303543102803,0.010071255,0.00332,0.218
MIS12,+-+--+,++++++------,--+--+-+,6.313120638588309e-6,0.45491872109136217,+,1.26e-5,4.898725915915902,0.005850567,0.0034,0.222
GALK2,+++---,+++++++---++,+-+-+--+,6.347250830956349e-6,0.8792430763063318,+,1.27e-5,4.896384343213213,0.001603277,0.00341,0.224
RPLP2,-+-++-,--+---++++++,NA,0.9781073580325307,6.410573079007826e-6,-,1.28e-5,4.89207314893174,0.005080981,0.00345,0.226
LINGO2,++++-+,-+----+++--+,++++---+,6.882839756743062e-6,0.5673713090903125,+,1.38e-5,4.861202345718267,1.42322e-4,0.0037,0.242
ARPP21,++++--,------+---++,++++----,6.946178078316127e-6,0.00172989780044069,+,1.39e-5,4.857224091264144,0.001519169,0.00374,0.245
PTGDR2,---+++,----+-++++++,NA,0.9999998614742482,7.201940645224866e-6,-,1.44e-5,4.841520466522849,0.012136759,0.00387,0.254
PCCB,--+---,++++++-+----,---++--+,7.454699075519171e-6,0.5283625187584151,+,1.49e-5,4.826539887395998,5.58917e-4,0.00401,0.263
YOD1,-+++-+,++++++------,+++-++-+,7.710498111096804e-6,0.7972481050640454,+,1.54e-5,4.811887569227601,0.006846365,0.00415,0.272
EPHB3,+--++-,----+--+++-+,++++-++-,0.4086409546898316,8.058781369107966e-6,-,1.61e-5,4.792700630606048,0.0014442643637351503,0.00434,0.284
ELMOD2,++++-+,++++++----+-,NA,8.12143842174584e-6,0.9698639862957443,+,1.62e-5,4.789337048579805,0.006006846,0.00437,0.286
RPS21,---++-,+++--+++++-+,--+---+-,0.9086170823633756,8.411841559705936e-6,-,1.68e-5,4.7740789203494876,7.553565144445032e-4,0.00453,0.296
TCFL5,----+-,++++++---+++,++++++++,8.830321528030852e-6,0.6576119123053425,+,1.77e-5,4.752993487020363,0.003414279,0.00475,0.311
KCNIP3,-+-++-,-------+++-+,---+--+-,0.43213256796348803,8.897507040750904e-6,-,1.78e-5,4.749701663995279,0.00229084,0.00479,0.313
RPL35,----+-,--+---++++++,+++---+-,0.8040072769403541,9.05713749299812e-6,-,1.81e-5,4.741979043682013,0.002585066,0.00487,0.319
CHURC1,+++-+-,++++++-----+,----++-+,9.271045491563661e-6,0.3692859413716339,+,1.85e-5,4.7318412922395865,0.004305976,0.00499,0.327
RPL10A,-+-++-,+++--+++++++,------+-,0.9404867383202415,9.424789621946569e-6,-,1.88e-5,4.724698339574627,2.61478e-4,0.00507,0.332
ANKRD24,++-++-,----+-++++++,+++-+---,0.1860014606373231,1.0073306358155619e-5,-,2.01e-5,4.695797962042732,0.002183442,0.00542,0.355
BHLHE41,-+++--,++++++---+-+,NA,1.0366065280180782e-5,0.9024140510198704,+,2.07e-5,4.683356064859226,0.005542234,0.00558,0.365
USHBP1,---+++,+-+-+-++++++,NA,0.9986154162993439,1.0428607501925319e-5,-,2.09e-5,4.68074368196927,5.07620858896974e-4,0.00561,0.367
MPZ,----++,+-+-+++-----,-+----+-,0.7956470690747038,1.0621652114921878e-05,-,2.12e-5,4.6727779312261575,0.019370225,0.00571,0.374
MPZ,----++,+-+-+++-----,--+-++++,0.7956470690747038,1.0621652114921878e-05,-,2.12e-5,4.6727779312261575,0.019370225,0.00571,0.374
B4GALNT4,++--+-,----+-++++++,+++++-++,0.16537906494540447,1.0963500022433865e-5,-,2.19e-5,4.659020782507698,1.57781e-4,0.0059,0.386
ELOF1,++-++-,++----++++++,--+++-+-,0.13259948170245117,1.1037450973319941e-5,-,2.21e-5,4.656101216816206,9.19193e-5,0.00594,0.389
KMT2B,++--+-,NA,-+-+++--,1.1040519486077901e-5,0.9438029235892977,+,2.21e-5,4.655980495740919,0.017954026,0.00594,0.389
KMT2B,++--+-,NA,++++--+-,1.1040519486077901e-5,0.9438029235892977,+,2.21e-5,4.655980495740919,0.017954026,0.00594,0.389
MARCH2,+--+++,-++---++++-+,NA,0.9366208866522286,1.1357606321771485e-5,-,2.27e-5,4.643683193276603,1.74212e-4,0.00611,0.4
SMARCD1,++++-+,--+-+-++--++,+++++-+-,1.157404836685465e-5,0.7189729445509825,+,2.31e-5,4.635484711429089,0.001623408,0.00623,0.408
NEDD9,+++-+-,-----------+,++-+-+--,0.05972404085837556,1.1601070244701945e-05,-,2.32e-5,4.634471947873945,1.23189e-4,0.00624,0.409
THAP2,--+--+,++++++------,NA,1.21747425936518e-5,0.7603209061871352,+,2.43e-5,4.613510216489461,0.001534369,0.00655,0.429
RBBP9,++++-+,++++++++---+,--+-----,1.24374349847932e-5,0.9958319242180047,+,2.49e-5,4.604239180798868,2.26421e-4,0.00669,0.438
BRSK1,++-+++,------++++-+,+--+++++,0.9995091321471794,1.2617945832596312e-5,-,2.52e-5,4.597981345638777,0.005403006,0.00679,0.444
MED31,+-++--,++++++--+---,+---+---,1.2703502249829278e-5,0.7205800852409493,+,2.54e-5,4.595046535498862,0.002847439,0.00683,0.447
STAT6,++-++-,-------+++++,+-+-----,0.11769849969037244,1.288921370333119e-5,-,2.58e-5,4.588743579978751,4.06613e-5,0.00693,0.454
ARC,-+----,-------+----,++++--+-,0.08027227320118854,1.3058475631579853e-5,-,2.61e-5,4.58307752138105,7.60893e-4,0.00703,0.46
NSFL1C,++-++-,+-----++++-+,-+-+-+-+,0.9426224959486579,1.3109498811882242e-5,-,2.62e-5,4.581383915803419,0.00296874,0.00705,0.462
SPTLC1,++++-+,++++-+------,-----+-+,1.3307294573693798e-5,0.014051432024089263,+,2.66e-5,4.57488023369561,0.001247492,0.00716,0.469
FMNL1,++-++-,------++++-+,+----++-,0.8402328152680762,1.3449739877753075e-5,-,2.69e-5,4.570256119309777,0.001258154,0.00724,0.474
ARNTL,++++--,------+-+-++,-----+-+,0.44844257438478397,1.3628372032898729e-5,-,2.73e-5,4.564526023729168,0.002862079,0.00733,0.48
RPL36,-+-++-,+++---++++++,-++---+-,0.7283030273431957,1.3743136586062014e-5,-,2.75e-5,4.560884141586306,2.28312e-4,0.00739,0.484
GLIPR1,-+-+-+,-+---+++++--,----++++,0.8367147872004879,1.4244682424610847e-5,-,2.85e-5,4.545317232949117,0.012700749,0.00766,0.502
ZNF654,+-+--+,-+-++-------,-+++++-+,1.4292030240251363e-5,0.7498038805603735,+,2.86e-5,4.5438760778887115,1.10049e-4,0.00769,0.503
ZNF680,++++-+,++++++------,-+-+-+++,1.4362248787362923e-5,0.909138767601173,+,2.87e-5,4.54174755889494,0.003373585,0.00773,0.506
RIF1,-++---,++++++----+-,-++-+--+,1.4597803627883815e-5,0.16614899677553574,+,2.92e-5,4.534682487184872,0.003727931,0.00785,0.514
TMED7,-++---,++++++------,--+--+++,1.4750382166733587e-5,0.16955623108001328,+,2.95e-5,4.530166731767365,3.26372e-4,0.00794,0.52
ZNF514,---+++,+++-+-++++++,--+-++++,0.8200938402720467,1.4861981965761289e-5,-,2.97e-5,4.526893274359884,7.00094e-4,0.008,0.523
RAMP2,---++-,-++-+-++++++,--+-++--,0.973323740511278,1.5169721178976909e-5,-,3.03e-5,4.517992405852821,0.001559395,0.00816,0.534
DEAF1,++-+++,++----++++++,-++---++,0.3021107655501412,1.5236801412379348e-5,-,3.05e-5,4.516076197092928,0.001223482,0.0082,0.537
SOCS4,++++--,-++--+------,++-++-+-,1.552414026931975e-5,0.1924022881306198,+,3.1e-5,4.507962446155935,5.17462e-4,0.00835,0.547
SOCS4,++++--,-++--+------,----+-+-,1.552414026931975e-5,0.1924022881306198,+,3.1e-5,4.507962446155935,5.17462e-4,0.00835,0.547
NUP188,++++--,--+-+-----++,+-++-+--,1.5737340085933405e-5,0.9624739100879867,+,3.15e-5,4.5020386742558145,0.001046536,0.00847,0.554
AGBL5,++-+--,+++---++++-+,+++-----,0.054989722959057116,1.603236079005714e-5,-,3.21e-5,4.493972526735202,1.31829e-4,0.00863,0.565
CLCN3,-+++--,++++-+------,----+--+,1.6751585647738342e-05,0.061534544254701486,+,3.35e-5,4.474914082188832,8.88109e-4,0.00901,0.59
ARHGEF3,++++-+,-+-+-++-+---,++-+----,1.7377245385828593e-5,0.8932072414829884,+,3.48e-5,4.458989070459753,0.006276124,0.00935,0.612
C1orf43,-+++-+,+++---++++-+,--+--+++,0.7532764004330545,1.738435453634125e-5,-,3.48e-5,4.458811433936196,0.001660319,0.00935,0.612
ADAMTS17,---+-+,------++++++,NA,0.9989454033850241,1.7666855607125995e-5,-,3.53e-5,4.4518107448118664,0.002712418,0.0095,0.622
LGR4,+++--+,++++++------,NA,1.77826904692925e-5,0.9997266923818673,+,3.56e-5,4.448972535240012,0.003349343,0.00957,0.626
TMEM106B,--+--+,++++++------,--+-+-++,1.81074710733567e-5,0.01875140018308431,+,3.62e-5,4.441112204247145,2.16239e-4,0.00974,0.638
RPL27A,-+-++-,+-+--+++++++,--+-++++,0.9805487561240562,1.8192076676682806e-5,-,3.64e-5,4.439087726506978,0.001389884,0.00979,0.641
EGR2,------,------------,+-+-----,0.06576082584781093,1.8699640350227272e-5,-,3.74e-5,4.427136750495442,3.649272842769828e-4,0.0101,0.659
INSL6,-++-++,++++++----+-,-++-+--+,1.8767528427147622e-5,0.20387339635086626,+,3.75e-5,4.425562921971887,0.003727931,0.0101,0.661
CKB,++-++-,++----++++++,-+++-++-,0.7288374481394062,1.8955156504667425e-5,-,3.79e-5,4.421242629773889,1.82118e-5,0.0102,0.668
SEMA3G,---++-,+++++-++++++,+-+-+++-,0.9856763138193595,1.9083030309729875e-5,-,3.82e-5,4.418322664245872,6.126447033197101e-4,0.0103,0.672
ZBED6CL,---+--,------+-++++,NA,0.8098879748961966,1.91803992294051e-5,-,3.84e-5,4.416112361807777,0.008629982,0.0103,0.676
SELE,+++---,NA,NA,1.9462771011783665e-5,0.9999835644935378,+,3.89e-5,4.40976533133003,0.003438083148316652,0.0105,0.686
MLLT6,-+-++-,+---+-++++++,--+---+-,0.8795119419812827,1.980152994255532e-5,-,3.96e-5,4.402271257511865,0.001018653,0.0107,0.697
IL1B,+++---,++++++------,NA,1.9806257493669758e-5,0.999998421370924,+,3.96e-5,4.402167583486904,0.024164478381941103,0.0107,0.698
ITIH5,---++-,+++-+-++++++,-----+++,0.9998558609925572,1.9897688818020027e-5,-,3.98e-5,4.400167369728915,0.008163561944948572,0.0107,0.701
NHP2L1,++-+--,++++-+++++-+,-+--+-++,0.572185390993001,1.99164395676456e-5,-,3.98e-5,4.399758301489765,6.21323e-4,0.0107,0.702
ALS2CL,---++-,+++-++++++++,NA,0.9879287966095182,2.1694931581347768e-5,-,4.34e-5,4.362611719490054,7.092032401843758e-4,0.0117,0.764
AP1G1,-+++-+,++++++------,+-------,2.1782071824340105e-5,0.8769241181125983,+,4.36e-5,4.360870818581773,0.001502811,0.0117,0.767
SLC6A2,--+-++,+-++-++---++,-+++++-+,0.44899106684984613,2.2098476383053167e-5,-,4.42e-5,4.3546076727886,7.644242388104408e-4,0.0119,0.778
SLC6A2,--+-++,+++++-++++++,-+++++-+,0.44899106684984613,2.2098476383053167e-5,-,4.42e-5,4.3546076727886,7.644242388104408e-4,0.0119,0.778
C12orf60,+---++,++++++------,NA,2.2262872412263776e-5,0.6609841449452065,+,4.45e-5,4.351388806946655,0.00136315,0.012,0.784
TNC,+++-+-,-++++++--+++,NA,2.2274204576864713e-5,0.9948928750202992,+,4.45e-5,4.351167800226272,0.001667914097392927,0.012,0.785
PALM,++-++-,------++++++,+-++--+-,0.1296024871318491,2.298168319648819e-5,-,4.6e-5,4.337588170750658,2.2065e-4,0.0124,0.81
CD8B,---+++,--++--+--+++,NA,0.9990890994925877,2.314935672836074e-5,-,4.63e-5,4.334431076939057,0.0016936671947150154,0.0125,0.815
AMACR,++++++,++++++-+--++,NA,2.3492102151917013e-5,0.9291213103224377,+,4.7e-5,4.328048123695943,0.003676632,0.0126,0.827
KLK2,-+--++,++++++------,NA,2.3584707991681953e-5,0.8884999434545346,+,4.72e-5,4.3263395008323675,0.001113167,0.0127,0.831
C7orf50,++-++-,-++++-++++++,++++-+--,0.00803519920922019,2.3687237333029906e-5,-,4.74e-5,4.324455592873926,1.35065e-4,0.0127,0.834
RPL6,-+-++-,+++---++++++,++---+++,0.9962335238175394,2.413131716732395e-5,-,4.83e-5,4.316388976547068,0.0033906498390738893,0.013,0.85
SMIM5,------,-+++++---+--,NA,2.415509851834851e-5,0.6028580174617786,+,4.83e-5,4.315961191207834,0.006367172,0.013,0.851
HINT1,-+-++-,+++--++++++-,+----+-+,0.9967342413157628,2.4420915230062022e-5,-,4.88e-5,4.3112080682358656,4.20037e-4,0.0131,0.86
DDIT4L,--+-++,++++++----+-,++++-+++,2.4651316531881288e-5,0.9025326103926218,+,4.93e-5,4.30712988610763,0.0093103,0.0133,0.868
IPMK,++++-+,-+++++------,NA,2.4701513649133727e-5,0.9820070883307599,+,4.94e-5,4.306246437743361,0.003786006,0.0133,0.87
CHPT1,+-+---,+++-++-+---+,+--++---,2.4749820072592475e-5,0.9993319799866331,+,4.95e-5,4.305397958309432,0.004313296,0.0133,0.872
TMEM33,++++-+,-+++++------,+-+-++-+,2.513104431194095e-5,0.4584694880798481,+,5.03e-5,4.2987594684099815,0.001588586,0.0135,0.885
ISG15,---++-,++----++++++,++--+-+-,0.977553722584851,2.5853938154399328e-5,-,5.17e-5,4.286443298745234,0.00197878300514643,0.0139,0.911
SERPINA5,+++---,NA,NA,2.616522542580077e-5,0.9999856937127125,+,5.23e-5,4.281245523591708,0.0037290565012853324,0.0141,0.922
CLEC3B,---++-,+++++-+++++-,--+-+-+-,0.7935843782193517,2.61668883828211e-5,-,5.23e-5,4.2812179224494935,3.673648174405286e-4,0.0141,0.922
INTS2,-++--+,++++++----+-,---++-++,2.6200265935556562e-5,0.8625838015806944,+,5.24e-5,4.280664304857548,0.01964451,0.0141,0.923
AES,++-++-,+--++-++++-+,--+++--+,0.8551706757813119,2.6266822820557107e-5,-,5.25e-5,4.279562459716963,2.76229e-4,0.0141,0.925
HSPA12B,---+++,+++++-++++++,--+-++-+,0.9859339106090421,2.7048126008847934e-5,-,5.41e-5,4.266832823330012,0.0032038410689174644,0.0146,0.953
HSD17B12,--+--+,++++++------,+++-+++-,2.7654371699511875e-5,0.6884113794821402,+,5.53e-5,4.257206208482008,0.001391285,0.0149,0.974
IFI27,---++-,+++++-++++++,--+-+++-,0.9946218615138533,2.867591915347018e-5,-,5.74e-5,4.241452657034466,0.0015733365889031613,0.0154,1
SLC13A4,---+++,------+++++-,NA,0.9998447452834394,2.984594942094329e-5,-,5.97e-5,4.224084605671289,1.26386e-4,0.0161,1
FZD4,++++-+,++++++-----+,++++-++-,3.0456480214173217e-5,0.9941429858614721,+,6.09e-5,4.215290292856954,9.01498e-4,0.0164,1
SP3,-+++-+,++++-+------,++++---+,3.06754340162105e-5,0.9830609671141382,+,6.14e-5,4.212179288209615,0.016073408,0.0165,1
