gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,Corrected_p,Bonferroni_meta_p
ILVBL,-+-++-,+++++-+++++-,+++-+-++,0.3482553872723884,0.8510307186898255,+,0.697,0.15707216094978307,0.05557912,187,1
ZNF512,++++--,+-+++-++++-+,+++----+,0.3483469719799175,0.7751162642461397,+,0.697,0.15695796457129688,0.019604494,187,1
RNASE9,+-++++,NA,NA,0.34835696112277004,0.4315995302544912,+,0.697,0.1569455109897568,0.05999777795708717,187,1
TXLNB,-+----,-++---+++---,NA,0.3483774082972103,0.8943392526337286,+,0.697,0.15692002037117322,0.16465684321004287,187,1
DCUN1D3,--+---,-----------+,++-----+,0.3484932706219632,0.4723091732052471,+,0.697,0.15677560801379764,0.018308562,187,1
ACTL7A,--++-+,NA,NA,0.7045076138803854,0.34849859536827654,-,0.697,0.15676897233250983,0.13549716862548866,187,1
GPR148,--+--+,NA,NA,0.7608695983360461,0.34851088068538666,-,0.697,0.15675366279766645,0.1423568847573682,187,1
DDX31,--+---,+-+-+-----++,NA,0.3486080732849995,0.948797268688356,+,0.697,0.15663256378084364,0.131031829,188,1
DEFB126,++++++,NA,NA,0.3486874487916978,0.3882744963518815,+,0.697,0.15653368936213644,0.051397026978540504,188,1
RPGRIP1,-+--+-,+++-++++++-+,NA,0.832574533969817,0.3487262598411001,-,0.697,0.15648535241549752,0.013174284,188,1
LSG1,+++---,-+-+--++++++,----++--,0.34874343157789794,0.5103373186961518,+,0.697,0.15646396771411408,0.02710005,188,1
WIPF3,++++-+,------++-++-,-+-----+,0.3488029644067629,0.35054858778325676,+,0.698,0.15638983707770124,0.0460397252251293,188,1
SNRPA,+++++-,+-+++-+-++++,+-+++-+-,0.3488386568311242,0.5445768219521768,+,0.698,0.15634539872285685,0.040462653,188,1
KRTAP24-1,++++-+,NA,NA,0.4791796264745241,0.3488972024770096,-,0.698,0.15627251712828788,0.0294798188495172,188,1
PAEP,----+-,++-+----+---,-+-+--+-,0.34896933574940836,0.8378550164593402,+,0.698,0.1561827375484972,0.092759447,188,1
C20orf96,++--+-,-++-++++-+++,NA,0.9298792121345851,0.34909163510750935,-,0.698,0.15603056191019501,0.015536109,188,1
TIMP3,+-++--,+++---------,+-+--+--,0.3491118996084693,0.9327392583299584,+,0.698,0.1560053521811968,0.087459925,188,1
MAATS1,-+----,+++-+-+---+-,NA,0.3491459138698168,0.7273537610587084,+,0.698,0.15596304057154264,0.012703049,188,1
