gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p
SEC16A,++++-+,----+-+-++++,++++-++-,0.4158273519323139,0.4959554905134018,+,0.832,0.100445222,224,1
TP53INP2,---++-,--+-+----+++,--+++++-,0.41588672665800924,0.457438563103155,+,0.832,0.053512724,224,1
KCNA4,-+++-+,+-++-+----++,+---+--+,0.7393647995188126,0.416037958924675,-,0.832,0.045000468,224,1
KLK5,+--++-,NA,NA,0.41605423195469865,0.6900295942138012,+,0.832,0.3425200520078927,224,1
CCDC86,++++--,+-------++++,++++----,0.7939721523570676,0.41609301312055924,-,0.832,0.012205262,224,1
AIDA,+++---,+-+++--+++-+,NA,0.4161260206393116,0.5304310968533309,+,0.832,0.085074698,224,1
ZNF19,++--+-,+-+-+++--++-,NA,0.41617071074697826,0.803304199365918,+,0.832,0.190493031,224,1
URAD,-++---,NA,NA,0.7366404730876424,0.4163412620416807,-,0.833,0.4136314835874654,224,1
MS4A12,++++--,NA,NA,0.4163483052518244,0.7841779822394038,+,0.833,0.5496434518954132,224,1
C3orf80,++-++-,---+---++--+,NA,0.7859275460246643,0.4163576433761851,-,0.833,0.111198792,224,1
SHPRH,--+-++,+++-+++---++,+-+--+--,0.4164039100817939,0.4658928338543399,+,0.833,0.018118285,224,1
FGF22,+---+-,NA,NA,0.4164275085413903,0.6854475568351923,+,0.833,0.3049656539538173,224,1
FGF17,+---++,+---+-+++-++,NA,0.4165496036119914,0.8708398479049195,+,0.833,0.063038307,224,1
GOSR2,-+++-+,-++---+++-++,-+-+--++,0.4165773544628674,0.6710592604703828,+,0.833,0.038970037,224,1
XKR5,+---+-,NA,NA,0.41658641916403777,0.716123326605109,+,0.833,0.3569902646332135,224,1
RCE1,---+++,+-+-+------+,--+-+-+-,0.7558772185508156,0.4166532353548151,-,0.833,0.025385504,224,1
PVRL2,-+-++-,+-----++++-+,NA,0.41666832295612966,0.6311434844085686,+,0.833,0.045050882,224,1
SACS,++++-+,++++++----+-,-+-++-++,0.41667816485353687,0.6197249172194472,+,0.833,0.022579305,224,1
ZNF134,++++-+,+----+------,--+-++++,0.4167027173229545,0.5681566415189981,+,0.833,0.026522097,224,1
CDH12,-+++-+,------+++-+-,++-+--+-,0.4168383862394316,0.6726907898211755,+,0.834,0.057766199,224,1
ANKS6,----+-,--+-+-+-+-++,NA,0.6774374148781237,0.4168815191713984,-,0.834,0.061413154,224,1
COL6A5,+-++-+,NA,NA,0.5290814795967408,0.4170089081602028,-,0.834,0.20809272777990453,224,1
COPS5,--+++-,++++-++++-+-,-+-----+,0.41703264769809323,0.5287815931963709,+,0.834,0.024260821,224,1
SYCE2,-++-+-,NA,NA,0.4170438617469909,0.6049222267493467,+,0.834,0.2861953598718101,224,1
TMX1,-++---,++++++------,NA,0.41725097953684676,0.6567194027738629,+,0.835,0.074213511,224,1
TPD52L3,+++-++,NA,NA,0.4172698953325135,0.7043243207352743,+,0.835,0.4931286759695913,224,1
C19orf45,---++-,NA,NA,0.41741803403439776,0.5319878839446753,+,0.835,0.23690677910679162,225,1
ZNF48,++-+--,+++----+++--,NA,0.7701377992339037,0.41773662918428456,-,0.835,0.031995412,225,1
CCNJL,---++-,----++-++-+-,NA,0.8605570667169765,0.4177709731509682,-,0.836,0.087510803,225,1
TMEM213,+---++,NA,NA,0.41791672353977255,0.773550715061766,+,0.836,0.4443831179539467,225,1
