structure_name,genome_tissue_count,sample_tissue_count,expected_tissue_count,hypergeometric_p,corrected_hypergeometric_p,enclosing_regions,region_location
pontine nuclei,158,4,2.0290382864535914,0.144,1,pontine nuclei < basal part of pons,pontine nuclei <  basal part of pons  <  pons  <  metencephalon  < gray matter
VIIIB lateral hemisphere,1075,18,13.805165556567157,0.145,1,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
fusiform gyrus lateral bank of gyrus,13,1,0.1669461881259284,0.154,1,fusiform gyrus lateral bank of gyrus <  fusiform gyrus  < temporal lobe,fusiform gyrus lateral bank of gyrus <  fusiform gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter
superior rostral gyrus,108,3,1.3869375628923284,0.16,1,superior rostral gyrus < frontal lobe,superior rostral gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter
locus ceruleus,174,4,2.2345105179931957,0.183,1,locus ceruleus < pontine tegmentum,locus ceruleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter
parahippocampal gyrus lateral bank of gyrus,16,1,0.2054722315396042,0.186,1,parahippocampal gyrus lateral bank of gyrus <  parahippocampal gyrus  < limbic lobe,parahippocampal gyrus lateral bank of gyrus <  parahippocampal gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter
IX paravermis,119,3,1.5281997220758063,0.194,1,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
dentate gyrus,918,15,11.788969284584791,0.196,1,dentate gyrus <  hippocampal formation  < limbic lobe,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter
fusiform gyrus bank of cos,17,1,0.21831424601082947,0.196,1,fusiform gyrus bank of cos <  fusiform gyrus  < temporal lobe,fusiform gyrus bank of cos <  fusiform gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter
CA1 field,192,4,2.46566677847525,0.23,1,CA1 field <  hippocampal formation  < limbic lobe,CA1 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter
preoptic region,76,2,0.9759930998131199,0.253,1,preoptic region < hypothalamus,preoptic region <  hypothalamus  <  diencephalon  < gray matter
globus pallidus internal segment,137,3,1.7593559825578609,0.254,1,globus pallidus internal segment <  globus pallidus  < basal ganglia,globus pallidus internal segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter
paraventricular nucleus of the hypothalamus,77,2,0.9888351142843452,0.257,1,paraventricular nucleus of the hypothalamus < anterior hypothalamic region,paraventricular nucleus of the hypothalamus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter
superior colliculus,27,1,0.3467343907230821,0.293,1,superior colliculus < midbrain tectum,superior colliculus <  midbrain tectum  <  mesencephalon  < gray matter
parolfactory gyri,85,2,1.0915712300541471,0.295,1,parolfactory gyri < frontal lobe,parolfactory gyri <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter
VIIIB paravermis,33,1,0.42378647755043364,0.345,1,VIIIB paravermis <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,VIIIB paravermis <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
corpus callosum,1570,22,20.161962719823663,0.353,1,corpus callosum < telencephalic commissures,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter
basolateral nucleus,34,1,0.43662849202165893,0.354,1,basolateral nucleus < amygdala,basolateral nucleus <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter
inferior temporal gyrus lateral bank of gyrus,39,1,0.5008385643777853,0.394,1,inferior temporal gyrus lateral bank of gyrus <  inferior temporal gyrus  < temporal lobe,inferior temporal gyrus lateral bank of gyrus <  inferior temporal gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter
temporal pole superior aspect,39,1,0.5008385643777853,0.394,1,temporal pole superior aspect <  temporal pole  < temporal lobe,temporal pole superior aspect <  temporal pole  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter
supramarginal gyrus superior bank of gyrus,108,2,1.3869375628923284,0.401,1,supramarginal gyrus superior bank of gyrus <  supramarginal gyrus  <  inferior parietal lobule  < parietal lobe,supramarginal gyrus superior bank of gyrus <  supramarginal gyrus  <  inferior parietal lobule  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter
CA4 field,188,3,2.4142987205903497,0.43,1,CA4 field <  hippocampal formation  < limbic lobe,CA4 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter
medial geniculate complex,45,1,0.5778906512051368,0.439,1,medial geniculate complex < dorsal thalamus,medial geniculate complex <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter
subthalamic nucleus,267,4,3.428817863817145,0.443,1,subthalamic nucleus < subthalamus,subthalamic nucleus <  subthalamus  <  diencephalon  < gray matter
principal sensory nucleus of trigeminal nerve,118,2,1.515357707604581,0.445,1,principal sensory nucleus of trigeminal nerve <  trigeminal nuclei  < pontine tegmentum,principal sensory nucleus of trigeminal nerve <  trigeminal nuclei  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter
septal nuclei,47,1,0.6035746801475874,0.453,1,septal nuclei < basal forebrain,septal nuclei <  basal forebrain  <  cerebral nuclei  <  telencephalon  < gray matter
central nucleus,49,1,0.6292587090900379,0.467,1,central nucleus < amygdala,central nucleus <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter
postcentral gyrus superior lateral aspect of gyrus,52,1,0.6677847525037136,0.487,1,postcentral gyrus superior lateral aspect of gyrus <  postcentral gyrus  < parietal lobe,postcentral gyrus superior lateral aspect of gyrus <  postcentral gyrus  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter
body of caudate nucleus,56,1,0.7191528103886147,0.513,1,body of the caudate nucleus  <  caudate nucleus  <  striatum  < basal ganglia,body of caudate nucleus <  body of the caudate nucleus  <  caudate nucleus  <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter
lateral group of nuclei ventral division,56,1,0.7191528103886147,0.513,1,lateral group of nuclei ventral division <  lateral group of nuclei  < dorsal thalamus,lateral group of nuclei ventral division <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter
VIIB,224,3,2.8766112415544587,0.546,1,VIIB <  posterior lobe of the vermis  <  vermis  < cerebellar cortex,VIIB <  posterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
VI paravermis,62,1,0.7962048972159662,0.549,1,VI paravermis <  VI  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,VI paravermis <  VI  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
medial mammillary nucleus,235,3,3.017873400737937,0.578,1,medial mammillary nucleus <  mammillary body  < mammillary region,medial mammillary nucleus <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter
inferior olivary complex,243,3,3.1206095165077388,0.601,1,inferior olivary complex <  myelencephalon  < gray matter,inferior olivary complex <  myelencephalon  < gray matter
