gene_symbol,mouseGene,cns_cell_type_taxon,cell_type_taxon
HIST1H3J,Hist1h3g,Non-glutamatergic neuroblasts,Non-glutamatergic neuroblasts
HIST1H1B,NA,NA,NA
OR2B2,Olfr1359,Hindbrain neurons,Hindbrain neurons
ZSCAN26,Zscan26,Hindbrain neurons,Hindbrain neurons
HIST1H2AL,Hist1h2ae,Non-glutamatergic neuroblasts,Non-glutamatergic neuroblasts
HIST1H4L,Hist1h4n,Enteric glia,Enteric neurons
HIST1H3I,Hist1h3e,Satellite glia,Satellite glia
PAX5,Pax5,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
PROX2,Prox2,Olfactory ensheathing cells,Olfactory ensheathing cells
OR12D3,Olfr109,Gene detected; No expression measured,Gene detected; No expression measured
ANKK1,Ankk1,Ependymal cells,Ependymal cells
TYR,Tyr,Spinal cord inhibitory neurons,Spinal cord inhibitory neurons
PQLC2L,NA,NA,NA
BTN1A1,Btn1a1,Di- and mesencephalon inhibitory neurons,Di- and mesencephalon inhibitory neurons
PRR34,NA,NA,NA
HIST1H2BO,Hist1h2bp,Ependymal cells,Ependymal cells
SLC17A3,Slc17a3,Telencephalon projecting excitatory neurons,Telencephalon projecting excitatory neurons
HSPE1-MOB4,NA,NA,NA
C3orf84,BC048562,Telencephalon projecting inhibitory neurons,Telencephalon projecting inhibitory neurons
PSORS1C2,Psors1c2,Vascular endothelial cells,Vascular endothelial cells
ACTL8,NA,NA,NA
SLC44A4,Slc44a4,Subcommissural organ hypendymal cells,Subcommissural organ hypendymal cells
C7orf72,4930415F15Rik,Ependymal cells,Peripheral sensory non-peptidergic neurons
OTX2,Otx2,Choroid epithelial cells,Choroid epithelial cells
MYBPC3,Mybpc3,Cerebellum neurons,Cerebellum neurons
SIM1,Sim1,Peptidergic neurons,Peptidergic neurons
ITGB6,Itgb6,Choroid epithelial cells,Enteric neurons
SORCS3,Sorcs3,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
RBFOX1,Rbfox1,Telencephalon projecting excitatory neurons,Peripheral sensory non-peptidergic neurons
GRM5,Grm5,Spinal cord inhibitory neurons,Spinal cord inhibitory neurons
HIST1H2BN,Hist1h2bm,Non-glutamatergic neuroblasts,Non-glutamatergic neuroblasts
SHISA9,Shisa9,Glutamatergic neuroblasts,Glutamatergic neuroblasts
TCF4,Tcf4,Telencephalon inhibitory interneurons,Telencephalon inhibitory interneurons
NEGR1,Negr1,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
DENND1A,Dennd1a,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
DCC,Dcc,Telencephalon projecting inhibitory neurons,Telencephalon projecting inhibitory neurons
RSRC1,Rsrc1,Di- and mesencephalon excitatory neurons,Sympathetic cholinergic neurons
TENM2,Tenm2,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
TMEM161B,Tmem161b,Hindbrain neurons,Hindbrain neurons
DRD2,Drd2,Telencephalon projecting inhibitory neurons,Telencephalon projecting inhibitory neurons
PGBD1,Pgbd1,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
ZKSCAN4,NA,NA,NA
ERBB4,Erbb4,Telencephalon inhibitory interneurons,Telencephalon inhibitory interneurons
ZKSCAN8,Zkscan8,Hindbrain neurons,Hindbrain neurons
BTN3A2,NA,NA,NA
PCLO,Pclo,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
ZSCAN16,NA,NA,NA
ZSCAN9,NA,NA,NA
TMEM106B,Tmem106b,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
MEF2C,Mef2c,Telencephalon projecting excitatory neurons,Telencephalon projecting excitatory neurons
OLFM4,Olfm4,Peptidergic neurons,Peptidergic neurons
GRM8,Grm8,Hindbrain neurons,Hindbrain neurons
ZNF165,NA,NA,NA
LRFN5,Lrfn5,Di- and mesencephalon excitatory neurons,Peripheral sensory non-peptidergic neurons
HIST1H2BL,Hist1h2bj,Non-glutamatergic neuroblasts,Non-glutamatergic neuroblasts
ZCCHC7,Zcchc7,Hindbrain neurons,Hindbrain neurons
B3GALTL,B3galtl,NA,NA
BTN2A1,NA,NA,NA
RERE,Rere,Cholinergic and monoaminergic neurons,Sympathetic cholinergic neurons
CDH13,Cdh13,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
ASTN2,Astn2,Glutamatergic neuroblasts,Enteric neurons
CACNA1E,Cacna1e,Telencephalon projecting excitatory neurons,Telencephalon projecting excitatory neurons
HLA-B,NA,NA,NA
ZSCAN12,Zscan12,Subcommissural organ hypendymal cells,Sympathetic cholinergic neurons
CHD6,Chd6,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
CTNNA3,Ctnna3,Schwann cells,Schwann cells
METTL9,Mettl9,Schwann cells,Schwann cells
